,open,high,low,close,volume
2015-05-15,199.15,201.92,197.88,198.48,516250.0
2015-05-18,199.2,199.93,196.84,198.62,545056.0
2015-05-19,199.1,201.59,196.84,197.56,746204.0
2015-05-20,198.43,200.02,196.84,197.33,489974.0
2015-05-21,198.69,198.69,195.83,198.07,386816.0
2015-05-22,198.64,201.45,193.62,198.13,14070580.0
2015-05-25,198.85,198.9,196.15,196.68,983676.0
2015-05-26,197.31,200.03,196.38,197.47,694426.0
2015-05-27,195.55,198.55,195.09,197.7,544446.0
2015-05-28,197.81,204.68,197.33,201.68,2012102.0
2015-05-29,202.65,206.5,199.61,203.6,2746944.0
2015-06-01,204.08,207.45,202.86,204.36,1166140.0
2015-06-02,205.33,205.56,192.23,193.11,1459168.0
2015-06-03,193.48,193.48,166.42,187.39,3011356.0
2015-06-04,186.93,188.78,181.35,187.26,1170822.0
2015-06-05,185.78,192.6,184.4,188.15,973984.0
2015-06-08,190.39,190.39,181.24,182.05,588784.0
2015-06-09,180.62,182.09,176.79,180.87,674128.0
2015-06-10,180.76,184.95,179.93,181.82,882936.0
2015-06-11,183.38,185.39,176.45,178.96,582802.0
2015-06-12,176.15,180.2,176.15,178.36,424446.0
2015-06-15,179.6,181.95,177.02,179.28,380030.0
2015-06-16,178.45,182.88,177.41,181.88,1955682.0
2015-06-17,185.78,194.01,185.32,191.17,1954816.0
2015-06-18,192.63,198.69,192.23,195.97,1818254.0
2015-06-19,197.17,200.39,194.22,196.73,1315060.0
2015-06-22,198.09,202.79,197.07,201.25,1187568.0
2015-06-23,201.87,203.37,198.46,199.33,852398.0
2015-06-24,199.61,201.36,194.65,196.31,703514.0
2015-06-25,196.84,202.61,196.04,201.29,2641026.0
2015-06-26,201.87,206.99,198.8,201.13,1992794.0
2015-06-29,191.57,195.46,188.18,193.06,2099602.0
2015-06-30,194.08,195.53,191.29,194.06,1024258.0
2015-07-01,194.33,198.64,194.31,197.28,907060.0
2015-07-02,198.46,202.79,194.19,195.07,1860950.0
2015-07-03,195.92,198.92,192.03,193.46,1629018.0
2015-07-06,188.75,193.82,188.11,192.0,1544706.0
2015-07-07,192.74,200.49,192.74,197.97,2246842.0
2015-07-08,195.51,198.32,191.4,194.26,1588270.0
2015-07-09,195.46,201.92,193.85,200.67,1493584.0
2015-07-10,201.18,204.2,201.18,202.03,1171550.0
2015-07-13,202.61,210.63,199.84,209.71,1753168.0
2015-07-14,212.06,213.3,209.75,210.24,1403174.0
2015-07-15,212.12,213.68,206.49,208.26,862342.0
2015-07-16,209.28,212.79,209.28,210.77,1238466.0
2015-07-17,211.05,212.86,209.28,210.4,1005342.0
2015-07-20,211.14,215.75,209.31,213.93,1498964.0
2015-07-21,214.86,218.54,208.86,210.93,1470228.0
2015-07-22,210.47,220.91,210.47,219.98,2424688.0
2015-07-23,222.54,229.28,217.82,224.33,11104906.0
2015-07-24,226.77,234.63,226.05,231.75,4756360.0
2015-07-27,231.47,232.58,226.03,228.07,3499350.0
2015-07-28,227.89,228.77,217.44,221.0,4305862.0
2015-07-29,220.98,226.21,220.93,224.3,3156832.0
2015-07-30,226.37,227.19,222.89,223.86,1987968.0
2015-07-31,225.21,226.72,222.84,223.86,1320760.0
2015-08-03,225.1,233.98,224.16,232.35,2837218.0
2015-08-04,234.44,238.72,233.0,236.68,2805944.0
2015-08-05,239.05,240.81,236.72,238.84,2152188.0
2015-08-06,239.0,245.14,234.95,240.81,1675338.0
2015-08-07,241.84,248.12,240.21,246.28,2847594.0
2015-08-10,247.56,249.14,239.95,242.0,1834280.0
2015-08-11,242.14,244.86,235.16,238.68,1518758.0
2015-08-12,236.58,238.95,225.61,228.05,1860834.0
2015-08-13,230.16,234.0,224.21,227.23,1471814.0
2015-08-14,229.23,238.81,228.3,237.26,1940670.0
2015-08-17,238.12,239.05,234.21,235.09,1266666.0
2015-08-18,236.54,237.51,231.16,232.84,1210272.0
2015-08-19,232.51,235.95,230.21,232.3,1701100.0
2015-08-20,233.65,233.65,224.84,227.77,1510820.0
2015-08-21,223.82,228.65,214.51,226.79,1528514.0
2015-08-24,213.96,218.58,193.01,197.84,3635744.0
2015-08-25,199.98,206.96,188.42,205.14,2116628.0
2015-08-26,205.28,206.84,197.66,203.42,1168930.0
2015-08-27,209.68,211.14,205.1,206.54,1245552.0
2015-08-28,209.75,214.86,203.79,207.54,1440470.0
2015-08-31,206.49,216.96,204.63,213.51,1197552.0
2015-09-01,214.4,214.4,203.98,206.59,1112036.0
2015-09-02,207.65,214.86,199.98,201.33,1539272.0
2015-09-03,203.98,209.61,203.98,207.31,873876.0
2015-09-04,206.03,206.03,196.54,199.24,1430644.0
2015-09-07,199.98,202.77,195.33,198.66,1190668.0
2015-09-08,199.98,205.93,195.38,201.28,2051910.0
2015-09-09,208.26,210.68,204.77,207.1,781754.0
2015-09-10,203.7,209.19,197.28,203.84,646766.0
2015-09-11,206.91,211.14,204.63,206.77,528979.0
2015-09-14,207.89,210.91,204.91,209.52,612639.0
2015-09-15,209.89,211.98,203.98,205.79,468922.0
2015-09-16,207.61,208.26,203.7,205.7,455424.0
2015-09-18,199.98,208.96,194.07,200.77,2016424.0
2015-09-21,195.52,201.75,195.52,199.38,702468.0
2015-09-22,201.38,201.75,191.52,193.01,992382.0
2015-09-23,188.49,194.91,187.52,192.35,736019.0
2015-09-24,191.8,194.4,188.08,190.31,866282.0
2015-09-28,191.89,199.52,190.87,192.82,976888.0
2015-09-29,190.82,202.68,184.45,199.75,3409107.0
2015-09-30,202.31,206.91,201.14,204.59,2817339.0
2015-10-01,205.93,207.61,197.38,199.8,2114795.0
2015-10-05,201.38,204.86,200.77,203.84,1096212.0
2015-10-06,205.52,211.7,202.31,210.4,1553629.0
2015-10-07,211.61,215.61,206.96,208.58,1999047.0
2015-10-08,209.28,210.12,203.33,206.59,815413.0
2015-10-09,209.14,216.26,209.14,212.96,1762347.0
2015-10-12,213.93,214.86,209.28,211.51,536601.0
2015-10-13,210.21,213.89,208.31,210.72,429153.0
2015-10-14,211.05,213.0,208.63,209.79,334498.0
2015-10-15,210.49,219.93,210.49,218.58,1278177.0
2015-10-16,221.05,222.82,216.17,219.24,986109.0
2015-10-19,219.79,221.79,216.49,220.49,521899.0
2015-10-20,221.79,225.0,217.65,220.49,2714386.0
2015-10-21,222.77,224.91,217.14,220.26,922190.0
2015-10-23,222.4,223.19,216.35,217.75,942061.0
2015-10-26,218.58,218.58,213.19,215.28,708334.0
2015-10-27,214.86,219.47,214.4,216.96,493925.0
2015-10-28,216.17,218.63,214.03,215.42,726302.0
2015-10-29,215.75,216.44,209.42,210.91,1430374.0
2015-10-30,211.14,213.38,206.68,209.1,726048.0
2015-11-02,211.55,211.55,205.99,208.01,643667.0
2015-11-03,208.48,210.23,205.61,207.35,806003.0
2015-11-04,209.29,211.17,205.56,207.07,938546.0
2015-11-05,206.13,206.88,201.27,202.12,741115.0
2015-11-06,202.21,203.35,198.68,200.66,906984.0
