,open,high,low,close,volume
2015-05-15,118.55,118.55,116.13,116.69,5894746.0
2015-05-18,117.06,117.99,112.39,114.63,5330974.0
2015-05-19,114.59,117.57,114.45,115.94,3760223.0
2015-05-20,117.15,118.46,113.28,115.05,8544269.0
2015-05-21,115.29,117.57,113.93,115.89,7989333.0
2015-05-22,117.15,117.34,114.17,115.01,4914974.0
2015-05-25,115.61,116.5,112.58,113.23,4067429.0
2015-05-26,113.42,113.89,108.75,109.12,5952773.0
2015-05-27,108.28,112.95,107.44,111.46,7445557.0
2015-05-28,112.02,112.02,108.89,111.46,4886136.0
2015-05-29,112.02,113.37,107.82,109.92,21110393.0
2015-06-01,111.04,113.89,109.73,110.29,5768042.0
2015-06-02,111.27,111.41,103.8,105.58,6011361.0
2015-06-03,106.88,107.35,95.96,103.2,21170190.0
2015-06-04,103.99,105.06,99.84,103.76,14101729.0
2015-06-05,101.52,102.96,99.23,100.12,7193486.0
2015-06-08,100.82,104.08,99.98,102.59,9687681.0
2015-06-09,102.54,104.46,100.4,103.43,7025198.0
2015-06-10,105.25,108.0,103.71,104.55,8397380.0
2015-06-11,106.88,106.88,100.26,100.72,7161382.0
2015-06-12,101.19,102.12,97.69,100.4,6846005.0
2015-06-15,100.77,101.98,98.95,100.96,5699786.0
2015-06-16,101.0,101.66,98.67,100.72,4250200.0
2015-06-17,101.7,102.59,100.3,101.33,3673721.0
2015-06-18,101.84,102.12,99.32,99.79,4599512.0
2015-06-19,100.02,100.96,98.76,99.42,4884998.0
2015-06-22,100.07,108.66,99.42,106.98,10211633.0
2015-06-23,108.28,110.62,106.98,109.68,9247220.0
2015-06-24,109.96,110.01,106.23,106.84,3727482.0
2015-06-25,105.25,112.95,104.64,110.34,11625400.0
2015-06-26,109.82,114.77,106.74,112.02,9360964.0
2015-06-29,106.28,111.09,105.58,109.22,5194257.0
2015-06-30,108.33,110.9,108.05,109.12,4070899.0
2015-07-01,109.03,110.85,108.8,109.59,3566230.0
2015-07-02,108.94,111.46,108.14,109.03,4358746.0
2015-07-03,108.8,110.43,107.82,108.28,3630686.0
2015-07-06,106.42,110.34,106.42,109.78,3845929.0
2015-07-07,109.17,112.39,109.17,111.27,4264557.0
2015-07-08,110.1,110.29,107.35,108.75,4034686.0
2015-07-09,109.36,110.62,108.8,109.08,3116182.0
2015-07-10,110.1,110.2,106.04,107.02,3337193.0
2015-07-13,107.63,108.38,106.14,107.72,3022539.0
2015-07-14,108.19,108.52,106.0,106.79,3119476.0
2015-07-15,108.94,110.43,108.28,108.94,4816079.0
2015-07-16,108.75,109.45,107.44,108.33,3547074.0
2015-07-17,108.66,109.12,106.23,106.6,2737098.0
2015-07-20,106.6,106.84,101.05,101.47,6067534.0
2015-07-21,100.96,101.42,98.02,99.51,5994106.0
2015-07-22,99.14,100.63,98.67,99.51,4215446.0
2015-07-23,100.3,102.22,99.23,100.63,4013062.0
2015-07-24,100.16,101.14,95.96,96.34,5551887.0
2015-07-27,95.4,97.5,93.82,94.47,5861376.0
2015-07-28,95.22,95.22,88.68,89.05,8686984.0
2015-07-29,90.36,97.46,87.93,94.8,12340725.0
2015-07-30,96.06,103.57,95.22,102.4,17880156.0
2015-07-31,101.75,108.84,100.86,107.4,10625318.0
2015-08-03,107.44,109.87,105.95,107.82,6223109.0
2015-08-04,107.54,109.26,104.36,107.4,6607088.0
2015-08-05,108.28,117.71,108.28,113.98,16047306.0
2015-08-06,113.65,117.25,112.11,114.31,9919996.0
2015-08-07,113.23,118.18,112.07,117.34,11513533.0
2015-08-10,116.73,121.73,115.38,119.77,10318987.0
2015-08-11,119.91,121.07,114.07,116.08,7569814.0
2015-08-12,114.35,115.43,107.91,109.31,7258249.0
2015-08-13,110.2,113.89,103.15,106.65,8351901.0
2015-08-14,108.28,127.61,105.48,126.25,27751885.0
2015-08-17,125.73,126.78,121.04,122.51,14297576.0
2015-08-18,123.17,124.79,118.3,121.33,12797745.0
2015-08-19,123.08,124.98,119.43,120.05,11063533.0
2015-08-20,119.48,120.76,109.53,113.7,15824669.0
2015-08-21,110.19,115.83,106.03,107.97,16794240.0
2015-08-24,99.49,101.86,88.45,91.58,17825912.0
2015-08-25,94.56,108.11,92.0,106.21,31742998.0
2015-08-26,105.17,108.3,102.61,104.32,15911246.0
2015-08-27,109.44,110.0,102.71,108.73,19325858.0
2015-08-28,111.52,113.23,105.69,109.15,15818307.0
2015-08-31,108.11,110.86,103.66,105.08,11098531.0
2015-09-01,102.33,105.5,98.63,100.72,10897612.0
2015-09-02,102.61,108.25,101.76,103.94,15425527.0
2015-09-03,107.07,116.59,105.98,114.27,25615172.0
2015-09-04,113.7,113.98,105.36,110.62,21553097.0
2015-09-07,109.91,111.99,105.84,106.78,11584547.0
2015-09-08,108.49,117.25,106.88,114.03,15552677.0
2015-09-09,118.44,119.2,114.46,116.07,12003425.0
2015-09-10,111.0,119.43,110.48,117.4,14458515.0
2015-09-11,119.38,120.9,117.06,118.25,11524766.0
2015-09-14,118.25,120.0,116.21,119.48,6333571.0
2015-09-15,118.63,121.09,115.41,116.68,8814580.0
2015-09-16,118.44,119.38,114.79,117.11,8706660.0
2015-09-18,118.91,124.12,118.48,119.72,15618398.0
2015-09-21,117.87,122.65,116.54,121.19,6851388.0
2015-09-22,122.7,123.51,117.06,117.82,10769504.0
2015-09-23,116.07,121.23,115.55,120.47,7451135.0
2015-09-24,119.86,122.09,119.15,119.91,5550016.0
2015-09-28,119.38,126.73,118.3,122.75,16531994.0
2015-09-29,120.71,130.09,119.67,127.53,19676328.0
2015-09-30,129.33,131.47,128.05,130.14,11501067.0
2015-10-01,131.47,131.51,125.73,127.15,9524729.0
2015-10-05,127.77,129.76,125.54,126.92,10221555.0
2015-10-06,127.44,130.47,127.44,128.1,7406199.0
2015-10-07,128.24,132.98,127.2,131.13,11799500.0
2015-10-08,132.6,133.88,129.57,131.61,11693686.0
2015-10-09,134.45,135.4,131.09,132.6,14305062.0
2015-10-12,131.65,132.46,128.29,129.0,5557629.0
2015-10-13,128.43,131.18,128.43,129.67,5706788.0
2015-10-14,129.67,130.75,125.97,126.4,7010057.0
2015-10-15,127.82,129.0,126.96,127.49,4734016.0
2015-10-16,123.17,125.35,120.95,121.66,10170319.0
2015-10-19,122.46,126.21,121.09,125.21,8117129.0
