,open,high,low,close,volume
2015-05-15,1163.87,1178.17,1142.25,1159.54,9447.0
2015-05-18,1150.17,1178.28,1150.17,1167.26,7341.0
2015-05-19,1174.68,1174.68,1137.1,1142.82,6915.0
2015-05-20,1169.63,1171.07,1124.23,1130.28,4299.0
2015-05-21,1146.57,1162.32,1127.83,1157.49,6841.0
2015-05-22,1158.82,1167.47,1138.72,1149.45,5377.0
2015-05-25,1166.03,1166.03,1085.35,1105.89,28025.0
2015-05-26,1104.13,1173.23,1093.96,1156.23,62695.0
2015-05-27,1147.37,1149.45,1121.02,1137.49,30178.0
2015-05-28,1153.06,1153.06,1104.05,1142.21,27782.0
2015-05-29,1137.2,1150.64,1127.83,1138.64,53775.0
2015-06-01,1142.25,1142.25,1125.96,1130.43,37817.0
2015-06-02,1131.47,1131.47,1096.84,1104.42,24806.0
2015-06-03,1116.96,1116.96,1059.66,1088.34,33913.0
2015-06-04,1060.2,1147.11,1060.2,1136.23,16562.0
2015-06-05,1136.48,1171.07,1136.48,1160.77,25377.0
2015-06-08,1142.97,1165.78,1140.59,1147.25,5042.0
2015-06-09,1132.95,1149.06,1123.3,1129.74,4013.0
2015-06-10,1131.44,1152.99,1131.44,1143.22,7037.0
2015-06-11,1151.18,1151.18,1111.91,1120.77,6638.0
2015-06-12,1133.2,1142.97,1103.33,1112.34,4349.0
2015-06-15,1136.48,1138.64,1113.42,1134.54,3951.0
2015-06-16,1142.21,1142.21,1117.02,1124.09,4795.0
2015-06-17,1131.44,1140.23,1130.72,1134.32,3862.0
2015-06-18,1145.81,1145.81,1124.23,1130.14,5069.0
2015-06-19,1138.21,1138.21,1117.6,1130.14,20358.0
2015-06-22,1141.52,1141.52,1118.5,1128.88,29421.0
2015-06-23,1131.4,1142.97,1122.21,1126.72,16615.0
2015-06-24,1136.48,1139.65,1117.6,1120.34,9255.0
2015-06-25,1128.49,1136.85,1103.33,1120.23,22755.0
2015-06-26,1109.82,1132.84,1109.82,1120.34,10555.0
2015-06-29,1129.6,1129.6,1100.52,1103.51,6441.0
2015-06-30,1124.23,1124.23,1066.58,1072.38,24167.0
2015-07-01,1077.39,1124.23,1077.39,1100.81,22898.0
2015-07-02,1107.65,1124.59,1090.43,1097.06,9998.0
2015-07-03,1100.38,1107.59,1088.99,1091.98,14214.0
2015-07-06,1087.51,1106.21,1082.9,1094.61,14233.0
2015-07-07,1102.47,1109.38,1091.88,1096.08,9102.0
2015-07-08,1104.38,1104.38,1069.13,1073.17,31322.0
2015-07-09,1094.39,1119.57,1094.39,1109.01,11151.0
2015-07-10,1110.01,1111.58,1085.46,1093.2,5885.0
2015-07-13,1114.47,1114.47,1079.51,1086.28,23083.0
2015-07-14,1098.44,1128.84,1089.29,1102.95,12674.0
2015-07-15,1110.01,1114.47,1091.41,1102.12,14687.0
2015-07-16,1106.52,1107.97,1082.12,1097.32,14357.0
2015-07-17,1093.64,1127.12,1090.96,1096.21,13165.0
2015-07-20,1090.67,1107.89,1090.67,1094.91,6410.0
2015-07-21,1107.22,1107.26,1045.28,1064.74,33801.0
2015-07-22,1075.04,1075.04,1046.58,1068.5,23051.0
2015-07-23,1077.24,1089.73,1066.9,1084.65,52479.0
2015-07-24,1075.87,1101.08,1061.73,1069.58,26311.0
2015-07-27,1078.76,1078.76,1061.35,1065.48,41505.0
2015-07-28,1067.12,1100.15,1043.05,1056.04,11045.0
2015-07-29,1063.88,1150.08,1056.44,1129.02,38119.0
2015-07-30,1131.58,1144.94,1109.31,1117.79,16103.0
2015-07-31,1123.78,1139.32,1097.44,1104.8,6706.0
2015-08-03,1130.39,1130.39,1094.47,1117.04,6567.0
2015-08-04,1117.75,1136.79,1093.64,1098.29,8179.0
2015-08-05,1108.52,1124.14,1084.64,1089.14,8165.0
2015-08-06,1101.08,1171.76,1101.08,1134.71,31331.0
2015-08-07,1136.83,1144.53,1108.52,1123.29,9461.0
2015-08-10,1130.58,1205.24,1116.81,1187.46,81747.0
2015-08-11,1221.31,1322.04,1216.4,1256.13,317715.0
2015-08-12,1270.64,1297.49,1227.64,1261.22,74178.0
2015-08-13,1261.22,1266.99,1222.43,1231.72,50805.0
2015-08-14,1231.28,1264.76,1199.29,1258.4,34967.0
2015-08-17,1252.85,1273.68,1252.85,1262.67,35341.0
2015-08-18,1251.47,1344.32,1251.47,1314.6,96231.0
2015-08-19,1298.31,1314.2,1280.61,1287.15,30221.0
2015-08-20,1287.08,1309.43,1222.13,1245.12,18946.0
2015-08-21,1245.12,1287.04,1229.45,1257.32,21245.0
2015-08-24,1249.88,1264.72,1163.83,1198.73,33433.0
2015-08-25,1203.01,1264.76,1185.15,1232.87,37542.0
2015-08-26,1216.48,1264.01,1209.7,1220.67,14753.0
2015-08-27,1249.69,1327.25,1238.2,1279.6,46850.0
2015-08-28,1294.52,1316.83,1257.32,1276.92,18370.0
2015-08-31,1257.32,1301.95,1235.85,1244.26,15365.0
2015-09-01,1243.89,1258.17,1197.8,1227.52,19499.0
2015-09-02,1249.88,1263.79,1209.0,1248.8,16355.0
2015-09-03,1249.84,1327.25,1249.84,1310.69,53639.0
2015-09-04,1318.32,1318.32,1235.74,1267.99,16974.0
2015-09-07,1264.76,1285.55,1201.63,1210.82,10829.0
2015-09-08,1212.68,1248.39,1201.52,1213.57,11114.0
2015-09-09,1237.23,1315.28,1208.96,1296.41,61817.0
2015-09-10,1278.89,1304.93,1253.6,1293.55,16002.0
2015-09-11,1300.06,1360.36,1295.26,1315.39,74335.0
2015-09-14,1302.7,1339.08,1272.57,1287.33,19335.0
2015-09-15,1296.0,1305.23,1267.73,1268.48,10786.0
2015-09-16,1275.92,1290.73,1213.42,1262.34,16322.0
2015-09-18,1246.41,1287.08,1228.3,1245.94,25559.0
2015-09-21,1246.16,1251.47,1223.77,1228.56,11034.0
2015-09-22,1242.4,1246.41,1198.54,1208.77,21591.0
2015-09-23,1208.77,1208.77,1173.25,1178.53,60245.0
2015-09-24,1171.27,1212.68,1166.55,1182.88,18138.0
