,open,high,low,close,volume
2015-05-15,101.72,103.67,100.91,101.15,52886.0
2015-05-18,100.91,102.43,99.48,101.77,43357.0
2015-05-19,102.34,104.24,101.1,102.24,58770.0
2015-05-20,101.29,103.19,100.05,100.58,62647.0
2015-05-21,100.48,100.91,98.43,99.43,25398.0
2015-05-22,100.43,100.91,97.67,98.34,48602.0
2015-05-25,99.05,100.34,96.15,99.15,53182.0
2015-05-26,100.2,100.29,97.58,99.34,98102.0
2015-05-27,97.62,101.34,97.62,100.91,106510.0
2015-05-28,100.86,100.86,98.43,99.05,15540.0
2015-05-29,98.67,100.67,97.58,99.96,91458.0
2015-06-01,99.96,102.29,98.43,101.48,74922.0
2015-06-02,100.53,101.77,98.15,100.34,63859.0
2015-06-03,100.24,103.15,98.05,102.77,204195.0
2015-06-04,102.81,102.96,100.15,100.43,34258.0
2015-06-05,100.86,101.62,99.53,99.96,26008.0
2015-06-08,100.86,101.86,97.67,100.0,58387.0
2015-06-09,100.43,100.43,97.1,97.62,41809.0
2015-06-10,97.58,98.72,97.58,98.1,30855.0
2015-06-11,97.72,98.53,97.1,97.15,16235.0
2015-06-12,96.15,97.77,94.29,94.48,37844.0
2015-06-15,94.25,96.15,94.25,95.2,12598.0
2015-06-16,94.72,95.96,94.34,94.72,12136.0
2015-06-17,94.72,97.1,94.34,96.2,34843.0
2015-06-18,97.58,97.58,95.29,96.63,13379.0
2015-06-19,96.24,97.34,96.15,97.1,25214.0
2015-06-22,97.1,97.58,95.2,95.48,35909.0
2015-06-23,96.01,97.1,95.34,95.63,31769.0
2015-06-24,96.15,97.48,95.39,96.15,33074.0
2015-06-25,96.01,96.53,95.44,95.77,7105.0
2015-06-26,96.43,98.81,94.72,95.05,59808.0
2015-06-29,94.44,95.2,93.77,94.2,30136.0
2015-06-30,94.25,95.05,92.86,93.67,32663.0
2015-07-01,93.29,97.86,93.29,95.53,146271.0
2015-07-02,96.15,99.01,96.15,97.05,68035.0
2015-07-03,97.29,98.81,96.24,97.39,59873.0
2015-07-06,97.39,97.53,96.2,96.48,45184.0
2015-07-07,96.15,97.53,95.48,95.72,27614.0
2015-07-08,96.39,97.48,95.01,95.34,59560.0
2015-07-09,94.25,96.15,93.53,93.82,28841.0
2015-07-10,94.25,95.15,93.96,94.29,33471.0
2015-07-13,94.72,94.72,93.44,93.86,36543.0
2015-07-14,94.82,97.05,93.58,95.58,44951.0
2015-07-15,96.53,97.58,95.34,96.39,76215.0
2015-07-16,96.34,102.81,96.34,101.96,143584.0
2015-07-17,102.53,105.95,100.91,105.24,358257.0
2015-07-20,105.76,109.95,104.91,109.29,216805.0
2015-07-21,109.19,113.67,109.14,113.0,201770.0
2015-07-22,114.34,116.46,112.9,115.35,209676.0
2015-07-23,115.31,118.19,113.05,115.35,154769.0
2015-07-24,114.49,117.23,112.18,114.3,182339.0
2015-07-27,113.62,115.59,112.42,114.39,155568.0
2015-07-28,113.38,115.31,110.65,111.46,318821.0
2015-07-29,112.9,113.38,104.83,107.43,83147.0
2015-07-30,108.39,110.02,107.14,109.16,153268.0
2015-07-31,109.92,110.4,107.95,108.96,54554.0
2015-08-03,110.02,110.02,105.79,106.51,168363.0
2015-08-04,107.38,109.35,106.75,108.05,69198.0
2015-08-05,110.02,112.9,107.71,108.58,115899.0
2015-08-06,109.06,110.4,108.1,109.11,90295.0
2015-08-07,107.62,111.46,107.62,109.54,60386.0
2015-08-10,110.02,111.41,108.58,109.49,58651.0
2015-08-11,109.54,110.02,108.68,109.49,62625.0
2015-08-12,109.06,110.02,108.34,108.58,34775.0
2015-08-13,109.3,109.3,107.62,108.53,21853.0
2015-08-14,108.58,109.06,108.15,108.48,22539.0
2015-08-17,108.58,110.5,108.34,110.02,64835.0
2015-08-18,110.6,113.29,109.25,111.99,52038.0
2015-08-19,111.46,113.86,110.07,111.7,98568.0
2015-08-20,110.02,111.46,108.58,109.59,27379.0
2015-08-21,108.58,109.54,105.89,107.14,23073.0
2015-08-24,107.62,107.62,99.98,100.94,137037.0
2015-08-25,101.85,103.77,98.49,102.67,73872.0
2015-08-26,102.81,102.81,100.22,102.62,48095.0
2015-08-27,102.81,103.49,100.17,101.04,50019.0
2015-08-28,100.89,102.57,99.26,100.94,67769.0
2015-08-31,101.37,101.37,97.67,98.68,29208.0
2015-09-01,98.01,100.75,96.38,99.93,66262.0
2015-09-02,101.37,101.37,97.05,97.19,32663.0
2015-09-03,97.53,99.74,96.23,97.19,66666.0
2015-09-04,96.14,96.95,94.17,95.75,30266.0
2015-09-07,95.13,96.95,94.26,95.13,21735.0
2015-09-08,95.13,98.49,94.65,97.38,23228.0
2015-09-09,98.49,98.49,97.05,97.34,9826.0
2015-09-10,97.05,98.44,95.61,97.34,15552.0
2015-09-11,97.05,98.25,96.28,96.86,6922.0
2015-09-14,96.57,98.49,96.23,97.1,20414.0
2015-09-15,96.47,98.35,96.09,96.9,24790.0
2015-09-16,96.28,100.6,96.18,99.21,134689.0
2015-09-18,98.97,99.88,95.75,97.58,93330.0
2015-09-21,97.53,97.82,95.75,95.99,43676.0
2015-09-22,96.9,99.45,95.61,97.87,319544.0
2015-09-23,98.01,98.01,94.65,95.7,55735.0
2015-09-24,95.99,98.06,95.99,97.1,20769.0
2015-09-28,97.91,98.49,94.17,94.84,56402.0
2015-09-29,95.03,95.03,91.91,93.3,69514.0
2015-09-30,92.48,95.03,92.34,94.02,18393.0
2015-10-01,95.08,103.58,95.08,101.08,467950.0
2015-10-05,101.8,102.48,96.71,100.36,87764.0
2015-10-06,100.12,100.41,98.97,99.74,31587.0
2015-10-07,100.6,100.89,99.02,100.46,40975.0
2015-10-08,99.93,102.19,98.59,101.61,37476.0
2015-10-09,101.61,101.61,99.93,100.65,13013.0
2015-10-12,101.37,101.37,99.93,100.27,10640.0
2015-10-13,100.12,102.81,98.2,99.35,54720.0
2015-10-14,98.59,102.29,98.59,101.85,47987.0
2015-10-15,101.85,105.6,100.12,103.82,66069.0
2015-10-16,103.77,106.47,101.42,105.55,70140.0
2015-10-19,104.3,106.99,102.72,103.39,24284.0
2015-10-20,103.05,106.42,103.05,105.79,64028.0
2015-10-21,106.18,107.14,104.26,104.88,22054.0
2015-10-23,105.7,105.7,102.86,103.87,18698.0
2015-10-26,103.58,106.51,102.81,105.74,56960.0
2015-10-27,104.3,107.09,104.3,106.71,44353.0
2015-10-28,106.99,107.09,104.54,106.75,43053.0
2015-10-29,107.14,108.87,104.54,108.53,65124.0
2015-10-30,108.63,111.99,107.19,110.69,229994.0
2015-11-02,110.69,110.69,106.66,108.44,70636.0
2015-11-03,108.1,111.27,107.14,110.6,96559.0
2015-11-04,110.98,112.28,109.54,111.75,83791.0
2015-11-05,110.98,111.94,110.02,111.51,72728.0
2015-11-06,112.9,113.48,106.66,110.45,134419.0
2015-11-09,109.97,110.93,107.14,109.68,63202.0
2015-11-10,109.06,109.06,105.7,106.13,86030.0
2015-11-11,109.06,109.06,105.7,106.13,86030.0
2015-11-13,108.15,109.35,102.81,108.19,130814.0
2015-11-16,107.62,111.41,106.27,110.5,115240.0
2015-11-17,111.46,111.46,108.58,110.5,99437.0
2015-11-18,109.59,111.08,108.1,110.55,100080.0
2015-11-19,110.07,113.24,108.58,112.57,105185.0
2015-11-20,111.46,114.34,107.86,108.68,49956.0
2015-11-23,109.92,112.71,108.82,112.42,78685.0
2015-11-24,111.46,112.76,109.2,109.49,186049.0
