,open,high,low,close,volume
2015-05-15,122.29,124.44,121.72,123.82,20485.0
2015-05-18,123.1,124.01,121.91,123.1,9067.0
2015-05-19,123.24,124.01,121.0,121.53,7527.0
2015-05-20,121.15,125.34,120.19,124.15,224254.0
2015-05-21,124.25,129.59,124.25,127.87,11720.0
2015-05-22,128.78,128.78,124.39,128.68,15956.0
2015-05-25,128.78,128.78,126.77,127.16,7366.0
2015-05-26,126.87,127.16,123.39,124.82,5390.0
2015-05-27,122.91,126.73,122.91,126.63,6424.0
2015-05-28,128.54,128.54,126.39,126.77,5834.0
2015-05-29,127.39,127.39,125.96,126.87,1165.0
2015-06-01,124.96,126.87,122.82,124.72,13401.0
2015-06-02,124.01,124.72,120.91,121.15,7973.0
2015-06-03,121.24,121.24,118.28,119.24,35889.0
2015-06-04,119.71,123.05,119.71,121.77,15101.0
2015-06-05,120.67,124.68,120.29,122.58,6653.0
2015-06-08,122.39,122.58,119.43,119.91,5363.0
2015-06-09,120.19,121.53,119.24,120.62,10369.0
2015-06-10,120.91,122.53,119.24,119.38,5812.0
2015-06-11,119.33,119.91,117.9,119.19,108604.0
2015-06-12,118.28,120.19,117.38,119.33,4877.0
2015-06-15,117.57,121.24,116.38,117.43,13038.0
2015-06-16,117.81,117.81,114.04,114.99,5202.0
2015-06-17,114.52,122.62,114.52,119.29,17139.0
2015-06-18,117.43,122.86,117.43,120.67,12953.0
2015-06-19,120.19,120.19,118.76,119.38,28338.0
2015-06-22,119.38,122.77,115.57,121.34,21488.0
2015-06-23,122.1,122.1,119.43,119.48,3882.0
2015-06-24,121.15,121.34,119.24,119.52,6343.0
2015-06-25,119.24,120.19,119.24,119.24,17147.0
2015-06-26,120.38,121.19,119.24,119.24,5915.0
2015-06-29,118.76,121.15,117.33,119.29,7775.0
2015-06-30,119.38,121.15,119.24,120.0,14579.0
2015-07-01,119.52,121.91,118.47,121.0,5209.0
2015-07-02,120.29,123.39,120.29,121.1,6194.0
2015-07-03,121.91,122.91,119.38,120.19,6023.0
2015-07-06,121.0,122.0,118.47,121.72,5312.0
2015-07-07,122.1,130.3,120.29,126.06,45554.0
2015-07-08,124.96,127.73,121.43,122.58,20497.0
2015-07-09,121.24,125.82,121.24,124.34,8662.0
2015-07-10,123.53,128.16,122.58,125.25,9264.0
2015-07-13,126.87,126.87,123.53,124.48,29532.0
2015-07-14,126.01,126.39,122.58,122.91,18886.0
2015-07-15,124.01,124.82,122.1,123.2,11067.0
2015-07-16,124.82,125.1,121.29,124.2,76255.0
2015-07-17,125.72,129.92,122.48,128.97,24634.0
2015-07-20,127.63,140.41,127.63,135.65,577431.0
2015-07-21,134.98,138.32,132.31,133.55,58108.0
2015-07-22,135.45,135.45,133.45,133.74,5936.0
2015-07-23,134.36,136.38,130.85,134.84,8736.0
2015-07-24,134.03,136.38,131.0,131.29,15050.0
2015-07-27,130.18,132.1,127.88,129.61,18037.0
2015-07-28,131.34,131.53,127.68,131.1,8138.0
2015-07-29,130.52,133.55,129.32,132.92,8787.0
2015-07-30,133.55,136.76,128.5,134.41,22803.0
2015-07-31,134.03,139.79,132.58,138.2,21193.0
2015-08-03,136.28,143.44,136.28,141.09,84218.0
2015-08-04,140.27,143.83,137.58,139.89,25218.0
2015-08-05,140.27,144.11,140.03,142.62,55195.0
2015-08-06,143.15,144.55,140.27,143.73,59101.0
2015-08-07,144.16,144.83,141.81,144.16,66079.0
2015-08-10,145.17,145.17,139.31,141.81,27787.0
2015-08-11,142.67,142.67,138.59,140.46,31226.0
2015-08-12,139.31,142.1,137.48,138.35,29491.0
2015-08-13,137.77,140.17,135.56,136.43,29194.0
2015-08-14,136.43,144.11,134.99,142.38,22171.0
2015-08-17,142.82,144.11,139.31,141.86,73246.0
2015-08-18,141.23,143.68,140.27,141.86,17517.0
2015-08-19,143.78,143.97,139.45,140.03,567247.0
2015-08-20,139.5,141.62,135.61,136.19,8266.0
2015-08-21,134.79,135.56,130.42,133.55,7892.0
2015-08-24,132.58,134.51,120.09,125.14,40207.0
2015-08-25,123.94,126.92,122.26,124.85,15891.0
2015-08-26,123.46,130.66,121.01,128.84,10096.0
2015-08-27,130.76,134.6,128.84,133.45,4556.0
2015-08-28,133.74,134.94,131.53,131.91,12361.0
2015-08-31,130.66,132.58,128.07,129.85,10296.0
2015-09-01,129.7,129.7,124.08,125.81,40941.0
2015-09-02,126.0,127.68,124.9,125.09,7507.0
2015-09-03,125.14,128.26,123.99,126.82,2367.0
2015-09-04,125.96,129.13,124.85,128.26,33228.0
2015-09-07,128.26,128.26,122.06,123.41,7428.0
2015-09-08,122.98,124.18,115.72,117.12,18387.0
2015-09-09,118.22,119.04,115.19,117.12,8324.0
2015-09-10,116.25,119.04,113.27,115.87,16997.0
2015-09-11,117.79,119.04,114.86,117.79,20452.0
2015-09-14,119.04,121.63,117.6,117.84,10446.0
