,open,high,low,close,volume
2015-05-15,79.73,80.52,78.85,80.0,1479584.0
2015-05-18,80.31,82.12,79.87,81.93,1369466.0
2015-05-19,82.39,83.95,82.04,82.89,1576918.0
2015-05-20,83.01,83.64,81.35,81.75,701862.0
2015-05-21,81.68,82.54,80.04,82.2,713352.0
2015-05-22,82.39,84.74,81.72,83.78,1715398.0
2015-05-25,83.66,84.06,81.97,82.79,856256.0
2015-05-26,82.79,83.1,81.6,82.08,930842.0
2015-05-27,82.35,83.04,80.81,81.97,1028290.0
2015-05-28,84.06,85.18,82.12,83.18,1308660.0
2015-05-29,83.33,88.59,83.18,87.65,2118466.0
2015-06-01,88.22,89.36,87.2,87.57,893266.0
2015-06-02,87.8,88.36,84.8,85.37,570290.0
2015-06-03,84.8,84.8,81.2,82.02,1139700.0
2015-06-04,82.39,83.51,80.58,83.14,699748.0
2015-06-05,83.56,83.58,80.91,81.12,1100190.0
2015-06-08,81.93,81.97,79.89,80.54,519274.0
2015-06-09,80.54,82.16,79.14,81.18,506500.0
2015-06-10,81.52,83.12,81.23,82.41,655424.0
2015-06-11,83.87,86.55,82.81,83.37,1969654.0
2015-06-12,82.81,84.89,81.85,82.81,762482.0
2015-06-15,82.7,86.01,81.93,85.22,906490.0
2015-06-16,86.05,86.76,84.68,86.36,591082.0
2015-06-17,86.47,88.34,85.95,87.8,1083896.0
2015-06-18,88.22,94.21,88.2,92.79,3817694.0
2015-06-19,93.9,94.62,91.96,92.52,1551046.0
2015-06-22,93.08,93.21,90.8,92.5,1163024.0
2015-06-23,92.27,95.44,91.77,94.15,1568204.0
2015-06-24,93.63,95.39,90.23,91.57,1288726.0
2015-06-25,91.55,96.56,91.34,95.48,1712800.0
2015-06-26,96.33,97.16,95.29,96.02,1453578.0
2015-06-29,94.46,94.85,89.46,94.52,1173600.0
2015-06-30,95.23,95.23,93.06,94.62,767498.0
2015-07-01,95.08,99.04,94.87,98.58,2303192.0
2015-07-02,99.41,100.28,97.97,98.85,1809244.0
2015-07-03,99.37,101.95,99.08,100.43,2175212.0
2015-07-06,98.95,101.64,97.39,101.28,1390698.0
2015-07-07,101.12,101.24,97.0,97.83,2443740.0
2015-07-08,96.12,97.37,94.52,95.06,1093058.0
2015-07-09,95.66,96.08,93.71,94.52,891380.0
2015-07-10,95.29,95.85,94.02,94.56,431998.0
2015-07-13,94.56,97.39,93.81,97.1,909522.0
2015-07-14,97.16,99.33,95.94,98.22,818056.0
2015-07-15,99.22,99.22,96.75,97.56,947334.0
2015-07-16,97.91,98.91,97.43,98.18,623558.0
2015-07-17,97.99,99.78,97.37,97.89,795726.0
2015-07-20,97.97,99.31,97.41,98.29,439590.0
2015-07-21,98.35,99.24,94.65,95.02,509814.0
2015-07-22,95.04,96.93,94.44,96.48,948738.0
2015-07-23,96.62,97.25,94.71,95.41,946412.0
2015-07-24,96.25,98.1,95.37,95.73,1014978.0
2015-07-27,95.29,96.81,92.86,93.52,650610.0
2015-07-28,93.42,96.75,92.38,95.66,666762.0
2015-07-29,95.71,96.54,93.98,94.37,549710.0
2015-07-30,95.25,97.29,94.5,96.75,759410.0
2015-07-31,96.75,101.18,96.54,100.57,1812244.0
2015-08-03,102.36,102.55,99.97,100.87,1095724.0
2015-08-04,101.66,101.66,98.24,100.14,795554.0
2015-08-05,99.35,100.7,98.2,98.47,983494.0
2015-08-06,98.33,102.16,98.33,100.45,1162182.0
2015-08-07,101.2,102.91,100.3,100.53,1624154.0
2015-08-10,100.12,101.26,96.54,97.77,673994.0
2015-08-11,95.62,95.69,90.01,91.27,1606598.0
2015-08-12,90.28,92.73,85.53,86.66,1919032.0
2015-08-13,86.55,89.24,86.14,88.24,1014902.0
2015-08-14,89.85,91.18,88.64,90.72,614328.0
2015-08-17,90.7,91.23,88.49,90.68,799704.0
2015-08-18,90.76,91.97,88.75,89.25,500754.0
2015-08-19,89.68,91.06,88.68,89.36,598330.0
2015-08-20,88.98,90.53,86.99,87.41,1165292.0
2015-08-21,86.86,86.86,84.14,85.59,1639216.0
2015-08-24,82.91,85.25,73.05,73.92,1539648.0
2015-08-25,76.23,76.23,66.78,72.95,2488312.0
2015-08-26,72.95,74.98,72.1,73.67,1241678.0
2015-08-27,76.34,80.16,75.51,78.46,2027096.0
2015-08-28,81.01,81.01,77.89,79.03,772048.0
2015-08-31,79.03,81.3,78.36,79.48,699060.0
2015-09-01,78.84,80.22,76.45,77.68,635196.0
2015-09-02,77.66,79.14,75.66,76.19,627416.0
2015-09-03,76.76,79.65,76.76,79.16,507654.0
2015-09-04,78.42,78.46,73.88,74.47,1184314.0
2015-09-07,75.07,76.66,73.63,74.67,557840.0
2015-09-08,74.75,78.67,73.8,78.1,770232.0
2015-09-09,78.57,80.03,78.46,79.33,398218.0
2015-09-10,78.46,79.31,76.21,78.84,543944.0
2015-09-11,79.31,79.88,76.89,78.65,847868.0
2015-09-14,79.48,83.13,78.25,81.15,371848.0
2015-09-15,81.35,82.51,79.78,79.92,518984.0
2015-09-16,81.85,81.85,78.67,79.71,444058.0
2015-09-18,81.01,81.75,77.27,78.33,904094.0
2015-09-21,78.63,80.58,77.06,80.33,388714.0
2015-09-22,80.58,81.6,78.8,79.16,389022.0
2015-09-23,79.16,80.07,77.7,79.14,272422.0
2015-09-24,78.99,80.37,78.72,79.69,252842.0
2015-09-28,79.69,80.58,78.99,79.52,317922.0
2015-09-29,79.27,80.96,78.08,79.42,418006.0
2015-09-30,80.12,82.04,79.84,81.07,517628.0
2015-10-01,81.77,82.96,80.28,81.51,651360.0
2015-10-05,81.09,83.95,75.6,83.02,2794070.0
2015-10-06,83.55,85.5,83.38,84.44,1146428.0
2015-10-07,84.82,85.95,83.0,84.78,602516.0
2015-10-08,85.03,85.5,82.7,83.4,475494.0
2015-10-09,84.23,84.78,82.91,83.4,373738.0
2015-10-12,83.53,84.82,82.98,83.25,392254.0
2015-10-13,83.23,86.73,83.13,86.1,677500.0
2015-10-14,85.88,89.28,85.46,88.68,1188220.0
2015-10-15,88.92,90.91,87.33,90.36,857048.0
2015-10-16,91.14,91.14,88.22,89.02,719258.0
2015-10-19,89.57,90.97,87.35,89.34,1137592.0
2015-10-20,89.49,90.23,88.56,89.15,879570.0
2015-10-21,88.66,90.08,86.84,87.88,1791572.0
2015-10-23,88.13,89.06,85.35,86.03,782754.0
2015-10-26,86.52,86.9,84.99,85.59,507496.0
2015-10-27,85.06,86.01,83.36,85.48,753178.0
2015-10-28,84.42,86.6,84.42,85.29,686250.0
2015-10-29,85.61,87.37,84.19,84.89,1289158.0
2015-10-30,85.5,85.5,82.7,83.3,540356.0
2015-11-02,83.3,83.3,80.41,82.74,639282.0
2015-11-03,83.3,83.97,81.18,81.94,578570.0
2015-11-04,82.66,84.31,81.77,83.21,1165434.0
2015-11-05,83.55,83.55,79.78,80.22,657426.0
2015-11-06,79.59,80.26,77.55,78.42,1445804.0
2015-11-09,75.92,80.92,75.92,80.52,711638.0
2015-11-10,80.52,81.62,79.1,79.8,362802.0
2015-11-11,80.52,81.62,79.1,79.8,362802.0
2015-11-13,80.58,81.85,79.75,81.2,541642.0
2015-11-16,79.95,81.43,79.95,80.75,605550.0
2015-11-17,80.37,82.94,80.37,82.79,668636.0
2015-11-18,83.21,83.4,81.01,81.24,615828.0
2015-11-19,82.02,90.7,82.02,89.98,4576594.0
2015-11-20,89.7,92.67,88.07,90.89,3339790.0
2015-11-23,90.25,91.74,89.55,90.36,962044.0
2015-11-24,90.42,91.18,88.49,89.34,750652.0
2015-11-26,88.64,93.52,88.64,92.63,1914908.0
2015-11-27,92.67,96.25,91.93,93.88,2619582.0
2015-11-30,93.94,94.41,92.05,92.14,623220.0
2015-12-01,90.55,97.5,90.55,96.32,2021614.0
2015-12-02,96.4,100.07,95.3,98.1,1987790.0
2015-12-03,98.08,99.18,95.47,96.38,1232744.0
2015-12-04,95.53,96.02,92.88,94.47,1726278.0
2015-12-07,94.66,96.49,93.84,95.4,483700.0
2015-12-08,95.0,95.77,91.23,92.16,519710.0
2015-12-09,91.61,93.47,89.06,89.45,800272.0
2015-12-10,89.7,90.8,88.07,90.06,859534.0
2015-12-11,90.89,91.18,86.29,87.83,1083096.0
2015-12-14,85.9,92.29,85.9,91.29,986342.0
2015-12-15,91.31,94.68,90.38,93.73,1180334.0
2015-12-16,94.45,94.56,92.08,92.52,742696.0
2015-12-17,92.9,94.96,92.9,94.3,729554.0
2015-12-18,93.41,96.7,92.92,94.92,818158.0
2015-12-21,93.79,95.66,93.31,94.2,379652.0
2015-12-22,93.54,95.19,91.88,92.48,395832.0
2015-12-23,92.8,94.15,91.99,92.94,521930.0
2015-12-24,93.52,97.12,92.27,96.55,1414584.0
2015-12-28,97.12,98.06,95.04,96.4,919274.0
2015-12-29,96.55,100.26,96.44,99.45,1646614.0
2015-12-30,99.67,101.75,98.84,99.77,1710740.0
2015-12-31,99.88,104.08,99.88,102.36,2226122.0
2016-01-01,102.85,106.96,102.28,105.56,2378122.0
2016-01-04,103.55,106.77,101.19,102.53,1643752.0
2016-01-05,104.2,104.25,100.22,101.94,983798.0
2016-01-06,101.85,103.91,100.11,100.94,1109902.0
2016-01-07,99.88,99.9,94.37,95.26,1358544.0
2016-01-08,95.17,99.84,95.17,98.97,1192178.0
2016-01-11,97.89,99.67,95.0,98.18,941458.0
2016-01-12,97.21,99.35,95.51,96.25,772742.0
2016-01-13,96.74,97.42,88.94,95.49,1982566.0
2016-01-14,94.15,95.68,90.89,93.56,1145926.0
2016-01-15,94.58,95.38,88.64,89.09,1136664.0
2016-01-18,88.66,90.34,81.22,83.0,1266428.0
2016-01-19,82.91,90.23,82.53,89.4,1451766.0
2016-01-20,87.75,88.64,84.1,87.07,992112.0
2016-01-21,89.4,90.04,85.95,88.19,1003112.0
2016-01-22,89.06,91.4,88.87,90.21,1164604.0
2016-01-25,90.59,91.71,88.62,89.0,348038.0
2016-01-27,89.91,90.25,86.94,87.3,799598.0
2016-01-28,84.02,84.55,81.68,82.13,3267376.0
2016-01-29,81.43,84.31,80.92,81.71,6839876.0
2016-02-01,80.65,82.07,79.82,80.98,14233630.0
