,open,high,low,close,volume
2015-05-15,115.15,117.16,113.23,114.07,413834.0
2015-05-18,114.41,115.98,112.55,113.72,367927.0
2015-05-19,114.02,115.29,112.89,113.48,423365.0
2015-05-20,114.41,114.61,111.86,112.35,324259.0
2015-05-21,112.3,113.14,111.03,111.57,277951.0
2015-05-22,112.35,113.97,111.03,111.47,385616.0
2015-05-25,111.91,112.35,110.05,110.24,374241.0
2015-05-26,110.78,111.76,109.07,109.9,341160.0
2015-05-27,108.23,110.44,107.99,109.17,382591.0
2015-05-28,109.7,115.49,107.84,113.09,1974187.0
2015-05-29,111.76,111.76,107.84,109.17,749493.0
2015-06-01,110.15,113.23,109.51,111.22,1054954.0
2015-06-02,111.71,112.65,107.94,108.82,490895.0
2015-06-03,108.82,109.07,101.96,106.08,572247.0
2015-06-04,107.45,107.5,102.94,105.24,423448.0
2015-06-05,104.8,106.22,103.43,104.71,526235.0
2015-06-08,105.1,107.6,103.53,104.02,510196.0
2015-06-09,103.92,103.92,101.86,102.84,381419.0
2015-06-10,103.33,105.69,103.04,103.53,375824.0
2015-06-11,104.8,105.0,101.22,101.96,549763.0
2015-06-12,102.25,102.99,100.1,100.83,462380.0
2015-06-15,100.98,103.53,99.41,100.78,435238.0
2015-06-16,101.42,102.35,99.66,101.37,367643.0
2015-06-17,102.01,105.64,102.01,104.41,664623.0
2015-06-18,104.9,106.86,103.92,104.21,476257.0
2015-06-19,105.39,115.39,105.2,112.79,3616656.0
2015-06-22,113.48,118.58,111.13,117.3,2208545.0
2015-06-23,117.65,120.59,115.83,117.6,1112159.0
2015-06-24,118.04,121.96,115.78,117.35,1668091.0
2015-06-25,118.04,121.57,117.16,120.34,868845.0
2015-06-26,120.1,122.55,117.94,121.86,1105447.0
2015-06-29,117.65,118.14,115.49,116.32,860350.0
2015-06-30,116.67,119.26,115.88,117.84,721425.0
2015-07-01,118.04,126.86,117.55,122.01,2572322.0
2015-07-02,122.94,135.19,122.79,132.6,4120976.0
2015-07-03,133.28,133.92,129.07,129.85,1185583.0
2015-07-06,127.25,136.91,125.83,135.59,1680427.0
2015-07-07,136.27,137.69,132.74,134.95,998597.0
2015-07-08,132.25,133.92,127.01,129.31,1038395.0
2015-07-09,129.9,131.32,127.65,128.33,422525.0
2015-07-10,129.41,132.06,126.47,127.45,525383.0
2015-07-13,128.63,132.3,128.63,131.03,693915.0
2015-07-14,131.37,134.61,128.82,131.42,763059.0
2015-07-15,131.52,135.44,131.52,133.82,931243.0
2015-07-16,134.07,134.66,132.35,133.09,464764.0
2015-07-17,133.28,134.7,130.19,131.27,606289.0
