,open,high,low,close,volume
2015-05-15,58.59,60.32,57.93,59.25,377844.0
2015-05-18,59.36,60.04,58.24,59.31,153150.0
2015-05-19,59.49,59.49,58.59,58.7,84610.0
2015-05-20,59.23,59.25,57.73,58.28,149446.0
2015-05-21,58.37,59.16,57.56,58.41,97104.0
2015-05-22,58.79,59.23,57.12,57.58,117130.0
2015-05-25,57.49,58.11,56.83,57.51,104400.0
2015-05-26,57.54,57.54,56.42,56.79,90650.0
2015-05-27,56.24,57.32,56.18,56.57,51488.0
2015-05-28,57.05,57.45,56.62,57.03,52172.0
2015-05-29,57.45,57.45,56.4,57.03,56270.0
2015-06-01,57.08,57.32,56.0,57.05,119036.0
2015-06-02,57.21,58.79,56.88,57.1,176816.0
2015-06-03,58.59,58.59,53.54,54.9,238128.0
2015-06-04,54.9,55.74,53.98,54.71,96142.0
2015-06-05,53.41,55.43,53.41,55.23,77502.0
2015-06-08,55.52,55.65,53.57,53.85,37520.0
2015-06-09,54.27,54.38,53.19,54.07,49452.0
2015-06-10,53.59,55.15,53.59,54.86,90236.0
2015-06-11,55.04,55.63,53.54,53.61,27220.0
2015-06-12,53.17,54.2,53.13,53.89,37660.0
2015-06-15,55.17,55.25,53.81,54.9,65020.0
2015-06-16,55.74,55.74,55.1,55.54,41380.0
2015-06-17,55.52,55.96,54.0,55.52,125206.0
2015-06-18,55.89,56.09,55.08,55.54,40050.0
2015-06-19,57.12,58.42,57.12,57.63,148090.0
2015-06-22,57.72,58.53,57.18,58.22,81286.0
2015-06-23,58.53,59.16,57.77,58.26,168408.0
2015-06-24,58.67,58.92,57.27,58.51,115126.0
2015-06-25,58.56,59.89,57.75,58.53,187930.0
2015-06-26,58.87,58.98,57.63,58.15,101556.0
2015-06-29,57.95,57.95,55.97,57.16,55552.0
2015-06-30,57.81,58.89,56.73,58.56,132846.0
2015-07-01,58.94,60.31,58.11,59.52,178110.0
2015-07-02,59.86,59.89,58.58,59.41,102602.0
2015-07-03,59.03,59.82,58.6,59.52,126852.0
2015-07-06,59.98,59.98,57.93,59.43,42924.0
2015-07-07,59.43,60.34,59.03,59.82,124404.0
2015-07-08,59.93,60.92,59.03,59.41,122166.0
2015-07-09,59.86,61.03,59.12,60.4,77008.0
2015-07-10,60.72,61.12,60.02,60.43,135792.0
2015-07-13,60.36,65.11,60.36,63.58,1048958.0
2015-07-14,64.61,67.43,64.61,66.26,1657162.0
2015-07-15,66.64,67.4,64.16,64.66,406174.0
2015-07-16,65.27,67.31,64.79,67.04,539548.0
2015-07-17,67.31,68.89,67.31,67.83,342032.0
2015-07-20,67.83,70.24,67.2,69.75,494736.0
2015-07-21,69.88,71.23,66.28,67.65,511514.0
2015-07-22,67.13,69.34,66.64,68.64,226336.0
2015-07-23,69.3,69.68,66.73,67.85,277774.0
2015-07-24,68.28,69.97,67.09,67.43,273450.0
2015-07-27,67.31,67.31,65.81,66.39,107344.0
2015-07-28,67.0,68.67,65.83,67.54,192860.0
2015-07-29,68.12,68.62,66.46,67.79,232030.0
2015-07-30,67.81,71.1,67.81,70.17,367916.0
2015-07-31,71.93,72.61,69.36,69.72,585670.0
2015-08-03,69.72,70.67,68.51,69.23,273514.0
2015-08-04,68.55,72.94,68.55,72.27,821166.0
2015-08-05,73.35,74.88,72.94,73.8,484066.0
2015-08-06,74.25,74.25,71.64,72.06,188466.0
2015-08-07,72.63,72.63,69.39,70.56,144246.0
2015-08-10,69.36,72.94,69.36,71.48,189116.0
2015-08-11,72.88,72.88,70.24,71.77,150786.0
2015-08-12,71.77,73.62,70.69,71.23,263290.0
2015-08-13,71.3,72.67,70.92,71.23,118122.0
2015-08-14,71.64,73.55,71.05,72.42,207672.0
2015-08-17,72.54,75.82,71.37,75.08,454472.0
2015-08-18,75.19,75.55,73.39,73.69,228862.0
2015-08-19,74.25,74.25,72.27,72.76,149406.0
2015-08-20,71.68,72.49,70.02,70.71,170974.0
2015-08-21,69.77,71.75,67.58,71.1,223678.0
2015-08-24,70.2,70.2,59.93,62.43,476752.0
2015-08-25,65.29,66.1,61.71,65.18,366480.0
2015-08-26,65.24,66.59,63.08,63.91,156782.0
2015-08-27,65.51,67.09,65.51,66.66,165126.0
2015-08-28,68.85,69.18,66.91,67.58,118152.0
2015-08-31,67.58,67.99,66.71,67.31,82038.0
2015-09-01,67.74,69.03,66.57,67.63,168426.0
2015-09-02,69.48,69.48,66.86,67.36,71064.0
2015-09-03,67.36,71.14,67.36,69.79,199560.0
2015-09-04,71.1,74.2,63.91,68.35,444482.0
2015-09-07,67.99,69.03,65.96,67.2,105484.0
2015-09-08,66.64,68.35,65.42,66.19,252894.0
2015-09-09,67.0,67.72,66.26,67.31,60778.0
2015-09-10,66.75,67.45,65.76,66.8,41958.0
2015-09-11,67.43,68.17,65.96,66.32,53966.0
2015-09-14,67.99,67.99,66.05,66.64,103222.0
2015-09-15,66.75,68.78,66.64,67.61,155278.0
