,open,high,low,close,volume
2015-05-15,144.24,146.53,143.36,145.38,3330046.0
2015-05-18,145.94,147.22,143.73,146.62,1365806.0
2015-05-19,146.53,148.83,145.2,145.89,1573013.0
2015-05-20,146.44,147.27,144.74,146.03,1218744.0
2015-05-21,145.52,146.3,143.5,144.37,1060839.0
2015-05-22,144.56,146.62,143.64,146.07,1630085.0
2015-05-25,145.94,148.09,144.1,145.98,1357073.0
2015-05-26,145.98,146.53,144.1,144.42,864683.0
2015-05-27,143.32,143.96,141.25,142.4,1954603.0
2015-05-28,143.04,143.82,140.38,141.48,1740670.0
2015-05-29,141.3,142.95,137.94,141.2,4393439.0
2015-06-01,141.8,144.19,140.56,141.66,1149695.0
2015-06-02,141.66,142.26,137.07,138.59,1272279.0
2015-06-03,137.85,138.17,132.8,134.22,2006718.0
2015-06-04,135.14,137.12,133.53,136.66,790272.0
2015-06-05,135.74,137.62,135.05,136.29,732106.0
2015-06-08,136.33,136.33,132.48,133.12,1235772.0
2015-06-09,133.95,134.5,132.29,132.98,923633.0
2015-06-10,132.94,134.31,132.2,132.94,1304594.0
2015-06-11,133.35,134.5,130.46,131.19,1846182.0
2015-06-12,130.91,132.43,128.43,130.46,1167270.0
2015-06-15,130.46,134.04,130.46,132.89,1307297.0
2015-06-16,132.75,134.36,130.5,133.76,1075814.0
2015-06-17,133.85,136.2,132.25,134.77,1639978.0
2015-06-18,134.87,136.75,134.22,135.88,718905.0
2015-06-19,136.2,136.66,133.85,134.91,863944.0
2015-06-22,135.05,138.72,135.0,137.07,2420960.0
2015-06-23,137.62,139.09,136.33,137.94,899784.0
2015-06-24,138.13,141.11,136.79,138.49,1520191.0
2015-06-25,137.8,140.33,137.16,139.18,3136439.0
2015-06-26,138.77,141.3,137.8,140.38,996950.0
2015-06-29,137.58,138.54,133.67,134.36,1940383.0
2015-06-30,134.59,137.16,132.94,136.24,1259944.0
2015-07-01,136.43,139.64,135.05,139.09,1036231.0
2015-07-02,139.14,140.93,137.12,137.9,1609689.0
2015-07-03,139.64,140.7,137.39,138.08,1223100.0
2015-07-06,135.32,137.8,134.31,137.25,1333305.0
2015-07-07,137.62,139.46,137.44,138.13,1051391.0
2015-07-08,137.8,143.13,136.56,139.73,2983827.0
2015-07-09,140.19,141.85,139.69,140.33,980938.0
2015-07-10,140.74,141.71,138.95,139.69,1067464.0
2015-07-13,140.1,142.03,139.41,141.71,959210.0
2015-07-14,141.94,142.49,139.6,139.69,1769330.0
2015-07-15,139.87,141.39,139.18,140.1,1163720.0
2015-07-16,139.69,141.94,139.69,140.7,1280084.0
2015-07-17,140.7,143.32,139.96,142.31,1062825.0
2015-07-20,142.86,143.87,141.53,142.4,1014477.0
2015-07-21,142.4,143.73,140.19,140.65,1312552.0
2015-07-22,140.38,141.25,138.95,140.15,1535921.0
2015-07-23,140.84,141.95,139.59,141.16,1263776.0
2015-07-24,141.21,142.59,138.44,139.04,1105669.0
2015-07-27,138.76,138.76,132.99,133.64,1348707.0
2015-07-28,133.36,134.56,130.18,130.78,1201992.0
2015-07-29,130.13,132.49,130.09,131.79,2223155.0
2015-07-30,133.36,135.12,131.75,132.76,3296586.0
2015-07-31,129.21,136.46,125.66,134.98,6575422.0
2015-08-03,134.98,139.64,133.36,138.3,2255632.0
2015-08-04,138.02,144.35,136.36,143.52,3056581.0
2015-08-05,143.98,144.9,142.22,142.82,1882220.0
2015-08-06,142.59,145.73,140.29,144.21,1188748.0
2015-08-07,143.93,148.08,141.26,146.88,2807997.0
2015-08-10,146.05,148.87,145.36,146.52,1596026.0
2015-08-11,145.96,147.85,144.16,147.16,2242206.0
2015-08-12,146.29,147.67,143.79,146.05,3212506.0
2015-08-13,145.82,149.24,143.24,144.02,2268252.0
2015-08-14,144.72,148.13,143.56,147.3,1336182.0
2015-08-17,146.98,151.18,145.82,149.52,1603019.0
2015-08-18,152.28,155.61,150.53,151.68,3544572.0
2015-08-19,151.41,152.1,146.75,148.27,1886622.0
2015-08-20,147.9,150.9,145.96,148.36,1547472.0
2015-08-21,145.82,146.75,139.64,142.41,2386106.0
2015-08-24,134.75,140.61,133.83,136.18,2718095.0
2015-08-25,134.79,144.21,132.63,141.49,3691856.0
2015-08-26,140.29,143.79,140.19,141.12,1650848.0
2015-08-27,141.76,146.56,139.46,144.67,1905114.0
2015-08-28,146.01,147.07,140.29,142.22,2132895.0
2015-08-31,142.09,142.96,140.56,141.76,1122581.0
2015-09-01,139.92,140.61,134.29,136.92,1670374.0
2015-09-02,137.42,138.39,136.13,137.33,851693.0
2015-09-03,138.21,139.46,136.5,137.66,825310.0
2015-09-04,137.24,137.33,132.72,136.41,1433061.0
2015-09-07,136.41,137.42,134.75,135.76,531317.0
2015-09-08,134.75,137.33,131.43,136.69,1078937.0
2015-09-09,137.89,138.53,135.76,137.56,685982.0
2015-09-10,135.67,141.12,134.52,138.81,660175.0
2015-09-11,139.18,140.24,135.35,136.69,305100.0
2015-09-14,137.01,137.98,136.04,137.24,293339.0
2015-09-15,136.69,138.62,136.41,137.61,476100.0
2015-09-16,137.98,138.67,135.9,137.29,1652784.0
2015-09-18,137.56,140.01,135.07,136.23,1703284.0
2015-09-21,135.67,143.01,134.52,141.44,587728.0
2015-09-22,143.05,143.56,138.53,140.93,572827.0
2015-09-23,138.62,141.67,137.66,140.7,696527.0
2015-09-24,141.21,152.24,140.15,147.12,3150811.0
2015-09-28,144.81,147.53,143.05,143.93,852886.0
2015-09-29,142.09,143.19,139.92,140.66,1578732.0
2015-09-30,141.44,145.36,141.21,143.65,1502043.0
2015-10-01,143.05,144.72,139.36,140.29,388939.0
2015-10-05,141.07,141.99,140.29,140.93,349068.0
2015-10-06,142.04,142.82,140.42,140.93,589644.0
2015-10-07,141.85,147.35,141.07,146.56,2558082.0
2015-10-08,146.75,146.75,143.1,143.79,380286.0
2015-10-09,143.79,145.73,139.09,140.29,1113186.0
2015-10-12,141.02,141.95,138.21,140.52,1046026.0
2015-10-13,140.29,140.75,138.39,139.13,549133.0
2015-10-14,138.49,140.29,138.44,138.81,526657.0
2015-10-15,139.18,140.33,138.58,139.22,708461.0
2015-10-16,140.06,141.67,139.73,140.29,650946.0
2015-10-19,140.29,144.9,140.1,143.75,1085820.0
2015-10-20,144.62,144.9,142.69,143.79,587201.0
2015-10-21,143.98,149.98,143.98,148.36,1763199.0
2015-10-23,149.01,150.02,145.82,146.56,728324.0
2015-10-26,146.65,151.27,145.27,149.7,1150040.0
2015-10-27,149.28,150.81,147.76,148.96,809152.0
2015-10-28,149.52,152.75,146.93,148.55,3846937.0
2015-10-29,148.55,150.07,143.42,144.02,3085046.0
2015-10-30,144.49,145.82,137.06,137.98,2257636.0
2015-11-02,139.82,142.55,138.44,140.79,1011769.0
2015-11-03,141.95,141.95,137.1,137.61,1781866.0
2015-11-04,137.52,139.73,135.49,136.09,1219095.0
2015-11-05,137.39,138.0,134.92,135.2,613377.0
2015-11-06,135.29,135.29,132.03,133.38,467120.0
2015-11-09,129.7,135.67,129.46,135.01,1604855.0
2015-11-10,134.27,135.29,131.79,132.26,864816.0
2015-11-11,134.27,135.29,131.79,132.26,864816.0
2015-11-13,133.85,135.71,131.65,135.39,1118649.0
2015-11-16,135.39,138.33,134.92,137.39,1089489.0
2015-11-17,137.81,139.87,136.51,137.16,1085709.0
2015-11-18,137.21,139.68,136.55,137.44,668499.0
2015-11-19,138.33,139.49,137.86,139.12,1472611.0
2015-11-20,139.68,140.89,138.42,138.84,563194.0
2015-11-23,138.93,140.1,138.56,138.93,584070.0
2015-11-24,138.37,140.89,138.19,138.84,422610.0
2015-11-26,139.03,141.27,137.86,138.7,2116836.0
2015-11-27,138.7,139.77,136.83,138.51,591800.0
2015-11-30,138.09,139.87,136.6,137.86,2337630.0
2015-12-01,138.65,138.98,135.76,136.23,573177.0
2015-12-02,136.37,136.65,134.17,135.39,907689.0
2015-12-03,135.11,135.25,133.19,133.43,812626.0
2015-12-04,132.96,134.59,131.65,131.84,805330.0
2015-12-07,132.87,133.24,130.91,131.56,1692236.0
2015-12-08,131.09,132.35,129.6,130.35,956667.0
2015-12-09,130.35,130.49,126.99,128.34,830989.0
2015-12-10,127.36,130.63,126.43,130.02,1200997.0
2015-12-11,130.63,131.09,129.14,130.58,1447188.0
2015-12-14,129.6,132.07,128.62,131.51,1025147.0
2015-12-15,131.56,134.83,130.39,133.94,729806.0
2015-12-16,133.94,135.06,132.03,134.31,925857.0
2015-12-17,134.36,135.76,132.63,135.43,615234.0
2015-12-18,134.36,136.41,133.94,135.53,661297.0
2015-12-21,135.53,136.18,133.71,135.81,248476.0
2015-12-22,135.2,136.79,133.61,134.64,230835.0
2015-12-23,134.69,135.85,132.35,133.38,729792.0
2015-12-24,133.43,136.13,132.73,135.39,1996011.0
2015-12-28,136.23,137.72,136.09,136.51,464298.0
2015-12-29,136.6,137.44,135.06,136.69,482666.0
