,open,high,low,close,volume
2015-05-15,11.15,11.4,11.05,11.2,349020.0
2015-05-18,11.0,11.25,10.85,11.05,464311.0
2015-05-19,11.2,11.75,11.05,11.4,676714.0
2015-05-20,11.4,11.9,11.3,11.6,693290.0
2015-05-21,11.7,12.2,11.45,11.55,525929.0
2015-05-22,11.75,12.8,11.4,12.6,2096568.0
2015-05-25,12.75,13.35,12.7,12.85,1210177.0
2015-05-26,13.0,13.0,12.25,12.3,1055084.0
2015-05-27,12.15,12.3,12.1,12.25,225095.0
2015-05-28,12.2,12.35,11.9,11.95,296172.0
2015-05-29,12.0,12.45,11.7,12.3,532655.0
2015-06-01,12.2,12.8,12.15,12.3,586205.0
2015-06-02,12.3,12.3,11.75,12.1,540235.0
2015-06-03,12.2,12.4,11.0,11.4,872428.0
2015-06-04,11.5,11.75,11.25,11.3,354402.0
2015-06-05,11.3,11.55,11.15,11.2,355586.0
2015-06-08,11.15,11.4,11.15,11.2,172339.0
2015-06-09,11.1,11.45,11.1,11.25,226691.0
2015-06-10,11.2,11.6,11.2,11.3,196657.0
2015-06-11,11.35,11.5,11.1,11.15,291432.0
2015-06-12,11.25,11.3,11.0,11.05,191619.0
2015-06-15,11.2,11.25,10.9,11.0,364834.0
2015-06-16,11.1,11.1,10.85,10.95,218688.0
2015-06-17,11.1,11.1,10.85,10.95,238271.0
2015-06-18,11.25,11.4,11.0,11.25,319755.0
2015-06-19,11.4,12.15,11.2,11.8,550319.0
2015-06-22,11.9,12.15,11.8,12.05,805618.0
2015-06-23,12.1,13.35,12.05,13.25,2318164.0
2015-06-24,13.25,13.5,12.6,12.75,1303365.0
2015-06-25,12.55,13.1,12.3,12.8,611128.0
2015-06-26,12.8,13.75,12.65,13.55,3941175.0
2015-06-29,13.0,13.8,12.7,13.5,2873709.0
2015-06-30,13.5,13.8,13.35,13.7,2312103.0
2015-07-01,13.7,14.25,13.55,13.95,2165060.0
2015-07-02,13.8,14.55,13.75,14.05,3189840.0
2015-07-03,14.05,14.2,13.65,13.75,1246965.0
2015-07-06,13.3,15.5,13.3,15.35,5623774.0
2015-07-07,15.5,15.95,14.85,15.25,2204712.0
2015-07-08,15.05,15.65,14.8,15.0,1899748.0
2015-07-09,15.05,16.35,14.95,16.15,6385119.0
2015-07-10,16.45,16.75,15.85,16.2,3448640.0
2015-07-13,16.4,16.5,16.0,16.3,1515172.0
2015-07-14,16.3,16.7,16.0,16.2,2620327.0
2015-07-15,16.3,16.45,15.5,15.7,1556302.0
2015-07-16,15.6,15.85,15.05,15.4,1553065.0
2015-07-17,15.55,17.0,15.15,16.85,5051497.0
