,open,high,low,close,volume
2015-05-15,148.05,149.92,146.85,147.14,18479.0
2015-05-18,147.95,149.59,146.95,148.43,9224.0
2015-05-19,148.87,152.62,148.15,148.77,21380.0
2015-05-20,148.77,150.89,147.62,148.58,22301.0
2015-05-21,149.49,155.69,147.67,152.09,68397.0
2015-05-22,150.5,153.67,150.21,151.61,16732.0
2015-05-25,153.77,153.77,148.05,149.06,18801.0
2015-05-26,148.67,153.72,148.39,152.66,23100.0
2015-05-27,151.65,153.58,149.97,151.22,34772.0
2015-05-28,153.96,157.56,149.97,150.31,56581.0
2015-05-29,151.51,151.56,148.0,148.68,38154.0
2015-06-01,148.58,148.77,146.32,147.04,55149.0
2015-06-02,147.91,148.92,146.32,147.14,22992.0
2015-06-03,146.22,148.82,146.13,148.15,47406.0
2015-06-04,148.15,149.88,147.09,148.15,15458.0
2015-06-05,147.19,148.58,147.04,147.19,8650.0
2015-06-08,148.92,148.92,145.12,145.31,473543.0
2015-06-09,145.55,145.84,141.08,141.52,23432.0
2015-06-10,141.27,145.02,140.55,142.96,26312.0
2015-06-11,143.25,144.54,141.52,141.9,23566.0
2015-06-12,141.76,142.04,139.35,140.12,15423.0
2015-06-15,139.88,144.06,139.83,142.91,20939.0
2015-06-16,142.96,143.92,142.24,142.72,10297.0
2015-06-17,144.01,146.03,143.29,144.3,15382.0
2015-06-18,145.6,147.14,142.33,143.68,23984.0
2015-06-19,144.06,145.02,144.06,144.45,9346.0
2015-06-22,144.64,146.99,144.25,145.94,13340.0
2015-06-23,145.7,146.95,144.21,144.59,7882.0
2015-06-24,145.07,147.38,144.16,144.16,31197.0
2015-06-25,144.21,145.02,141.27,143.68,21482.0
2015-06-26,143.44,144.64,141.9,143.25,28309.0
2015-06-29,142.72,142.91,140.22,141.61,11507.0
2015-06-30,141.32,145.5,141.32,143.77,21521.0
2015-07-01,143.68,148.34,142.72,146.51,34422.0
2015-07-02,147.52,150.6,146.56,147.04,30576.0
2015-07-03,147.04,151.17,147.04,149.88,33172.0
2015-07-06,148.96,154.25,147.57,151.17,57620.0
2015-07-07,152.76,154.54,148.05,150.02,71982.0
2015-07-08,148.96,150.4,146.85,148.43,21527.0
2015-07-09,148.92,151.27,147.52,148.48,12816.0
2015-07-10,149.44,150.74,146.27,147.28,19504.0
2015-07-13,148.48,153.77,148.39,152.42,130957.0
2015-07-14,152.76,156.17,151.94,152.86,58285.0
2015-07-15,153.72,161.46,152.86,157.13,184761.0
2015-07-16,158.53,162.42,157.18,158.62,93937.0
2015-07-17,158.62,163.38,158.57,161.36,81013.0
2015-07-20,162.37,168.86,161.07,167.61,162400.0
2015-07-21,169.15,170.01,158.72,160.06,91132.0
2015-07-22,158.57,166.26,158.57,161.22,85636.0
2015-07-23,160.5,165.69,159.58,161.31,74359.0
2015-07-24,160.54,163.28,156.17,158.57,41538.0
2015-07-27,158.57,163.09,153.86,154.97,36785.0
2015-07-28,154.63,159.25,153.96,157.56,57833.0
2015-07-29,159.01,163.38,156.89,159.05,60468.0
2015-07-30,158.53,164.82,158.24,159.44,111165.0
2015-07-31,161.46,163.04,157.71,159.39,80742.0
2015-08-03,159.78,164.34,158.57,161.17,41096.0
2015-08-04,162.32,177.51,159.53,175.63,343241.0
2015-08-05,177.79,179.14,165.3,167.66,276268.0
2015-08-06,177.79,192.98,176.83,184.04,1245190.0
2015-08-07,183.95,188.17,179.81,182.07,189425.0
2015-08-10,182.6,182.94,174.43,175.87,96077.0
2015-08-11,175.87,182.41,173.42,179.28,123221.0
2015-08-12,178.04,189.09,178.04,184.47,363584.0
2015-08-13,186.4,188.85,181.16,183.71,175405.0
2015-08-14,182.89,186.2,178.95,183.9,71397.0
2015-08-17,185.96,185.96,179.24,182.79,117038.0
2015-08-18,181.88,185.0,178.8,180.29,45503.0
2015-08-19,179.91,211.48,179.91,207.49,1320165.0
2015-08-20,208.74,209.32,194.18,196.34,357283.0
2015-08-21,192.21,199.9,188.37,195.91,190487.0
2015-08-24,188.27,192.88,182.6,183.51,247846.0
2015-08-25,184.57,191.3,170.83,173.23,210819.0
2015-08-26,175.39,181.54,171.07,176.4,86154.0
2015-08-27,178.85,192.21,178.85,184.81,62227.0
2015-08-28,185.63,195.05,183.56,186.88,86997.0
2015-08-31,188.27,196.73,186.44,194.13,94892.0
2015-09-01,191.25,204.42,187.41,194.47,246119.0
2015-09-02,199.47,201.34,193.56,198.55,189528.0
2015-09-03,199.03,205.67,197.78,201.29,171144.0
2015-09-04,202.3,203.55,189.04,193.08,97341.0
2015-09-07,198.75,199.9,184.23,186.4,128174.0
