,open,high,low,close,volume
2015-05-15,63.8,64.75,63.15,64.42,6056786.0
2015-05-18,65.91,65.98,63.22,63.47,6450698.0
2015-05-19,64.19,65.63,63.59,64.24,10158682.0
2015-05-20,64.75,65.88,64.4,65.42,5100782.0
2015-05-21,65.68,66.84,64.56,66.14,7571010.0
2015-05-22,66.12,66.74,64.98,65.19,5301902.0
2015-05-25,65.21,66.0,64.17,65.47,4175260.0
2015-05-26,65.61,66.51,65.03,65.68,4370166.0
2015-05-27,65.42,67.72,65.16,67.04,5115248.0
2015-05-28,68.84,69.56,67.76,68.38,5791704.0
2015-05-29,68.43,68.86,67.98,68.41,4178348.0
2015-06-01,68.7,68.89,67.79,68.38,2804556.0
2015-06-02,68.53,68.65,66.11,66.49,1982680.0
2015-06-03,66.06,66.97,64.99,66.02,2376718.0
2015-06-04,66.16,66.47,64.44,65.01,2168784.0
2015-06-05,64.34,65.25,64.34,64.79,3066790.0
2015-06-08,65.11,65.11,62.95,63.55,1894342.0
2015-06-09,63.48,65.42,63.29,65.08,2380700.0
2015-06-10,65.11,65.58,64.39,65.27,3245780.0
2015-06-11,65.46,65.63,62.9,63.17,2847700.0
2015-06-12,63.1,63.77,62.28,63.07,2184108.0
2015-06-15,63.19,64.48,62.71,63.38,2498966.0
2015-06-16,63.07,65.23,62.64,64.72,2334680.0
2015-06-17,65.11,67.98,64.53,67.45,6340736.0
2015-06-18,67.81,67.98,66.3,67.31,4359490.0
2015-06-19,67.74,68.1,67.12,67.79,1546134.0
2015-06-22,67.86,69.49,67.86,68.74,5281716.0
2015-06-23,69.13,69.17,66.57,68.15,4684840.0
2015-06-24,67.98,68.96,67.12,67.71,6124834.0
2015-06-25,67.5,72.62,67.5,71.57,26828282.0
2015-06-26,71.47,71.81,70.13,70.59,10954024.0
2015-06-29,67.98,70.78,67.45,70.47,4364868.0
2015-06-30,71.11,71.71,69.2,70.75,9062632.0
2015-07-01,71.14,72.24,70.85,71.83,4541356.0
2015-07-02,72.1,74.15,71.88,73.75,8806972.0
2015-07-03,74.46,76.4,73.65,73.99,12198796.0
2015-07-06,73.63,74.92,72.41,74.63,6974198.0
2015-07-07,75.09,75.4,73.05,73.63,7685900.0
2015-07-08,72.77,74.15,70.52,72.19,5425635.0
2015-07-09,72.19,73.44,71.19,72.86,2861199.0
2015-07-10,73.44,73.72,72.14,72.81,5002762.0
2015-07-13,73.63,75.54,73.0,75.06,3432781.0
2015-07-14,75.59,76.02,74.11,74.63,4933977.0
2015-07-15,75.64,75.64,72.91,74.3,8508969.0
2015-07-16,74.63,74.63,73.1,73.39,5442501.0
2015-07-17,73.91,73.96,72.38,72.57,4731519.0
2015-07-20,67.98,68.74,65.44,67.69,24382986.0
2015-07-21,67.88,68.5,66.35,66.69,5816339.0
2015-07-22,66.73,67.83,66.3,67.45,3516173.0
2015-07-23,67.88,68.07,66.69,66.92,3050129.0
2015-07-24,66.92,67.6,66.06,66.73,2151321.0
2015-07-27,66.45,66.78,65.11,65.35,2882297.0
2015-07-28,65.73,66.21,64.96,65.68,2427682.0
2015-07-29,66.02,66.45,65.11,65.58,2401468.0
2015-07-30,66.06,66.4,64.0,65.49,7828277.0
2015-07-31,66.06,66.35,64.53,64.87,5990656.0
2015-08-03,65.11,65.58,64.58,64.82,3195702.0
2015-08-04,65.11,65.3,64.1,64.63,3416234.0
2015-08-05,65.11,66.73,64.24,65.54,5066300.0
2015-08-06,65.11,65.49,64.48,64.72,2075573.0
2015-08-07,64.82,65.58,64.58,65.06,2616362.0
2015-08-10,65.39,65.39,64.15,64.34,1992261.0
2015-08-11,64.67,65.87,64.1,64.53,5064324.0
2015-08-12,64.34,64.77,62.23,62.38,3081344.0
2015-08-13,62.66,63.77,61.32,61.85,1916647.0
2015-08-14,62.23,64.53,61.9,64.34,1667262.0
2015-08-17,64.58,65.39,63.24,64.82,2667689.0
2015-08-18,65.06,65.25,64.24,64.58,1609578.0
2015-08-19,64.15,64.96,63.77,64.44,1715534.0
2015-08-20,64.15,64.91,63.33,63.86,1870466.0
2015-08-21,63.1,65.11,62.81,64.15,2940958.0
2015-08-24,62.23,62.71,57.83,58.36,8411376.0
2015-08-25,60.27,60.27,56.87,59.84,14581446.0
2015-08-26,59.7,59.7,57.21,58.16,13111336.0
2015-08-27,59.27,59.5,58.4,59.07,11357135.0
2015-08-28,60.22,60.61,58.88,59.79,4274159.0
2015-08-31,59.6,60.03,58.36,58.79,2935319.0
