,open,high,low,close,volume
2015-05-15,240.77,242.84,236.05,242.07,164454.0
2015-05-18,240.86,241.88,237.01,238.99,200969.0
2015-05-19,239.81,241.59,237.97,238.17,78923.0
2015-05-20,238.17,240.67,236.43,237.93,342112.0
2015-05-21,240.62,244.72,237.06,244.24,90052.0
2015-05-22,244.72,245.35,240.82,241.2,153052.0
2015-05-25,241.2,245.35,239.85,242.84,109186.0
2015-05-26,242.79,242.84,238.12,241.35,46258.0
2015-05-27,242.79,242.79,239.37,241.92,37536.0
2015-05-28,241.78,242.74,237.25,242.02,472834.0
2015-05-29,241.83,242.6,231.47,239.03,128254.0
2015-06-01,239.03,245.59,238.94,241.11,86325.0
2015-06-02,241.83,242.79,231.04,232.39,78540.0
2015-06-03,233.4,233.98,222.22,227.28,127513.0
2015-06-04,235.08,235.08,224.78,228.68,40529.0
2015-06-05,228.68,232.24,226.41,228.15,55640.0
2015-06-08,231.18,236.63,226.41,229.88,158696.0
2015-06-09,230.27,232.72,226.56,228.73,64366.0
2015-06-10,226.7,230.27,223.52,224.49,69395.0
2015-06-11,226.41,227.28,215.96,218.32,318217.0
2015-06-12,214.85,217.89,209.36,215.29,93368.0
2015-06-15,215.77,219.67,213.89,218.08,64175.0
2015-06-16,218.08,222.99,214.37,221.35,96047.0
2015-06-17,221.6,230.12,216.87,227.95,282302.0
2015-06-18,226.46,228.34,222.08,222.51,107975.0
2015-06-19,225.45,225.88,220.25,222.32,54605.0
2015-06-22,223.47,226.12,221.26,224.25,42128.0
2015-06-23,226.12,231.18,222.22,229.11,58535.0
2015-06-24,229.5,235.81,226.61,230.51,94365.0
2015-06-25,233.16,237.78,232.19,233.83,186824.0
2015-06-26,235.23,239.81,233.16,237.83,70654.0
2015-06-29,236.53,245.68,227.95,237.3,75447.0
2015-06-30,237.25,244.43,236.05,240.43,70065.0
2015-07-01,239.85,247.03,238.99,243.95,113905.0
2015-07-02,245.63,251.46,244.82,248.52,171065.0
2015-07-03,246.69,256.47,246.69,250.31,185912.0
2015-07-06,250.4,252.33,242.79,250.88,55690.0
2015-07-07,252.96,256.23,249.54,251.46,68919.0
2015-07-08,251.32,253.39,245.73,247.03,84864.0
2015-07-09,246.4,250.45,243.85,245.73,37356.0
2015-07-10,250.5,250.5,242.07,243.85,49761.0
2015-07-13,249.44,259.85,239.42,251.7,182867.0
2015-07-14,252.86,253.87,247.18,249.83,65914.0
2015-07-15,250.5,255.75,248.81,249.49,36299.0
2015-07-16,250.31,253.15,246.26,247.71,95963.0
2015-07-17,252.91,254.84,247.71,251.66,63507.0
2015-07-20,251.46,259.17,250.02,255.17,275758.0
2015-07-21,253.87,255.27,248.57,249.58,45604.0
2015-07-22,248.14,253.68,247.13,250.74,50615.0
2015-07-23,248.67,261.34,248.67,256.04,149600.0
2015-07-24,252.43,259.07,252.43,255.46,51501.0
2015-07-27,253.29,253.29,241.97,243.47,193793.0
2015-07-28,246.65,248.28,238.5,241.3,88910.0
2015-07-29,241.3,244.82,240.96,242.6,39258.0
2015-07-30,246.92,248.32,244.54,246.04,28334.0
2015-07-31,246.04,251.24,245.51,248.03,38297.0
2015-08-03,250.22,252.3,242.65,244.15,78067.0
2015-08-04,244.3,248.76,242.84,245.03,64844.0
2015-08-05,247.26,251.33,244.83,247.01,45503.0
2015-08-06,249.05,249.39,245.66,247.6,31525.0
2015-08-07,248.23,255.6,244.98,252.98,98122.0
2015-08-10,254.2,261.52,249.88,256.72,212237.0
2015-08-11,260.94,266.67,255.36,258.66,197166.0
2015-08-12,255.21,260.07,248.71,250.99,94106.0
2015-08-13,251.33,253.9,240.56,243.38,138181.0
2015-08-14,241.82,247.26,240.66,245.41,98633.0
2015-08-17,247.26,247.26,242.11,243.13,32968.0
2015-08-18,244.05,244.54,236.29,240.17,114274.0
2015-08-19,240.17,247.35,237.99,245.22,55877.0
2015-08-20,245.51,247.65,240.37,245.56,70309.0
2015-08-21,243.57,244.39,240.51,241.1,64508.0
2015-08-24,232.75,232.8,212.47,227.85,176544.0
2015-08-25,220.33,229.69,218.34,221.98,242158.0
2015-08-26,228.04,241.63,206.69,232.12,186539.0
2015-08-27,229.98,238.23,228.14,236.87,115420.0
2015-08-28,236.92,249.97,233.23,235.32,186911.0
2015-08-31,233.87,237.75,227.17,231.63,82135.0
2015-09-01,229.98,239.69,223.19,227.12,411009.0
2015-09-02,228.04,234.3,225.76,232.31,71709.0
2015-09-03,240.66,240.66,228.63,229.6,48976.0
2015-09-04,230.95,231.15,222.32,226.88,72759.0
2015-09-07,230.95,230.95,223.19,224.7,72759.0
2015-09-08,223.43,229.69,223.43,227.85,28100.0
2015-09-09,232.31,237.7,229.69,236.97,68318.0
2015-09-10,232.99,236.78,229.11,232.07,36090.0
2015-09-11,234.84,237.7,228.14,229.16,41540.0
2015-09-14,233.87,234.84,228.87,230.08,33654.0
2015-09-15,230.08,232.9,223.63,227.27,49011.0
2015-09-16,223.53,233.77,218.44,224.94,108507.0
2015-09-18,224.94,229.94,224.65,226.59,100691.0
2015-09-21,222.22,230.71,222.22,225.03,69800.0
2015-09-22,229.94,231.05,222.71,224.65,91086.0
2015-09-23,221.25,229.98,221.25,224.79,48010.0
2015-09-24,224.74,227.02,224.65,224.84,19318.0
2015-09-28,228.87,228.87,224.21,225.33,48406.0
2015-09-29,224.26,225.13,217.47,224.16,147574.0
2015-09-30,226.44,227.46,223.19,226.49,28850.0
2015-10-01,226.1,232.41,224.79,228.53,42765.0
2015-10-05,232.9,232.9,225.47,229.4,98802.0
2015-10-06,232.8,232.8,224.74,225.57,145101.0
2015-10-07,225.57,229.98,225.33,228.67,37426.0
2015-10-08,228.67,230.95,226.1,227.36,14644.0
2015-10-09,227.56,230.95,225.03,229.45,45213.0
2015-10-12,229.45,232.6,225.18,226.05,127579.0
2015-10-13,231.44,246.58,227.07,242.07,157421.0
2015-10-14,244.35,251.33,239.88,248.42,133991.0
2015-10-15,248.42,252.21,246.19,248.08,56121.0
2015-10-16,247.45,249.93,242.7,244.15,38027.0
2015-10-19,244.15,246.48,238.72,243.38,26106.0
2015-10-20,242.6,244.05,239.69,241.53,101235.0
2015-10-21,241.63,245.32,237.75,240.27,22578.0
2015-10-23,247.45,247.45,235.32,238.23,33357.0
2015-10-26,242.6,242.6,234.4,238.96,86455.0
2015-10-27,237.94,242.36,232.41,234.45,115631.0
2015-10-28,230.76,238.67,226.05,236.44,39688.0
2015-10-29,234.84,252.01,234.84,241.73,133207.0
2015-10-30,240.66,247.26,236.44,243.33,48443.0
2015-11-02,236.92,248.91,236.92,241.53,50915.0
2015-11-03,245.41,249.39,239.4,241.92,85350.0
2015-11-04,242.6,242.6,234.01,237.84,89371.0
2015-11-05,236.83,238.72,232.99,234.59,15781.0
2015-11-06,241.82,241.82,230.95,231.83,29481.0
2015-11-09,224.79,237.41,223.29,233.23,33064.0
2015-11-10,229.26,238.67,229.26,233.14,53854.0
2015-11-11,229.26,238.67,229.26,233.14,53854.0
2015-11-13,242.26,247.84,234.79,246.09,123063.0
2015-11-16,245.51,255.46,245.51,250.85,202270.0
2015-11-17,251.33,257.16,251.33,255.41,69482.0
2015-11-18,256.14,256.18,247.45,249.59,34927.0
2015-11-19,249.39,255.12,249.39,251.43,18537.0
2015-11-20,254.87,262.01,253.61,257.45,117143.0
2015-11-23,257.64,260.07,252.5,258.76,49922.0
2015-11-24,252.4,259.82,252.3,254.1,32577.0
2015-11-26,254.24,258.8,252.3,253.56,18144.0
2015-11-27,257.16,257.16,246.29,247.84,214438.0
2015-11-30,248.32,250.22,245.51,247.55,50155.0
2015-12-01,247.45,248.42,241.63,243.33,58502.0
2015-12-02,243.67,252.11,237.94,239.45,138815.0
2015-12-03,237.8,245.56,237.8,243.96,50013.0
2015-12-04,242.31,242.31,236.92,237.99,60532.0
2015-12-07,238.04,241.58,235.81,236.87,27247.0
2015-12-08,237.75,240.66,234.88,237.94,47883.0
2015-12-09,235.37,239.69,233.09,238.52,58107.0
2015-12-10,237.02,244.64,234.84,240.76,42570.0
2015-12-11,242.6,246.24,239.2,240.8,51267.0
2015-12-14,240.76,246.48,238.72,245.07,27650.0
2015-12-15,245.56,249.15,241.14,246.24,106823.0
2015-12-16,242.65,254.24,242.6,252.93,74636.0
2015-12-17,257.06,261.86,251.33,253.03,97917.0
2015-12-18,254.54,261.91,242.84,248.03,67372.0
2015-12-21,247.45,251.87,245.51,247.45,17508.0
2015-12-22,247.55,247.55,241.19,242.7,62381.0
2015-12-23,244.1,246.87,242.6,243.38,158023.0
2015-12-24,243.62,245.46,241.19,243.08,23860.0
2015-12-28,242.84,246.0,242.84,245.32,28338.0
2015-12-29,246.0,246.48,240.17,243.52,63613.0
2015-12-30,242.7,243.57,239.69,242.21,13855.0
2015-12-31,240.71,246.34,237.89,245.46,30610.0
2016-01-01,244.54,248.23,243.47,247.21,14229.0
2016-01-04,244.64,249.34,240.9,243.28,23121.0
2016-01-05,243.28,247.4,239.69,242.16,79259.0
2016-01-06,246.38,250.75,242.74,249.39,104087.0
2016-01-07,250.17,254.24,242.6,245.61,119218.0
2016-01-08,250.07,252.3,244.93,251.33,69240.0
2016-01-11,245.51,251.28,240.17,244.1,77005.0
2016-01-12,244.54,245.17,240.66,241.0,138433.0
2016-01-13,241.63,242.11,231.44,236.1,46242.0
2016-01-14,233.87,235.66,232.17,233.87,29895.0
2016-01-15,233.04,236.78,222.22,226.25,36525.0
2016-01-18,235.81,235.81,211.55,215.14,86101.0
2016-01-19,210.92,217.85,209.61,212.57,58227.0
2016-01-20,212.57,212.57,196.21,203.64,276943.0
2016-01-21,204.75,215.43,204.75,212.76,227372.0
2016-01-22,215.43,219.84,214.51,217.08,53691.0
2016-01-25,250.36,250.36,219.65,224.11,49848.0
2016-01-27,223.19,227.75,216.06,226.44,28319.0
2016-01-28,225.13,227.85,215.19,218.15,52651.0
2016-01-29,224.99,227.56,218.58,225.23,38626.0
2016-02-01,225.76,227.07,217.76,221.15,33161.0
2016-02-02,222.66,228.97,219.5,225.37,37844.0
