,open,high,low,close,volume
2015-05-15,241.99,244.81,239.68,240.72,20218.0
2015-05-18,241.72,250.34,238.64,248.43,45588.0
2015-05-19,252.11,271.2,250.38,262.45,324953.0
2015-05-20,263.04,263.85,256.01,261.04,47907.0
2015-05-21,258.96,262.49,252.79,259.14,38215.0
2015-05-22,257.96,263.04,254.19,258.82,26658.0
2015-05-25,257.01,262.95,255.78,257.5,26084.0
2015-05-26,257.96,258.77,251.75,253.02,37520.0
2015-05-27,253.02,254.19,248.71,252.29,67634.0
2015-05-28,254.29,254.56,235.92,247.03,441448.0
2015-05-29,247.75,250.34,243.13,249.43,314576.0
2015-06-01,253.88,265.94,244.9,261.54,304833.0
2015-06-02,260.5,260.54,246.71,248.75,32357.0
2015-06-03,250.02,250.66,237.28,241.31,19367.0
2015-06-04,240.27,249.25,239.46,244.53,22797.0
2015-06-05,244.35,249.8,241.77,243.58,12897.0
2015-06-08,243.99,248.53,242.54,246.03,21816.0
2015-06-09,248.43,248.43,242.18,243.49,42633.0
2015-06-10,246.21,247.16,243.08,244.31,22757.0
2015-06-11,247.35,249.43,244.9,247.21,16542.0
2015-06-12,247.62,247.62,241.31,244.08,11630.0
2015-06-15,241.63,247.98,241.31,245.26,14641.0
2015-06-16,247.07,248.8,241.09,245.9,16338.0
2015-06-17,249.11,249.43,246.71,248.3,12404.0
2015-06-18,248.84,248.84,244.9,246.17,6625.0
2015-06-19,244.9,248.12,239.5,239.91,40118.0
2015-06-22,239.73,244.44,238.77,241.81,13528.0
2015-06-23,244.63,244.67,239.46,240.82,13996.0
2015-06-24,241.0,245.08,239.5,240.86,12820.0
2015-06-25,242.63,242.63,235.83,236.6,18040.0
2015-06-26,239.46,242.18,232.33,237.55,250375.0
2015-06-29,234.01,234.92,227.75,230.29,63563.0
2015-06-30,234.01,234.19,229.52,232.56,40233.0
2015-07-01,235.83,241.59,232.74,238.14,31903.0
2015-07-02,236.6,261.09,236.6,257.69,330377.0
2015-07-03,257.6,265.67,249.57,258.32,196417.0
2015-07-06,258.37,262.13,249.43,256.73,25401.0
2015-07-07,256.69,261.22,252.15,252.97,22102.0
2015-07-08,252.97,256.24,230.2,249.7,48219.0
2015-07-09,246.48,253.06,244.99,246.3,18027.0
2015-07-10,252.97,252.97,243.99,245.21,12843.0
2015-07-13,243.26,249.43,243.26,245.4,20615.0
2015-07-14,245.8,251.25,244.99,245.4,32486.0
2015-07-15,248.89,248.89,245.17,245.76,13005.0
2015-07-16,248.34,248.53,244.94,246.44,14729.0
2015-07-17,245.94,248.07,245.4,246.26,14114.0
2015-07-20,245.8,246.26,242.45,245.4,108526.0
2015-07-21,246.62,248.89,244.81,245.08,24145.0
2015-07-22,244.9,248.07,244.81,245.76,16618.0
2015-07-23,246.98,249.02,245.94,247.53,20220.0
2015-07-24,248.98,249.98,245.4,249.48,17018.0
2015-07-27,249.48,249.48,244.9,245.03,31462.0
2015-07-28,245.03,247.62,245.03,245.85,7350.0
2015-07-29,245.03,246.71,242.18,244.9,42749.0
2015-07-30,244.99,248.89,244.99,246.08,8180.0
2015-07-31,246.76,260.77,246.71,250.07,41882.0
2015-08-03,245.9,252.15,244.9,249.52,66406.0
2015-08-04,248.98,255.78,248.98,250.02,16912.0
2015-08-05,249.66,262.13,249.66,255.65,70185.0
2015-08-06,256.33,261.22,251.84,258.46,38064.0
2015-08-07,260.95,280.27,259.41,268.84,829502.0
2015-08-10,268.84,274.74,256.73,260.77,117036.0
2015-08-11,261.95,262.95,251.25,251.93,51412.0
2015-08-12,250.02,253.97,240.72,242.77,30709.0
2015-08-13,242.77,249.34,236.92,238.09,33299.0
2015-08-14,241.22,242.36,234.01,240.18,36227.0
2015-08-17,241.27,246.44,235.83,244.22,25141.0
2015-08-18,251.25,251.25,244.9,246.94,23163.0
2015-08-19,247.66,252.06,243.54,248.43,23478.0
2015-08-20,249.9,254.01,246.7,250.35,38205.0
2015-08-21,247.61,251.27,242.59,248.48,33021.0
2015-08-24,246.7,246.7,232.99,236.05,56306.0
2015-08-25,234.0,240.81,228.42,234.96,25799.0
2015-08-26,237.61,241.03,231.26,232.54,18489.0
2015-08-27,235.41,241.22,231.85,232.81,27610.0
2015-08-28,234.23,244.41,233.27,234.32,14118.0
2015-08-31,237.52,237.52,232.99,234.82,30774.0
2015-09-01,234.77,237.29,234.09,235.32,30156.0
2015-09-02,237.56,239.39,233.91,236.1,17310.0
2015-09-03,238.52,242.04,236.74,239.39,7373.0
2015-09-04,242.08,242.08,236.6,237.79,17449.0
2015-09-07,234.96,238.02,233.91,235.28,16260.0
2015-09-08,236.19,236.33,231.99,232.67,116200.0
2015-09-09,233.91,237.56,231.03,232.4,21356.0
2015-09-10,232.13,233.36,229.38,232.17,5392.0
2015-09-11,232.08,238.43,226.6,236.33,22425.0
2015-09-14,239.98,240.3,237.15,238.61,8678.0
2015-09-15,236.79,241.58,236.79,238.48,48092.0
2015-09-16,238.52,239.25,235.73,236.88,9583.0
2015-09-18,237.84,240.07,229.38,232.17,123380.0
2015-09-21,232.54,246.65,232.54,242.82,23588.0
2015-09-22,242.82,244.78,237.56,238.29,8145.0
2015-09-23,237.61,239.39,231.07,236.28,6837.0
2015-09-24,238.2,239.85,233.45,235.92,9293.0
2015-09-28,230.57,239.85,230.57,235.55,8045.0
2015-09-29,234.87,238.38,230.57,237.52,11656.0
2015-09-30,237.38,239.3,235.73,237.65,10185.0
2015-10-01,238.52,240.3,238.2,239.11,6454.0
2015-10-05,242.13,242.13,235.96,240.3,7619.0
2015-10-06,239.85,247.06,239.39,241.26,25357.0
2015-10-07,241.22,246.15,224.4,242.59,16587.0
2015-10-08,239.66,245.47,239.66,242.13,15355.0
2015-10-09,243.96,245.78,241.22,242.22,20232.0
2015-10-12,242.13,243.91,239.25,240.76,14544.0
2015-10-13,239.39,259.49,239.39,251.91,52618.0
2015-10-14,256.75,271.19,255.84,267.12,158201.0
2015-10-15,270.77,271.37,261.87,265.98,39478.0
2015-10-16,265.02,267.71,256.84,259.35,24188.0
2015-10-19,260.59,267.17,254.6,264.01,28958.0
2015-10-20,264.93,286.44,264.93,278.22,265043.0
2015-10-21,278.77,282.06,270.73,274.79,50794.0
2015-10-23,270.77,275.94,266.8,269.86,45248.0
2015-10-26,270.14,278.08,269.54,275.43,44671.0
2015-10-27,270.27,305.27,267.71,292.93,535094.0
2015-10-28,295.67,295.86,283.25,291.93,171336.0
2015-10-29,288.73,297.82,286.67,290.28,70181.0
2015-10-30,292.38,297.04,284.48,286.31,61062.0
2015-11-02,283.29,301.52,283.29,298.64,88641.0
2015-11-03,298.78,305.18,293.21,303.21,180993.0
2015-11-04,303.35,305.08,290.69,294.94,54797.0
2015-11-05,294.21,294.9,285.99,287.68,17160.0
2015-11-06,286.9,298.23,263.51,267.21,239033.0
2015-11-09,267.39,285.07,253.09,282.84,76056.0
2015-11-10,282.93,287.31,272.46,278.13,55133.0
2015-11-11,282.93,287.31,272.46,278.13,55133.0
2015-11-13,278.82,283.25,274.57,275.8,14634.0
2015-11-16,278.68,282.01,275.02,278.36,24347.0
2015-11-17,280.92,281.42,274.11,277.12,18955.0
2015-11-18,279.13,279.13,268.49,269.45,23192.0
2015-11-19,267.71,276.62,267.71,268.99,17312.0
2015-11-20,268.26,276.67,268.26,270.87,25597.0
2015-11-23,271.41,274.06,266.8,268.72,18935.0
2015-11-24,267.76,275.8,267.71,274.06,17154.0
2015-11-26,269.54,278.54,269.54,276.03,23812.0
2015-11-27,275.94,278.68,272.46,273.47,9545.0
2015-11-30,270.45,278.68,269.68,275.94,21121.0
2015-12-01,277.44,277.72,272.28,273.2,6928.0
2015-12-02,275.94,275.94,270.45,271.32,10888.0
2015-12-03,273.88,274.06,268.99,270.14,12070.0
2015-12-04,269.68,272.28,267.99,268.49,7397.0
2015-12-07,267.85,271.78,263.15,265.38,18126.0
2015-12-08,266.8,269.22,263.37,265.48,22059.0
2015-12-09,261.32,265.89,260.4,261.68,30123.0
2015-12-10,261.73,264.15,259.95,261.59,6866.0
2015-12-11,268.63,268.63,259.54,261.64,12826.0
2015-12-14,260.36,270.91,259.49,269.45,18498.0
2015-12-15,270.45,274.11,267.12,269.22,26411.0
2015-12-16,264.24,272.74,264.24,268.99,45476.0
2015-12-17,266.94,272.69,265.98,267.49,8919.0
2015-12-18,270.18,270.18,266.71,266.8,13956.0
2015-12-21,269.45,270.41,265.43,265.93,23519.0
2015-12-22,269.08,269.08,264.97,265.89,17410.0
2015-12-23,265.84,268.9,265.48,267.12,21303.0
2015-12-24,267.03,274.11,267.03,272.65,36104.0
2015-12-28,275.94,276.03,271.83,272.6,9290.0
2015-12-29,275.34,277.22,272.37,275.48,23476.0
