,open,high,low,close,volume
2015-05-15,160.75,163.35,158.5,159.1,465875.0
2015-05-18,159.5,163.4,159.5,162.6,495038.0
2015-05-19,162.35,170.9,161.55,165.7,1277670.0
2015-05-20,166.15,167.75,161.65,163.85,397161.0
2015-05-21,164.0,171.4,161.45,170.0,1413795.0
2015-05-22,171.85,172.7,168.3,169.95,913557.0
2015-05-25,170.5,174.55,168.3,170.25,761588.0
2015-05-26,170.25,172.25,164.5,164.85,505627.0
2015-05-27,163.75,164.5,161.45,161.9,474791.0
2015-05-28,162.4,164.65,158.05,161.55,1315711.0
2015-05-29,159.95,175.8,158.75,174.4,2417045.0
2015-06-01,176.0,176.3,161.25,162.2,1817705.0
2015-06-02,163.1,166.8,160.0,161.7,1083836.0
2015-06-03,161.9,163.45,150.1,155.7,1132295.0
2015-06-04,156.1,158.35,153.0,156.9,663304.0
2015-06-05,155.8,161.6,155.15,158.75,833196.0
2015-06-08,159.1,159.9,155.05,157.3,390202.0
2015-06-09,156.0,159.25,154.25,155.3,404758.0
2015-06-10,155.3,159.3,153.3,157.25,443802.0
2015-06-11,157.45,159.7,153.0,153.75,514755.0
2015-06-12,154.4,155.45,151.6,154.3,419366.0
2015-06-15,154.45,159.65,153.55,155.9,707070.0
2015-06-16,155.8,158.7,154.1,157.75,393885.0
2015-06-17,156.5,161.9,156.1,158.3,1078173.0
2015-06-18,158.45,167.7,158.25,164.65,1292831.0
2015-06-19,167.0,173.0,164.2,170.55,1802840.0
2015-06-22,171.0,171.25,166.4,168.1,498485.0
2015-06-23,168.1,171.5,168.0,170.0,619396.0
2015-06-24,169.8,177.25,168.55,174.95,1874008.0
2015-06-25,174.2,179.4,173.0,175.7,1249611.0
2015-06-26,174.8,182.35,173.0,179.65,1106520.0
2015-06-29,177.0,177.3,172.1,176.15,1016494.0
2015-06-30,175.15,185.7,175.15,179.55,1401147.0
2015-07-01,179.65,183.9,177.0,181.5,1039044.0
2015-07-02,181.0,184.65,178.15,178.95,806821.0
2015-07-03,179.15,180.4,171.0,172.3,623491.0
2015-07-06,167.3,177.5,167.3,176.85,1014792.0
2015-07-07,177.0,181.0,174.55,179.6,1096165.0
2015-07-08,176.25,179.4,171.65,174.55,817716.0
2015-07-09,176.0,178.0,171.8,172.75,577467.0
2015-07-10,173.5,175.8,172.25,174.15,430067.0
2015-07-13,174.4,183.75,172.7,181.0,1124370.0
2015-07-14,183.3,191.5,182.55,186.4,2708939.0
2015-07-15,187.6,191.8,186.05,186.7,1151275.0
2015-07-16,188.5,190.0,186.1,187.45,803433.0
2015-07-17,187.85,194.35,186.6,190.6,2478549.0
2015-07-20,192.0,192.4,189.0,190.45,720759.0
2015-07-21,191.0,191.05,181.05,182.85,778002.0
2015-07-22,183.5,189.8,182.0,187.1,1123458.0
2015-07-23,188.0,191.05,186.15,187.45,636571.0
2015-07-24,186.75,189.65,185.0,185.8,422960.0
2015-07-27,184.9,189.4,183.5,184.65,493912.0
2015-07-28,186.0,187.1,181.1,181.95,426479.0
2015-07-29,182.2,187.8,182.2,184.9,537429.0
2015-07-30,185.45,186.9,183.1,185.85,391296.0
2015-07-31,186.6,192.5,186.6,191.3,2975317.0
2015-08-03,191.0,192.0,188.0,190.05,939069.0
2015-08-04,190.8,196.7,189.4,194.55,3055581.0
2015-08-05,198.25,198.4,191.2,192.4,1866865.0
2015-08-06,193.4,198.0,191.55,195.1,1665201.0
2015-08-07,199.2,199.8,189.3,191.7,2077711.0
2015-08-10,192.0,195.0,188.6,190.45,889373.0
2015-08-11,191.0,192.45,183.1,184.0,775435.0
2015-08-12,183.0,183.7,176.8,178.95,849548.0
2015-08-13,178.6,183.9,177.55,179.25,738074.0
2015-08-14,180.5,183.2,178.7,182.3,522191.0
2015-08-17,183.2,183.2,177.0,177.9,572246.0
2015-08-18,178.35,182.0,178.25,180.75,468880.0
2015-08-19,180.2,186.6,179.15,183.5,728159.0
2015-08-20,182.5,183.7,176.1,177.5,344996.0
2015-08-21,175.4,179.7,172.4,175.7,608432.0
2015-08-24,168.0,170.8,161.75,163.25,892393.0
2015-08-25,165.15,171.45,155.85,169.7,1274992.0
2015-08-26,169.0,185.5,165.2,179.05,1081250.0
2015-08-27,181.5,183.5,175.8,176.95,1004321.0
2015-08-28,178.0,180.65,171.55,173.2,420576.0
2015-08-31,172.05,176.9,165.6,167.95,374780.0
2015-09-01,164.9,167.3,155.2,158.85,747331.0
2015-09-02,161.3,164.15,157.3,158.75,432259.0
2015-09-03,160.3,163.5,160.3,161.1,315869.0
2015-09-04,160.0,160.6,153.8,155.95,406000.0
2015-09-07,156.8,157.9,148.9,149.85,365993.0
2015-09-08,151.35,155.35,148.7,153.35,529814.0
2015-09-09,156.6,160.5,155.1,156.75,534134.0
2015-09-10,153.2,169.4,152.5,167.9,1434823.0
2015-09-11,168.65,169.6,163.1,164.8,426379.0
2015-09-14,165.95,167.8,163.1,167.3,197744.0
2015-09-15,166.05,167.8,162.5,163.3,171701.0
2015-09-16,164.9,166.2,161.0,161.55,197109.0
2015-09-18,163.15,184.85,163.15,178.1,3474507.0
2015-09-21,176.8,180.0,174.3,178.4,937263.0
2015-09-22,179.85,181.0,168.9,170.45,559603.0
2015-09-23,169.6,178.9,168.8,175.7,1114366.0
2015-09-24,175.8,177.55,172.3,173.6,273641.0
2015-09-28,173.9,180.0,171.2,171.95,839272.0
2015-09-29,170.0,171.9,166.35,168.1,448513.0
2015-09-30,169.9,172.65,167.6,168.9,355541.0
2015-10-01,169.75,173.25,169.5,171.2,553651.0
2015-10-05,171.65,174.3,171.1,171.75,485010.0
2015-10-06,172.5,173.95,170.7,171.25,311260.0
2015-10-07,171.3,176.7,170.65,171.7,590429.0
2015-10-08,172.0,173.0,168.0,168.8,304546.0
2015-10-09,172.1,173.85,168.6,169.5,602426.0
2015-10-12,170.0,171.5,164.2,165.15,382456.0
2015-10-13,165.5,167.35,162.4,164.2,377335.0
2015-10-14,163.8,166.35,162.0,162.45,356050.0
2015-10-15,163.2,164.85,161.2,161.75,384906.0
2015-10-16,162.4,164.95,161.35,162.15,452148.0
2015-10-19,162.3,164.95,161.1,161.75,651060.0
2015-10-20,162.5,169.7,162.0,166.45,1437669.0
2015-10-21,167.8,170.0,164.05,165.8,698630.0
2015-10-23,166.85,167.4,162.6,163.0,306208.0
2015-10-26,164.4,165.55,159.85,160.15,451024.0
2015-10-27,160.0,162.85,158.55,159.65,515579.0
2015-10-28,159.95,161.0,157.0,157.3,490694.0
2015-10-29,157.55,158.35,154.2,154.8,428745.0
2015-10-30,155.7,157.9,153.7,155.1,476704.0
2015-11-02,156.5,158.0,155.0,157.25,406119.0
2015-11-03,159.0,164.8,157.95,163.7,944015.0
2015-11-04,165.0,165.95,158.25,160.45,740536.0
2015-11-05,165.55,166.4,162.5,163.2,1481063.0
2015-11-06,163.85,164.75,158.75,161.1,308808.0
2015-11-09,156.25,167.65,156.25,166.55,698519.0
2015-11-10,166.5,167.95,163.05,163.7,360222.0
2015-11-11,166.5,167.95,163.05,163.7,360222.0
2015-11-13,166.7,167.0,160.2,160.8,332731.0
2015-11-16,158.9,163.5,158.9,159.9,436619.0
2015-11-17,160.9,168.35,160.75,164.7,872241.0
2015-11-18,164.55,164.6,158.75,159.3,552260.0
2015-11-19,160.7,162.6,160.1,160.75,248139.0
2015-11-20,161.85,161.85,158.5,159.3,672565.0
2015-11-23,159.85,165.0,159.75,161.1,537294.0
2015-11-24,160.9,162.5,159.2,159.85,249719.0
2015-11-26,160.8,164.0,159.8,161.2,419684.0
2015-11-27,162.4,164.2,160.1,161.15,518595.0
2015-11-30,160.65,168.15,160.65,168.0,972489.0
2015-12-01,168.85,173.85,166.05,167.05,1372812.0
2015-12-02,167.85,168.9,164.3,166.0,490655.0
2015-12-03,166.0,167.4,162.65,163.45,324465.0
2015-12-04,163.85,171.9,163.1,166.85,1955032.0
2015-12-07,168.9,178.3,167.25,177.4,2726037.0
2015-12-08,175.6,179.7,169.55,170.75,1481238.0
2015-12-09,170.3,171.6,161.4,162.35,978827.0
2015-12-10,163.4,175.8,162.75,174.7,1661390.0
2015-12-11,176.0,179.8,170.2,174.8,2642232.0
2015-12-14,172.3,180.25,171.1,179.1,1438875.0
2015-12-15,178.8,179.9,174.5,175.45,623401.0
2015-12-16,175.4,178.2,170.0,170.65,715838.0
2015-12-17,171.85,177.9,171.85,177.2,1062764.0
2015-12-18,177.25,177.8,174.5,176.15,546046.0
2015-12-21,176.05,176.8,172.4,173.7,413292.0
2015-12-22,174.85,177.0,172.85,174.0,610031.0
2015-12-23,175.0,179.05,174.4,176.7,3422312.0
2015-12-24,177.1,178.4,174.5,177.85,1104803.0
2015-12-28,178.8,191.65,176.5,185.9,4545014.0
2015-12-29,185.95,186.85,181.3,182.15,1052353.0
2015-12-30,182.8,184.8,180.1,180.8,558301.0
2015-12-31,180.55,183.5,179.1,180.05,597560.0
2016-01-01,181.4,186.35,180.6,185.25,772204.0
2016-01-04,185.0,185.05,176.6,179.25,988787.0
2016-01-05,180.0,184.6,178.25,182.0,701611.0
2016-01-06,182.8,185.05,179.5,180.1,1353143.0
2016-01-07,178.3,179.3,170.6,172.05,806216.0
2016-01-08,173.0,177.9,173.0,176.7,537205.0
2016-01-11,175.1,179.7,173.45,177.65,454064.0
2016-01-12,178.6,185.2,178.3,183.35,1499458.0
2016-01-13,184.25,184.7,161.0,170.35,2830568.0
2016-01-14,168.5,184.35,166.0,181.75,1994398.0
2016-01-15,183.55,184.4,174.15,175.0,1309471.0
2016-01-18,174.2,176.0,164.6,166.75,889371.0
2016-01-19,168.55,172.75,167.55,171.2,559859.0
2016-01-20,168.65,173.6,166.5,170.7,656585.0
2016-01-21,172.2,174.75,167.0,172.25,615330.0
2016-01-22,173.85,180.8,173.05,179.85,679335.0
2016-01-25,180.25,181.75,176.0,176.45,283491.0
2016-01-27,177.4,177.4,173.05,173.6,254737.0
2016-01-28,174.4,176.9,173.1,173.65,243362.0
2016-01-29,173.8,179.35,173.35,178.5,401194.0
2016-02-01,178.7,181.5,175.5,176.2,585201.0
2016-02-02,176.45,177.75,169.7,170.85,399417.0
2016-02-03,169.7,170.4,167.2,168.05,423322.0
2016-02-04,170.95,175.85,167.15,172.65,2011367.0
2016-02-05,171.05,172.45,165.65,168.25,923057.0
2016-02-08,168.85,170.0,167.7,169.0,341049.0
2016-02-09,166.05,170.0,163.1,164.45,339583.0
2016-02-10,165.85,166.2,163.75,165.05,866086.0
2016-02-11,164.05,164.95,151.65,155.0,591183.0
2016-02-12,156.2,157.05,141.0,151.25,705029.0
2016-02-15,153.1,157.75,151.55,156.25,395806.0
2016-02-16,157.0,157.55,149.55,150.4,192588.0
2016-02-17,151.3,154.9,146.0,154.15,451824.0
2016-02-18,155.0,162.4,154.45,156.8,638067.0
2016-02-19,158.95,180.9,157.8,175.7,5974927.0
2016-02-22,173.2,173.8,167.0,169.9,897618.0
2016-02-23,169.0,179.1,168.0,169.6,1131808.0
2016-02-24,169.05,173.9,164.35,165.35,580500.0
2016-02-25,166.35,171.6,166.35,168.65,410172.0
2016-02-26,169.4,171.55,166.3,167.0,229476.0
2016-02-29,167.65,170.0,161.05,167.35,422667.0
2016-03-01,167.85,172.85,167.3,170.05,301176.0
2016-03-02,171.5,176.3,169.5,170.8,626833.0
