,open,high,low,close,volume
2015-05-15,30.9,30.9,30.9,30.9,0.0
2015-05-18,30.9,30.9,30.9,30.9,0.0
2015-05-19,30.9,30.9,30.9,30.9,0.0
2015-05-20,30.9,30.9,30.9,30.9,0.0
2015-05-21,30.9,30.9,30.9,30.9,0.0
2015-05-22,30.9,30.9,30.9,30.9,0.0
2015-05-25,30.9,30.9,30.9,30.9,0.0
2015-05-26,30.9,30.9,30.9,30.9,0.0
2015-05-27,30.9,30.9,30.9,30.9,0.0
2015-05-28,30.9,30.9,30.9,30.9,0.0
2015-05-29,30.9,30.9,30.9,30.9,0.0
2015-06-01,30.9,30.9,30.9,30.9,0.0
2015-06-02,30.9,30.9,30.9,30.9,0.0
2015-06-03,30.9,30.9,30.9,30.9,0.0
2015-06-04,30.9,30.9,30.9,30.9,0.0
2015-06-05,30.9,30.9,30.9,30.9,0.0
2015-06-08,30.9,30.9,30.9,30.9,0.0
2015-06-09,30.9,30.9,30.9,30.9,0.0
2015-06-10,30.9,30.9,30.9,30.9,0.0
2015-06-11,30.9,30.9,30.9,30.9,0.0
2015-06-12,30.9,30.9,30.9,30.9,0.0
2015-06-15,30.9,30.9,30.9,30.9,0.0
2015-06-16,30.9,30.9,30.9,30.9,0.0
2015-06-17,30.9,30.9,30.9,30.9,0.0
2015-06-18,30.9,30.9,30.9,30.9,0.0
2015-06-19,30.9,30.9,30.9,30.9,0.0
2015-06-22,30.9,30.9,30.9,30.9,0.0
2015-06-23,30.9,30.9,30.9,30.9,0.0
2015-06-24,30.9,30.9,30.9,30.9,0.0
2015-06-25,30.9,30.9,30.9,30.9,0.0
2015-06-26,30.9,30.9,30.9,30.9,0.0
2015-06-29,30.9,30.9,30.9,30.9,0.0
2015-06-30,30.9,30.9,30.9,30.9,0.0
2015-07-01,30.9,30.9,30.9,30.9,0.0
2015-07-02,30.9,30.9,30.9,30.9,0.0
2015-07-03,30.9,30.9,30.9,30.9,0.0
2015-07-06,30.9,30.9,30.9,30.9,0.0
2015-07-07,30.9,30.9,30.9,30.9,0.0
2015-07-08,30.9,30.9,30.9,30.9,0.0
2015-07-09,30.9,30.9,30.9,30.9,0.0
2015-07-10,30.9,30.9,30.9,30.9,0.0
2015-07-13,30.9,30.9,30.9,30.9,0.0
2015-07-14,30.9,30.9,30.9,30.9,0.0
