,open,high,low,close,volume
2015-05-15,77.72,78.03,76.46,77.08,4500683.0
2015-05-18,77.41,80.48,77.17,80.02,2631536.0
2015-05-19,79.89,80.3,78.22,79.47,2821040.0
2015-05-20,79.88,80.54,78.84,79.91,2484613.0
2015-05-21,79.96,80.15,78.28,79.58,2313285.0
2015-05-22,80.31,81.06,79.63,80.52,2869282.0
2015-05-25,80.1,80.9,78.11,78.44,1608827.0
2015-05-26,78.45,80.26,78.45,78.74,4137644.0
2015-05-27,78.47,78.86,75.12,77.25,9104535.0
2015-05-28,75.43,78.07,75.03,77.04,6658275.0
2015-05-29,77.6,80.38,76.29,78.85,15197908.0
2015-06-01,79.07,79.65,77.55,79.35,3311898.0
2015-06-02,78.72,79.33,78.22,78.88,2592318.0
2015-06-03,78.31,80.7,75.53,76.02,3547336.0
2015-06-04,75.84,77.75,74.86,75.87,3783326.0
2015-06-05,75.87,78.84,75.44,78.3,4256488.0
2015-06-08,78.47,79.41,77.66,78.34,2804083.0
2015-06-09,78.86,79.84,76.65,79.23,4479819.0
2015-06-10,79.33,80.5,78.5,80.2,5346838.0
2015-06-11,80.7,81.11,79.08,80.01,6216612.0
2015-06-12,79.91,80.65,79.09,80.33,4656324.0
2015-06-15,80.1,81.11,79.47,80.52,2713467.0
2015-06-16,80.32,82.32,80.01,80.87,3304695.0
2015-06-17,80.82,81.52,80.23,81.11,3966511.0
2015-06-18,81.21,81.87,80.55,81.0,1884589.0
2015-06-19,80.89,81.68,79.52,80.31,2864478.0
2015-06-22,80.48,81.82,79.94,81.39,2492560.0
2015-06-23,81.39,82.83,80.37,81.88,3176453.0
2015-06-24,81.68,82.22,80.3,80.96,3249264.0
2015-06-25,80.81,84.74,79.34,83.69,7891679.0
2015-06-26,82.6,82.93,80.64,81.01,3124126.0
2015-06-29,80.3,81.01,79.61,80.53,2976122.0
2015-06-30,80.7,81.11,78.79,79.53,4053366.0
2015-07-01,79.49,81.35,78.83,79.11,6161138.0
2015-07-02,79.12,80.1,78.09,78.38,2963031.0
2015-07-03,78.27,79.03,77.69,78.12,1901684.0
2015-07-06,77.41,78.62,77.27,78.33,1845975.0
2015-07-07,78.47,79.02,77.87,77.96,1555192.0
2015-07-08,77.42,77.58,75.15,75.51,2737029.0
2015-07-09,75.72,76.1,74.16,74.45,2697481.0
2015-07-10,74.6,74.63,72.62,73.18,4911481.0
2015-07-13,73.57,75.9,73.34,75.58,4100051.0
2015-07-14,76.04,76.75,74.83,75.65,3970942.0
2015-07-15,75.63,76.23,74.84,75.79,3359038.0
2015-07-16,76.15,76.22,75.33,75.43,2866306.0
2015-07-17,75.98,75.98,75.08,75.39,1951906.0
2015-07-20,75.39,75.63,74.54,75.13,3114213.0
2015-07-21,75.39,75.54,73.73,74.01,2905253.0
2015-07-22,73.79,75.4,73.18,74.87,2042754.0
2015-07-23,76.04,76.45,74.64,75.07,5304960.0
2015-07-24,73.2,73.73,72.41,73.22,6068469.0
2015-07-27,73.0,73.06,71.29,71.78,3946156.0
2015-07-28,71.63,71.92,70.89,71.37,5121899.0
2015-07-29,70.97,72.13,69.98,70.28,5982389.0
