,open,high,low,close,volume
2015-05-15,174.82,179.62,170.97,178.08,4845.0
2015-05-18,178.32,181.54,178.32,180.19,4377.0
2015-05-19,181.3,181.54,174.91,178.61,3215.0
2015-05-20,178.66,180.34,178.08,178.61,2039.0
2015-05-21,178.75,181.49,176.45,177.98,3256.0
2015-05-22,178.8,180.05,171.93,173.13,2669.0
2015-05-25,166.07,172.41,165.79,171.02,10271.0
2015-05-26,170.97,172.89,165.21,167.66,8956.0
2015-05-27,173.95,196.43,173.95,187.88,274960.0
2015-05-28,187.3,191.05,180.0,183.17,43483.0
2015-05-29,185.24,192.06,181.15,188.41,37185.0
2015-06-01,191.34,195.95,185.57,191.72,31009.0
2015-06-02,195.37,203.63,190.18,192.92,48147.0
2015-06-03,192.58,196.91,185.86,191.29,30033.0
2015-06-04,194.03,194.51,188.26,190.28,10163.0
2015-06-05,193.11,194.89,190.62,191.19,15475.0
2015-06-08,194.51,195.75,189.7,191.48,10335.0
2015-06-09,191.05,192.68,187.3,190.42,7992.0
2015-06-10,187.3,192.1,187.21,190.9,10593.0
2015-06-11,193.5,193.5,184.52,186.49,6603.0
2015-06-12,186.34,189.99,181.83,186.53,7485.0
2015-06-15,185.86,192.1,184.66,186.34,8857.0
2015-06-16,187.3,191.62,185.91,190.18,4875.0
2015-06-17,189.27,194.03,189.22,191.72,9100.0
2015-06-18,191.24,198.54,188.6,191.86,14782.0
2015-06-19,190.71,196.96,188.74,189.9,8039.0
2015-06-22,189.7,195.03,189.7,193.59,7620.0
2015-06-23,195.51,196.38,192.06,194.99,11578.0
2015-06-24,194.84,196.91,190.66,194.41,17336.0
2015-06-25,192.73,205.17,192.73,200.22,47799.0
2015-06-26,201.71,203.15,195.95,198.83,16469.0
2015-06-29,197.87,197.87,190.28,194.07,11844.0
2015-06-30,187.4,199.02,187.4,197.53,11664.0
2015-07-01,197.72,200.75,197.39,198.44,6617.0
2015-07-02,199.74,224.09,198.88,216.02,98783.0
2015-07-03,219.0,231.49,216.12,222.7,94528.0
2015-07-06,220.73,241.09,216.17,237.44,91119.0
2015-07-07,238.16,240.03,225.72,227.26,35914.0
2015-07-08,219.48,226.2,211.22,217.7,33139.0
2015-07-09,218.09,223.61,212.37,217.7,24910.0
2015-07-10,217.7,224.67,215.4,217.03,19779.0
2015-07-13,217.22,230.43,216.12,224.86,40320.0
2015-07-14,236.29,241.09,232.93,236.72,88038.0
2015-07-15,238.64,250.41,234.7,246.81,123155.0
2015-07-16,250.7,266.06,250.7,254.87,163734.0
2015-07-17,256.46,258.14,243.92,246.85,83707.0
2015-07-20,245.94,252.43,241.28,242.87,27439.0
2015-07-21,244.93,259.34,243.97,246.23,81375.0
2015-07-22,244.98,261.26,244.98,255.6,84630.0
2015-07-23,258.14,306.69,257.85,295.7,930014.0
2015-07-24,297.67,306.26,286.62,290.17,151091.0
2015-07-27,290.17,311.98,289.6,300.16,178843.0
2015-07-28,300.64,309.29,291.13,293.78,63964.0
2015-07-29,295.99,297.76,286.43,289.07,46482.0
2015-07-30,289.12,294.83,281.67,285.76,42858.0
2015-07-31,277.64,291.04,277.64,282.63,52368.0
2015-08-03,282.39,288.16,278.94,283.02,47467.0
2015-08-04,283.07,296.71,280.47,286.04,253553.0
2015-08-05,288.2,291.09,281.43,283.07,58210.0
2015-08-06,280.52,288.2,279.46,281.24,78980.0
2015-08-07,279.03,286.72,279.03,282.11,72157.0
2015-08-10,281.1,288.2,276.63,280.18,87643.0
2015-08-11,301.56,305.73,282.39,302.32,673704.0
2015-08-12,302.37,318.89,285.76,292.19,922671.0
2015-08-13,296.75,308.33,273.36,277.64,353975.0
2015-08-14,281.15,297.67,281.0,295.6,141121.0
2015-08-17,297.67,326.1,291.04,322.3,491779.0
2015-08-18,325.52,334.26,320.86,329.84,231550.0
2015-08-19,331.19,339.06,323.07,327.25,148411.0
2015-08-20,329.41,331.19,312.17,316.44,91782.0
2015-08-21,313.71,316.01,299.2,312.31,96060.0
2015-08-24,288.16,302.37,264.62,276.44,182299.0
2015-08-25,279.64,288.57,250.43,277.22,91005.0
2015-08-26,277.6,285.32,267.17,279.54,48019.0
2015-08-27,289.2,299.54,281.49,293.38,53061.0
2015-08-28,295.07,308.08,285.37,289.01,68485.0
2015-08-31,288.28,300.51,284.88,286.73,30685.0
2015-09-01,284.4,290.22,273.72,276.34,38214.0
2015-09-02,279.35,286.19,272.75,275.81,30589.0
2015-09-03,281.39,290.22,280.9,285.32,37022.0
2015-09-04,285.56,296.43,279.54,285.51,100588.0
2015-09-07,279.59,291.19,267.02,271.05,48374.0
2015-09-08,275.61,275.61,255.42,265.13,112328.0
2015-09-09,272.7,275.95,270.18,271.97,41126.0
2015-09-10,263.67,273.91,263.24,271.97,27284.0
2015-09-11,276.24,280.47,273.87,276.78,28286.0
2015-09-14,279.3,285.66,275.27,282.99,41622.0
2015-09-15,288.67,288.67,278.09,280.37,31721.0
2015-09-16,285.47,285.47,279.54,280.66,26525.0
2015-09-18,291.19,299.93,284.2,293.04,129694.0
2015-09-21,292.26,305.12,291.48,302.99,70111.0
2015-09-22,306.72,321.19,301.38,306.87,165070.0
2015-09-23,304.78,326.14,299.83,323.03,116384.0
2015-09-24,326.62,334.68,318.61,320.65,81924.0
2015-09-28,326.62,333.27,313.52,318.37,43744.0
2015-09-29,312.55,320.31,307.69,317.01,44056.0
2015-09-30,323.17,330.02,318.37,324.97,58702.0
2015-10-01,332.93,355.25,325.41,340.99,204371.0
2015-10-05,344.58,355.25,343.9,350.3,133589.0
2015-10-06,353.65,354.82,343.61,345.84,47001.0
2015-10-07,344.19,355.98,343.85,345.31,62435.0
2015-10-08,343.61,347.44,332.49,336.81,50356.0
2015-10-09,339.63,343.56,331.04,332.83,31379.0
2015-10-12,331.96,344.58,331.96,337.35,36480.0
2015-10-13,337.49,346.32,337.49,344.87,41879.0
2015-10-14,347.25,348.95,337.78,338.9,22068.0
2015-10-15,343.12,351.86,338.95,341.33,36874.0
2015-10-16,338.32,346.71,338.32,340.79,23146.0
2015-10-19,339.77,348.46,338.75,339.97,34144.0
2015-10-20,351.37,351.37,339.77,346.52,40280.0
2015-10-21,347.83,347.83,337.35,341.33,19557.0
2015-10-23,348.46,348.46,338.56,340.55,22778.0
2015-10-26,344.24,344.29,330.11,332.1,13084.0
2015-10-27,332.35,332.93,326.14,328.08,15179.0
2015-10-28,325.16,329.78,316.19,320.26,61412.0
2015-10-29,324.19,330.07,322.54,324.78,32492.0
2015-10-30,325.7,339.53,318.86,336.38,202295.0
2015-11-02,337.73,355.16,334.87,351.71,215970.0
2015-11-03,354.96,357.88,343.66,348.41,45820.0
2015-11-04,349.43,368.55,347.49,362.97,171772.0
2015-11-05,363.07,375.59,322.25,334.97,311076.0
2015-11-06,336.81,352.15,329.29,337.3,67757.0
