,open,high,low,close,volume
2015-05-15,295.61,300.53,295.01,297.3,129109.0
2015-05-18,297.05,299.85,293.74,297.35,43411.0
2015-05-19,296.67,298.66,293.06,293.74,22808.0
2015-05-20,294.33,296.58,291.66,292.72,45489.0
2015-05-21,293.23,299.68,291.61,296.92,37398.0
2015-05-22,299.26,348.27,293.06,294.08,92490.0
2015-05-25,293.91,295.52,290.68,291.27,12360.0
2015-05-26,290.98,294.67,290.93,293.01,7316.0
2015-05-27,291.4,299.39,290.72,297.13,97755.0
2015-05-28,299.34,299.68,293.48,295.69,20096.0
2015-05-29,293.95,295.56,287.15,289.23,90263.0
2015-06-01,288.81,292.84,287.96,291.06,17429.0
2015-06-02,291.36,293.48,284.56,285.33,119557.0
2015-06-03,286.26,288.77,282.18,284.27,46120.0
2015-06-04,283.71,287.83,281.25,282.06,46444.0
2015-06-05,282.01,292.08,280.32,282.35,53361.0
2015-06-08,284.56,284.95,281.93,283.12,32750.0
2015-06-09,280.36,286.13,280.32,284.48,41794.0
2015-06-10,283.71,297.22,283.71,295.82,53464.0
2015-06-11,295.82,303.85,290.81,301.13,387879.0
2015-06-12,297.39,301.55,294.63,295.61,20291.0
2015-06-15,295.52,299.0,289.74,295.48,129319.0
2015-06-16,297.56,301.98,293.1,299.73,38940.0
2015-06-17,298.54,302.78,296.58,300.07,27654.0
2015-06-18,299.85,301.34,297.3,298.11,9114.0
2015-06-19,299.0,304.06,293.74,301.08,26186.0
2015-06-22,299.85,300.83,294.76,297.94,25367.0
2015-06-23,298.79,304.44,295.61,299.26,23454.0
2015-06-24,298.58,305.8,294.08,295.69,38203.0
2015-06-25,297.3,298.71,293.1,295.01,10464.0
2015-06-26,294.76,295.22,287.49,288.51,45011.0
2015-06-29,286.43,287.11,281.67,285.96,26846.0
2015-06-30,286.26,287.96,282.01,283.76,58646.0
2015-07-01,283.71,291.36,282.86,290.17,51121.0
2015-07-02,287.28,296.46,287.28,290.51,165752.0
