,open,high,low,close,volume
2015-05-15,500.02,517.53,498.08,503.67,92024.0
2015-05-18,507.8,517.48,505.86,514.03,67850.0
2015-05-19,514.57,529.21,507.17,524.59,89097.0
2015-05-20,526.24,534.95,523.76,527.21,167224.0
2015-05-21,531.54,531.54,515.59,525.95,48913.0
2015-05-22,521.57,544.67,521.57,532.85,104639.0
2015-05-25,527.36,537.57,525.61,528.04,24467.0
2015-05-26,529.64,533.78,525.41,528.48,25755.0
2015-05-27,532.13,532.13,514.23,524.49,59742.0
2015-05-28,525.61,530.86,515.59,522.06,153479.0
2015-05-29,522.25,533.1,503.91,515.05,844279.0
2015-06-01,508.78,534.95,508.78,525.17,64653.0
2015-06-02,525.56,529.11,517.92,520.89,20989.0
2015-06-03,521.08,526.68,499.05,504.25,431097.0
2015-06-04,504.25,515.59,501.97,513.25,77512.0
2015-06-05,513.64,524.25,511.26,513.79,140133.0
2015-06-08,519.24,519.48,499.15,516.27,70863.0
2015-06-09,513.64,518.02,505.86,507.8,23338.0
2015-06-10,509.7,517.53,505.86,507.95,103404.0
2015-06-11,510.67,513.35,497.4,502.79,23852.0
2015-06-12,503.82,503.82,489.13,495.64,15838.0
2015-06-15,501.87,507.27,496.13,504.59,64927.0
2015-06-16,505.86,509.75,498.22,505.18,21687.0
2015-06-17,510.14,510.77,503.96,506.88,16574.0
2015-06-18,513.54,531.15,504.01,519.33,29651.0
2015-06-19,523.37,523.37,511.7,516.37,20378.0
2015-06-22,518.17,523.22,513.88,517.48,63089.0
2015-06-23,519.48,530.08,514.76,525.61,132201.0
2015-06-24,527.26,543.6,516.56,530.13,69191.0
2015-06-25,543.8,543.8,520.45,529.01,130985.0
2015-06-26,527.26,553.48,520.45,531.83,79749.0
2015-06-29,521.52,525.32,507.8,515.34,15782.0
2015-06-30,509.9,529.74,509.9,521.57,26972.0
2015-07-01,521.57,539.86,521.57,531.69,120046.0
2015-07-02,532.13,543.56,526.39,528.09,63749.0
2015-07-03,533.1,539.71,529.26,533.34,56793.0
2015-07-06,525.41,541.85,525.41,531.49,55123.0
2015-07-07,534.56,544.72,529.21,540.69,359670.0
2015-07-08,532.22,575.9,532.13,569.04,666685.0
2015-07-09,578.72,591.37,569.09,572.45,110028.0
2015-07-10,576.39,578.82,567.39,574.1,82401.0
2015-07-13,576.87,583.68,576.0,579.01,115118.0
2015-07-14,579.01,584.27,573.13,574.69,132764.0
2015-07-15,578.64,581.56,570.83,572.15,137684.0
2015-07-16,575.42,580.59,571.03,579.27,20255.0
2015-07-17,579.08,580.59,570.93,573.47,15029.0
2015-07-20,579.56,580.59,567.9,578.2,28052.0
2015-07-21,580.44,590.05,562.05,565.32,56783.0
2015-07-22,564.0,570.83,545.12,552.93,54008.0
2015-07-23,556.19,575.22,551.32,565.66,1806584.0
2015-07-24,547.41,559.61,546.44,551.75,59133.0
2015-07-27,549.66,551.51,522.04,525.51,135107.0
2015-07-28,519.6,558.15,519.6,550.44,176148.0
2015-07-29,552.78,579.61,540.0,571.86,100708.0
2015-07-30,571.32,577.71,545.41,547.22,54260.0
2015-07-31,552.29,557.07,540.68,547.56,47065.0
2015-08-03,542.53,545.46,526.92,532.53,42674.0
2015-08-04,531.75,537.65,523.51,526.77,66458.0
2015-08-05,533.75,542.44,519.65,525.26,94689.0
2015-08-06,530.78,535.7,511.41,520.24,62634.0
2015-08-07,520.48,524.77,502.72,507.11,78298.0
2015-08-10,507.41,517.46,503.5,509.36,236034.0
2015-08-11,507.7,516.19,504.48,507.94,34103.0
2015-08-12,505.8,514.24,496.67,511.31,239546.0
2015-08-13,507.41,522.04,507.41,518.77,255150.0
2015-08-14,521.41,526.73,508.38,511.41,112797.0
2015-08-17,507.36,510.28,497.7,501.01,34284.0
2015-08-18,506.38,525.95,503.65,516.68,93466.0
2015-08-19,520.04,520.04,508.38,512.77,16773.0
2015-08-20,510.28,513.99,498.14,505.36,36704.0
2015-08-21,500.09,517.11,495.7,514.04,35088.0
2015-08-24,507.31,507.31,478.13,488.28,41868.0
2015-08-25,507.41,517.16,425.93,514.77,107153.0
2015-08-26,506.53,514.24,489.55,503.11,80025.0
2015-08-27,508.48,516.19,497.7,503.7,66199.0
2015-08-28,511.31,522.04,497.7,507.41,27685.0
2015-08-31,506.43,517.16,506.43,514.92,41934.0
2015-09-01,511.75,511.75,483.99,492.92,38830.0
2015-09-02,494.72,505.36,494.72,502.09,18996.0
2015-09-03,502.53,516.97,497.75,511.99,24560.0
2015-09-04,509.36,531.8,489.84,517.94,40543.0
2015-09-07,520.04,523.46,498.18,510.33,63104.0
2015-09-08,512.28,535.7,497.65,526.53,46153.0
2015-09-09,554.24,556.19,522.04,526.19,135423.0
2015-09-10,517.26,535.51,507.5,521.41,47700.0
2015-09-11,526.34,526.34,512.82,517.94,16939.0
2015-09-14,519.11,520.04,509.5,512.77,25080.0
2015-09-15,512.58,512.58,503.5,505.45,112691.0
2015-09-16,508.43,511.99,502.53,507.21,30586.0
2015-09-18,511.26,511.5,496.67,499.31,243266.0
2015-09-21,499.6,499.6,489.01,496.28,115435.0
2015-09-22,497.7,504.43,490.23,498.14,43857.0
2015-09-23,499.6,499.6,484.96,494.18,330416.0
2015-09-24,489.45,517.16,488.72,507.8,42036.0
