,open,high,low,close,volume
2015-05-15,67.37,72.58,66.17,71.64,438057.0
2015-05-18,72.79,78.38,72.58,77.57,1047193.0
2015-05-19,77.91,79.75,76.04,77.06,552958.0
2015-05-20,77.27,77.87,73.18,73.69,478877.0
2015-05-21,74.24,79.41,73.99,78.98,1405536.0
2015-05-22,79.41,80.01,76.25,77.19,1183931.0
2015-05-25,77.27,78.3,71.98,72.49,794146.0
2015-05-26,73.05,73.6,69.5,72.19,436744.0
2015-05-27,71.3,72.28,70.57,71.34,155565.0
2015-05-28,71.68,72.41,69.33,70.06,144506.0
2015-05-29,70.36,72.15,69.59,69.97,157960.0
2015-06-01,70.44,71.21,68.39,68.99,153691.0
2015-06-02,68.99,69.08,63.7,64.21,365358.0
2015-06-03,64.04,64.68,58.4,61.99,596754.0
2015-06-04,62.76,62.76,60.62,61.56,279352.0
2015-06-05,61.31,62.84,60.84,61.52,179165.0
2015-06-08,61.61,62.46,61.31,61.56,95047.0
2015-06-09,62.12,62.12,59.39,59.94,124083.0
2015-06-10,60.58,61.65,60.03,61.39,124349.0
2015-06-11,61.86,62.08,58.23,58.96,111684.0
2015-06-12,58.87,61.18,56.95,59.77,256649.0
2015-06-15,61.01,61.01,59.77,60.03,116872.0
2015-06-16,59.77,60.54,59.47,60.11,100315.0
2015-06-17,60.54,61.9,60.32,60.75,205783.0
2015-06-18,61.39,64.34,60.62,63.87,436686.0
2015-06-19,64.3,65.41,63.01,64.0,211574.0
2015-06-22,64.04,65.92,64.04,65.66,107760.0
2015-06-23,65.87,66.94,65.32,66.47,170415.0
2015-06-24,66.69,68.22,65.62,66.86,197794.0
2015-06-25,66.9,69.5,66.0,69.16,294148.0
2015-06-26,69.12,69.76,67.03,67.45,131848.0
2015-06-29,66.39,66.39,64.34,65.06,159447.0
2015-06-30,64.94,67.07,64.68,65.32,144664.0
2015-07-01,65.7,68.09,65.62,67.11,165246.0
2015-07-02,67.45,68.27,66.0,66.47,134504.0
2015-07-03,66.98,67.97,66.43,66.73,157645.0
2015-07-06,66.17,67.63,65.49,67.2,125377.0
2015-07-07,68.44,73.6,67.75,72.58,662870.0
2015-07-08,74.2,76.16,71.89,72.75,1696569.0
2015-07-09,72.58,75.48,70.87,72.96,511963.0
2015-07-10,73.35,74.29,72.24,72.66,161081.0
2015-07-13,73.22,74.97,72.66,73.22,174609.0
2015-07-14,73.43,75.31,73.0,74.07,269765.0
2015-07-15,74.9,75.78,73.9,74.82,146097.0
2015-07-16,75.04,76.66,73.72,74.12,212115.0
2015-07-17,74.64,74.95,73.59,73.77,82648.0
2015-07-20,74.55,76.13,73.33,74.51,227891.0
2015-07-21,74.6,75.04,72.14,72.45,86703.0
2015-07-22,72.28,73.11,70.96,72.71,85600.0
2015-07-23,72.71,74.64,72.71,73.24,73376.0
2015-07-24,72.98,74.2,72.06,72.63,72150.0
2015-07-27,70.7,74.42,70.7,72.41,111406.0
2015-07-28,72.71,81.78,71.84,80.47,1540182.0
2015-07-29,84.45,85.33,80.77,81.3,2295158.0
