,open,high,low,close,volume
2015-05-15,1356.91,1369.1,1340.95,1361.2,14296.0
2015-05-18,1359.41,1403.12,1348.93,1377.68,43044.0
2015-05-19,1362.53,1380.02,1354.81,1365.9,11810.0
2015-05-20,1375.4,1375.4,1344.31,1348.3,14990.0
2015-05-21,1348.49,1354.81,1335.95,1348.83,6840.0
2015-05-22,1352.71,1355.11,1336.33,1341.01,9272.0
2015-05-25,1341.01,1351.06,1335.91,1343.37,6978.0
2015-05-26,1336.81,1348.51,1325.41,1340.74,8948.0
2015-05-27,1325.83,1344.27,1312.8,1330.7,15976.0
2015-05-28,1334.62,1356.91,1321.21,1344.67,17342.0
2015-05-29,1342.21,1361.11,1338.01,1356.12,16128.0
2015-06-01,1342.63,1371.62,1315.17,1364.16,21664.0
2015-06-02,1367.0,1390.23,1354.44,1385.38,43940.0
2015-06-03,1386.32,1386.68,1322.47,1352.12,33050.0
2015-06-04,1349.62,1364.98,1325.89,1337.55,26190.0
2015-06-05,1330.09,1360.69,1330.09,1343.93,10986.0
2015-06-08,1324.57,1339.65,1323.73,1336.08,10884.0
2015-06-09,1321.21,1360.69,1312.8,1341.98,19640.0
2015-06-10,1344.79,1365.32,1340.14,1354.39,12776.0
2015-06-11,1340.53,1361.35,1340.53,1348.09,10328.0
2015-06-12,1325.41,1378.34,1325.41,1358.33,13048.0
2015-06-15,1361.56,1374.98,1357.78,1368.93,8358.0
2015-06-16,1371.62,1381.78,1361.11,1377.6,7388.0
2015-06-17,1377.92,1412.74,1372.9,1396.99,36182.0
2015-06-18,1406.91,1406.91,1384.2,1392.02,14282.0
2015-06-19,1391.95,1398.92,1380.06,1385.02,27634.0
2015-06-22,1383.04,1394.28,1371.62,1376.78,16486.0
2015-06-23,1385.9,1388.78,1364.84,1373.53,18512.0
2015-06-24,1375.88,1384.54,1363.22,1370.0,18128.0
2015-06-25,1370.3,1375.4,1363.22,1370.95,8902.0
2015-06-26,1370.33,1386.28,1351.28,1381.11,13504.0
2015-06-29,1359.43,1385.9,1345.99,1380.9,14022.0
2015-06-30,1367.44,1428.33,1367.44,1406.53,82206.0
2015-07-01,1411.53,1411.53,1388.0,1396.17,18700.0
2015-07-02,1396.17,1411.53,1390.5,1408.17,14288.0
2015-07-03,1408.17,1411.53,1392.05,1406.23,11792.0
2015-07-06,1386.32,1410.27,1386.32,1408.82,14468.0
2015-07-07,1411.43,1442.61,1401.02,1431.0,22904.0
2015-07-08,1417.83,1497.65,1408.17,1453.93,57338.0
2015-07-09,1453.93,1480.84,1428.75,1435.47,29306.0
2015-07-10,1439.7,1453.09,1419.93,1429.86,14786.0
2015-07-13,1442.19,1442.19,1422.03,1432.63,12008.0
2015-07-14,1449.34,1457.74,1428.33,1435.53,21724.0
2015-07-15,1422.91,1451.44,1422.91,1438.39,25098.0
2015-07-16,1440.51,1447.6,1429.76,1437.11,11880.0
2015-07-17,1446.81,1448.92,1428.33,1436.19,26548.0
2015-07-20,1435.92,1447.26,1419.09,1426.55,41550.0
2015-07-21,1415.75,1438.39,1413.63,1419.47,15694.0
2015-07-22,1421.57,1445.55,1415.79,1443.83,23618.0
2015-07-23,1481.37,1487.04,1463.06,1483.55,30316.0
2015-07-24,1469.16,1482.02,1466.98,1477.27,10534.0
2015-07-27,1477.23,1484.64,1462.97,1474.52,7056.0
2015-07-28,1475.02,1490.52,1449.98,1478.91,20768.0
2015-07-29,1491.39,1519.3,1478.75,1501.88,24762.0
2015-07-30,1504.04,1558.1,1499.68,1539.68,116622.0
2015-07-31,1554.17,1554.17,1505.34,1535.56,37912.0
2015-08-03,1521.48,1602.13,1513.24,1566.16,59646.0
2015-08-04,1579.02,1623.92,1537.65,1610.8,60074.0
2015-08-05,1610.85,1667.52,1600.01,1636.59,34224.0
2015-08-06,1641.36,1647.22,1613.03,1626.35,12478.0
2015-08-07,1615.64,1626.13,1594.78,1599.89,24652.0
2015-08-10,1596.02,1621.74,1559.36,1576.8,32228.0
2015-08-11,1592.04,1592.04,1558.1,1574.84,11254.0
2015-08-12,1574.84,1597.77,1560.75,1581.16,10894.0
2015-08-13,1576.82,1589.05,1565.07,1570.63,14320.0
2015-08-14,1569.59,1617.36,1568.99,1604.18,19138.0
2015-08-17,1595.31,1602.13,1573.33,1592.14,11480.0
2015-08-18,1592.13,1606.44,1592.13,1597.59,6912.0
2015-08-19,1599.95,1612.15,1569.93,1578.21,23936.0
2015-08-20,1583.38,1597.98,1565.07,1571.23,11798.0
2015-08-21,1563.7,1579.02,1547.63,1564.17,13092.0
2015-08-24,1533.68,1542.37,1472.21,1486.21,29628.0
2015-08-25,1504.04,1525.4,1440.82,1474.5,24132.0
2015-08-26,1504.04,1504.04,1455.02,1472.43,12156.0
2015-08-27,1482.27,1499.68,1450.42,1469.51,21590.0
2015-08-28,1469.51,1493.36,1467.44,1479.38,16484.0
2015-08-31,1460.47,1500.99,1460.47,1481.04,15158.0
2015-09-01,1469.19,1514.91,1452.4,1473.3,36444.0
2015-09-02,1518.86,1518.86,1456.08,1467.52,38046.0
2015-09-03,1477.84,1483.55,1462.84,1477.53,15972.0
2015-09-04,1477.01,1480.06,1459.16,1468.55,16072.0
2015-09-07,1464.8,1478.51,1451.9,1458.29,7952.0
2015-09-08,1437.77,1469.13,1423.8,1448.71,12078.0
2015-09-09,1453.95,1464.56,1435.55,1447.3,13292.0
2015-09-10,1446.93,1479.62,1438.64,1460.83,26310.0
2015-09-11,1445.27,1477.85,1445.27,1453.36,28764.0
2015-09-14,1466.98,1469.16,1440.82,1450.42,12602.0
2015-09-15,1450.42,1464.37,1439.08,1449.76,18256.0
2015-09-16,1451.78,1458.2,1439.52,1448.04,8814.0
2015-09-18,1466.55,1466.55,1441.09,1460.14,52916.0
2015-09-21,1459.54,1475.26,1446.87,1459.79,12814.0
2015-09-22,1470.47,1471.34,1451.72,1459.41,9216.0
2015-09-23,1467.83,1475.73,1452.16,1459.05,12330.0
2015-09-24,1448.48,1486.14,1448.48,1469.84,20254.0
2015-09-28,1482.18,1482.18,1443.0,1446.23,20624.0
2015-09-29,1449.54,1453.9,1445.18,1449.87,9190.0
2015-09-30,1453.06,1481.37,1439.08,1464.61,21130.0
2015-10-01,1471.34,1481.8,1453.03,1466.52,20196.0
2015-10-05,1469.95,1480.93,1458.26,1462.58,12192.0
2015-10-06,1464.74,1493.16,1453.99,1470.71,21712.0
2015-10-07,1469.16,1497.5,1467.75,1476.96,13166.0
2015-10-08,1492.68,1492.68,1452.75,1467.31,18368.0
2015-10-09,1458.7,1477.01,1434.28,1447.06,35396.0
2015-10-12,1451.97,1455.21,1440.87,1446.68,19146.0
2015-10-13,1438.67,1451.1,1438.64,1442.03,14078.0
2015-10-14,1438.69,1446.67,1434.04,1438.71,18840.0
2015-10-15,1441.52,1453.9,1435.18,1440.67,18106.0
2015-10-16,1449.06,1460.01,1443.0,1448.92,21594.0
2015-10-19,1444.85,1454.82,1438.67,1445.51,16582.0
2015-10-20,1446.06,1449.08,1436.46,1438.69,16526.0
2015-10-21,1438.67,1445.18,1437.03,1440.17,7970.0
2015-10-23,1434.28,1453.9,1429.93,1447.8,17152.0
2015-10-26,1447.8,1453.9,1422.23,1437.99,18074.0
2015-10-27,1438.64,1438.64,1423.39,1431.08,14840.0
2015-10-28,1432.1,1443.41,1425.61,1430.88,9422.0
2015-10-29,1427.75,1441.7,1418.59,1428.51,8986.0
2015-10-30,1423.39,1458.26,1423.39,1443.06,12174.0
2015-11-02,1426.44,1429.82,1378.05,1412.49,52368.0
2015-11-03,1412.49,1426.0,1407.69,1415.02,11280.0
2015-11-04,1414.67,1415.1,1405.21,1408.89,11544.0
2015-11-05,1408.56,1414.23,1388.51,1399.08,8634.0
2015-11-06,1398.97,1412.49,1385.24,1400.47,11960.0
2015-11-09,1400.28,1412.49,1382.76,1408.72,7472.0
2015-11-10,1407.67,1407.67,1364.53,1368.98,26778.0
2015-11-11,1407.67,1407.67,1364.53,1368.98,26778.0
2015-11-13,1374.12,1378.92,1366.71,1375.1,10138.0
2015-11-16,1372.82,1373.25,1351.45,1364.16,14150.0
2015-11-17,1365.4,1373.25,1341.43,1364.14,27546.0
2015-11-18,1366.69,1373.25,1346.66,1362.2,9606.0
2015-11-19,1351.45,1386.33,1351.45,1374.06,18008.0
2015-11-20,1392.87,1405.51,1369.46,1394.51,9558.0
2015-11-23,1403.77,1423.39,1382.84,1409.17,8924.0
2015-11-24,1420.33,1423.36,1397.23,1419.09,11160.0
2015-11-26,1404.74,1442.96,1404.74,1431.95,11920.0
2015-11-27,1429.43,1443.47,1421.34,1429.14,5280.0
2015-11-30,1431.26,1444.31,1399.41,1437.01,8964.0
2015-12-01,1438.18,1447.36,1419.77,1435.81,7570.0
2015-12-02,1435.62,1443.0,1427.75,1441.13,11204.0
2015-12-03,1440.8,1440.82,1419.22,1425.5,17252.0
2015-12-04,1424.43,1440.82,1411.18,1432.02,8908.0
2015-12-07,1441.32,1445.84,1423.39,1428.53,5800.0
2015-12-08,1444.09,1444.09,1412.49,1430.62,9034.0
2015-12-09,1437.77,1438.64,1409.87,1425.67,9994.0
2015-12-10,1434.26,1438.64,1408.13,1417.04,13450.0
2015-12-11,1416.85,1424.67,1402.11,1414.58,10784.0
2015-12-14,1414.67,1449.54,1402.02,1440.43,15446.0
2015-12-15,1443.88,1451.72,1438.49,1444.79,12060.0
2015-12-16,1451.48,1451.48,1373.75,1438.38,51350.0
2015-12-17,1441.7,1442.57,1425.7,1437.47,7416.0
2015-12-18,1427.72,1449.48,1417.37,1427.9,13260.0
2015-12-21,1414.67,1436.46,1414.67,1429.11,5066.0
2015-12-22,1428.62,1429.93,1415.1,1425.54,9022.0
2015-12-23,1413.9,1449.54,1413.9,1437.42,15354.0
2015-12-24,1422.95,1438.56,1422.95,1436.66,4132.0
2015-12-28,1436.46,1449.46,1422.3,1429.58,8480.0
2015-12-29,1429.52,1441.26,1426.0,1437.36,64476.0
2015-12-30,1441.23,1458.26,1427.75,1449.19,61786.0
2015-12-31,1449.08,1449.54,1432.98,1444.77,22440.0
2016-01-01,1445.18,1446.12,1433.41,1436.4,3900.0
2016-01-04,1428.62,1438.21,1414.64,1420.42,11306.0
2016-01-05,1421.18,1438.21,1408.13,1428.97,10970.0
2016-01-06,1420.44,1436.44,1417.72,1428.64,6270.0
2016-01-07,1424.26,1427.25,1402.02,1409.57,11964.0
2016-01-08,1405.95,1449.54,1405.95,1436.68,19656.0
2016-01-11,1436.46,1436.46,1402.9,1408.39,12436.0
2016-01-12,1403.79,1437.75,1403.79,1425.59,13202.0
2016-01-13,1434.28,1443.0,1399.41,1436.07,18096.0
2016-01-14,1434.07,1437.77,1399.41,1409.48,13618.0
2016-01-15,1412.46,1418.59,1388.51,1398.29,10576.0
2016-01-18,1378.05,1395.55,1371.03,1378.59,14368.0
2016-01-19,1380.64,1438.64,1370.64,1396.97,49774.0
2016-01-20,1381.1,1381.1,1351.98,1370.14,23790.0
2016-01-21,1373.28,1381.27,1321.84,1337.83,24454.0
2016-01-22,1340.12,1407.69,1331.88,1377.45,21844.0
2016-01-25,1399.41,1400.28,1378.13,1388.12,6416.0
2016-01-27,1392.43,1416.15,1377.61,1408.41,7474.0
2016-01-28,1395.48,1415.97,1389.49,1407.95,6734.0
2016-01-29,1404.2,1427.75,1399.91,1410.92,11566.0
2016-02-01,1411.18,1444.18,1395.05,1437.42,15904.0
2016-02-02,1436.86,1438.64,1410.74,1422.17,30776.0
2016-02-03,1422.08,1422.08,1395.09,1398.58,22698.0
2016-02-04,1399.41,1414.88,1387.36,1406.73,8908.0
2016-02-05,1406.38,1459.92,1401.59,1441.39,17120.0
2016-02-08,1434.28,1441.26,1418.0,1437.16,5302.0
2016-02-09,1421.49,1433.98,1407.65,1414.1,4346.0
2016-02-10,1412.92,1431.64,1403.77,1414.54,12582.0
2016-02-11,1412.49,1412.49,1386.33,1396.01,18508.0
2016-02-12,1411.15,1416.85,1358.86,1404.74,12178.0
2016-02-15,1392.87,1415.1,1391.21,1401.85,7472.0
2016-02-16,1388.95,1405.95,1375.43,1386.24,6906.0
2016-02-17,1382.84,1416.19,1373.25,1402.52,11486.0
2016-02-18,1412.49,1412.49,1388.95,1397.32,14654.0
2016-02-19,1373.28,1415.97,1373.28,1405.1,6176.0
2016-02-22,1405.05,1410.31,1385.48,1407.39,6310.0
2016-02-23,1394.51,1414.67,1388.51,1406.95,5834.0
2016-02-24,1403.31,1406.82,1386.39,1401.07,24866.0
2016-02-25,1399.82,1399.82,1362.35,1372.29,17370.0
2016-02-26,1371.94,1381.53,1359.43,1371.55,11180.0
2016-02-29,1369.76,1396.25,1347.12,1376.48,14086.0
2016-03-01,1376.3,1405.69,1376.28,1393.31,14490.0
2016-03-02,1392.33,1428.62,1388.77,1416.41,28130.0
2016-03-03,1409.06,1409.06,1386.33,1394.4,12038.0
2016-03-04,1394.39,1425.57,1391.6,1417.44,14296.0
2016-03-08,1401.61,1416.82,1390.69,1396.79,10792.0
2016-03-09,1399.32,1420.77,1393.96,1416.57,9004.0
2016-03-10,1407.17,1419.03,1397.23,1408.54,9438.0
2016-03-11,1405.7,1425.57,1397.27,1414.61,7940.0
2016-03-14,1408.1,1436.2,1397.39,1421.16,9976.0
2016-03-15,1420.33,1634.34,1403.72,1428.84,21794.0
2016-03-16,1428.62,1460.44,1412.71,1449.57,27208.0
2016-03-17,1449.54,1477.01,1438.64,1467.59,14900.0
2016-03-18,1467.39,1486.51,1453.03,1482.07,16540.0
2016-03-21,1481.78,1541.09,1469.44,1507.31,29456.0
