,open,high,low,close,volume
2015-05-15,901.79,904.3,866.96,883.88,1074308.0
2015-05-18,891.56,895.5,876.01,892.25,576971.0
2015-05-19,890.48,899.43,881.23,885.26,465409.0
2015-05-20,907.31,914.19,889.59,892.54,1543838.0
2015-05-21,895.2,898.99,876.36,881.67,705667.0
2015-05-22,888.21,891.02,861.6,871.24,720630.0
2015-05-25,872.57,873.55,856.13,858.15,257227.0
2015-05-26,861.05,862.78,844.47,852.15,328553.0
2015-05-27,847.97,852.0,838.42,848.36,698585.0
2015-05-28,851.21,854.9,836.94,843.78,647929.0
2015-05-29,853.28,866.57,843.34,861.35,808744.0
2015-06-01,838.62,856.72,805.95,852.25,1463108.0
2015-06-02,859.23,870.8,839.45,847.47,1172117.0
2015-06-03,856.13,856.13,816.28,840.19,624491.0
2015-06-04,841.37,845.31,808.11,821.3,748417.0
2015-06-05,821.69,845.65,818.2,831.68,922907.0
2015-06-08,836.06,847.52,818.49,842.06,605530.0
2015-06-09,839.41,843.34,823.86,835.47,517080.0
2015-06-10,835.52,854.17,835.52,843.64,394746.0
2015-06-11,851.12,858.79,846.64,852.3,923236.0
2015-06-12,860.07,866.96,838.52,865.58,666089.0
2015-06-15,875.82,880.74,866.47,875.22,760269.0
2015-06-16,878.77,916.16,876.31,907.99,1391076.0
2015-06-17,924.03,973.93,914.19,953.16,3064611.0
2015-06-18,955.48,985.34,934.61,973.39,2055606.0
2015-06-19,974.32,988.0,956.26,972.55,2022937.0
2015-06-22,964.73,973.24,960.54,966.89,596362.0
2015-06-23,973.24,1000.0,967.33,982.59,1025550.0
2015-06-24,983.08,987.51,957.54,963.2,746639.0
2015-06-25,955.52,974.22,955.52,969.01,971596.0
2015-06-26,967.14,981.55,950.01,966.89,698216.0
2015-06-29,926.1,961.43,926.1,958.87,478322.0
2015-06-30,975.21,984.06,969.55,978.31,1349302.0
2015-07-01,987.16,1005.12,979.14,1001.87,1137665.0
2015-07-02,1009.55,1017.23,995.13,1003.2,939405.0
2015-07-03,1003.15,1015.55,995.28,1003.01,366409.0
2015-07-06,984.06,1006.74,981.31,1002.76,661947.0
2015-07-07,1006.7,1008.66,995.62,1001.14,521376.0
2015-07-08,994.84,1007.93,971.76,1002.46,1058367.0
2015-07-09,1004.73,1034.94,1001.04,1020.62,1547285.0
2015-07-10,1024.8,1026.48,1005.71,1012.4,1007382.0
2015-07-13,1024.51,1028.05,1014.96,1022.69,758710.0
2015-07-14,1022.93,1044.09,1016.73,1037.05,1323049.0
