,open,high,low,close,volume
2015-05-15,85.06,87.07,84.63,86.68,94094.0
2015-05-18,87.62,87.8,85.27,86.34,369979.0
2015-05-19,86.38,87.54,85.57,86.68,245936.0
2015-05-20,87.28,87.45,86.34,86.73,27248.0
2015-05-21,88.14,88.48,84.37,86.08,44887.0
2015-05-22,87.03,87.03,85.4,85.66,37907.0
2015-05-25,86.64,86.64,85.01,85.79,21506.0
2015-05-26,86.43,86.94,85.31,85.7,41030.0
2015-05-27,85.79,86.73,83.6,86.47,269871.0
2015-05-28,87.2,87.97,85.66,86.9,363497.0
2015-05-29,88.99,89.42,83.86,85.06,602873.0
2015-06-01,85.57,86.43,85.23,85.44,296803.0
2015-06-02,86.34,86.34,84.24,84.37,353618.0
2015-06-03,84.29,85.66,82.32,83.13,93619.0
2015-06-04,83.22,83.82,81.42,83.0,63441.0
2015-06-05,81.34,84.2,81.34,82.49,32519.0
2015-06-08,83.86,86.08,82.15,84.76,172406.0
2015-06-09,84.54,85.4,83.56,84.33,47852.0
2015-06-10,85.4,88.14,83.56,84.93,177402.0
2015-06-11,85.49,86.3,84.16,85.06,58705.0
2015-06-12,85.57,85.57,83.86,84.42,32283.0
2015-06-15,85.57,86.85,84.37,85.19,39034.0
2015-06-16,86.38,86.38,84.5,85.1,28479.0
2015-06-17,85.19,86.64,84.8,85.53,42419.0
2015-06-18,85.96,86.0,84.54,84.72,33235.0
2015-06-19,85.23,85.74,83.26,83.52,66349.0
2015-06-22,84.29,84.89,83.0,84.16,50578.0
2015-06-23,84.29,84.8,84.12,84.29,38014.0
2015-06-24,84.59,84.67,83.35,83.52,59310.0
2015-06-25,84.54,84.54,81.98,83.56,67260.0
2015-06-26,83.77,83.95,82.11,82.41,54346.0
2015-06-29,82.15,82.58,80.31,80.91,70083.0
2015-06-30,80.74,81.63,79.62,80.01,100977.0
2015-07-01,80.61,83.86,80.01,83.13,124685.0
2015-07-02,83.22,83.77,82.15,82.7,54297.0
2015-07-03,83.35,84.97,82.15,82.58,159184.0
2015-07-06,82.15,82.83,81.12,81.29,80891.0
2015-07-07,82.11,82.83,80.78,81.55,71986.0
2015-07-08,81.25,82.32,80.27,80.61,89532.0
2015-07-09,80.65,81.38,80.39,80.48,44456.0
2015-07-10,81.29,82.15,79.58,81.25,55689.0
2015-07-13,81.29,82.45,79.71,80.09,108439.0
2015-07-14,80.44,81.21,79.45,79.67,116036.0
2015-07-15,80.31,81.72,79.97,80.74,128672.0
2015-07-16,81.12,81.12,78.3,78.43,302834.0
2015-07-17,79.15,80.78,78.81,79.58,143254.0
2015-07-20,80.14,81.76,80.01,80.82,206585.0
2015-07-21,81.46,82.15,79.41,79.71,82445.0
2015-07-22,79.71,80.78,79.71,80.31,65311.0
2015-07-23,80.09,81.25,79.88,80.39,86463.0
2015-07-24,80.69,81.21,79.58,79.67,56140.0
2015-07-27,79.28,80.31,78.47,78.77,96642.0
2015-07-28,78.9,79.15,77.4,77.7,53949.0
2015-07-29,77.87,79.02,76.63,76.89,64164.0
2015-07-30,77.53,77.61,76.24,76.89,63491.0
2015-07-31,77.01,79.15,77.01,77.96,153884.0
2015-08-03,78.64,78.64,77.1,77.4,80904.0
2015-08-04,77.96,78.38,76.93,77.57,89952.0
2015-08-05,79.41,79.41,76.59,77.01,1047470.0
2015-08-06,78.47,80.27,76.42,77.19,261114.0
2015-08-07,78.13,78.34,76.84,77.44,248773.0
2015-08-10,77.01,78.64,75.73,76.54,338456.0
2015-08-11,75.13,75.73,73.59,74.32,193161.0
2015-08-12,74.32,74.45,69.18,69.91,270008.0
2015-08-13,70.21,71.97,66.49,67.56,237407.0
2015-08-14,67.69,71.58,66.79,70.34,112298.0
2015-08-17,69.36,76.12,68.03,72.01,109049.0
2015-08-18,71.58,76.54,71.49,74.15,312964.0
2015-08-19,73.63,74.83,72.31,72.56,59283.0
2015-08-20,73.51,75.64,69.14,70.38,76437.0
2015-08-21,69.74,71.62,68.54,69.7,75163.0
2015-08-24,68.54,68.8,60.97,63.66,182368.0
2015-08-25,66.75,67.17,59.9,62.08,314602.0
2015-08-26,61.57,64.82,60.76,62.85,93407.0
2015-08-27,64.05,66.57,63.66,64.52,92020.0
2015-08-28,65.16,66.49,64.18,64.39,96808.0
2015-08-31,65.55,65.8,63.45,64.09,152945.0
2015-09-01,63.02,64.86,61.78,62.17,106558.0
2015-09-02,63.24,63.54,61.61,62.08,77721.0
2015-09-03,62.85,63.32,61.4,62.08,83028.0
2015-09-04,61.61,63.11,61.18,62.81,95014.0
2015-09-07,62.08,64.09,61.87,62.3,479514.0
2015-09-08,63.24,63.24,61.65,61.78,693122.0
2015-09-09,63.66,64.95,62.3,64.09,224802.0
2015-09-10,63.32,64.73,63.11,63.84,469801.0
2015-09-11,64.78,64.99,63.71,64.14,377695.0
2015-09-14,64.26,65.42,64.26,64.78,495626.0
2015-09-15,65.38,65.46,63.37,63.75,1177320.0
2015-09-16,64.18,64.78,63.79,63.88,146989.0
2015-09-18,64.78,64.82,62.12,63.79,748500.0
2015-09-21,63.75,66.1,63.32,65.03,458516.0
2015-09-22,65.72,66.57,64.69,65.16,520087.0
2015-09-23,64.36,66.28,64.05,65.92,326548.0
2015-09-24,65.92,66.01,65.12,65.3,77011.0
2015-09-28,65.92,65.92,63.51,63.96,57111.0
2015-09-29,63.25,64.09,62.27,63.34,115890.0
2015-09-30,63.69,64.36,63.29,63.78,57122.0
2015-10-01,63.51,64.41,59.68,62.62,125932.0
2015-10-05,63.87,64.14,62.67,64.09,88531.0
2015-10-06,65.74,66.28,63.92,64.54,1470334.0
2015-10-07,64.98,65.65,63.69,63.96,448597.0
2015-10-08,64.98,65.03,63.25,64.58,136149.0
2015-10-09,64.63,65.92,64.36,64.63,184491.0
2015-10-12,65.47,68.81,64.45,67.66,1180132.0
2015-10-13,67.7,68.99,66.94,67.66,259132.0
2015-10-14,67.43,68.41,66.81,67.52,304496.0
2015-10-15,67.34,68.37,66.72,66.9,163104.0
2015-10-16,67.48,71.09,66.54,69.08,994445.0
2015-10-19,69.66,69.66,67.08,67.83,197863.0
2015-10-20,67.52,70.2,67.26,68.37,1804858.0
2015-10-21,68.99,70.11,67.12,67.39,474700.0
2015-10-23,68.19,68.86,67.61,68.15,242736.0
2015-10-26,68.24,68.95,66.94,67.08,118879.0
2015-10-27,67.03,67.34,64.85,66.01,78944.0
2015-10-28,66.01,67.61,65.47,66.37,58855.0
2015-10-29,66.63,67.26,65.43,65.56,78192.0
2015-10-30,66.5,67.08,65.07,65.25,89727.0
2015-11-02,65.34,65.47,64.67,64.98,161783.0
2015-11-03,64.81,66.28,64.81,64.98,46089.0
2015-11-04,65.52,66.37,65.03,65.39,1062633.0
2015-11-05,65.34,65.92,64.58,64.9,65551.0
2015-11-06,65.07,65.39,63.07,63.65,103085.0
2015-11-09,62.4,66.32,62.36,65.65,427021.0
2015-11-10,65.83,66.72,65.07,66.5,154588.0
2015-11-11,65.83,66.72,65.07,66.5,154588.0
2015-11-13,67.43,67.61,66.23,67.26,456510.0
2015-11-16,68.37,68.37,66.1,66.63,68692.0
2015-11-17,66.81,67.3,66.36,66.81,614944.0
2015-11-18,67.12,69.04,66.41,67.79,257992.0
2015-11-19,68.55,70.77,68.06,69.62,198377.0
2015-11-20,70.11,75.63,68.95,73.14,967493.0
2015-11-23,73.89,76.97,73.89,76.25,531095.0
2015-11-24,77.32,81.78,77.01,77.99,910524.0
2015-11-26,78.52,80.84,77.68,79.77,375404.0
2015-11-27,79.95,80.62,76.61,77.14,189472.0
2015-11-30,77.86,79.91,76.61,77.54,139888.0
2015-12-01,78.61,80.97,77.54,80.57,283464.0
2015-12-02,80.44,82.49,79.06,79.91,210650.0
2015-12-03,80.62,80.97,78.39,79.37,311771.0
