,open,high,low,close,volume
2015-05-15,65.08,65.08,62.19,63.24,32929.0
2015-05-18,62.42,64.07,62.42,63.47,15376.0
2015-05-19,63.29,65.12,63.06,64.75,37563.0
2015-05-20,65.03,65.58,63.93,64.48,31840.0
2015-05-21,64.39,65.21,63.33,64.25,39898.0
2015-05-22,64.02,65.12,63.29,63.65,34305.0
2015-05-25,63.88,64.11,62.83,63.01,14249.0
2015-05-26,63.65,63.75,62.51,62.87,16812.0
2015-05-27,62.65,63.01,61.87,62.28,24019.0
2015-05-28,62.28,63.7,62.0,63.1,12183.0
2015-05-29,60.63,61.41,58.98,59.3,212344.0
2015-06-01,59.3,60.17,58.52,58.79,143798.0
2015-06-02,58.79,59.02,58.1,58.38,46233.0
2015-06-03,58.56,58.61,55.49,55.72,70894.0
2015-06-04,57.33,57.33,54.8,55.08,55563.0
2015-06-05,54.94,57.28,54.94,55.67,39027.0
2015-06-08,55.67,56.22,54.76,54.8,28101.0
2015-06-09,54.8,58.47,54.76,55.03,39568.0
2015-06-10,54.71,55.58,54.71,54.89,80580.0
2015-06-11,55.03,55.54,54.21,54.39,23278.0
2015-06-12,54.39,55.17,54.12,54.21,23313.0
2015-06-15,54.67,54.67,53.66,53.75,30456.0
2015-06-16,53.47,54.44,52.46,52.83,46446.0
2015-06-17,52.92,55.4,52.74,54.48,41376.0
2015-06-18,54.21,56.45,53.66,55.67,52136.0
2015-06-19,55.95,57.33,55.22,56.36,52529.0
2015-06-22,57.6,57.83,56.41,56.96,47296.0
2015-06-23,57.19,57.42,56.0,56.64,31966.0
2015-06-24,57.33,57.33,56.32,56.55,28948.0
2015-06-25,56.13,57.0,55.95,56.55,14730.0
2015-06-26,56.18,56.77,54.8,55.49,23274.0
2015-06-29,56.73,56.73,53.2,53.98,67742.0
2015-06-30,54.12,54.89,53.24,53.98,51178.0
2015-07-01,54.44,56.41,54.44,55.67,66302.0
2015-07-02,55.95,57.14,54.8,55.08,80356.0
2015-07-03,55.72,56.68,55.03,55.4,73814.0
2015-07-06,55.77,55.77,54.12,54.67,36459.0
2015-07-07,55.17,57.0,54.57,54.99,209447.0
2015-07-08,54.57,58.24,54.48,56.09,306832.0
2015-07-09,57.28,57.69,56.04,57.1,95840.0
2015-07-10,58.47,58.47,56.09,56.22,30830.0
2015-07-13,57.05,57.05,56.0,56.36,34318.0
2015-07-14,57.1,57.14,56.04,56.64,31097.0
2015-07-15,56.87,56.91,56.0,56.04,41044.0
2015-07-16,56.41,56.77,56.04,56.27,65220.0
2015-07-17,56.27,57.78,56.27,57.28,69049.0
2015-07-20,57.6,59.34,57.37,58.2,96517.0
2015-07-21,57.92,59.39,57.19,57.55,91654.0
2015-07-22,57.69,58.29,57.37,58.01,26291.0
2015-07-23,58.06,60.08,57.6,59.43,138142.0
2015-07-24,59.34,60.86,58.79,59.11,72952.0
2015-07-27,58.2,60.17,58.15,58.33,39145.0
2015-07-28,58.38,58.7,57.14,57.55,35484.0
2015-07-29,58.43,58.43,57.19,57.42,22327.0
2015-07-30,58.52,59.62,57.33,58.38,40464.0
2015-07-31,58.24,60.03,58.24,59.02,34603.0
2015-08-03,59.21,59.25,58.24,58.24,35251.0
2015-08-04,58.1,59.02,57.97,58.56,28914.0
2015-08-05,58.7,60.35,58.7,59.89,93589.0
2015-08-06,59.34,64.2,59.34,61.45,254342.0
2015-08-07,61.5,62.32,60.72,61.5,46580.0
2015-08-10,61.5,65.95,61.5,63.38,226452.0
2015-08-11,64.85,66.41,63.38,63.88,162335.0
2015-08-12,63.65,63.65,58.79,59.43,113147.0
2015-08-13,59.43,60.49,58.7,58.75,54063.0
2015-08-14,58.7,59.94,58.38,58.75,54722.0
2015-08-17,59.48,59.8,57.78,57.97,39330.0
2015-08-18,58.2,58.88,57.37,58.01,56802.0
2015-08-19,58.56,58.7,56.96,57.28,45484.0
2015-08-20,57.78,57.78,56.32,56.5,33176.0
2015-08-21,56.64,56.77,54.57,55.49,48198.0
2015-08-24,53.29,54.85,49.25,49.62,155949.0
2015-08-25,50.45,53.06,48.98,50.31,43568.0
2015-08-26,50.26,52.97,49.99,50.4,78940.0
2015-08-27,51.87,54.25,50.95,53.84,49244.0
2015-08-28,53.98,54.8,53.34,53.75,21622.0
2015-08-31,53.43,54.76,53.38,53.84,22119.0
2015-09-01,54.12,54.12,51.82,53.15,46594.0
2015-09-02,52.46,54.02,52.42,53.52,24770.0
2015-09-03,53.06,53.79,52.28,52.46,40750.0
2015-09-04,53.2,54.71,50.54,52.23,47191.0
2015-09-07,53.15,53.61,50.9,51.23,18635.0
2015-09-08,51.96,51.96,50.45,51.64,35717.0
2015-09-09,53.2,54.02,51.5,51.96,29985.0
2015-09-10,51.46,53.15,50.9,51.59,43203.0
2015-09-11,51.68,52.51,51.41,51.73,25107.0
2015-09-14,51.64,52.51,51.46,52.19,38924.0
2015-09-15,52.97,53.06,52.01,52.92,11939.0
2015-09-16,52.79,53.15,52.51,52.56,8637.0
2015-09-18,52.65,53.11,51.82,52.23,17293.0
2015-09-21,52.6,53.93,52.28,53.43,19759.0
2015-09-22,53.24,53.84,51.59,51.96,28476.0
2015-09-23,52.33,53.66,51.5,53.2,25112.0
2015-09-24,53.75,53.84,52.88,53.11,13741.0
2015-09-28,53.79,55.58,52.46,54.02,57033.0
2015-09-29,54.07,54.57,52.79,53.61,35132.0
2015-09-30,53.7,54.53,52.37,53.11,38728.0
2015-10-01,53.93,54.53,52.56,53.06,44570.0
2015-10-05,52.79,54.94,52.79,53.79,22876.0
2015-10-06,54.25,54.89,53.47,54.12,36202.0
2015-10-07,54.44,55.54,54.12,54.89,42015.0
2015-10-08,55.35,56.96,54.71,56.0,64821.0
2015-10-09,55.95,56.91,55.9,56.5,56791.0
2015-10-12,56.0,59.25,55.95,58.15,69305.0
2015-10-13,59.11,59.11,56.73,57.28,54241.0
2015-10-14,56.96,57.33,55.45,56.04,77655.0
2015-10-15,56.87,56.96,55.67,55.95,35754.0
2015-10-16,56.27,56.91,55.95,56.0,122324.0
2015-10-19,56.27,56.82,55.86,56.0,30392.0
2015-10-20,55.77,56.41,55.49,56.04,32223.0
2015-10-21,56.5,56.59,55.95,56.0,35206.0
2015-10-23,56.18,56.36,54.25,54.67,59694.0
2015-10-26,56.0,58.38,55.03,55.22,178760.0
2015-10-27,55.35,56.96,54.34,56.0,201925.0
2015-10-28,56.27,57.78,55.67,57.14,449038.0
2015-10-29,56.73,57.74,56.04,56.27,114790.0
2015-10-30,56.36,57.28,55.72,56.09,65669.0
2015-11-02,55.26,56.87,54.76,56.41,55648.0
2015-11-03,56.77,58.52,56.59,57.92,269829.0
2015-11-04,63.29,69.2,61.13,67.19,2452834.0
2015-11-05,66.04,67.78,62.92,63.84,751263.0
2015-11-06,62.42,71.45,62.42,69.89,972914.0
2015-11-09,66.77,69.57,65.95,68.15,236167.0
2015-11-10,68.33,70.58,66.96,67.37,190668.0
2015-11-11,68.33,70.58,66.96,67.37,190668.0
2015-11-13,68.79,69.11,67.09,67.41,107184.0
2015-11-16,67.14,67.78,66.04,66.22,62862.0
2015-11-17,66.86,72.0,65.63,70.35,394588.0
2015-11-18,70.12,73.83,69.75,71.13,361309.0
2015-11-19,72.0,73.28,70.4,72.14,188798.0
2015-11-20,72.32,75.62,71.68,73.47,377870.0
2015-11-23,74.16,74.2,71.91,72.32,88170.0
2015-11-24,71.73,73.38,71.73,72.14,72930.0
2015-11-26,72.51,73.19,71.54,71.77,66279.0
2015-11-27,71.59,72.37,69.71,70.35,90800.0
2015-11-30,71.45,71.45,69.71,69.85,68142.0
2015-12-01,70.9,72.69,69.62,71.77,148560.0
2015-12-02,72.41,72.41,70.62,70.72,64728.0
2015-12-03,69.75,74.29,69.75,71.5,223538.0
2015-12-04,70.03,73.15,70.03,71.27,63113.0
2015-12-07,71.4,72.96,70.62,71.59,49140.0
2015-12-08,71.59,72.83,70.72,71.5,80875.0
2015-12-09,71.5,72.6,68.42,68.79,66616.0
2015-12-10,68.79,70.62,67.96,70.17,57924.0
2015-12-11,68.97,71.77,67.96,68.88,65895.0
2015-12-14,68.52,72.32,68.42,71.86,101636.0
2015-12-15,71.59,73.1,71.54,71.91,91874.0
2015-12-16,73.38,73.38,71.27,71.95,68998.0
2015-12-17,72.87,73.38,71.31,72.14,89525.0
2015-12-18,71.68,72.87,70.81,71.18,45025.0
2015-12-21,69.8,71.68,69.8,71.18,26470.0
2015-12-22,70.99,72.37,70.49,70.62,46645.0
2015-12-23,71.82,72.18,70.95,71.27,27846.0
2015-12-24,70.95,71.73,70.72,70.81,33273.0
2015-12-28,70.76,71.86,69.94,70.67,41902.0
2015-12-29,70.81,71.54,70.3,71.45,46861.0
2015-12-30,71.86,71.86,70.53,70.62,31719.0
2015-12-31,72.0,75.85,70.85,74.2,248316.0
2016-01-01,74.89,76.17,73.47,75.85,174610.0
2016-01-04,76.13,78.83,75.21,77.14,233737.0
2016-01-05,77.5,77.87,74.52,75.03,106564.0
2016-01-06,75.3,77.69,75.26,75.85,136429.0
2016-01-07,75.21,76.04,73.56,75.16,113285.0
2016-01-08,74.52,76.86,73.7,75.9,76627.0
2016-01-11,74.29,77.32,73.97,76.63,77536.0
2016-01-12,77.69,80.9,76.59,79.52,429061.0
2016-01-13,80.62,81.63,74.48,76.63,486180.0
2016-01-14,75.21,81.63,73.83,77.46,328360.0
2016-01-15,77.96,80.71,74.61,75.53,174028.0
2016-01-18,75.39,79.61,69.11,71.45,83651.0
2016-01-19,69.75,74.11,69.75,71.4,62444.0
2016-01-20,71.31,71.31,67.87,68.24,66146.0
2016-01-21,68.88,71.13,68.42,69.62,40068.0
2016-01-22,71.4,72.6,69.07,70.44,56614.0
2016-01-25,71.54,74.94,70.26,73.15,84529.0
2016-01-27,74.29,75.94,72.0,74.8,138021.0
2016-01-28,81.63,81.63,77.23,78.97,1214929.0
2016-01-29,77.05,78.7,74.94,75.67,142715.0
2016-02-01,76.36,76.49,74.11,74.34,80890.0
2016-02-02,74.71,76.4,72.78,74.84,127468.0
2016-02-03,73.38,74.02,69.8,70.17,126898.0
2016-02-04,69.89,72.28,67.37,68.06,102859.0
2016-02-05,68.1,71.18,67.28,70.62,79168.0
