,open,high,low,close,volume
2015-05-15,346.89,361.88,345.65,359.85,194613.0
2015-05-18,359.85,376.57,354.99,370.0,275022.0
2015-05-19,367.28,374.14,354.97,357.24,352860.0
2015-05-20,358.61,364.95,356.47,360.93,229572.0
2015-05-21,363.78,363.78,352.19,357.79,297153.0
2015-05-22,362.58,362.58,342.59,348.64,445206.0
2015-05-25,354.82,354.82,340.1,341.73,247311.0
2015-05-26,345.62,348.86,330.28,336.13,597861.0
2015-05-27,335.47,352.69,333.65,349.88,563904.0
2015-05-28,351.11,351.82,335.16,338.34,961893.0
2015-05-29,342.53,343.95,320.04,324.06,1986024.0
2015-06-01,330.84,338.86,324.06,337.41,503976.0
2015-06-02,339.45,341.95,329.4,331.42,435501.0
2015-06-03,335.16,337.94,327.13,335.73,157440.0
2015-06-04,333.34,348.12,331.86,346.76,244047.0
2015-06-05,346.55,349.86,342.19,346.07,1108323.0
2015-06-08,347.13,353.47,343.8,351.34,419715.0
2015-06-09,348.75,352.64,342.73,346.08,181962.0
2015-06-10,345.64,350.22,343.2,346.42,322773.0
2015-06-11,348.43,352.8,342.73,347.09,310890.0
2015-06-12,347.19,369.11,345.17,347.05,254550.0
2015-06-15,342.87,354.04,342.87,347.22,585177.0
2015-06-16,359.38,359.38,345.03,347.26,143142.0
2015-06-17,347.26,351.48,343.38,347.47,226806.0
2015-06-18,347.81,348.71,344.28,346.27,449100.0
2015-06-19,347.18,350.22,338.98,346.1,1060587.0
2015-06-22,342.1,358.92,342.1,357.18,229488.0
2015-06-23,354.94,359.23,350.28,353.13,94959.0
2015-06-24,352.13,361.08,352.13,358.8,160884.0
2015-06-25,357.64,358.92,352.07,356.98,688842.0
2015-06-26,355.97,371.82,354.29,370.06,669525.0
2015-06-29,356.48,376.45,356.48,371.68,347271.0
2015-06-30,371.88,389.72,371.88,381.82,977757.0
2015-07-01,379.6,385.74,363.86,372.08,487620.0
2015-07-02,375.48,380.49,366.64,368.63,313938.0
2015-07-03,370.29,379.29,365.45,377.3,388263.0
2015-07-06,377.13,379.91,367.87,374.31,202941.0
2015-07-07,373.43,377.9,370.37,374.78,152055.0
2015-07-08,369.07,371.9,356.76,359.89,267798.0
2015-07-09,361.05,363.21,351.71,353.2,425457.0
2015-07-10,355.53,362.18,354.29,360.87,338664.0
2015-07-13,361.05,367.25,360.34,364.32,347454.0
2015-07-14,364.72,372.22,364.15,371.44,439389.0
2015-07-15,371.45,371.91,364.74,370.99,235020.0
2015-07-16,371.27,375.59,364.48,372.95,286158.0
2015-07-17,375.8,384.23,372.81,382.64,203781.0
2015-07-20,384.23,384.24,373.43,378.19,155259.0
2015-07-21,380.22,382.33,374.07,376.34,396276.0
2015-07-22,376.2,382.59,375.43,376.54,234225.0
2015-07-23,376.54,384.23,375.74,381.36,245205.0
2015-07-24,379.63,382.35,372.81,379.29,957297.0
2015-07-27,379.6,387.31,371.34,379.01,384600.0
2015-07-28,376.51,379.52,366.64,371.05,432786.0
2015-07-29,374.35,394.1,373.43,385.35,1779150.0
2015-07-30,391.94,417.25,387.93,407.42,1021440.0
2015-07-31,409.83,431.45,408.92,424.69,1883304.0
2015-08-03,424.69,450.27,422.4,425.46,904785.0
2015-08-04,423.42,436.37,409.23,411.54,705528.0
2015-08-05,415.41,440.77,414.42,435.64,1147182.0
2015-08-06,437.21,443.54,426.85,428.49,499578.0
2015-08-07,431.95,443.49,428.49,433.67,353403.0
2015-08-10,438.88,440.46,430.3,434.17,384129.0
2015-08-11,438.88,442.22,423.09,432.22,527637.0
2015-08-12,432.11,434.15,418.58,419.23,213507.0
2015-08-13,425.89,428.99,395.95,400.31,379971.0
2015-08-14,403.65,411.93,397.5,399.34,257037.0
2015-08-17,399.63,410.94,399.63,401.33,134043.0
2015-08-18,409.07,409.07,399.63,403.39,308361.0
2015-08-19,403.34,406.93,390.38,393.91,248838.0
2015-08-20,395.95,410.15,395.95,405.9,653820.0
2015-08-21,405.8,418.04,390.75,404.21,429420.0
2015-08-24,399.01,400.24,371.79,377.96,492621.0
2015-08-25,379.53,404.72,379.53,389.22,893838.0
2015-08-26,386.67,404.27,375.81,381.34,783714.0
2015-08-27,392.02,405.18,383.87,386.39,763224.0
2015-08-28,394.03,408.51,389.75,404.4,812211.0
2015-08-31,408.32,425.61,407.52,412.11,1532688.0
2015-09-01,409.44,417.57,405.93,413.43,560922.0
2015-09-02,415.1,436.08,397.93,408.77,1114248.0
2015-09-03,409.53,412.17,396.23,403.33,1932603.0
2015-09-04,402.42,402.42,376.74,377.73,2618973.0
2015-09-07,386.32,386.32,354.75,361.73,1198257.0
2015-09-08,363.1,377.36,357.26,359.7,457911.0
2015-09-09,366.23,376.63,356.48,360.52,638463.0
2015-09-10,365.24,380.45,360.35,373.85,1687365.0
2015-09-11,378.91,385.09,371.48,378.3,899229.0
2015-09-14,377.42,389.73,372.41,386.42,352437.0
2015-09-15,392.8,398.09,388.23,394.37,411066.0
2015-09-16,395.92,398.24,378.91,381.58,337758.0
2015-09-18,389.73,389.73,362.2,367.57,919317.0
2015-09-21,367.59,375.44,361.46,365.02,538140.0
2015-09-22,365.3,370.49,360.35,363.63,511152.0
2015-09-23,367.46,367.46,357.26,361.79,372870.0
2015-09-24,359.42,366.84,358.85,363.29,656718.0
2015-09-28,364.46,368.58,355.86,361.93,315282.0
2015-09-29,360.04,368.85,359.67,363.91,407631.0
2015-09-30,367.77,378.91,360.81,377.32,1117470.0
2015-10-01,381.03,385.54,375.81,380.11,340536.0
2015-10-05,381.69,416.01,381.69,405.9,1078818.0
2015-10-06,405.86,414.94,405.86,408.96,371817.0
2015-10-07,409.41,409.67,394.99,398.29,403461.0
2015-10-08,399.01,401.4,390.38,392.05,223092.0
2015-10-09,391.98,398.67,386.3,388.51,423111.0
2015-10-12,389.42,389.42,384.21,386.61,158610.0
2015-10-13,389.36,390.96,376.17,382.67,340032.0
2015-10-14,382.16,392.9,380.79,385.09,235791.0
2015-10-15,385.09,385.09,377.61,378.86,374319.0
2015-10-16,378.91,383.55,371.21,372.85,415278.0
2015-10-19,373.65,396.54,371.17,374.07,1607082.0
2015-10-20,377.33,384.88,373.15,382.4,433317.0
2015-10-21,382.31,386.66,378.91,384.86,223680.0
2015-10-23,385.71,389.11,384.68,388.37,354270.0
2015-10-26,394.37,401.49,391.28,397.84,2072721.0
2015-10-27,396.54,403.65,391.28,399.79,583839.0
2015-10-28,402.04,403.17,387.46,397.99,711732.0
2015-10-29,400.68,402.11,390.21,400.02,565887.0
2015-10-30,402.98,409.86,388.8,391.26,451953.0
2015-11-02,396.75,396.75,387.54,395.15,141594.0
2015-11-03,396.81,402.42,396.56,398.7,315873.0
2015-11-04,402.41,402.41,391.94,397.97,719088.0
2015-11-05,399.51,404.67,381.96,386.8,690495.0
2015-11-06,387.51,410.34,384.45,403.94,756579.0
2015-11-09,397.15,424.12,393.74,419.05,812169.0
2015-11-10,418.23,420.87,404.06,409.41,265740.0
2015-11-11,418.23,420.87,404.06,409.41,265740.0
2015-11-13,409.8,421.61,387.54,389.34,1034634.0
2015-11-16,389.34,390.61,372.05,373.31,556734.0
2015-11-17,375.73,380.78,374.21,377.36,265512.0
2015-11-18,380.67,384.44,373.9,375.29,295011.0
2015-11-19,376.08,385.93,376.08,382.1,744900.0
2015-11-20,384.41,384.41,376.41,378.56,488505.0
2015-11-23,381.03,385.69,377.0,380.8,322239.0
2015-11-24,381.34,390.48,380.22,389.03,298548.0
2015-11-26,390.61,393.72,387.07,391.46,678129.0
2015-11-27,393.74,402.72,388.19,398.08,1252347.0
2015-11-30,400.42,401.8,377.06,382.89,1628556.0
2015-12-01,384.75,392.66,383.97,388.72,833826.0
2015-12-02,392.47,392.81,383.85,390.53,345630.0
2015-12-03,387.57,393.31,377.37,378.83,422301.0
2015-12-04,377.0,379.17,372.43,373.82,385617.0
2015-12-07,375.45,382.58,375.45,380.38,966084.0
2015-12-08,378.86,395.29,378.86,385.04,1056852.0
2015-12-09,388.72,389.99,379.48,384.27,680775.0
