,open,high,low,close,volume
2015-05-15,356.76,362.77,347.29,351.1,618145.0
2015-05-18,351.78,359.6,348.41,355.35,209080.0
2015-05-19,355.35,358.13,351.15,352.17,128161.0
2015-05-20,354.03,361.45,351.54,354.37,237550.0
2015-05-21,354.71,361.36,353.15,354.52,323136.0
2015-05-22,353.05,357.64,348.85,351.29,152598.0
2015-05-25,350.8,357.06,348.26,355.1,154533.0
2015-05-26,356.86,356.86,351.73,355.59,145311.0
2015-05-27,353.93,358.13,350.32,354.91,225276.0
2015-05-28,365.66,400.35,361.36,368.88,6425196.0
2015-05-29,369.22,373.62,366.24,370.4,927675.0
2015-06-01,370.49,376.5,362.68,365.85,477350.0
2015-06-02,366.39,368.54,340.49,342.74,482122.0
2015-06-03,342.94,344.5,326.81,334.68,336282.0
2015-06-04,335.8,338.1,318.56,325.3,405507.0
2015-06-05,323.44,335.07,322.95,330.19,314575.0
2015-06-08,332.14,332.24,311.47,324.47,676314.0
2015-06-09,320.56,329.31,315.77,324.96,355911.0
2015-06-10,324.47,335.71,324.47,328.18,411595.0
2015-06-11,329.5,333.21,319.53,321.78,328260.0
2015-06-12,321.49,325.1,317.09,323.88,275571.0
2015-06-15,326.77,329.26,322.17,323.44,168125.0
2015-06-16,323.44,327.16,319.53,324.71,221532.0
2015-06-17,326.62,330.77,324.27,327.74,192265.0
2015-06-18,327.99,332.14,325.3,327.84,159258.0
2015-06-19,329.4,339.57,328.04,336.39,344017.0
2015-06-22,339.08,342.01,335.56,339.03,281171.0
2015-06-23,339.03,343.77,335.8,339.37,215674.0
2015-06-24,337.22,349.83,332.58,336.0,422504.0
2015-06-25,335.61,355.49,332.43,350.12,943068.0
2015-06-26,351.68,354.52,344.21,346.36,321612.0
2015-06-29,342.89,342.89,331.5,339.22,171773.0
2015-06-30,339.66,350.8,336.63,347.58,239771.0
2015-07-01,352.27,358.96,350.22,353.93,388886.0
2015-07-02,351.78,358.23,348.85,354.03,178149.0
2015-07-03,354.03,359.11,352.03,354.96,303356.0
2015-07-06,351.78,363.02,347.53,361.6,246170.0
2015-07-07,361.65,367.22,359.6,364.97,220238.0
2015-07-08,356.86,362.53,354.22,358.82,182876.0
2015-07-09,359.4,368.2,354.71,361.55,373010.0
2015-07-10,363.21,363.31,356.28,360.18,120488.0
2015-07-13,360.18,369.37,360.18,368.64,183220.0
2015-07-14,368.39,374.74,365.95,372.89,270503.0
2015-07-15,374.74,390.28,371.32,387.59,409525.0
2015-07-16,388.82,394.68,382.17,391.16,349143.0
2015-07-17,391.84,394.78,382.07,385.35,295915.0
2015-07-20,385.49,393.46,380.7,391.45,224441.0
2015-07-21,388.96,400.35,380.22,381.93,558329.0
