,open,high,low,close,volume
2015-05-15,81.33,82.81,80.57,80.81,745214.0
2015-05-18,81.14,82.76,80.81,81.05,868339.0
2015-05-19,81.0,83.67,81.0,82.62,1359368.0
2015-05-20,82.86,84.72,81.86,82.33,831391.0
2015-05-21,82.76,82.76,81.19,81.95,346678.0
2015-05-22,82.05,83.62,81.29,81.62,575311.0
2015-05-25,81.76,82.33,80.81,81.0,448895.0
2015-05-26,81.43,82.05,80.52,80.81,472865.0
2015-05-27,80.19,80.19,78.62,78.86,648639.0
2015-05-28,79.09,80.14,78.9,79.28,317367.0
2015-05-29,79.28,80.52,79.09,79.81,412686.0
2015-06-01,80.14,82.33,79.19,81.57,867180.0
2015-06-02,81.57,82.33,79.38,79.57,700514.0
2015-06-03,80.38,80.38,75.0,77.09,589052.0
2015-06-04,78.14,78.9,76.81,78.14,374919.0
2015-06-05,77.9,79.86,77.33,78.95,435022.0
2015-06-08,79.81,79.81,77.52,78.43,267187.0
2015-06-09,78.24,78.24,76.81,77.14,312483.0
2015-06-10,77.19,79.09,77.19,77.71,264692.0
2015-06-11,78.38,78.81,75.09,75.81,391812.0
2015-06-12,75.66,75.66,71.76,74.0,702831.0
2015-06-15,74.71,77.24,73.76,75.9,391756.0
2015-06-16,76.09,76.23,74.33,75.14,298107.0
2015-06-17,75.47,82.71,75.47,81.14,1360145.0
2015-06-18,82.05,82.62,80.19,80.9,582448.0
2015-06-19,80.9,83.38,80.52,81.19,1032963.0
2015-06-22,81.43,81.86,79.62,80.05,632588.0
2015-06-23,80.05,80.52,78.14,78.81,472183.0
2015-06-24,79.24,80.52,78.43,79.0,381390.0
2015-06-25,78.62,80.05,77.95,78.28,370098.0
2015-06-26,78.14,79.38,77.66,78.09,314643.0
2015-06-29,77.19,81.95,73.95,80.0,13600407.0
2015-06-30,82.91,83.14,80.05,80.52,1370299.0
2015-07-01,80.81,82.19,79.38,79.9,1000426.0
2015-07-02,80.33,80.67,77.9,78.76,866934.0
2015-07-03,79.09,79.81,78.05,78.28,1053425.0
2015-07-06,77.57,80.38,76.28,79.62,2031038.0
2015-07-07,80.0,87.15,78.81,82.62,11704253.0
2015-07-08,81.33,83.62,79.09,80.95,5278809.0
2015-07-09,81.09,81.95,76.23,77.66,4794898.0
2015-07-10,79.33,81.43,78.86,79.47,4311811.0
2015-07-13,80.09,82.05,80.09,81.09,3684286.0
2015-07-14,81.0,87.1,80.05,85.67,8432499.0
2015-07-15,86.48,91.96,86.34,89.53,9705621.0
2015-07-16,90.48,94.15,89.58,93.01,5725904.0
2015-07-17,93.67,95.15,90.81,93.43,4698034.0
2015-07-20,93.63,95.96,92.67,94.1,3005326.0
2015-07-21,94.72,97.01,91.96,93.1,4163394.0
2015-07-22,92.77,94.82,91.96,93.39,1869263.0
2015-07-23,94.34,99.96,94.29,97.77,8200664.0
2015-07-24,99.3,104.73,99.1,103.35,8196203.0
2015-07-27,103.87,110.3,103.49,109.4,7082656.0
2015-07-28,110.87,114.07,110.73,112.35,4124297.0
2015-07-29,113.4,113.97,107.92,112.59,3465290.0
2015-07-30,113.88,115.88,110.78,111.68,2654508.0
2015-07-31,111.59,112.83,108.25,108.82,1770083.0
2015-08-03,109.49,112.16,105.49,110.73,1836851.0
2015-08-04,110.92,114.27,108.24,112.55,2127574.0
2015-08-05,113.03,115.95,111.26,113.32,2070255.0
2015-08-06,113.08,114.32,111.88,112.64,1308369.0
2015-08-07,112.6,112.93,109.72,110.39,1084847.0
2015-08-10,110.49,113.46,110.2,111.26,891275.0
2015-08-11,111.93,112.26,102.15,103.4,1865755.0
2015-08-12,102.54,104.16,98.22,99.76,1801228.0
2015-08-13,101.34,106.75,101.0,102.82,2021303.0
2015-08-14,104.07,108.48,103.97,107.57,1692866.0
2015-08-17,107.71,112.07,104.36,110.39,1689978.0
2015-08-18,110.92,115.76,110.92,113.99,2425678.0
2015-08-19,114.32,126.44,113.41,125.2,6674780.0
2015-08-20,125.44,128.6,116.14,120.02,2841360.0
2015-08-21,118.83,125.44,112.26,124.0,2719556.0
2015-08-24,115.95,119.78,99.23,106.56,4408139.0
2015-08-25,107.33,113.56,97.03,107.04,3946318.0
2015-08-26,107.13,112.6,103.78,109.82,2440574.0
2015-08-27,113.03,119.78,113.03,119.21,3152653.0
2015-08-28,121.32,123.52,115.09,116.81,2226809.0
2015-08-31,117.01,121.13,115.09,118.78,1695186.0
2015-09-01,117.2,120.5,113.12,116.81,1993135.0
2015-09-02,118.11,119.69,114.13,114.9,1613377.0
2015-09-03,116.14,118.35,115.18,116.19,1280911.0
2015-09-04,116.77,116.77,110.2,111.88,1616339.0
2015-09-07,112.55,113.84,105.6,105.98,1526774.0
2015-09-08,106.32,109.05,98.7,107.23,2755816.0
2015-09-09,109.24,111.97,108.86,109.2,1618291.0
2015-09-10,107.33,112.5,103.97,111.73,1951164.0
2015-09-11,112.69,114.27,110.3,111.64,1130932.0
2015-09-14,112.6,114.23,110.2,112.36,940329.0
2015-09-15,112.55,112.79,109.34,110.2,1101769.0
2015-09-16,111.83,112.36,109.82,110.58,840469.0
2015-09-18,114.99,117.87,114.32,115.81,2622906.0
2015-09-21,116.14,126.88,113.46,125.82,5617089.0
2015-09-22,126.97,129.85,119.78,122.42,3770862.0
2015-09-23,119.21,133.06,118.78,131.81,4922298.0
2015-09-24,132.62,138.85,132.43,135.55,4200558.0
2015-09-28,136.55,139.76,130.8,131.95,2423531.0
2015-09-29,130.32,135.12,127.64,132.72,2809474.0
2015-09-30,134.06,137.27,132.53,134.92,1461713.0
2015-10-01,136.07,137.8,133.3,135.16,2510458.0
2015-10-05,136.55,139.72,136.07,137.37,1899574.0
2015-10-06,138.37,144.46,137.18,143.07,4288625.0
2015-10-07,145.13,148.44,143.07,147.33,3599695.0
2015-10-08,148.44,149.87,145.8,148.58,2012425.0
2015-10-09,150.07,156.68,149.68,155.67,3584814.0
2015-10-12,157.06,157.49,149.68,150.88,2448066.0
2015-10-13,151.41,151.41,146.81,148.77,1599380.0
2015-10-14,148.77,152.94,147.09,149.49,1719568.0
2015-10-15,150.45,151.02,145.9,146.81,1317925.0
2015-10-16,147.29,147.29,144.12,146.04,1058319.0
2015-10-19,146.62,149.25,144.79,147.91,2043851.0
2015-10-20,148.53,149.39,145.75,146.33,999816.0
2015-10-21,146.71,146.81,142.3,143.69,1036358.0
2015-10-23,144.79,144.99,140.0,140.72,937865.0
2015-10-26,140.87,143.55,137.7,138.85,881304.0
2015-10-27,138.57,145.85,136.41,144.51,2237401.0
2015-10-28,144.84,149.2,144.27,146.95,1848636.0
2015-10-29,147.57,149.2,143.84,145.13,989621.0
2015-10-30,145.75,146.14,140.48,141.58,981092.0
2015-11-02,147.09,148.53,140.87,142.06,1831016.0
2015-11-03,143.36,146.18,142.78,143.17,1102650.0
2015-11-04,144.08,144.46,139.67,140.82,879406.0
2015-11-05,141.06,141.3,137.22,138.09,876953.0
2015-11-06,138.28,140.2,135.12,135.69,776745.0
2015-11-09,132.38,143.22,129.41,142.26,1628202.0
2015-11-10,142.21,143.7,137.66,138.57,1068725.0
2015-11-11,142.21,143.7,137.66,138.57,1068725.0
2015-11-13,141.69,146.24,138.33,145.28,1749474.0
2015-11-16,144.85,146.0,141.02,142.74,1314219.0
2015-11-17,143.37,143.7,139.67,140.39,1006985.0
2015-11-18,140.82,142.93,138.14,139.62,694659.0
2015-11-19,141.11,144.76,140.15,143.75,1091578.0
2015-11-20,143.89,145.72,142.45,143.46,818879.0
2015-11-23,143.75,152.43,143.46,151.28,2415458.0
2015-11-24,151.57,155.31,149.46,153.05,1779704.0
2015-11-26,153.68,154.69,151.71,152.62,779639.0
2015-11-27,152.62,153.01,147.87,148.74,769841.0
2015-11-30,148.5,154.69,147.73,153.49,1271084.0
2015-12-01,153.49,157.71,153.49,155.31,1563295.0
2015-12-02,156.32,156.6,151.81,154.11,778570.0
2015-12-03,153.01,153.39,150.18,151.14,639360.0
2015-12-04,148.69,150.46,146.82,147.59,623598.0
2015-12-07,148.88,152.43,147.83,151.62,827904.0
2015-12-08,148.11,151.33,146.87,147.59,503628.0
2015-12-09,146.82,147.15,139.38,140.63,862415.0
2015-12-10,141.59,145.04,138.38,144.04,809037.0
2015-12-11,144.09,144.66,140.54,142.5,520488.0
2015-12-14,141.69,143.61,138.81,141.54,416993.0
2015-12-15,141.88,147.25,141.02,145.67,903484.0
2015-12-16,146.29,149.03,143.94,144.9,645324.0
2015-12-17,146.1,148.31,145.91,147.35,576652.0
2015-12-18,146.77,150.32,146.1,147.87,783726.0
2015-12-21,149.65,154.69,149.65,151.23,1677300.0
2015-12-22,149.22,149.65,142.65,145.62,1204194.0
2015-12-23,145.81,147.54,142.12,142.79,920823.0
2015-12-24,142.93,144.66,141.49,142.36,803419.0
2015-12-28,141.97,145.72,141.97,144.37,622145.0
2015-12-29,145.72,146.68,142.5,143.32,659538.0
2015-12-30,144.47,145.76,143.22,143.7,647436.0
2015-12-31,143.89,144.37,142.17,142.74,394642.0
2016-01-01,142.5,145.72,142.07,144.37,401732.0
2016-01-04,143.7,143.7,140.06,140.68,598406.0
2016-01-05,141.73,144.76,138.9,141.93,770184.0
2016-01-06,142.07,142.69,137.66,138.14,891064.0
2016-01-07,137.08,137.08,132.86,133.48,844462.0
2016-01-08,132.48,135.26,132.48,133.92,544828.0
2016-01-11,132.29,133.25,129.5,130.22,644093.0
2016-01-12,130.51,131.9,121.49,122.21,1647155.0
2016-01-13,124.13,126.15,98.14,120.01,3681266.0
2016-01-14,117.75,120.87,110.27,115.11,1582982.0
2016-01-15,116.27,119.67,103.22,104.85,2426864.0
2016-01-18,105.52,106.91,98.04,101.01,2096554.0
2016-01-19,99.86,112.14,99.81,110.8,1909607.0
2016-01-20,109.36,114.16,104.85,112.33,2108731.0
2016-01-21,114.44,118.47,113.2,115.21,1946215.0
2016-01-22,117.03,118.66,114.16,115.02,1241118.0
2016-01-25,115.69,119.14,115.69,117.46,771037.0
2016-01-27,118.28,118.81,114.2,115.31,708016.0
2016-01-28,115.26,116.99,107.44,108.78,2681602.0
2016-01-29,107.44,112.48,107.06,111.66,1051287.0
2016-02-01,112.62,113.44,107.92,109.02,816642.0
2016-02-02,109.55,111.9,108.59,109.6,961377.0
2016-02-03,107.63,109.79,107.06,107.78,644597.0
2016-02-04,108.83,109.45,100.73,101.64,1403575.0
2016-02-05,102.16,110.56,101.4,109.12,1263688.0
2016-02-08,111.9,118.82,110.56,116.03,2799412.0
2016-02-09,112.0,118.1,111.76,115.31,1282224.0
2016-02-10,115.27,116.23,108.45,111.52,956829.0
2016-02-11,109.5,110.37,101.82,103.6,1152774.0
2016-02-12,104.7,106.05,97.4,101.72,1820606.0
2016-02-15,104.7,109.89,104.7,107.77,951035.0
2016-02-16,108.64,109.41,103.84,104.7,620690.0
2016-02-17,104.46,104.46,100.28,103.02,1021532.0
