,open,high,low,close,volume
2015-05-15,57.78,59.09,56.97,58.85,85407.0
2015-05-18,58.1,58.99,56.86,58.85,35681.0
2015-05-19,58.46,58.95,58.14,58.49,10037.0
2015-05-20,58.46,59.27,58.24,58.56,13313.0
2015-05-21,58.1,59.13,58.1,58.24,4946.0
2015-05-22,58.74,59.52,57.5,57.71,9497.0
2015-05-25,58.77,58.77,57.04,57.39,8175.0
2015-05-26,57.46,57.75,56.68,57.04,9588.0
2015-05-27,56.72,57.75,55.98,56.54,7480.0
2015-05-28,56.86,57.04,56.29,56.79,9780.0
2015-05-29,56.61,57.04,56.15,56.79,75335.0
2015-06-01,56.93,57.11,56.08,56.79,10073.0
2015-06-02,56.68,57.29,56.37,56.72,38126.0
2015-06-03,56.76,57.04,56.15,56.68,24233.0
2015-06-04,56.54,56.9,56.54,56.76,10719.0
2015-06-05,56.68,57.39,56.68,56.76,3926.0
2015-06-08,57.39,57.39,55.69,55.98,9673.0
2015-06-09,55.98,57.39,54.52,56.68,16966.0
2015-06-10,56.65,56.65,55.98,56.08,4427.0
2015-06-11,56.05,56.68,55.62,55.98,10858.0
2015-06-12,56.22,60.09,56.15,57.11,129872.0
2015-06-15,56.68,57.15,56.19,56.86,9765.0
2015-06-16,57.11,57.11,56.08,56.44,3432.0
2015-06-17,57.22,58.1,56.19,56.4,18050.0
2015-06-18,56.26,57.53,56.22,56.54,7413.0
2015-06-19,57.11,57.11,56.33,56.51,4379.0
2015-06-22,56.51,57.75,56.47,57.43,141132.0
2015-06-23,57.71,58.46,56.9,57.43,5738.0
2015-06-24,57.43,59.38,56.83,58.17,45453.0
2015-06-25,58.17,58.17,56.83,57.78,15299.0
2015-06-26,57.39,57.82,55.98,56.44,25064.0
2015-06-29,55.98,57.11,55.09,55.76,7661.0
2015-06-30,56.47,63.63,56.47,59.06,1182430.0
2015-07-01,59.59,59.59,57.85,58.49,36567.0
2015-07-02,58.17,58.85,57.75,58.31,25487.0
2015-07-03,58.81,60.23,57.89,58.53,19718.0
2015-07-06,57.92,59.16,57.39,58.24,17434.0
2015-07-07,58.67,59.77,58.6,58.81,25635.0
2015-07-08,58.14,58.46,57.39,57.85,10324.0
2015-07-09,58.07,58.81,57.53,58.1,15535.0
2015-07-10,58.21,58.6,57.46,57.78,13746.0
2015-07-13,58.67,58.67,57.25,58.03,20924.0
2015-07-14,58.1,59.77,57.78,58.35,15867.0
2015-07-15,58.39,59.52,57.96,58.21,16846.0
2015-07-16,58.7,58.74,58.1,58.53,7582.0
2015-07-17,58.17,58.74,58.1,58.24,10398.0
2015-07-20,58.24,58.24,57.46,57.75,15370.0
2015-07-21,58.1,58.1,57.25,57.53,14827.0
2015-07-22,57.43,58.1,57.32,57.68,17076.0
2015-07-23,58.03,60.16,57.53,58.99,72430.0
2015-07-24,58.99,59.45,58.17,58.21,21853.0
2015-07-27,58.85,58.85,57.39,57.46,14484.0
2015-07-28,57.36,57.71,56.08,56.19,44259.0
2015-07-29,56.61,56.72,55.44,55.87,42260.0
2015-07-30,59.38,59.38,55.27,55.52,69445.0
2015-07-31,57.92,59.66,57.12,57.66,371044.0
2015-08-03,58.22,58.29,57.47,57.85,77235.0
2015-08-04,58.03,58.93,57.92,58.52,92680.0
2015-08-05,59.08,62.66,58.56,58.82,44690.0
