,open,high,low,close,volume
2015-05-15,311.62,324.47,311.62,320.9,80080.0
2015-05-18,320.35,324.45,317.14,321.88,4286.0
2015-05-19,322.14,331.81,320.78,329.12,2354.0
2015-05-20,331.32,331.81,314.67,320.67,827092.0
2015-05-21,324.79,324.79,318.54,320.0,996.0
2015-05-22,320.83,320.83,314.92,319.8,5506.0
2015-05-25,318.54,329.88,316.57,326.47,7524.0
2015-05-26,323.05,323.1,320.81,320.83,5216.0
2015-05-27,329.47,329.47,317.46,321.26,24706.0
2015-05-28,316.25,329.28,316.25,325.92,3880.0
2015-05-29,315.4,331.26,315.4,329.45,16976.0
2015-06-01,328.12,334.56,320.92,331.05,12128.0
2015-06-02,325.44,334.51,325.44,329.93,18344.0
2015-06-03,321.26,343.03,320.81,339.18,33570.0
2015-06-04,345.07,348.3,334.12,337.4,10416.0
2015-06-05,337.03,348.26,335.01,346.24,13512.0
2015-06-08,346.04,346.04,336.43,338.24,4870.0
2015-06-09,344.16,345.94,337.81,345.0,7278.0
2015-06-10,345.83,361.14,337.3,340.24,41424.0
2015-06-11,341.64,343.72,325.62,333.07,7550.0
2015-06-12,334.53,341.43,326.4,338.2,6864.0
2015-06-15,343.72,346.88,330.55,335.63,4078.0
2015-06-16,334.58,345.49,316.91,320.55,16592.0
2015-06-17,327.68,327.68,317.14,317.64,6196.0
2015-06-18,320.85,329.74,320.81,328.53,4622.0
2015-06-19,326.33,346.01,323.1,339.0,12938.0
2015-06-22,357.93,357.93,331.12,337.6,11676.0
2015-06-23,340.9,346.01,336.85,343.9,5700.0
2015-06-24,346.01,359.3,335.49,352.13,9162.0
2015-06-25,347.85,359.69,347.85,357.97,7396.0
2015-06-26,361.59,362.03,355.2,360.24,10042.0
2015-06-29,365.63,365.63,346.26,348.99,27890.0
2015-06-30,355.91,355.91,339.6,341.45,10376.0
2015-07-01,346.01,355.32,342.87,343.72,2350.0
2015-07-02,348.3,348.72,336.85,345.9,13738.0
2015-07-03,348.3,348.35,337.03,342.16,3748.0
2015-07-06,352.89,355.18,342.32,354.74,9648.0
2015-07-07,357.47,357.47,348.58,351.6,4250.0
2015-07-08,354.72,354.72,341.45,343.72,12350.0
2015-07-09,354.26,354.26,341.43,344.04,1858.0
2015-07-10,348.26,350.48,329.97,335.88,8218.0
2015-07-13,341.43,341.43,335.52,336.85,7048.0
2015-07-14,336.89,343.24,332.97,341.18,6732.0
2015-07-15,339.09,348.14,332.01,338.18,11968.0
2015-07-16,344.84,346.01,332.29,334.37,28420.0
2015-07-17,332.54,343.72,325.94,342.51,4468.0
2015-07-20,339.16,348.3,334.83,346.08,6148.0
2015-07-21,337.33,341.57,334.56,337.6,17378.0
2015-07-22,336.87,340.49,332.33,334.1,13842.0
2015-07-23,334.56,338.63,331.85,336.89,11402.0
2015-07-24,340.58,348.88,338.74,343.07,3292.0
2015-07-27,344.03,347.44,335.91,337.1,20264.0
2015-07-28,336.22,341.51,333.79,338.2,7400.0
2015-07-29,338.71,342.91,332.27,339.85,2818.0
2015-07-30,339.83,356.28,335.94,353.38,17280.0
2015-07-31,348.98,363.67,343.1,359.31,14420.0
2015-08-03,349.91,363.6,349.91,358.24,5300.0
2015-08-04,363.35,368.06,356.91,362.34,15002.0
2015-08-05,358.31,370.81,350.42,368.99,24094.0
2015-08-06,371.37,372.77,356.88,368.76,157038.0
2015-08-07,370.9,370.9,359.24,362.16,6622.0
2015-08-10,372.77,372.77,353.2,355.09,13594.0
2015-08-11,356.44,361.01,352.24,354.6,8392.0
2015-08-12,351.31,361.11,345.97,354.57,379326.0
2015-08-13,359.68,362.51,346.6,347.02,2630.0
2015-08-14,353.94,359.24,343.03,353.83,1614.0
2015-08-17,354.11,358.68,347.34,356.65,1696.0
2015-08-18,356.88,356.91,352.75,353.2,1960.0
2015-08-19,348.51,356.42,348.51,354.55,2836.0
2015-08-20,350.38,360.36,349.93,353.17,9220.0
2015-08-21,343.38,356.18,342.96,349.42,5616.0
2015-08-24,338.25,354.11,326.58,345.24,225374.0
2015-08-25,349.42,356.91,323.43,348.23,61390.0
2015-08-26,348.23,354.43,348.04,351.82,8614.0
2015-08-27,349.96,350.87,345.78,349.37,4244.0
2015-08-28,348.11,359.1,348.11,355.62,8882.0
2015-08-31,358.31,361.22,345.38,346.97,46060.0
2015-09-01,344.31,349.44,334.98,341.25,520958.0
2015-09-02,344.75,356.63,344.29,354.78,14724.0
2015-09-03,356.44,361.22,350.84,354.25,7498.0
2015-09-04,354.57,356.91,341.98,351.36,31162.0
2015-09-07,349.91,359.22,347.58,351.05,23310.0
