,open,high,low,close,volume
2015-05-15,66.49,67.02,64.24,65.47,361759.0
2015-05-18,65.69,66.4,64.94,65.47,199791.0
2015-05-19,65.91,67.9,64.86,66.05,402300.0
2015-05-20,66.18,66.93,65.03,66.0,301231.0
2015-05-21,66.36,66.36,65.3,65.43,146830.0
2015-05-22,65.39,65.56,64.59,64.68,258072.0
2015-05-25,64.86,65.3,64.5,64.72,125961.0
2015-05-26,64.72,64.77,63.66,63.84,138741.0
2015-05-27,63.75,63.75,62.43,63.27,248676.0
2015-05-28,63.58,63.58,61.94,62.12,228292.0
2015-05-29,62.25,63.18,61.94,62.65,178853.0
2015-06-01,62.78,63.18,61.86,62.12,204648.0
2015-06-02,62.16,63.31,60.89,61.02,304620.0
2015-06-03,61.15,61.15,56.91,58.94,569028.0
2015-06-04,59.47,60.4,57.36,58.86,342092.0
2015-06-05,58.86,60.66,58.24,59.52,290512.0
2015-06-08,59.56,60.62,58.37,58.59,136187.0
2015-06-09,58.59,60.44,58.15,59.83,189424.0
2015-06-10,60.4,61.77,59.83,60.97,331835.0
2015-06-11,61.59,61.59,59.43,60.09,240621.0
2015-06-12,59.96,60.71,58.68,60.22,232634.0
2015-06-15,60.53,60.66,58.94,59.3,160215.0
2015-06-16,59.65,60.66,59.3,60.13,175226.0
2015-06-17,60.44,60.49,59.56,59.74,127851.0
2015-06-18,60.0,63.09,59.47,61.19,426329.0
2015-06-19,61.15,63.31,61.15,62.43,488243.0
2015-06-22,63.0,66.62,62.78,63.97,607328.0
2015-06-23,64.33,64.41,60.44,60.62,1266347.0
2015-06-24,61.77,62.74,60.53,61.19,515632.0
2015-06-25,61.24,61.99,60.27,60.66,364975.0
2015-06-26,60.62,61.94,59.83,59.96,362710.0
2015-06-29,59.47,59.47,58.33,58.94,286410.0
2015-06-30,59.12,60.0,58.81,59.16,296956.0
2015-07-01,59.74,62.74,59.25,61.15,1106545.0
2015-07-02,61.46,63.0,61.06,61.64,602355.0
2015-07-03,62.34,63.8,61.28,61.64,825166.0
2015-07-06,60.18,62.43,60.13,61.94,405899.0
2015-07-07,62.47,66.09,61.94,65.61,1601435.0
2015-07-08,64.5,69.14,64.06,66.4,2205325.0
2015-07-09,66.58,69.14,65.69,66.49,1015022.0
2015-07-10,67.72,68.74,66.49,66.93,675640.0
2015-07-13,67.41,67.94,66.62,67.24,348880.0
2015-07-14,67.33,67.81,64.86,65.56,279852.0
