,open,high,low,close,volume
2015-05-15,112.87,114.2,111.77,112.15,105807.0
2015-05-18,115.02,116.16,110.72,111.63,289013.0
2015-05-19,111.2,114.54,110.58,112.92,169063.0
2015-05-20,111.48,114.2,111.48,112.3,102918.0
2015-05-21,113.49,113.49,111.2,112.87,92142.0
2015-05-22,113.01,113.58,111.77,112.2,70589.0
2015-05-25,110.72,112.25,105.95,110.05,284096.0
2015-05-26,109.77,112.63,108.81,112.15,156669.0
2015-05-27,109.05,114.54,109.05,114.3,171449.0
2015-05-28,113.63,114.54,111.91,114.25,140884.0
2015-05-29,113.58,116.83,112.15,115.02,726779.0
2015-06-01,114.54,116.21,113.39,114.35,147527.0
2015-06-02,113.63,116.88,111.68,115.97,442547.0
2015-06-03,115.49,115.49,109.48,113.87,279255.0
2015-06-04,113.49,114.4,110.39,111.34,143845.0
2015-06-05,111.68,114.3,111.68,112.96,215813.0
2015-06-08,111.77,114.16,110.05,111.91,330893.0
2015-06-09,111.58,113.78,110.91,113.49,242185.0
2015-06-10,113.54,113.82,112.15,113.06,115194.0
2015-06-11,114.25,114.25,111.91,112.2,82250.0
2015-06-12,113.35,113.68,111.91,112.49,93935.0
2015-06-15,111.77,113.58,111.68,112.15,74887.0
2015-06-16,112.77,113.63,112.15,112.63,88644.0
2015-06-17,113.25,113.39,109.0,110.24,129811.0
2015-06-18,111.39,112.92,110.43,111.34,243078.0
2015-06-19,111.68,112.2,107.24,108.86,331268.0
2015-06-22,110.96,111.48,109.34,109.86,380162.0
2015-06-23,111.2,111.58,109.34,109.72,83025.0
2015-06-24,110.0,110.53,108.81,109.29,266170.0
2015-06-25,109.29,111.2,109.0,110.67,950427.0
2015-06-26,111.53,112.1,108.33,110.48,102646.0
2015-06-29,110.48,111.68,106.95,110.39,304770.0
2015-06-30,111.63,113.82,109.86,113.25,307106.0
2015-07-01,111.2,121.98,111.2,115.59,1606805.0
2015-07-02,116.16,117.83,113.73,116.07,283798.0
2015-07-03,116.45,117.55,112.73,113.44,254529.0
2015-07-06,112.68,116.35,111.34,112.96,215552.0
2015-07-07,112.15,115.4,112.15,114.49,206645.0
2015-07-08,113.49,115.4,112.49,114.63,162807.0
2015-07-09,115.97,117.59,114.44,115.54,431684.0
2015-07-10,116.02,117.4,114.35,114.97,314646.0
2015-07-13,116.35,121.51,116.35,120.03,1973185.0
2015-07-14,121.46,121.46,117.59,119.26,1548476.0
2015-07-15,119.45,123.03,119.36,120.07,279303.0
2015-07-16,120.03,128.76,120.03,127.9,2012481.0
2015-07-17,128.95,130.72,124.61,125.32,699279.0
2015-07-20,125.85,128.86,124.66,125.13,744235.0
2015-07-21,125.47,128.04,123.32,124.32,328721.0
2015-07-22,124.7,128.28,123.42,126.33,385071.0
2015-07-23,126.37,129.33,121.51,123.18,1233163.0
2015-07-24,123.22,127.23,122.65,124.13,338413.0
2015-07-27,122.17,124.56,121.51,122.79,469237.0
2015-07-28,123.03,123.03,120.7,122.03,874079.0
2015-07-29,122.17,123.99,121.22,122.37,737594.0
2015-07-30,122.46,124.08,120.65,121.12,961303.0
2015-07-31,120.27,124.08,120.27,123.8,657768.0
2015-08-03,124.32,124.32,120.7,122.22,657209.0
2015-08-04,123.03,123.99,121.84,122.6,561073.0
2015-08-05,122.99,127.28,119.31,121.32,2015559.0
2015-08-06,121.98,124.32,120.27,121.98,825971.0
2015-08-07,121.98,123.65,116.97,119.5,861961.0
2015-08-10,123.46,135.01,122.65,127.52,4417860.0
2015-08-11,128.38,131.72,125.42,127.95,1306351.0
2015-08-12,126.95,127.09,121.75,122.65,533944.0
2015-08-13,123.22,125.04,122.22,123.42,993669.0
2015-08-14,123.51,126.76,122.7,123.32,1022134.0
2015-08-17,123.42,126.76,121.75,122.13,480161.0
2015-08-18,122.65,124.94,121.08,122.03,171632.0
2015-08-19,121.65,125.04,121.6,122.51,711120.0
2015-08-20,122.17,123.99,119.84,121.7,661240.0
2015-08-21,120.07,122.6,118.21,120.89,581236.0
2015-08-24,116.64,118.5,112.63,115.54,1226382.0
2015-08-25,114.73,118.26,109.19,117.55,517570.0
2015-08-26,116.45,117.78,113.58,115.35,2010785.0
2015-08-27,116.45,119.31,115.49,115.97,1223650.0
2015-08-28,117.31,118.17,115.78,116.07,138036.0
2015-08-31,114.54,119.6,113.97,117.59,271073.0
2015-09-01,116.92,117.64,113.63,115.21,126638.0
2015-09-02,114.54,116.59,113.2,114.54,174425.0
2015-09-03,114.59,115.97,114.01,114.82,373213.0
2015-09-04,114.54,115.49,110.72,113.49,217971.0
2015-09-07,114.25,114.25,109.86,112.44,237101.0
2015-09-08,112.63,117.21,109.77,114.16,672344.0
2015-09-09,115.97,117.74,113.68,113.92,82325.0
2015-09-10,112.82,115.97,111.72,112.77,1420232.0
2015-09-11,112.87,115.3,111.25,111.96,111039.0
2015-09-14,113.58,113.58,111.68,112.77,193935.0
2015-09-15,113.59,114.99,111.86,114.75,932833.0
2015-09-16,115.42,116.39,111.76,112.63,444748.0
2015-09-18,112.39,114.27,108.96,111.52,1588722.0
2015-09-21,110.17,112.72,110.17,111.52,70136.0
2015-09-22,111.52,113.69,106.02,107.85,1065603.0
2015-09-23,106.55,112.53,105.4,109.3,540117.0
2015-09-24,110.17,115.14,109.45,113.21,178013.0
2015-09-28,113.74,113.74,110.89,110.99,341803.0
2015-09-29,109.93,115.14,109.74,111.71,2736712.0
2015-09-30,113.11,115.18,111.9,113.5,601216.0
2015-10-01,113.79,114.65,112.15,112.77,433742.0
2015-10-05,112.87,115.04,112.0,113.83,1604275.0
2015-10-06,114.7,114.85,111.18,111.86,2127950.0
2015-10-07,112.34,114.94,110.99,111.66,1349571.0
2015-10-08,112.19,116.49,111.28,113.88,530133.0
2015-10-09,114.75,115.95,113.3,113.88,354329.0
2015-10-12,114.65,115.09,111.9,112.68,142718.0
2015-10-13,112.24,113.16,111.47,111.81,90329.0
2015-10-14,111.09,122.08,111.09,119.81,888009.0
2015-10-15,120.78,122.27,117.55,121.21,518279.0
2015-10-16,121.5,125.84,117.64,121.98,936658.0
2015-10-19,122.42,124.05,119.76,123.43,1356067.0
2015-10-20,123.91,123.91,120.58,121.5,972800.0
2015-10-21,122.37,125.45,120.34,122.03,1864462.0
2015-10-23,122.75,126.08,122.27,123.57,767766.0
2015-10-26,123.57,125.4,122.46,123.14,1195542.0
2015-10-27,122.46,125.65,122.37,123.24,686647.0
2015-10-28,122.9,124.97,121.6,122.13,255432.0
2015-10-29,121.89,124.2,120.05,121.5,593141.0
2015-10-30,122.32,127.09,120.05,124.83,614073.0
2015-11-02,125.74,125.89,121.11,121.4,323954.0
2015-11-03,122.13,123.24,121.31,121.55,386185.0
2015-11-04,122.7,124.39,121.93,123.09,1112740.0
2015-11-05,121.74,124.34,121.4,123.43,800836.0
2015-11-06,122.95,124.1,121.98,123.19,430377.0
2015-11-09,117.84,125.16,117.35,123.62,448140.0
2015-11-10,124.1,124.1,121.89,122.61,275620.0
2015-11-11,124.1,124.1,121.89,122.61,275620.0
2015-11-13,120.54,121.5,118.85,120.58,160498.0
2015-11-16,118.03,119.52,117.16,118.12,119211.0
2015-11-17,118.08,120.44,116.68,118.03,116842.0
2015-11-18,116.92,120.05,116.68,119.81,123404.0
2015-11-19,121.02,121.5,118.41,120.87,124117.0
2015-11-20,121.79,128.2,121.74,123.57,636304.0
2015-11-23,124.3,127.29,123.09,126.51,310821.0
2015-11-24,124.68,127.14,124.44,125.74,139031.0
2015-11-26,125.74,128.73,125.6,126.32,361346.0
2015-11-27,126.42,129.21,123.43,128.83,302902.0
2015-11-30,128.73,131.14,128.54,130.47,303351.0
2015-12-01,131.38,132.2,130.66,131.34,240152.0
2015-12-02,131.34,132.3,129.21,130.03,336089.0
2015-12-03,128.49,129.74,127.29,128.78,161670.0
2015-12-04,126.51,129.12,126.51,128.25,467227.0
2015-12-07,128.25,128.83,126.95,127.19,725828.0
2015-12-08,126.32,128.92,123.91,127.57,109937.0
2015-12-09,127.33,128.15,123.43,127.38,155945.0
2015-12-10,125.84,126.75,124.44,126.22,159191.0
2015-12-11,127.04,127.09,123.43,125.4,74569.0
2015-12-14,122.61,125.94,122.51,123.28,359587.0
2015-12-15,122.56,124.97,122.46,122.95,72390.0
2015-12-16,124.63,127.29,122.95,123.28,728899.0
2015-12-17,123.04,125.36,123.04,124.01,109664.0
2015-12-18,123.86,126.08,122.95,123.19,61385.0
2015-12-21,123.19,125.89,123.19,124.83,166986.0
2015-12-22,123.67,133.26,123.67,131.72,856228.0
2015-12-23,134.32,134.32,128.25,130.13,2262555.0
2015-12-24,129.41,133.12,128.83,129.55,274675.0
2015-12-28,129.21,133.07,129.21,132.54,2166435.0
2015-12-29,133.55,133.94,130.56,131.82,704424.0
2015-12-30,132.11,133.89,129.84,132.93,678748.0
2015-12-31,131.77,134.23,130.56,132.01,373958.0
2016-01-01,132.11,143.39,131.29,137.12,1313615.0
2016-01-04,136.74,139.68,133.26,134.28,673965.0
2016-01-05,134.76,148.21,133.99,144.06,1781341.0
2016-01-06,143.34,145.56,137.17,138.81,947513.0
2016-01-07,136.93,137.12,132.88,134.23,591696.0
2016-01-08,135.72,148.64,135.72,141.27,2770602.0
2016-01-11,139.05,144.5,135.67,142.18,668651.0
2016-01-12,142.23,142.76,137.41,137.94,344773.0
2016-01-13,138.86,140.3,133.17,137.94,1048147.0
2016-01-14,136.93,139.82,135.96,139.29,366590.0
2016-01-15,140.01,143.39,134.04,138.09,344771.0
2016-01-18,135.29,136.93,129.5,134.9,412141.0
2016-01-19,136.35,136.35,130.76,134.28,469370.0
2016-01-20,132.35,133.5,128.73,131.05,441973.0
2016-01-21,130.13,131.91,125.36,129.21,732191.0
2016-01-22,129.31,135.67,129.31,132.3,570722.0
2016-01-25,132.35,140.11,132.35,133.36,772505.0
2016-01-27,134.28,135.67,130.18,131.0,204986.0
2016-01-28,129.6,132.83,129.6,131.14,307933.0
2016-01-29,131.24,136.88,129.21,133.94,301307.0
2016-02-01,135.53,136.11,130.56,131.0,438469.0
2016-02-02,131.14,132.59,126.32,128.64,410259.0
2016-02-03,126.51,131.43,126.42,130.8,172884.0
2016-02-04,131.53,132.3,128.54,131.14,296781.0
2016-02-05,133.07,133.5,128.25,130.66,525005.0
2016-02-08,129.7,138.37,129.7,134.04,402199.0
2016-02-09,133.79,133.79,127.57,129.31,442991.0
2016-02-10,130.42,130.42,126.51,127.82,122725.0
2016-02-11,128.73,128.92,120.54,124.1,313073.0
2016-02-12,124.83,131.43,120.82,128.97,379296.0
2016-02-15,129.21,131.34,126.32,126.75,230108.0
2016-02-16,126.61,128.54,123.04,124.1,84045.0
2016-02-17,124.39,127.29,121.69,126.56,130115.0
2016-02-18,127.29,129.02,125.4,126.37,98145.0
2016-02-19,125.4,127.14,124.68,125.26,45340.0
2016-02-22,126.18,126.22,123.81,124.44,58067.0
2016-02-23,125.79,125.79,121.21,123.77,144086.0
2016-02-24,123.14,125.26,121.98,123.24,66165.0
2016-02-25,125.31,125.31,121.07,121.89,106088.0
2016-02-26,124.15,124.15,118.22,120.73,132946.0
2016-02-29,119.19,125.12,116.68,122.32,205976.0
2016-03-01,123.19,131.58,121.45,128.92,269253.0
2016-03-02,129.84,130.08,126.37,127.14,259561.0
2016-03-03,129.7,129.7,125.45,127.29,572037.0
2016-03-04,128.97,130.18,125.55,126.47,147522.0
2016-03-08,126.71,127.57,124.59,125.31,147666.0
2016-03-09,124.44,125.21,122.56,124.44,215559.0
2016-03-10,125.55,128.68,123.67,126.71,454051.0
2016-03-11,127.57,127.82,122.13,122.9,348305.0
2016-03-14,123.43,123.91,120.25,121.55,399425.0
2016-03-15,121.98,124.01,115.81,117.84,902710.0
2016-03-16,117.84,120.63,116.92,120.15,195549.0
2016-03-17,120.73,126.61,118.32,125.31,674825.0
2016-03-18,125.65,130.03,122.8,128.68,323120.0
2016-03-21,129.79,134.32,128.68,133.07,713479.0
2016-03-22,133.65,134.9,130.18,133.6,234119.0
2016-03-23,134.23,135.96,129.99,130.76,315013.0
2016-03-28,130.08,130.76,126.32,127.91,547984.0
2016-03-29,128.64,134.32,125.6,131.09,298696.0
2016-03-30,131.91,135.82,131.19,134.81,315740.0
2016-03-31,134.04,139.63,131.77,136.64,1049615.0
2016-04-01,134.95,136.74,126.51,130.47,1692170.0
2016-04-04,130.47,133.94,130.47,133.41,308020.0
2016-04-05,132.97,133.94,131.14,131.19,270075.0
2016-04-06,130.18,133.55,130.18,132.06,66169.0
2016-04-07,132.69,133.65,129.65,130.27,64215.0
2016-04-08,130.32,132.59,130.27,132.01,81215.0
2016-04-11,131.38,133.84,131.38,132.11,68311.0
2016-04-12,132.15,134.9,131.34,132.73,256256.0
2016-04-13,133.55,134.32,130.85,132.06,99146.0
2016-04-18,133.07,135.29,131.29,132.54,406258.0
2016-04-20,131.91,135.53,130.47,134.28,181736.0
2016-04-21,135.0,138.33,133.5,136.45,495605.0
2016-04-22,135.92,139.82,135.58,138.18,321047.0
2016-04-25,139.63,141.56,136.16,136.59,213641.0
2016-04-26,136.11,137.22,134.08,134.95,196717.0
2016-04-27,135.96,135.96,133.07,133.5,67992.0
2016-04-28,134.52,135.67,131.19,132.01,846162.0
2016-04-29,133.75,134.04,131.38,132.78,672936.0
2016-05-02,132.15,136.69,131.48,134.52,137316.0
2016-05-03,133.07,134.32,131.62,133.26,163514.0
2016-05-04,132.88,133.5,131.14,132.78,540787.0
2016-05-05,133.07,136.3,131.82,133.65,332926.0
