,open,high,low,close,volume
2015-05-15,153.26,154.14,151.46,152.16,6808.0
2015-05-18,152.16,155.06,152.16,154.05,10395.0
2015-05-19,154.23,154.7,151.51,153.31,10345.0
2015-05-20,153.31,156.45,152.71,153.17,11624.0
2015-05-21,152.94,155.16,151.56,153.86,11835.0
2015-05-22,152.94,155.34,152.94,154.05,10616.0
2015-05-25,155.16,155.76,153.54,153.73,11900.0
2015-05-26,154.83,154.83,151.92,152.62,11249.0
2015-05-27,156.96,159.22,155.16,156.22,79024.0
2015-05-28,155.2,164.12,155.2,159.5,67730.0
2015-05-29,163.98,163.98,157.0,157.56,26589.0
2015-06-01,158.81,161.71,157.97,159.45,31852.0
2015-06-02,158.02,160.84,154.97,155.66,17208.0
2015-06-03,154.28,156.82,151.46,153.13,12583.0
2015-06-04,155.16,157.0,153.13,154.28,24494.0
2015-06-05,153.36,157.0,153.31,154.88,8506.0
2015-06-08,159.59,159.59,152.11,153.17,25336.0
2015-06-09,153.73,153.77,151.69,152.89,13814.0
2015-06-10,154.23,156.08,153.4,154.93,7781.0
2015-06-11,154.93,157.74,150.08,151.56,13105.0
2015-06-12,149.71,159.59,146.48,149.8,11021.0
2015-06-15,151.0,152.39,148.74,149.52,7457.0
2015-06-16,152.25,152.25,147.86,149.48,12829.0
2015-06-17,151.42,151.42,149.29,149.94,5620.0
2015-06-18,148.97,152.29,148.97,151.42,4006.0
2015-06-19,152.39,153.13,151.37,151.69,9989.0
2015-06-22,154.7,154.7,152.66,153.26,16506.0
2015-06-23,154.42,158.85,153.54,154.28,19002.0
2015-06-24,154.79,157.74,153.08,153.86,25500.0
2015-06-25,156.08,156.08,153.4,153.86,21367.0
2015-06-26,153.73,155.43,151.56,152.16,13531.0
2015-06-29,151.46,152.66,148.69,151.23,8437.0
2015-06-30,152.16,157.88,149.75,151.19,12561.0
2015-07-01,153.91,156.08,151.0,154.42,19249.0
2015-07-02,156.45,156.45,151.97,152.34,19176.0
2015-07-03,152.62,153.82,150.68,151.09,13596.0
2015-07-06,150.54,152.43,150.35,151.42,22337.0
2015-07-07,151.65,155.16,151.56,152.25,58706.0
2015-07-08,151.69,153.03,149.85,151.0,25642.0
2015-07-09,151.23,153.03,151.19,151.56,17681.0
2015-07-10,152.48,153.22,150.77,151.19,20449.0
2015-07-13,152.16,153.31,151.23,152.11,24202.0
2015-07-14,152.89,155.99,151.65,154.37,35729.0
2015-07-15,155.66,161.58,153.73,155.9,101866.0
2015-07-16,156.68,161.53,155.16,156.63,75102.0
2015-07-17,158.53,159.5,155.94,156.96,40380.0
2015-07-20,159.45,159.68,157.05,157.6,64433.0
2015-07-21,158.76,158.81,153.59,154.51,38949.0
2015-07-22,153.59,157.65,153.54,157.14,22377.0
2015-07-23,154.33,159.27,154.33,155.94,28871.0
2015-07-24,158.16,161.16,155.9,157.74,80925.0
2015-07-27,159.45,162.45,157.05,160.56,67757.0
2015-07-28,162.96,170.03,158.02,166.05,203580.0
2015-07-29,156.08,158.94,153.54,155.25,115797.0
2015-07-30,155.85,158.3,152.66,154.0,81541.0
2015-07-31,152.94,158.76,152.39,155.11,50233.0
2015-08-03,157.0,157.0,153.45,156.31,31990.0
2015-08-04,156.08,157.74,154.23,157.28,17048.0
2015-08-05,156.87,161.62,156.87,159.41,46033.0
2015-08-06,159.77,169.93,159.22,167.16,138602.0
2015-08-07,167.16,172.1,167.16,167.72,49312.0
