,open,high,low,close,volume
2015-05-15,214.79,214.79,213.51,213.51,1531.0
2015-05-18,215.47,215.47,212.84,212.91,731.0
2015-05-19,213.51,213.68,212.23,213.41,819.0
2015-05-20,215.2,215.2,213.51,213.51,3164.0
2015-05-21,213.04,214.86,212.23,212.5,1553.0
2015-05-22,212.17,214.69,212.17,213.55,2389.0
2015-05-25,214.19,215.2,213.51,213.51,3431.0
2015-05-26,213.51,216.88,213.51,214.22,1154.0
2015-05-27,215.47,234.39,215.47,230.42,18060.0
2015-05-28,234.86,234.86,213.85,215.43,6010.0
2015-05-29,214.29,216.64,213.51,213.68,8828.0
2015-06-01,212.5,215.16,212.5,214.19,4410.0
2015-06-02,213.55,217.22,213.51,214.79,2903.0
2015-06-03,218.23,218.23,213.51,213.51,5819.0
2015-06-04,213.31,215.89,213.31,215.89,1457.0
2015-06-05,216.7,216.7,214.73,215.04,6196.0
2015-06-08,214.7,215.34,214.7,215.04,890.0
2015-06-09,216.63,217.38,214.67,214.73,6760.0
2015-06-10,214.73,217.38,214.73,216.77,6103.0
2015-06-11,217.38,217.38,215.04,215.04,1662.0
2015-06-12,215.04,216.02,215.04,215.17,8069.0
2015-06-15,216.02,218.73,215.34,216.73,4413.0
2015-06-16,218.73,221.37,217.58,219.61,5972.0
2015-06-17,222.12,233.63,218.9,229.94,7490.0
2015-06-18,225.5,230.24,220.19,228.38,9916.0
2015-06-19,230.21,230.21,222.79,222.89,1402.0
2015-06-22,224.15,227.53,215.82,226.89,7422.0
2015-06-23,236.27,236.27,224.22,228.89,7410.0
2015-06-24,230.24,231.6,227.53,228.68,3033.0
2015-06-25,229.57,236.34,222.12,227.47,6517.0
2015-06-26,230.17,231.53,225.54,227.94,7507.0
2015-06-29,223.47,236.95,223.44,236.03,19188.0
2015-06-30,234.3,239.05,231.93,238.44,9551.0
2015-07-01,232.0,253.77,232.0,249.98,21842.0
2015-07-02,253.94,257.33,241.14,243.31,17863.0
2015-07-03,235.32,249.2,235.32,241.99,1956.0
2015-07-06,241.99,243.79,236.4,239.49,10799.0
2015-07-07,250.56,250.62,240.4,246.43,10566.0
2015-07-08,238.37,245.82,238.37,243.79,10504.0
2015-07-09,243.45,243.72,241.28,242.6,4483.0
2015-07-10,246.43,246.43,242.36,245.51,5416.0
2015-07-13,246.49,265.25,245.82,259.6,21475.0
2015-07-14,255.3,283.03,255.3,277.34,57168.0
2015-07-15,284.01,284.01,263.22,265.08,27656.0
2015-07-16,314.82,318.07,287.94,291.36,356678.0
2015-07-17,294.51,295.86,274.7,291.87,84267.0
2015-07-20,302.74,305.56,296.75,300.56,42091.0
2015-07-21,304.65,304.65,294.68,295.08,13058.0
2015-07-22,288.18,301.41,288.18,297.7,11124.0
2015-07-23,300.77,300.77,294.68,294.81,9903.0
2015-07-24,292.6,300.63,286.54,291.55,8019.0
2015-07-27,285.15,291.92,262.15,274.97,15235.0
2015-07-28,282.09,282.09,272.9,277.02,7583.0
2015-07-29,277.7,291.27,272.9,283.65,5142.0
2015-07-30,292.6,298.76,282.53,289.13,6521.0
2015-07-31,286.51,305.56,286.51,303.52,15560.0
2015-08-03,302.84,305.5,291.27,294.23,5268.0
2015-08-04,294.68,294.68,285.25,292.36,5234.0
2015-08-05,291.95,296.04,289.91,295.25,2244.0
2015-08-06,286.68,295.9,286.68,289.71,2412.0
2015-08-07,290.22,291.95,281.75,282.94,2781.0
2015-08-10,278.34,286.51,278.34,282.29,5712.0
2015-08-11,289.2,289.2,281.75,281.98,1415.0
2015-08-12,281.98,285.66,272.22,275.65,5938.0
2015-08-13,272.35,280.38,272.35,276.51,2711.0
2015-08-14,272.22,281.75,272.22,280.18,1360.0
2015-08-17,278.34,281.07,274.33,279.43,2182.0
2015-08-18,283.72,283.72,268.81,273.88,5353.0
2015-08-19,272.29,275.62,269.16,274.7,2217.0
2015-08-20,274.6,277.66,269.67,274.12,1276.0
2015-08-21,268.81,285.83,265.41,284.84,12075.0
2015-08-24,273.54,278.28,267.62,268.85,11246.0
2015-08-25,260.65,275.62,245.0,272.59,15552.0
2015-08-26,264.26,283.45,248.06,271.57,1182.0
2015-08-27,267.45,277.66,264.73,268.75,17336.0
2015-08-28,272.22,280.42,268.81,274.23,4919.0
2015-08-31,260.65,281.64,260.65,265.45,6648.0
2015-09-01,270.18,270.79,259.36,260.61,12091.0
2015-09-02,270.18,275.62,267.45,272.15,21103.0
2015-09-03,270.18,275.62,262.69,271.23,7373.0
2015-09-04,269.5,285.83,263.37,267.18,15617.0
2015-09-07,265.41,271.54,262.72,264.39,5119.0
2015-09-08,262.38,265.41,262.01,262.66,3691.0
2015-09-09,265.55,268.81,263.37,264.22,2498.0
2015-09-10,258.61,267.39,258.61,264.15,2335.0
2015-09-11,268.81,272.22,260.65,262.01,20595.0
2015-09-14,268.47,268.78,263.71,267.66,4462.0
2015-09-15,265.75,272.22,265.41,268.13,4280.0
2015-09-16,276.98,276.98,266.09,269.56,2748.0
2015-09-18,272.22,272.22,263.41,270.72,4571.0
2015-09-21,268.81,271.2,266.77,269.19,6131.0
2015-09-22,268.81,274.26,262.01,265.28,5352.0
2015-09-23,259.29,268.47,259.29,266.23,1872.0
2015-09-24,267.11,271.54,267.11,270.52,296.0
2015-09-28,275.82,275.82,263.37,275.04,8838.0
2015-09-29,269.5,272.22,267.73,270.92,3482.0
2015-09-30,267.59,274.74,267.59,268.41,2089.0
2015-10-01,266.09,271.54,248.4,261.47,14049.0
2015-10-05,258.61,273.88,258.61,264.8,4119.0
2015-10-06,264.49,270.92,264.05,264.15,1019.0
2015-10-07,263.88,269.5,259.29,268.47,11947.0
2015-10-08,268.54,270.48,266.09,267.45,1929.0
2015-10-09,268.81,268.81,262.08,262.25,827.0
2015-10-12,268.81,282.43,268.81,275.25,17518.0
2015-10-13,282.43,285.15,274.94,274.97,5469.0
2015-10-14,272.56,282.43,272.56,280.32,3659.0
2015-10-15,282.43,282.43,276.98,278.75,2441.0
2015-10-16,279.06,282.36,276.98,278.68,12742.0
2015-10-19,274.26,289.23,274.26,286.82,9657.0
2015-10-20,293.86,331.66,288.14,317.61,343471.0
2015-10-21,318.49,319.75,293.52,300.12,27599.0
2015-10-23,297.68,303.79,288.25,293.82,6013.0
2015-10-26,302.45,302.45,283.68,294.02,10309.0
2015-10-27,296.99,299.69,287.43,290.23,10167.0
2015-10-28,289.52,303.14,288.12,300.54,14040.0
2015-10-29,296.31,307.17,296.28,301.91,9572.0
