,open,high,low,close,volume
2015-05-15,262.97,263.92,255.11,256.48,1520517.0
2015-05-18,257.19,257.48,251.13,256.1,1438844.0
2015-05-19,256.1,260.98,254.97,256.67,1251139.0
2015-05-20,260.04,260.04,254.07,255.58,866746.0
2015-05-21,255.82,258.05,253.73,255.01,1010899.0
2015-05-22,255.68,257.67,252.46,254.02,1738878.0
2015-05-25,254.07,255.82,251.08,252.98,673364.0
2015-05-26,253.02,257.15,253.02,255.68,892044.0
2015-05-27,255.39,259.56,254.54,256.77,880398.0
2015-05-28,256.81,258.61,253.31,257.15,602620.0
2015-05-29,258.19,262.03,256.53,261.32,1680703.0
2015-06-01,260.6,265.01,259.89,262.31,782209.0
2015-06-02,262.31,264.87,258.57,260.42,919391.0
2015-06-03,259.18,261.79,255.54,259.99,1147242.0
2015-06-04,259.47,265.63,256.91,262.36,791012.0
2015-06-05,262.55,267.24,261.08,263.4,583483.0
2015-06-08,263.26,263.26,255.91,258.09,724985.0
2015-06-09,255.82,258.71,243.64,256.25,1445869.0
2015-06-10,257.76,260.37,253.36,255.87,865826.0
2015-06-11,257.95,259.61,251.13,252.12,422233.0
2015-06-12,251.7,258.05,247.67,252.69,619359.0
2015-06-15,255.54,257.15,249.9,251.84,451432.0
2015-06-16,252.93,258.14,249.9,256.91,695957.0
2015-06-17,256.29,259.99,252.41,256.29,1037008.0
2015-06-18,258.9,266.05,257.76,263.21,1360194.0
2015-06-19,263.83,272.64,262.5,270.6,761342.0
2015-06-22,274.63,275.72,269.32,271.27,1329299.0
2015-06-23,272.31,276.72,271.46,275.72,891144.0
2015-06-24,275.81,276.15,270.93,272.07,941226.0
2015-06-25,272.36,274.3,263.54,268.0,1447798.0
2015-06-26,268.0,273.4,263.16,272.17,727745.0
2015-06-29,269.1,271.4,261.44,269.77,653548.0
2015-06-30,269.1,272.45,260.24,270.68,1391668.0
2015-07-01,271.35,277.53,268.86,275.42,574301.0
2015-07-02,276.76,280.45,273.89,274.61,700477.0
2015-07-03,275.81,276.28,269.53,271.35,570494.0
2015-07-06,266.23,276.57,265.61,274.9,645536.0
2015-07-07,274.13,289.21,274.13,286.58,1354933.0
2015-07-08,284.42,292.56,283.23,288.83,1499742.0
2015-07-09,290.55,290.55,284.42,285.62,690940.0
2015-07-10,287.3,288.16,282.51,284.95,570678.0
2015-07-13,286.34,286.82,282.8,285.0,632480.0
2015-07-14,287.2,290.07,284.57,286.48,841874.0
2015-07-15,287.3,291.89,285.0,287.01,740982.0
2015-07-16,288.26,290.65,286.34,288.45,497443.0
2015-07-17,290.17,296.87,289.55,294.67,1325307.0
2015-07-20,295.82,299.56,294.1,297.02,1049309.0
2015-07-21,299.41,299.41,282.8,284.86,664276.0
2015-07-22,283.51,290.17,282.94,287.39,628018.0
2015-07-23,288.26,295.72,285.96,291.37,837914.0
2015-07-24,291.32,292.61,283.56,285.43,492885.0
2015-07-27,277.72,277.72,266.23,271.07,2064366.0
2015-07-28,271.02,272.74,262.88,263.74,937075.0
2015-07-29,264.31,268.05,260.72,261.63,681882.0
2015-07-30,262.97,268.14,262.4,266.61,740314.0
2015-07-31,268.91,271.16,265.61,267.28,627460.0
2015-08-03,267.19,267.67,263.6,265.41,570059.0
2015-08-04,267.04,268.24,260.2,261.06,639251.0
2015-08-05,263.02,267.95,259.72,265.89,799374.0
2015-08-06,268.34,268.34,263.45,265.37,555311.0
2015-08-07,263.79,268.77,263.4,265.8,719636.0
2015-08-10,265.8,269.48,263.93,266.04,486969.0
2015-08-11,266.18,267.67,261.44,264.07,418453.0
