,open,high,low,close,volume
2015-05-15,393.29,397.46,385.85,388.57,3405608.0
2015-05-18,390.1,396.9,383.47,395.65,3014132.0
2015-05-19,395.42,398.29,391.17,397.18,2588934.0
2015-05-20,400.09,409.77,399.35,408.21,3073544.0
2015-05-21,409.85,414.1,408.17,412.53,2092768.0
2015-05-22,409.55,420.08,407.09,418.44,2995660.0
2015-05-25,418.8,429.43,413.81,424.82,3291366.0
2015-05-26,425.07,428.16,419.01,422.42,2462108.0
2015-05-27,420.93,427.28,418.5,421.57,2945442.0
2015-05-28,419.27,423.76,407.53,416.72,3337232.0
2015-05-29,414.98,444.29,409.02,429.75,11358676.0
2015-06-01,422.12,424.54,412.11,413.83,2304588.0
2015-06-02,415.4,419.61,402.52,405.07,2331440.0
2015-06-03,406.15,410.72,396.46,404.9,3619974.0
2015-06-04,400.56,403.41,397.25,399.95,3107452.0
2015-06-05,400.09,403.45,393.5,394.99,3000646.0
2015-06-08,390.74,394.57,388.17,390.72,2978860.0
2015-06-09,389.06,393.29,383.19,387.51,2442408.0
2015-06-10,389.04,402.22,386.81,400.75,5172246.0
2015-06-11,399.69,401.77,387.13,388.95,3641272.0
2015-06-12,388.57,388.57,375.33,381.11,3693056.0
2015-06-15,382.24,392.38,378.83,386.08,1717342.0
2015-06-16,386.79,387.61,381.98,385.34,1778324.0
2015-06-17,386.98,390.57,382.49,385.34,2501764.0
2015-06-18,389.21,391.4,384.45,388.51,2637416.0
2015-06-19,389.06,398.61,388.51,390.4,3563616.0
2015-06-22,390.82,397.76,387.76,396.08,1651062.0
2015-06-23,399.54,403.64,393.4,394.33,2200268.0
2015-06-24,394.99,401.33,394.78,398.86,2617310.0
2015-06-25,395.42,396.71,388.53,393.76,3102502.0
2015-06-26,394.14,408.17,394.14,407.0,3170238.0
2015-06-29,396.27,403.69,390.91,394.74,2336726.0
2015-06-30,394.38,395.23,387.34,391.06,3974968.0
2015-07-01,390.0,403.5,389.93,401.39,2148066.0
2015-07-02,401.88,408.15,399.88,405.83,1977048.0
2015-07-03,402.64,412.0,399.67,410.26,1725652.0
2015-07-06,401.84,414.76,401.16,412.4,1624082.0
2015-07-07,410.3,411.49,396.69,398.1,2544644.0
2015-07-08,393.29,402.64,393.29,396.69,2349626.0
2015-07-09,399.24,399.24,387.87,390.08,2299680.0
2015-07-10,395.42,395.42,389.91,393.57,2360456.0
2015-07-13,397.5,409.45,397.37,408.53,2415516.0
2015-07-14,409.45,411.57,403.07,406.03,2424140.0
