,open,high,low,close,volume
2015-05-15,764.73,764.73,764.73,764.73,0.0
2015-05-18,764.73,764.73,764.73,764.73,0.0
2015-05-19,764.73,764.73,764.73,764.73,0.0
2015-05-20,764.73,764.73,764.73,764.73,0.0
2015-05-21,764.73,764.73,764.73,764.73,0.0
2015-05-22,764.73,764.73,764.73,764.73,0.0
2015-05-25,764.73,764.73,764.73,764.73,0.0
2015-05-26,764.73,764.73,764.73,764.73,0.0
2015-05-27,764.73,764.73,764.73,764.73,0.0
2015-05-28,764.73,764.73,764.73,764.73,0.0
2015-05-29,764.73,764.73,764.73,764.73,0.0
2015-06-01,764.73,764.73,764.73,764.73,0.0
2015-06-02,764.73,764.73,764.73,764.73,0.0
2015-06-03,764.73,764.73,764.73,764.73,0.0
2015-06-04,764.73,764.73,764.73,764.73,0.0
2015-06-05,764.73,764.73,764.73,764.73,0.0
2015-06-08,764.73,764.73,764.73,764.73,0.0
2015-06-09,764.73,764.73,764.73,764.73,0.0
2015-06-10,764.73,764.73,764.73,764.73,0.0
2015-06-11,764.73,764.73,764.73,764.73,0.0
2015-06-12,764.73,764.73,764.73,764.73,0.0
2015-06-15,764.73,764.73,764.73,764.73,0.0
2015-06-16,764.73,764.73,764.73,764.73,0.0
2015-06-17,764.73,764.73,764.73,764.73,0.0
2015-06-18,764.73,764.73,764.73,764.73,0.0
2015-06-19,764.73,764.73,764.73,764.73,0.0
2015-06-22,764.73,764.73,764.73,764.73,0.0
2015-06-23,764.73,764.73,764.73,764.73,0.0
2015-06-24,764.73,764.73,764.73,764.73,0.0
2015-06-25,764.73,764.73,764.73,764.73,0.0
2015-06-26,764.73,764.73,764.73,764.73,0.0
2015-06-29,764.73,764.73,764.73,764.73,0.0
2015-06-30,764.73,764.73,764.73,764.73,0.0
2015-07-01,764.73,764.73,764.73,764.73,0.0
2015-07-02,764.73,764.73,764.73,764.73,0.0
2015-07-03,764.73,764.73,764.73,764.73,0.0
