,open,high,low,close,volume
2015-05-15,465.71,466.95,460.7,463.46,4076812.0
2015-05-18,466.22,473.71,464.35,472.71,2856652.0
2015-05-19,471.07,476.52,467.21,471.63,2393174.0
2015-05-20,472.61,480.64,472.57,479.36,2004420.0
2015-05-21,479.33,482.14,475.17,479.66,1967190.0
2015-05-22,479.66,481.67,476.69,479.47,2344768.0
2015-05-25,481.39,482.61,476.34,479.12,2184530.0
2015-05-26,479.54,482.23,476.55,480.92,2453172.0
2015-05-27,479.24,486.82,478.11,485.96,1609296.0
2015-05-28,486.38,488.55,478.49,481.86,4780580.0
2015-05-29,482.12,493.37,480.81,491.76,2529340.0
2015-06-01,491.01,494.31,482.61,485.04,1920660.0
2015-06-02,486.07,486.96,470.39,472.22,2363004.0
2015-06-03,472.31,476.05,467.16,470.7,2912416.0
2015-06-04,472.24,476.45,465.76,475.1,2778794.0
2015-06-05,472.9,476.76,469.27,473.6,3376930.0
2015-06-08,470.09,473.83,466.01,469.71,1905998.0
2015-06-09,470.44,470.91,466.74,468.96,3020130.0
2015-06-10,467.16,476.99,466.69,475.4,3993124.0
2015-06-11,476.34,476.78,465.62,468.19,4547088.0
2015-06-12,468.57,473.18,463.49,472.38,3264172.0
2015-06-15,469.03,474.53,468.1,470.53,2999914.0
2015-06-16,468.1,472.99,466.72,472.03,3005262.0
2015-06-17,472.31,474.42,467.86,470.3,4843134.0
2015-06-18,470.86,479.24,469.15,477.27,4215858.0
2015-06-19,479.71,484.46,474.25,482.37,1871162.0
2015-06-22,483.12,494.73,481.44,490.17,2724826.0
2015-06-23,492.44,496.74,487.99,492.49,2827590.0
2015-06-24,493.37,495.15,488.09,489.54,3133698.0
2015-06-25,490.68,501.26,488.06,498.52,8286784.0
2015-06-26,499.46,501.31,492.2,497.52,2823752.0
2015-06-29,489.11,497.0,482.37,494.62,3243918.0
2015-06-30,492.56,501.8,490.57,499.53,3645068.0
2015-07-01,496.82,504.14,496.21,501.96,2485594.0
2015-07-02,506.07,507.36,501.63,502.84,2241722.0
2015-07-03,500.87,511.37,500.87,510.47,2019644.0
2015-07-06,505.62,515.58,503.82,514.87,1633890.0
2015-07-07,512.49,518.67,512.49,516.46,2070736.0
2015-07-08,512.77,513.49,506.55,507.9,2700338.0
2015-07-09,504.98,511.73,503.75,510.37,1398982.0
2015-07-10,508.36,520.33,507.74,518.31,2450044.0
2015-07-13,515.58,525.51,515.58,520.88,3538042.0
2015-07-14,520.57,523.61,516.05,518.83,2837058.0
2015-07-15,519.38,523.39,518.33,521.14,1924702.0
2015-07-16,522.14,531.73,521.8,529.69,3655212.0
2015-07-17,531.92,533.04,525.37,527.72,1755494.0
2015-07-20,530.29,531.73,526.03,529.95,2275634.0
2015-07-21,530.57,536.01,519.43,521.78,5514068.0
