,open,high,low,close,volume
2015-05-15,181.53,186.42,179.54,183.56,47941.0
2015-05-18,180.07,185.98,180.07,184.61,5706.0
2015-05-19,183.42,185.19,183.42,183.73,6346.0
2015-05-20,185.19,185.63,182.59,183.03,4603.0
2015-05-21,182.67,182.67,179.9,180.65,9308.0
2015-05-22,181.7,181.7,177.34,178.18,13507.0
2015-05-25,177.65,179.9,177.56,178.48,10764.0
2015-05-26,179.32,179.59,174.6,175.8,9515.0
2015-05-27,174.6,175.35,172.4,173.37,14285.0
2015-05-28,173.06,173.06,170.42,171.12,10403.0
2015-05-29,171.3,171.96,170.55,170.72,6205.0
2015-06-01,170.24,173.72,168.61,169.75,10661.0
2015-06-02,171.96,171.96,164.86,165.83,7948.0
2015-06-03,166.8,167.95,160.85,164.11,10993.0
2015-06-04,166.62,167.37,161.33,163.89,6423.0
2015-06-05,163.18,166.93,158.91,163.98,5020.0
2015-06-08,163.98,166.62,159.61,160.01,8638.0
2015-06-09,160.54,167.06,158.78,164.86,19664.0
2015-06-10,164.99,166.49,162.35,165.08,5308.0
2015-06-11,165.79,183.91,165.39,172.93,147371.0
2015-06-12,171.08,173.55,166.49,168.56,15160.0
2015-06-15,175.49,175.49,164.46,167.95,6166.0
2015-06-16,166.67,169.49,166.67,167.9,4834.0
2015-06-17,167.51,169.31,164.46,165.74,16348.0
2015-06-18,167.55,168.43,164.9,165.52,12148.0
2015-06-19,165.79,170.64,165.79,166.76,7579.0
2015-06-22,167.55,180.07,166.67,172.97,42079.0
2015-06-23,174.03,184.75,166.76,178.79,87693.0
2015-06-24,179.85,182.54,170.72,174.78,25660.0
2015-06-25,172.84,176.37,167.55,171.21,18314.0
2015-06-26,170.33,175.13,169.36,172.18,5906.0
2015-06-29,171.08,171.96,165.87,169.09,12714.0
2015-06-30,170.2,177.65,169.31,171.87,13332.0
2015-07-01,172.84,183.42,171.08,180.69,90845.0
2015-07-02,180.87,183.42,177.43,178.79,27237.0
2015-07-03,180.51,181.66,176.41,176.94,11820.0
2015-07-06,176.1,179.15,173.9,177.16,10696.0
2015-07-07,177.34,183.42,176.41,179.1,24013.0
2015-07-08,175.49,179.9,172.84,175.0,16301.0
2015-07-09,175.44,182.1,172.0,177.82,40312.0
2015-07-10,177.25,180.51,175.49,177.43,9746.0
2015-07-13,178.4,180.69,175.49,176.99,10010.0
2015-07-14,177.25,179.72,176.37,176.63,9883.0
2015-07-15,177.25,185.98,176.54,178.75,54950.0
2015-07-16,178.31,186.07,178.31,180.42,49765.0
2015-07-17,180.82,184.83,179.9,180.42,16412.0
2015-07-20,181.62,182.14,178.31,179.54,8838.0
2015-07-21,179.5,180.6,174.6,175.57,11531.0
2015-07-22,176.28,179.37,175.53,177.03,7167.0
2015-07-23,177.69,178.13,175.49,175.62,9450.0
2015-07-24,176.37,179.32,175.49,176.81,12035.0
2015-07-27,176.46,176.63,172.84,174.3,8623.0
2015-07-28,175.09,178.53,170.2,170.9,11831.0
2015-07-29,173.11,173.28,162.52,166.4,46726.0
2015-07-30,163.14,167.11,162.26,163.49,16609.0
2015-07-31,162.79,167.9,162.74,166.36,19113.0
2015-08-03,168.43,175.49,165.87,167.46,20567.0
2015-08-04,170.15,170.15,165.7,166.98,12756.0
2015-08-05,167.68,170.59,166.32,166.98,13674.0
2015-08-06,167.59,170.59,165.87,166.36,8804.0
2015-08-07,165.87,170.11,165.87,166.84,15951.0
2015-08-10,167.99,169.31,165.92,166.93,11597.0
2015-08-11,166.67,167.11,163.14,163.67,7357.0
2015-08-12,163.14,164.64,158.73,159.39,11981.0
2015-08-13,161.82,164.95,158.86,159.39,11839.0
2015-08-14,161.38,161.99,158.33,158.86,6317.0
2015-08-17,160.94,161.6,156.39,157.67,12626.0
2015-08-18,159.57,161.29,155.34,157.63,11849.0
2015-08-19,159.0,160.41,156.31,157.23,13688.0
2015-08-20,156.92,160.67,152.07,152.56,15010.0
2015-08-21,151.59,151.59,146.56,147.58,23783.0
2015-08-24,141.62,144.84,129.76,135.8,25750.0
2015-08-25,138.36,138.36,123.46,126.5,27419.0
2015-08-26,125.4,130.47,124.34,126.68,14577.0
2015-08-27,134.92,134.92,128.0,129.41,13103.0
2015-08-28,131.84,134.04,128.44,129.15,24022.0
2015-08-31,127.91,129.54,126.1,127.34,11926.0
2015-09-01,127.73,128.7,125.22,125.66,8970.0
2015-09-02,126.41,127.65,123.63,126.85,10729.0
2015-09-03,128.62,128.66,124.43,126.41,15439.0
2015-09-04,126.9,126.99,124.34,125.13,8070.0
2015-09-07,123.99,125.75,121.69,122.66,10746.0
2015-09-08,126.41,126.41,120.81,123.28,10416.0
2015-09-09,126.81,127.34,123.99,126.19,6988.0
2015-09-10,125.18,131.39,123.46,127.56,16734.0
2015-09-11,127.25,130.03,125.31,126.94,15533.0
2015-09-14,127.84,129.1,125.0,125.73,14808.0
2015-09-15,126.09,126.85,124.51,125.23,8896.0
2015-09-16,125.18,127.89,125.18,125.55,6415.0
2015-09-18,124.37,126.99,124.37,125.09,7626.0
2015-09-21,126.99,126.99,120.86,123.07,32381.0
2015-09-22,123.02,125.0,122.48,123.65,9542.0
2015-09-23,121.58,125.0,121.58,124.55,5296.0
2015-09-24,123.83,126.99,122.53,125.36,5401.0
2015-09-28,124.73,126.09,123.25,124.82,5808.0
2015-09-29,123.43,125.91,122.57,124.69,7130.0
2015-09-30,127.26,127.26,123.56,124.24,4287.0
2015-10-01,124.51,143.96,124.46,140.23,198092.0
2015-10-05,144.1,148.47,140.5,142.25,77667.0
2015-10-06,141.44,144.1,137.84,140.5,12182.0
2015-10-07,139.64,142.16,137.52,138.74,14787.0
2015-10-08,139.46,166.48,137.93,166.48,535485.0
2015-10-09,173.46,179.22,165.71,167.69,619499.0
2015-10-12,164.81,169.68,157.7,162.56,84547.0
2015-10-13,163.01,166.57,158.33,160.35,40630.0
2015-10-14,160.35,163.69,154.0,157.43,81337.0
2015-10-15,157.61,162.34,155.9,157.43,24448.0
2015-10-16,158.51,160.76,150.63,153.01,38611.0
2015-10-19,154.09,167.65,151.3,163.24,174635.0
2015-10-20,163.01,165.71,159.95,161.84,53700.0
2015-10-21,161.84,163.33,160.67,161.57,20007.0
2015-10-23,165.67,165.67,155.81,157.83,34069.0
2015-10-26,156.71,160.31,154.0,154.41,20677.0
2015-10-27,154.05,157.7,151.39,152.83,20259.0
2015-10-28,153.06,156.26,148.69,150.76,24054.0
2015-10-29,151.71,154.81,149.73,150.31,12083.0
2015-10-30,150.36,152.2,146.57,147.34,20330.0
