,open,high,low,close,volume
2015-05-15,147.44,148.82,145.01,146.16,23182.0
2015-05-18,146.2,148.56,145.87,147.61,522278.0
2015-05-19,150.15,150.96,147.68,148.49,19482.0
2015-05-20,148.49,150.44,147.44,148.46,198988.0
2015-05-21,148.65,150.41,146.61,148.51,20642.0
2015-05-22,149.94,150.25,147.39,148.27,45840.0
2015-05-25,147.39,150.48,147.39,149.41,13032.0
2015-05-26,150.34,179.3,150.22,168.84,565598.0
2015-05-27,187.81,190.99,176.87,183.17,1608030.0
2015-05-28,183.17,183.29,173.11,175.44,211652.0
2015-05-29,175.92,177.77,171.17,173.11,120142.0
2015-06-01,169.26,178.3,169.26,176.82,58530.0
2015-06-02,179.15,189.71,175.9,185.76,270578.0
2015-06-03,185.48,191.13,176.87,180.1,402656.0
2015-06-04,180.67,185.38,173.19,183.88,92748.0
2015-06-05,183.5,187.54,180.96,183.72,150110.0
2015-06-08,180.94,190.42,175.21,180.79,298812.0
2015-06-09,182.81,189.71,178.32,179.11,149566.0
2015-06-10,180.27,185.6,179.58,184.19,74554.0
2015-06-11,185.9,185.9,175.97,178.37,95534.0
2015-06-12,175.44,182.48,175.44,178.73,48630.0
2015-06-15,179.25,179.25,174.97,175.68,49614.0
2015-06-16,180.2,180.2,173.57,174.3,44690.0
2015-06-17,175.94,177.8,174.14,176.49,60352.0
2015-06-18,175.23,178.53,171.28,177.23,42282.0
2015-06-19,177.37,179.49,174.26,174.99,23774.0
2015-06-22,174.49,185.29,173.64,182.62,83828.0
2015-06-23,180.91,188.23,180.67,182.62,161698.0
2015-06-24,183.98,189.71,180.91,181.48,145502.0
2015-06-25,181.89,183.86,178.61,179.11,35692.0
2015-06-26,179.68,184.79,176.87,179.79,50822.0
2015-06-29,178.27,178.27,172.62,174.14,60850.0
2015-06-30,174.73,182.01,174.73,177.94,69156.0
2015-07-01,180.65,182.58,179.25,180.44,40638.0
2015-07-02,183.0,184.24,177.49,178.49,61502.0
2015-07-03,178.49,180.67,174.97,176.23,52140.0
2015-07-06,177.77,181.65,174.61,179.06,59754.0
2015-07-07,182.58,183.05,180.67,181.72,48556.0
2015-07-08,180.7,182.17,178.3,180.96,49622.0
2015-07-09,178.44,202.0,178.44,191.71,719254.0
2015-07-10,193.27,198.6,190.42,192.01,184984.0
2015-07-13,192.09,194.2,190.68,191.3,54186.0
2015-07-14,193.46,201.36,190.18,197.01,228340.0
2015-07-15,199.46,200.88,195.1,196.39,91338.0
2015-07-16,197.32,215.38,197.32,207.73,696192.0
2015-07-17,209.2,216.24,205.87,209.89,256002.0
2015-07-20,211.34,223.35,209.68,214.98,287164.0
2015-07-21,215.34,219.66,211.65,213.24,112842.0
2015-07-22,212.05,224.42,197.39,202.07,817474.0
2015-07-23,203.97,209.3,203.02,205.56,177100.0
2015-07-24,205.87,211.1,202.59,203.5,73432.0
2015-07-27,203.5,208.2,200.17,205.09,99140.0
2015-07-28,205.35,212.53,202.07,203.26,84964.0
2015-07-29,204.9,206.11,200.48,201.5,52824.0
2015-07-30,201.24,208.01,201.24,206.87,71558.0
2015-07-31,208.68,217.76,206.82,211.22,282472.0
2015-08-03,212.74,214.17,209.58,210.94,64722.0
2015-08-04,212.44,213.5,207.4,210.72,62790.0
2015-08-05,212.46,214.91,209.92,211.15,83098.0
2015-08-06,209.94,213.39,205.21,205.99,50184.0
2015-08-07,206.78,209.92,204.52,205.16,42450.0
2015-08-10,203.73,223.47,203.73,211.77,428816.0
2015-08-11,213.72,213.81,206.09,207.87,62156.0
2015-08-12,206.82,211.58,202.43,205.71,82204.0
2015-08-13,204.45,208.73,195.2,196.27,73902.0
2015-08-14,199.15,199.15,178.58,193.7,97544.0
2015-08-17,194.7,196.84,186.97,190.21,55132.0
2015-08-18,188.54,202.07,188.54,199.95,69110.0
2015-08-19,203.5,203.5,193.99,196.6,37878.0
2015-08-20,199.6,199.6,192.09,192.8,29220.0
2015-08-21,190.18,192.35,184.95,189.59,54936.0
2015-08-24,186.62,186.62,170.19,173.47,55380.0
2015-08-25,175.35,178.3,163.56,170.88,62060.0
2015-08-26,168.79,177.3,164.03,169.64,33516.0
2015-08-27,171.66,182.58,171.66,179.79,65664.0
2015-08-28,183.36,189.73,179.25,184.45,82076.0
2015-08-31,184.5,189.92,181.82,188.26,39492.0
2015-09-01,183.05,187.31,179.75,182.22,45542.0
2015-09-02,184.64,184.64,176.87,180.39,30318.0
2015-09-03,182.03,188.76,178.53,179.46,112184.0
2015-09-04,178.82,180.06,171.69,175.99,22432.0
2015-09-07,176.42,179.49,172.62,173.64,31886.0
2015-09-08,171.69,178.3,166.67,168.41,166652.0
2015-09-09,168.34,173.64,164.98,165.67,103462.0
2015-09-10,164.03,169.81,161.18,168.76,53652.0
2015-09-11,169.72,170.78,165.32,165.98,26248.0
2015-09-14,170.0,170.0,164.08,165.53,42044.0
2015-09-15,168.85,176.1,164.52,173.54,54916.0
2015-09-16,173.66,178.93,170.85,176.49,30708.0
2015-09-18,175.42,186.62,175.42,183.29,116426.0
2015-09-21,181.18,186.26,181.18,185.22,26394.0
2015-09-22,186.75,192.07,186.75,190.25,109548.0
2015-09-23,185.08,190.62,182.92,188.37,27360.0
2015-09-24,186.55,201.19,186.55,189.31,21686.0
2015-09-28,193.01,193.01,188.22,189.65,17158.0
2015-09-29,188.27,191.73,187.71,191.37,26054.0
2015-09-30,188.7,194.24,187.04,188.8,67466.0
2015-10-01,191.51,191.54,183.99,186.43,23578.0
2015-10-05,186.43,191.2,186.43,189.33,27176.0
2015-10-06,193.47,193.47,189.19,191.92,45840.0
2015-10-07,192.99,195.91,191.63,193.66,17270.0
2015-10-08,192.6,194.97,189.19,191.1,218382.0
2015-10-09,192.58,195.45,189.91,191.8,32866.0
2015-10-12,191.1,206.82,190.01,202.74,259136.0
2015-10-13,203.19,204.79,196.69,199.37,64582.0
2015-10-14,194.51,201.24,194.51,197.29,25850.0
2015-10-15,198.57,200.78,196.45,197.29,16440.0
2015-10-16,199.78,204.36,194.0,197.39,58238.0
2015-10-19,199.28,224.34,195.94,220.51,1220394.0
2015-10-20,223.27,229.08,219.64,224.38,586894.0
2015-10-21,223.97,224.26,215.24,217.15,135090.0
2015-10-23,217.71,220.51,210.72,211.61,58312.0
2015-10-26,210.45,239.38,207.06,226.88,682346.0
2015-10-27,229.03,230.09,220.25,224.97,222490.0
2015-10-28,225.81,232.17,225.81,230.72,167978.0
2015-10-29,232.22,246.25,229.8,236.33,443586.0
2015-10-30,235.66,241.8,226.44,230.94,109062.0
2015-11-02,233.46,233.46,224.48,228.11,47262.0
2015-11-03,228.35,242.24,228.3,235.46,268952.0
2015-11-04,237.76,241.41,234.64,234.86,89186.0
2015-11-05,234.25,234.25,225.93,227.31,75410.0
2015-11-06,229.3,232.22,216.11,230.75,284860.0
2015-11-09,226.49,239.96,226.49,234.45,127720.0
2015-11-10,234.62,242.24,232.27,233.46,224026.0
2015-11-11,234.62,242.24,232.27,233.46,224026.0
2015-11-13,231.25,237.08,231.25,233.26,35436.0
2015-11-16,231.06,239.0,231.04,236.04,72624.0
2015-11-17,233.36,236.79,229.85,230.77,39204.0
2015-11-18,232.2,235.08,226.95,227.75,34560.0
2015-11-19,227.67,233.43,227.67,230.43,23112.0
2015-11-20,229.1,236.04,229.1,231.69,34242.0
2015-11-23,231.62,234.13,227.38,229.9,34312.0
2015-11-24,228.35,229.8,225.23,228.42,36410.0
2015-11-26,230.31,244.05,226.47,233.19,369252.0
2015-11-27,235.34,236.72,229.95,233.89,53370.0
2015-11-30,236.96,252.45,234.91,250.12,1087210.0
2015-12-01,251.57,258.83,250.61,252.42,558792.0
2015-12-02,253.03,257.38,251.89,254.67,242962.0
2015-12-03,254.43,255.93,246.76,247.53,73656.0
2015-12-04,246.64,251.53,236.09,248.48,205730.0
2015-12-07,250.61,253.24,244.63,246.11,65964.0
2015-12-08,248.16,251.09,238.29,241.03,119894.0
2015-12-09,242.87,248.12,232.75,234.98,133538.0
2015-12-10,237.06,250.36,237.06,248.87,165584.0
2015-12-11,253.03,263.67,250.61,253.78,623594.0
2015-12-14,260.06,265.0,255.44,256.92,297794.0
2015-12-15,258.64,260.02,252.93,256.78,99572.0
2015-12-16,258.76,263.43,256.41,260.65,162076.0
2015-12-17,263.19,279.47,261.25,272.89,709554.0
2015-12-18,274.26,283.75,271.41,280.48,412886.0
2015-12-21,282.49,287.86,278.21,279.78,196818.0
2015-12-22,280.17,280.17,263.67,269.47,174068.0
2015-12-23,273.9,275.01,267.35,269.93,123134.0
2015-12-24,273.32,280.12,269.69,273.93,162744.0
2015-12-28,275.69,281.45,274.31,275.89,269274.0
2015-12-29,275.89,282.39,273.35,279.66,209716.0
2015-12-30,281.52,281.52,273.88,275.67,53076.0
2015-12-31,276.78,279.08,274.36,276.68,57456.0
2016-01-01,277.46,284.93,276.03,278.81,183576.0
2016-01-04,278.98,281.79,275.76,276.42,71782.0
2016-01-05,277.75,281.57,275.91,279.3,66298.0
2016-01-06,280.84,282.05,276.15,278.86,75102.0
2016-01-07,276.25,277.94,266.35,267.81,57040.0
2016-01-08,270.44,273.35,269.47,272.09,60500.0
2016-01-11,270.93,279.15,266.48,277.68,53282.0
2016-01-12,277.58,287.86,275.76,279.76,83546.0
2016-01-13,284.45,286.41,256.41,267.25,163246.0
2016-01-14,266.09,266.09,256.41,256.99,111000.0
2016-01-15,261.15,265.63,253.99,255.15,69536.0
2016-01-18,242.94,258.83,234.16,239.58,104834.0
2016-01-19,237.54,244.32,232.22,244.1,81382.0
2016-01-20,238.03,243.35,233.41,237.83,59806.0
2016-01-21,241.9,246.74,231.81,235.92,221358.0
2016-01-22,241.9,244.22,231.69,233.12,88768.0
2016-01-25,237.06,239.48,233.43,235.95,49850.0
2016-01-27,241.9,241.9,235.27,236.46,39846.0
2016-01-28,235.61,239.12,233.67,235.56,199740.0
2016-01-29,239.0,239.0,235.85,237.23,34108.0
2016-02-01,243.35,243.35,234.64,238.49,35038.0
2016-02-02,236.62,252.54,236.24,247.37,127010.0
2016-02-03,244.8,247.7,239.29,244.87,59596.0
2016-02-04,248.41,248.48,242.38,243.25,22014.0
2016-02-05,244.32,247.7,238.58,245.72,18942.0
2016-02-08,242.74,262.82,242.74,255.11,79564.0
2016-02-09,253.03,253.99,247.7,252.59,28172.0
2016-02-10,252.06,252.06,243.83,246.81,31100.0
2016-02-11,249.64,249.64,223.68,226.01,55148.0
2016-02-12,224.97,232.22,215.07,225.16,53068.0
2016-02-15,229.71,239.96,226.42,238.9,33216.0
2016-02-16,242.84,242.84,233.19,236.19,22070.0
2016-02-17,233.67,248.67,229.8,240.76,42578.0
2016-02-18,244.29,248.77,241.51,243.4,38548.0
2016-02-19,242.87,245.19,234.64,242.0,23024.0
2016-02-22,248.67,248.67,241.9,245.28,106910.0
2016-02-23,247.92,247.92,242.87,245.07,32442.0
2016-02-24,243.25,243.25,237.16,238.75,16872.0
2016-02-25,245.74,246.25,234.88,241.37,31960.0
2016-02-26,246.25,246.74,241.29,242.45,17414.0
2016-02-29,245.21,270.93,241.7,253.8,168972.0
2016-03-01,254.96,259.8,251.6,254.11,41028.0
2016-03-02,256.41,259.8,253.99,255.11,45986.0
2016-03-03,258.35,259.07,253.99,257.72,25950.0
2016-03-04,257.72,257.72,247.51,255.03,45740.0
2016-03-08,252.37,256.8,250.63,253.39,23818.0
2016-03-09,253.05,258.35,250.27,253.8,39810.0
2016-03-10,253.8,258.2,250.61,252.08,21728.0
2016-03-11,251.62,253.75,249.25,250.41,16392.0
2016-03-14,247.22,253.73,246.81,251.28,24842.0
2016-03-15,252.78,253.51,249.16,252.76,18984.0
2016-03-16,250.12,259.75,249.69,257.45,112042.0
2016-03-17,261.25,261.25,249.16,251.14,38226.0
2016-03-18,251.5,253.27,249.25,250.8,22544.0
2016-03-21,251.09,253.99,249.28,251.55,26904.0
2016-03-22,251.09,256.41,249.88,252.74,97230.0
2016-03-23,256.41,258.3,249.71,250.75,23626.0
2016-03-28,249.66,256.39,249.66,251.65,17910.0
2016-03-29,247.27,253.22,247.27,249.03,21642.0
2016-03-30,249.16,253.99,246.78,251.62,41492.0
2016-03-31,253.51,253.51,246.78,248.02,16110.0
2016-04-01,249.11,252.08,248.67,249.66,25942.0
2016-04-04,249.37,252.54,248.67,249.3,14582.0
2016-04-05,247.85,251.62,243.54,248.14,29506.0
2016-04-06,247.22,249.16,245.31,248.94,30280.0
2016-04-07,248.94,250.1,242.96,244.1,28430.0
2016-04-08,242.14,242.96,239.96,241.29,31092.0
2016-04-11,241.51,241.92,238.03,241.08,27548.0
2016-04-12,239.5,246.06,239.5,244.51,20982.0
2016-04-13,247.22,252.98,244.58,249.91,112426.0
2016-04-18,251.57,253.99,247.0,249.25,29014.0
2016-04-20,253.22,258.54,249.16,255.13,115154.0
2016-04-21,255.44,257.86,250.85,252.76,21312.0
2016-04-22,250.63,252.54,249.16,249.57,7900.0
2016-04-25,258.35,258.35,244.34,248.67,25686.0
2016-04-26,248.62,251.57,246.4,248.79,19046.0
2016-04-27,244.8,251.09,244.8,247.53,16336.0
2016-04-28,251.57,251.57,244.34,247.97,25252.0
2016-04-29,245.38,250.12,241.9,246.64,28464.0
2016-05-02,250.36,250.36,244.39,247.15,8186.0
2016-05-03,244.83,249.52,243.35,244.15,29472.0
2016-05-04,246.25,276.97,243.83,249.28,1038684.0
2016-05-05,250.56,250.99,244.32,245.33,146294.0
2016-05-06,245.77,246.71,241.41,242.58,48170.0
2016-05-09,243.35,252.98,243.35,250.05,116098.0
2016-05-10,248.19,253.94,246.78,250.7,81240.0
2016-05-11,248.19,250.51,246.01,247.97,46268.0
2016-05-12,249.16,249.88,245.28,247.73,43950.0
2016-05-13,247.37,248.91,245.77,246.01,31932.0
2016-05-16,249.11,249.64,244.8,245.38,21802.0
2016-05-17,247.17,247.8,245.33,246.01,28638.0
2016-05-18,245.79,252.54,244.32,251.14,62296.0
2016-05-19,252.06,256.41,248.31,249.64,78284.0
2016-05-20,251.09,253.0,247.32,250.61,39466.0
2016-05-23,252.69,258.35,248.26,250.1,438332.0
2016-05-24,254.94,254.94,245.28,245.65,63700.0
2016-05-25,247.92,249.16,244.92,246.33,43924.0
2016-05-26,247.7,249.35,244.85,246.35,41090.0
2016-05-27,247.66,248.19,246.25,247.85,37484.0
2016-05-30,247.73,249.64,244.8,245.38,24546.0
2016-05-31,246.62,249.81,245.77,248.45,31410.0
2016-06-01,246.74,249.08,244.37,245.36,47290.0
2016-06-02,245.5,247.8,243.06,244.22,30862.0
2016-06-03,244.22,248.16,241.85,243.47,26666.0
2016-06-06,242.89,247.7,241.66,245.55,39168.0
2016-06-07,245.74,247.66,242.38,243.62,34756.0
2016-06-08,245.6,257.72,243.45,254.26,106990.0
2016-06-09,255.42,255.42,247.7,249.66,34896.0
2016-06-10,249.28,253.51,248.21,250.36,36022.0
2016-06-13,253.03,253.9,245.79,247.68,28400.0
2016-06-14,249.61,252.08,247.0,247.46,22700.0
2016-06-15,249.13,250.12,246.78,249.52,38342.0
2016-06-16,250.2,261.25,247.63,256.12,77568.0
2016-06-17,255.81,258.83,249.71,257.21,75754.0
2016-06-20,251.62,257.38,250.85,255.3,20042.0
2016-06-21,256.73,269.93,254.74,258.59,296316.0
2016-06-22,257.45,263.19,255.47,260.19,93198.0
2016-06-23,260.28,261.27,257.74,258.9,63022.0
2016-06-24,251.57,253.94,240.93,248.43,155640.0
2016-06-27,251.33,253.75,249.18,250.92,36758.0
2016-06-28,255.44,255.44,251.57,251.89,31050.0
2016-06-29,253.73,254.48,249.47,250.0,28860.0
2016-06-30,251.62,253.99,249.16,249.93,28530.0
2016-07-01,251.6,255.93,249.71,252.42,54254.0
2016-07-04,252.06,261.25,252.06,256.53,75680.0
2016-07-05,256.34,257.86,251.57,254.99,42766.0
2016-07-07,256.44,261.73,254.33,255.86,102286.0
2016-07-08,257.38,259.8,253.03,255.3,102464.0
2016-07-11,257.91,258.64,252.32,253.68,300322.0
2016-07-12,256.19,258.35,253.03,254.19,306260.0
2016-07-13,256.41,259.32,252.06,253.17,334360.0
2016-07-14,250.63,257.33,250.63,255.49,33894.0
2016-07-15,255.54,256.8,251.62,252.69,130948.0
2016-07-18,253.49,255.73,252.86,253.61,31258.0
2016-07-19,252.76,254.02,249.83,250.75,38172.0
2016-07-20,250.99,272.57,250.12,270.64,356184.0
2016-07-21,268.53,270.95,261.3,266.38,60678.0
2016-07-22,266.57,284.33,266.38,275.81,270934.0
2016-07-25,278.18,316.77,278.18,311.69,871716.0
2016-07-26,312.05,327.8,302.37,313.04,422740.0
2016-07-27,313.6,328.01,312.58,315.24,305002.0
2016-07-28,315.46,319.79,303.85,305.57,154244.0
2016-07-29,307.6,317.2,305.76,308.71,137682.0
2016-08-01,310.69,321.58,299.91,312.17,201696.0
2016-08-02,314.01,315.41,299.88,301.72,120930.0
2016-08-03,303.68,303.68,295.36,297.87,68816.0
2016-08-04,301.74,301.79,290.25,298.19,60480.0
2016-08-05,299.01,312.02,298.5,309.82,180676.0
2016-08-08,309.82,313.94,307.21,310.55,44516.0
2016-08-09,312.45,317.39,306.76,308.18,41970.0
2016-08-10,308.18,310.09,294.24,302.74,141322.0
2016-08-11,302.78,307.18,298.24,302.78,78384.0
2016-08-12,304.1,314.36,303.27,312.77,75912.0
2016-08-16,314.99,315.9,308.18,312.62,131458.0
2016-08-17,314.94,329.16,308.16,323.88,145550.0
2016-08-18,324.27,327.2,319.39,325.81,84138.0
2016-08-19,328.18,329.6,318.46,321.15,33654.0
2016-08-22,323.54,354.06,314.99,344.1,357206.0
2016-08-23,341.85,377.92,337.95,352.11,799942.0
2016-08-24,351.62,369.79,351.3,357.29,307498.0
2016-08-25,359.82,365.44,352.35,354.33,87664.0
2016-08-26,356.43,362.75,349.18,350.81,64864.0
2016-08-29,352.45,367.25,346.74,363.05,232842.0
2016-08-30,365.12,379.43,362.85,368.93,293428.0
2016-08-31,369.93,372.52,359.56,367.54,80066.0
2016-09-01,368.22,373.11,366.69,366.95,64874.0
2016-09-02,367.0,375.35,366.76,367.83,293408.0
2016-09-06,370.18,374.57,366.76,368.35,64510.0
2016-09-07,369.2,386.49,367.49,377.45,300388.0
2016-09-08,377.99,380.43,373.6,378.53,79558.0
2016-09-09,378.99,380.43,370.62,373.89,72484.0
2016-09-12,370.42,375.45,361.24,367.49,80838.0
2016-09-14,366.27,375.55,356.02,372.91,87606.0
2016-09-15,375.55,402.41,373.16,395.4,294346.0
2016-09-16,398.5,410.22,393.13,400.38,207324.0
2016-09-19,410.57,466.87,410.57,438.77,2189562.0
2016-09-20,442.94,461.99,439.16,449.51,919062.0
2016-09-21,450.76,451.73,422.92,433.05,504712.0
