,open,high,low,close,volume
2015-05-15,2143.4,2158.23,2126.98,2136.44,309635.0
2015-05-18,2126.56,2151.89,2117.27,2128.71,812046.0
2015-05-19,2128.25,2203.79,2128.25,2179.55,923546.0
2015-05-20,2187.36,2191.37,2175.54,2178.41,688445.0
2015-05-21,2178.92,2208.48,2148.26,2197.84,531936.0
2015-05-22,2197.58,2204.25,2177.31,2198.72,138833.0
2015-05-25,2199.1,2202.48,2179.0,2185.76,178329.0
2015-05-26,2188.12,2228.32,2186.81,2207.51,428351.0
2015-05-27,2201.3,2249.65,2191.25,2201.13,396976.0
2015-05-28,2204.59,2253.66,2189.14,2232.46,1494418.0
2015-05-29,2229.59,2284.49,2216.08,2277.6,701724.0
2015-06-01,2287.12,2338.28,2257.45,2314.45,510174.0
2015-06-02,2299.3,2299.3,2221.36,2227.85,822000.0
2015-06-03,2220.51,2246.05,2192.58,2200.82,555765.0
2015-06-04,2200.87,2212.82,2165.85,2176.01,516562.0
2015-06-05,2177.77,2218.8,2159.1,2201.42,335801.0
2015-06-08,2215.22,2215.22,2141.98,2152.74,411130.0
2015-06-09,2144.54,2160.68,2129.98,2135.06,531218.0
2015-06-10,2147.92,2160.73,2135.96,2147.87,377088.0
2015-06-11,2162.44,2176.1,2135.11,2138.69,410240.0
2015-06-12,2126.57,2156.12,2121.61,2138.14,332914.0
2015-06-15,2130.84,2162.01,2119.73,2140.27,253983.0
2015-06-16,2138.78,2181.74,2134.93,2172.0,290025.0
2015-06-17,2190.62,2193.14,2147.92,2154.15,530660.0
2015-06-18,2156.46,2175.2,2150.56,2157.57,448303.0
2015-06-19,2164.31,2203.69,2160.73,2179.05,374245.0
2015-06-22,2202.92,2211.12,2189.08,2204.75,271426.0
2015-06-23,2211.97,2211.97,2145.35,2149.97,350911.0
2015-06-24,2150.05,2175.25,2143.73,2153.04,320799.0
2015-06-25,2160.73,2199.16,2158.17,2179.6,400609.0
2015-06-26,2177.81,2191.99,2153.04,2168.58,200634.0
2015-06-29,2141.94,2182.93,2135.11,2165.64,355916.0
2015-06-30,2170.98,2181.22,2136.81,2155.18,325449.0
2015-07-01,2156.54,2164.95,2135.45,2152.7,401143.0
2015-07-02,2153.47,2193.18,2153.04,2159.28,423277.0
2015-07-03,2169.27,2207.66,2160.73,2200.57,271136.0
2015-07-06,2191.47,2241.82,2182.72,2231.95,307013.0
2015-07-07,2241.86,2253.82,2186.35,2189.55,425371.0
2015-07-08,2177.42,2205.91,2149.24,2177.72,510583.0
2015-07-09,2169.35,2229.01,2169.35,2224.57,418181.0
2015-07-10,2228.2,2236.52,2191.47,2196.21,401799.0
2015-07-13,2203.43,2228.2,2177.89,2220.68,229719.0
2015-07-14,2229.05,2263.13,2213.68,2253.56,324900.0
2015-07-15,2262.32,2281.06,2261.5,2270.26,145475.0
2015-07-16,2270.04,2276.88,2242.72,2262.61,201208.0
2015-07-17,2265.73,2287.13,2255.78,2262.7,180187.0
2015-07-20,2277.56,2284.56,2266.63,2273.38,165950.0
2015-07-21,2273.38,2301.64,2270.51,2295.03,156870.0
2015-07-22,2293.96,2322.91,2280.59,2315.31,196253.0
2015-07-23,2314.45,2331.54,2283.71,2320.95,296483.0
2015-07-24,2305.91,2347.59,2305.91,2340.42,336553.0
2015-07-27,2348.15,2348.15,2216.24,2224.82,453942.0
2015-07-28,2230.93,2247.37,2136.05,2162.01,614008.0
2015-07-29,2168.16,2204.28,2140.49,2194.76,412275.0
2015-07-30,2194.89,2243.87,2190.62,2203.73,1025263.0
2015-07-31,2220.47,2304.63,2208.08,2291.14,471113.0
2015-08-03,2268.34,2321.29,2222.52,2303.44,861266.0
2015-08-04,2382.78,2386.02,2232.17,2240.88,1657551.0
2015-08-05,2252.11,2284.48,2244.81,2276.88,404556.0
2015-08-06,2290.54,2290.54,2253.82,2264.15,247050.0
2015-08-07,2248.74,2279.87,2248.74,2273.33,175465.0
2015-08-10,2275.68,2331.45,2273.93,2309.29,431904.0
2015-08-11,2313.69,2321.84,2279.27,2296.01,682348.0
2015-08-12,2276.02,2303.35,2239.34,2250.23,347945.0
2015-08-13,2252.54,2292.25,2236.91,2260.22,346709.0
2015-08-14,2274.31,2324.87,2255.7,2316.55,316094.0
2015-08-17,2321.29,2323.12,2255.53,2263.43,191264.0
2015-08-18,2264.24,2286.01,2250.49,2255.53,142927.0
2015-08-19,2246.6,2313.56,2234.43,2292.85,200364.0
2015-08-20,2263.21,2275.47,2238.7,2245.36,239882.0
