,open,high,low,close,volume
2015-05-15,13.36,13.75,13.26,13.61,1420871.0
2015-05-18,13.71,14.1,13.71,13.8,2014789.0
2015-05-19,13.66,13.66,12.86,13.01,3147484.0
2015-05-20,13.11,13.36,12.91,12.96,1007496.0
2015-05-21,13.21,13.21,12.47,12.72,1637569.0
2015-05-22,12.77,12.86,12.52,12.62,855785.0
2015-05-25,12.67,12.77,12.42,12.57,1229606.0
2015-05-26,12.62,12.67,12.32,12.37,912944.0
2015-05-27,12.57,12.57,11.83,12.02,1357499.0
2015-05-28,12.32,12.32,11.87,12.02,774549.0
2015-05-29,12.12,12.12,11.83,11.87,967687.0
2015-06-01,11.97,12.62,11.87,12.42,1550972.0
2015-06-02,12.42,12.42,11.92,11.97,934781.0
2015-06-03,11.97,12.07,9.75,10.84,3597094.0
2015-06-04,11.08,11.08,9.9,10.14,2264677.0
2015-06-05,10.14,10.14,9.75,9.9,2418390.0
2015-06-08,10.24,10.24,9.4,9.45,1637918.0
2015-06-09,9.45,9.75,9.0,9.15,1288543.0
2015-06-10,9.15,10.24,9.15,9.8,3250606.0
2015-06-11,10.29,10.64,9.8,9.99,2703330.0
2015-06-12,10.39,11.97,10.09,11.83,14998894.0
2015-06-15,11.92,12.22,10.84,11.92,7231111.0
2015-06-16,11.97,12.37,11.53,12.07,2553638.0
2015-06-17,12.27,12.37,11.97,12.22,2811343.0
2015-06-18,12.32,12.62,12.17,12.22,1962579.0
2015-06-19,12.27,12.47,11.73,11.92,2523175.0
2015-06-22,12.07,12.22,11.83,12.02,1790025.0
2015-06-23,12.12,12.22,11.92,12.02,1487324.0
2015-06-24,12.02,12.02,11.48,11.53,967037.0
2015-06-25,11.48,11.97,11.43,11.78,956944.0
2015-06-26,11.58,11.87,10.89,11.33,2294986.0
2015-06-29,11.03,11.33,10.79,11.13,2167833.0
2015-06-30,11.18,11.83,11.13,11.43,1924540.0
2015-07-01,11.68,11.92,11.48,11.58,1614899.0
2015-07-02,11.78,12.12,11.68,11.87,1769065.0
2015-07-03,11.92,12.07,11.63,11.73,1548194.0
2015-07-06,11.38,12.32,11.28,12.12,2491498.0
2015-07-07,12.22,13.06,12.07,12.57,3805915.0
2015-07-08,12.27,13.36,12.22,13.01,5732425.0
2015-07-09,13.36,13.66,12.81,12.91,3772419.0
2015-07-10,13.06,13.26,12.62,12.77,1840701.0
2015-07-13,12.86,13.41,12.77,13.11,2443792.0
2015-07-14,13.26,13.51,12.96,13.26,2333714.0
2015-07-15,13.36,14.6,13.26,14.45,8793359.0
2015-07-16,14.35,14.94,14.35,14.55,4035214.0
2015-07-17,14.6,15.14,14.0,14.15,3428497.0
2015-07-20,14.25,14.65,14.0,14.35,1670537.0
2015-07-21,14.45,14.6,13.26,13.31,2370727.0
2015-07-22,13.31,13.85,13.16,13.51,2707361.0
2015-07-23,13.56,13.95,13.36,13.46,1634564.0
2015-07-24,13.51,13.8,13.26,13.36,1276572.0
2015-07-27,13.36,13.36,12.77,12.81,1432977.0
2015-07-28,12.91,13.26,12.72,12.81,1995939.0
2015-07-29,12.96,13.11,12.77,12.86,1211561.0
2015-07-30,12.96,13.41,12.86,13.11,1429096.0
2015-07-31,13.21,13.56,12.96,13.11,1718843.0
2015-08-03,13.21,15.14,13.21,14.89,9589473.0
2015-08-04,15.39,16.53,15.19,15.83,11725962.0
2015-08-05,16.08,16.28,15.34,15.49,4385071.0
2015-08-06,15.59,16.58,15.59,15.83,11258071.0
2015-08-07,15.88,16.72,15.83,16.18,10590932.0
2015-08-10,16.23,16.72,16.08,16.18,7042668.0
2015-08-11,16.43,16.53,15.59,15.73,5792919.0
2015-08-12,15.68,15.88,14.79,14.89,2839326.0
2015-08-13,15.09,15.44,14.35,14.45,2537446.0
2015-08-14,14.65,15.24,14.5,14.94,2400347.0
2015-08-17,14.84,15.29,14.74,14.84,2082425.0
2015-08-18,14.99,15.24,14.74,14.84,2115690.0
2015-08-19,14.89,14.99,14.5,14.6,2346733.0
