,open,high,low,close,volume
2015-05-15,75.32,76.75,74.37,75.89,27516.0
2015-05-18,77.23,88.67,77.23,79.9,186580.0
2015-05-19,80.04,82.0,79.52,79.61,58207.0
2015-05-20,80.61,82.0,79.95,80.14,41600.0
2015-05-21,80.66,81.09,79.9,80.33,25159.0
2015-05-22,80.38,81.33,79.42,80.76,43586.0
2015-05-25,84.09,85.62,80.38,80.85,268006.0
2015-05-26,79.37,82.19,79.23,80.47,62027.0
2015-05-27,80.09,82.47,79.61,81.19,127668.0
2015-05-28,81.09,82.47,80.09,80.57,73475.0
2015-05-29,80.76,81.23,78.85,79.56,47188.0
2015-06-01,79.71,80.28,78.18,78.61,31689.0
2015-06-02,79.61,79.61,76.28,76.61,31964.0
2015-06-03,77.09,77.09,70.94,73.32,77594.0
2015-06-04,74.27,74.85,72.6,73.46,26665.0
2015-06-05,73.42,73.89,71.51,73.37,56301.0
2015-06-08,72.94,73.61,71.51,72.89,27594.0
2015-06-09,70.6,73.37,70.6,71.51,26368.0
2015-06-10,71.03,73.84,71.03,73.13,20429.0
2015-06-11,73.42,73.89,70.65,71.46,46265.0
2015-06-12,72.37,72.94,71.46,71.98,15374.0
2015-06-15,72.18,73.89,71.03,73.56,35760.0
2015-06-16,72.46,73.89,72.08,73.42,28413.0
2015-06-17,73.42,76.18,72.94,75.08,67732.0
2015-06-18,79.09,80.66,76.47,77.56,1132382.0
2015-06-19,78.18,78.99,75.8,76.99,113666.0
2015-06-22,77.18,77.9,75.61,76.28,299029.0
2015-06-23,75.61,77.99,74.65,75.94,61194.0
2015-06-24,76.28,79.71,76.28,78.13,215203.0
2015-06-25,77.23,78.8,76.94,77.32,69014.0
2015-06-26,76.94,85.48,76.08,82.81,2149860.0
2015-06-29,81.23,83.81,77.23,82.66,318152.0
2015-06-30,82.95,90.2,82.52,89.19,1184995.0
2015-07-01,91.53,92.48,86.86,87.53,742119.0
2015-07-02,87.0,90.48,87.0,87.96,362150.0
2015-07-03,87.96,88.57,85.95,86.62,130769.0
2015-07-06,86.0,93.82,83.9,93.44,764518.0
2015-07-07,94.58,96.54,91.53,92.29,837918.0
2015-07-08,90.48,96.11,89.67,92.58,610254.0
2015-07-09,92.01,94.25,90.53,91.05,296325.0
2015-07-10,91.53,94.01,90.82,92.25,269499.0
2015-07-13,91.91,108.55,91.91,107.41,5589449.0
2015-07-14,107.74,118.99,104.07,116.56,6760751.0
2015-07-15,119.18,121.09,110.79,112.65,2878675.0
2015-07-16,113.22,117.75,110.46,114.41,1341229.0
2015-07-17,114.89,117.61,113.27,114.7,1216448.0
2015-07-20,114.99,117.27,114.03,115.94,750504.0
2015-07-21,115.8,117.04,106.02,107.36,1075083.0
2015-07-22,107.36,113.94,107.36,113.32,880535.0
2015-07-23,113.94,135.96,109.88,130.24,8275018.0
2015-07-24,132.53,153.89,130.24,140.73,9952892.0
2015-07-27,140.06,146.83,138.34,143.35,2507948.0
2015-07-28,143.92,157.65,143.11,157.65,3246997.0
2015-07-29,157.99,172.38,154.84,161.37,4417812.0
2015-07-30,163.04,166.76,158.94,163.42,1446401.0
2015-07-31,163.99,164.8,156.84,159.99,1202525.0
2015-08-03,159.32,167.52,159.32,162.18,1100767.0
2015-08-04,162.66,176.1,159.89,174.15,2572256.0
2015-08-05,175.1,189.74,172.57,186.49,3310034.0
2015-08-06,187.26,187.83,176.01,181.96,1457319.0
2015-08-07,180.96,183.54,173.62,177.67,1163419.0
2015-08-10,178.1,181.63,175.15,176.77,1060669.0
2015-08-11,177.34,177.63,165.18,175.05,1068862.0
2015-08-12,175.43,178.58,168.14,170.05,784806.0
2015-08-13,171.24,178.77,170.52,173.19,1121873.0
2015-08-14,171.62,184.78,169.71,182.58,1574388.0
2015-08-17,184.01,188.78,177.34,184.97,1492153.0
2015-08-18,186.11,203.46,184.87,202.13,2640268.0
2015-08-19,204.42,205.75,194.5,196.84,1438671.0
2015-08-20,196.31,201.89,184.44,186.59,1310214.0
2015-08-21,180.39,197.84,175.43,195.26,1562215.0
2015-08-24,183.54,186.68,175.77,175.77,640795.0
2015-08-25,176.39,181.06,158.22,162.32,1494933.0
2015-08-26,161.7,171.05,149.88,155.32,1082240.0
2015-08-27,161.18,170.81,158.8,170.81,771852.0
2015-08-28,177.24,180.2,170.14,173.43,989480.0
2015-08-31,172.57,182.01,170.76,175.77,829699.0
2015-09-01,173.76,185.25,172.14,179.2,954377.0
2015-09-02,182.97,186.11,177.44,182.01,687175.0
2015-09-03,184.25,187.92,183.06,184.87,543700.0
