,open,high,low,close,volume
2015-05-15,80.17,80.57,79.01,80.01,4147996.0
2015-05-18,81.5,83.87,80.88,83.26,6581740.0
2015-05-19,83.1,83.86,82.16,83.31,4070110.0
2015-05-20,84.15,85.31,82.96,83.5,3596319.0
2015-05-21,83.21,83.68,81.34,81.58,5123056.0
2015-05-22,81.23,82.69,80.97,81.24,2753028.0
2015-05-25,81.23,83.27,81.17,82.35,3477465.0
2015-05-26,82.76,82.76,80.57,81.61,2809017.0
2015-05-27,82.16,83.74,81.63,83.49,5718105.0
2015-05-28,84.0,85.18,82.92,84.26,11739186.0
2015-05-29,87.62,89.97,86.4,89.43,12607929.0
2015-06-01,89.44,92.46,87.73,92.04,7779825.0
2015-06-02,91.74,92.71,89.89,90.24,5941782.0
2015-06-03,90.28,92.09,87.41,89.41,6990601.0
2015-06-04,90.1,90.46,88.36,89.93,7835994.0
2015-06-05,90.64,91.7,89.53,90.5,6180232.0
2015-06-08,90.5,91.37,88.56,88.81,2995339.0
2015-06-09,88.79,92.95,88.54,92.46,7767283.0
2015-06-10,92.2,93.74,91.46,92.54,5630751.0
2015-06-11,92.5,93.51,91.17,91.58,4815072.0
2015-06-12,90.93,92.73,90.2,91.31,3502800.0
2015-06-15,91.73,92.87,91.28,91.79,4048740.0
2015-06-16,92.06,94.22,91.88,93.15,10738917.0
2015-06-17,93.46,93.82,91.62,91.95,3792136.0
2015-06-18,92.42,95.4,92.42,94.69,5334511.0
2015-06-19,95.01,97.66,94.13,97.14,7616007.0
2015-06-22,97.66,98.06,96.57,97.37,5363635.0
2015-06-23,97.91,98.83,96.62,97.72,4606132.0
2015-06-24,97.79,98.53,95.84,96.19,4353727.0
2015-06-25,95.97,97.84,95.9,96.32,5139670.0
2015-06-26,96.34,97.86,95.89,96.88,3444763.0
2015-06-29,96.21,98.33,94.9,96.62,8090914.0
2015-06-30,96.74,98.04,96.18,96.62,4064688.0
2015-07-01,97.4,98.45,96.48,97.87,4000351.0
2015-07-02,98.86,103.82,98.76,103.45,15804382.0
2015-07-03,103.49,104.14,101.9,102.29,5296797.0
2015-07-06,102.83,106.81,102.77,106.01,9007812.0
2015-07-07,107.36,109.98,106.12,109.26,15955726.0
2015-07-08,109.19,112.37,108.5,109.08,12506319.0
2015-07-09,109.33,109.84,105.83,106.68,7477429.0
2015-07-10,106.46,107.99,104.53,106.58,8292924.0
2015-07-13,107.4,109.19,106.71,108.78,4705726.0
2015-07-14,109.06,113.61,108.9,112.48,8780490.0
2015-07-15,112.48,113.4,110.71,112.51,5881459.0
2015-07-16,112.77,115.78,112.77,115.14,6179229.0
2015-07-17,115.29,116.78,114.22,115.1,4655497.0
2015-07-20,116.08,116.76,115.22,116.37,4898574.0
2015-07-21,116.63,117.12,115.02,115.6,6264634.0
2015-07-22,115.29,120.46,115.22,119.5,9704389.0
2015-07-23,120.46,121.65,119.25,119.84,7641324.0
2015-07-24,120.44,122.71,119.99,121.03,8427510.0
2015-07-27,121.03,122.9,120.95,121.97,8853768.0
2015-07-28,122.71,124.35,122.06,123.94,9020601.0
2015-07-29,124.29,125.41,121.76,123.31,8259651.0
2015-07-30,123.37,125.23,121.86,124.43,10629144.0
2015-07-31,124.57,125.22,121.29,122.13,6622749.0
2015-08-03,124.17,124.17,119.17,120.48,9372186.0
2015-08-04,121.86,122.5,120.09,121.25,6846930.0
2015-08-05,121.92,122.37,119.22,120.27,4512406.0
2015-08-06,120.01,121.88,119.8,120.42,3597327.0
2015-08-07,120.87,129.8,120.67,128.6,12883284.0
2015-08-10,129.59,131.32,126.82,127.72,9112131.0
2015-08-11,128.79,129.44,122.62,126.42,11352469.0
2015-08-12,126.55,127.24,115.71,116.89,23020866.0
