,open,high,low,close,volume
2015-05-15,146.42,146.42,142.94,145.01,620005.0
2015-05-18,144.85,146.33,144.35,144.93,429352.0
2015-05-19,144.8,148.44,144.68,146.95,533529.0
2015-05-20,146.46,147.08,144.72,145.67,536482.0
2015-05-21,145.34,147.58,143.65,146.79,644352.0
2015-05-22,146.79,148.98,145.88,146.71,1061165.0
2015-05-25,144.76,148.15,144.76,147.37,669080.0
2015-05-26,145.84,148.07,142.28,142.98,321591.0
2015-05-27,141.95,144.76,140.71,143.32,965875.0
2015-05-28,143.32,144.47,140.96,141.7,970272.0
2015-05-29,141.7,142.61,138.64,139.96,1432314.0
2015-06-01,139.8,140.83,138.31,138.72,725464.0
2015-06-02,140.63,141.7,137.73,138.31,820036.0
2015-06-03,138.81,139.63,135.66,138.89,914013.0
2015-06-04,138.97,141.87,137.73,139.8,1000917.0
2015-06-05,139.34,143.94,138.81,140.59,1098379.0
2015-06-08,142.53,142.53,138.97,140.09,510140.0
2015-06-09,139.3,142.2,139.05,140.01,504546.0
2015-06-10,139.39,140.17,135.75,139.01,1116208.0
2015-06-11,138.97,139.34,135.04,135.66,746516.0
2015-06-12,136.49,138.97,134.55,136.12,511304.0
2015-06-15,138.06,138.39,135.37,136.66,595959.0
2015-06-16,135.99,136.61,134.42,136.16,395418.0
2015-06-17,135.87,137.44,134.51,136.61,938251.0
2015-06-18,136.08,137.57,135.66,136.45,354277.0
2015-06-19,137.07,138.97,136.49,138.39,542849.0
2015-06-22,138.31,139.72,137.32,139.01,686719.0
2015-06-23,139.43,143.69,138.14,142.86,1217512.0
2015-06-24,143.73,143.77,139.43,140.01,469221.0
2015-06-25,139.47,140.54,137.73,139.43,716158.0
2015-06-26,139.72,141.62,138.89,140.63,434245.0
2015-06-29,138.81,141.04,137.57,140.13,976354.0
2015-06-30,139.96,141.08,136.57,138.23,1031353.0
2015-07-01,138.23,140.3,137.98,138.77,765086.0
2015-07-02,138.56,139.55,135.46,135.79,1166239.0
2015-07-03,135.75,135.95,133.22,133.72,1040593.0
2015-07-06,131.61,133.84,131.36,133.47,460224.0
2015-07-07,132.97,134.84,132.93,133.51,435622.0
2015-07-08,130.82,131.53,128.3,130.82,1147009.0
2015-07-09,130.7,133.1,130.37,132.6,535605.0
2015-07-10,133.18,133.68,130.78,131.36,720880.0
2015-07-13,131.86,132.64,130.12,132.06,354891.0
2015-07-14,132.27,134.22,131.78,132.77,543428.0
2015-07-15,133.18,135.83,132.89,135.33,534837.0
2015-07-16,135.66,136.24,134.26,135.91,482702.0
2015-07-17,137.32,137.32,135.0,135.87,408816.0
2015-07-20,136.82,139.3,134.59,137.65,1484142.0
2015-07-21,140.46,140.96,135.66,137.28,1096168.0
2015-07-22,135.75,137.03,134.84,135.7,490284.0
2015-07-23,135.75,138.06,135.75,137.24,294940.0
2015-07-24,137.32,137.32,135.33,135.66,354402.0
2015-07-27,135.66,137.11,133.18,135.42,677281.0
2015-07-28,135.25,135.25,128.63,129.34,964940.0
2015-07-29,129.05,132.11,126.61,131.24,745475.0
2015-07-30,132.35,132.35,129.13,130.91,416950.0
2015-07-31,131.53,131.53,129.58,129.91,170533.0
2015-08-03,130.37,134.42,129.05,133.8,563473.0
2015-08-04,133.88,134.22,129.91,131.07,570856.0
2015-08-05,130.29,132.69,130.29,131.11,514924.0
2015-08-06,131.44,133.26,128.22,128.71,1109945.0
2015-08-07,130.29,130.29,127.72,128.59,678485.0
2015-08-10,128.88,129.46,126.23,127.43,1139649.0
2015-08-11,128.22,128.47,124.7,125.16,1045861.0
2015-08-12,124.08,124.87,120.24,121.02,737949.0
2015-08-13,121.1,121.81,116.06,119.49,2291212.0
2015-08-14,120.77,121.72,118.37,120.28,1083959.0
2015-08-17,120.36,124.41,119.95,123.34,343275.0
2015-08-18,124.17,125.65,121.19,121.85,652167.0
2015-08-19,120.77,121.93,115.48,116.22,1808836.0
2015-08-20,116.39,117.18,113.33,115.44,628925.0
2015-08-21,114.73,115.4,111.76,113.45,667341.0
2015-08-24,111.67,111.67,97.69,101.29,1948289.0
2015-08-25,103.4,105.97,96.83,104.77,1288820.0
2015-08-26,104.81,106.38,100.09,105.1,1311735.0
2015-08-27,106.63,108.74,105.39,107.58,1595746.0
2015-08-28,110.02,111.59,108.12,108.94,1286319.0
2015-08-31,109.19,109.19,103.69,105.18,790997.0
2015-09-01,104.81,107.5,102.86,104.02,601754.0
2015-09-02,105.06,114.16,103.32,105.84,695697.0
2015-09-03,107.5,111.05,105.35,110.31,717965.0
2015-09-04,109.61,110.27,106.79,109.28,712335.0
2015-09-07,109.94,110.85,107.54,107.83,412481.0
2015-09-08,107.62,110.02,107.25,107.95,604868.0
2015-09-09,110.43,114.53,110.19,111.67,914057.0
2015-09-10,111.59,111.59,106.88,109.11,843494.0
2015-09-11,109.19,110.02,106.96,107.58,506651.0
2015-09-14,106.92,113.33,105.88,112.46,1142621.0
2015-09-15,110.97,113.0,109.23,112.05,1222629.0
2015-09-16,112.46,112.46,108.94,109.9,694065.0
2015-09-18,113.08,114.2,110.43,112.38,1299240.0
2015-09-21,111.51,113.62,109.4,112.25,574826.0
2015-09-22,113.29,113.99,109.77,111.1,627150.0
2015-09-23,107.54,113.66,106.88,112.0,872316.0
2015-09-24,112.58,119.7,111.34,118.5,1597066.0
2015-09-28,119.12,119.12,112.83,113.87,359610.0
2015-09-29,111.3,113.33,110.93,111.47,385717.0
2015-09-30,112.91,116.47,111.67,115.64,428345.0
2015-10-01,116.14,116.14,112.58,114.49,505895.0
2015-10-05,115.64,119.86,114.24,118.29,822979.0
2015-10-06,119.12,119.53,116.1,118.62,672001.0
2015-10-07,118.71,124.17,117.38,122.72,995590.0
2015-10-08,124.08,124.41,119.12,119.9,559187.0
2015-10-09,122.18,127.56,121.77,124.45,2589576.0
2015-10-12,125.74,127.97,121.81,122.59,1397754.0
2015-10-13,123.63,127.23,121.56,126.4,1575937.0
2015-10-14,126.4,127.8,124.37,124.99,1091650.0
2015-10-15,124.99,125.78,121.44,121.77,781703.0
2015-10-16,121.81,127.97,121.81,127.6,1108770.0
2015-10-19,127.8,132.19,126.98,130.7,1451929.0
2015-10-20,133.97,135.46,130.82,131.73,1985789.0
2015-10-21,131.61,134.88,130.7,134.3,804559.0
2015-10-23,136.01,136.43,129.95,131.66,1074068.0
2015-10-26,133.25,133.92,130.66,131.66,617767.0
2015-10-27,131.41,133.92,130.45,133.29,907616.0
2015-10-28,133.08,133.5,130.99,132.04,506961.0
2015-10-29,131.58,133.84,128.82,130.28,1343496.0
2015-10-30,130.57,133.38,129.61,131.54,553302.0
2015-11-02,131.37,132.46,128.36,130.41,366922.0
2015-11-03,131.41,132.83,131.2,132.04,653301.0
2015-11-04,132.83,133.59,129.95,131.29,496565.0
2015-11-05,131.41,132.16,128.77,129.78,372311.0
2015-11-06,130.16,131.29,127.23,128.06,263203.0
2015-11-09,125.47,131.83,124.71,130.16,337852.0
2015-11-10,129.65,129.69,120.24,121.16,1403838.0
2015-11-11,129.65,129.69,120.24,121.16,1403838.0
2015-11-13,118.86,122.08,118.56,121.62,871661.0
2015-11-16,120.53,121.32,119.36,120.91,551497.0
2015-11-17,121.37,123.92,120.53,123.5,863788.0
2015-11-18,123.5,123.63,117.43,117.93,759337.0
2015-11-19,118.44,121.95,117.52,119.82,957903.0
2015-11-20,119.69,119.69,117.68,118.65,1629413.0
2015-11-23,120.53,120.61,117.6,119.23,1398211.0
2015-11-24,119.06,119.69,117.89,118.44,742273.0
2015-11-26,118.69,119.99,117.89,118.81,1083310.0
2015-11-27,119.27,121.12,118.52,119.32,487440.0
2015-11-30,119.44,120.66,118.6,120.19,492851.0
2015-12-01,120.61,126.14,120.19,122.96,1857144.0
2015-12-02,124.55,125.38,120.4,121.12,797507.0
2015-12-03,121.87,121.87,119.27,120.19,622491.0
2015-12-04,120.45,123.79,119.23,123.29,958821.0
2015-12-07,123.71,124.3,121.16,122.96,498870.0
2015-12-08,122.45,122.54,118.48,119.06,780726.0
2015-12-09,118.02,120.99,117.64,119.53,1111804.0
2015-12-10,119.86,120.45,118.9,119.53,475801.0
2015-12-11,119.53,120.45,116.76,117.06,734992.0
2015-12-14,116.34,118.77,115.97,118.23,833825.0
2015-12-15,118.27,124.88,118.27,121.87,1818380.0
2015-12-16,122.62,124.88,120.03,123.75,1129756.0
