,open,high,low,close,volume
2015-05-15,7725.4,7793.92,7608.28,7740.89,1399.0
2015-05-18,7669.6,7805.93,7621.19,7681.91,1239.0
2015-05-19,7602.32,7638.07,7468.27,7522.39,1093.0
2015-05-20,7523.18,7634.1,7372.94,7414.0,1644.0
2015-05-21,7417.58,7725.45,7378.9,7596.21,1117.0
2015-05-22,7646.06,7844.61,7531.82,7624.96,1443.0
2015-05-25,7670.84,7744.32,7468.76,7578.79,732.0
2015-05-26,7448.66,7448.66,7080.5,7107.66,10381.0
2015-05-27,7001.56,7446.42,7001.56,7315.2,1566.0
2015-05-28,7240.82,7379.44,7080.01,7309.14,1170.0
2015-05-29,7308.4,7546.71,7211.23,7429.19,1930.0
2015-06-01,7268.73,7378.65,7221.01,7271.11,1012.0
2015-06-02,7327.56,7338.19,7099.82,7145.0,1095.0
2015-06-03,7223.99,7224.34,6950.92,6997.39,1905.0
2015-06-04,6883.15,7097.39,6873.47,7053.15,700.0
2015-06-05,6912.54,7149.57,6912.54,7102.85,1861.0
2015-06-08,7031.35,7218.03,7001.46,7104.49,541.0
2015-06-09,7061.14,7149.52,7030.36,7104.44,1140.0
2015-06-10,7131.59,7321.26,7100.86,7266.74,678.0
2015-06-11,7320.26,7416.63,7149.52,7291.61,552.0
2015-06-12,7190.48,7317.83,7190.48,7276.27,565.0
2015-06-15,7328.26,7362.37,7179.41,7292.56,789.0
2015-06-16,7275.63,7357.05,7209.1,7312.62,359.0
2015-06-17,7281.63,7530.83,7211.18,7393.69,3077.0
2015-06-18,7447.36,7447.41,7288.54,7349.7,900.0
2015-06-19,7442.4,7446.32,7308.4,7364.75,594.0
2015-06-22,7318.28,7636.98,7298.47,7614.78,1033.0
2015-06-23,7724.31,7909.15,7556.59,7808.02,1529.0
2015-06-24,7859.5,7993.56,7646.01,7714.88,4082.0
2015-06-25,7819.78,7819.78,7586.38,7740.3,1027.0
2015-06-26,7744.27,7745.31,7675.8,7738.51,2641.0
2015-06-29,7488.13,7704.05,7100.86,7183.53,6527.0
2015-06-30,7112.78,7397.67,7112.78,7378.2,1402.0
2015-07-01,7397.72,7543.73,7377.91,7453.52,976.0
2015-07-02,7497.56,7586.43,7497.06,7534.95,623.0
