,open,high,low,close,volume
2015-05-15,17.41,17.86,17.12,17.61,9552.0
2015-05-18,17.61,17.81,17.02,17.66,7990.0
2015-05-19,17.41,17.81,17.37,17.46,2076.0
2015-05-20,17.86,17.91,17.41,17.61,3030.0
2015-05-21,17.32,17.71,17.32,17.66,4634.0
2015-05-22,17.66,17.66,16.92,17.41,4327.0
2015-05-25,17.37,17.71,16.67,16.97,7797.0
2015-05-26,16.92,16.92,16.42,16.72,11363.0
2015-05-27,16.37,16.62,16.27,16.52,8262.0
2015-05-28,17.27,17.32,16.37,16.42,7197.0
2015-05-29,16.32,16.92,16.22,16.47,2440.0
2015-06-01,16.82,16.82,16.22,16.32,10584.0
2015-06-02,16.12,16.42,15.08,15.67,27107.0
2015-06-03,15.67,15.92,14.58,14.78,19751.0
2015-06-04,14.93,15.42,14.93,15.33,13832.0
2015-06-05,15.18,16.12,15.13,15.72,6171.0
2015-06-08,17.32,17.32,15.28,15.62,7438.0
2015-06-09,15.62,15.87,15.23,15.33,9048.0
2015-06-10,15.42,15.82,15.42,15.47,7084.0
2015-06-11,15.42,15.57,15.28,15.33,6469.0
2015-06-12,15.33,15.37,14.78,14.93,10110.0
2015-06-15,14.93,15.42,14.78,15.23,6483.0
2015-06-16,14.98,14.98,14.43,14.73,7444.0
2015-06-17,14.78,15.28,14.73,15.18,14089.0
2015-06-18,15.08,15.62,14.98,15.13,15556.0
2015-06-19,15.23,15.37,14.43,15.18,26814.0
2015-06-22,15.52,15.77,15.03,15.62,15245.0
2015-06-23,15.42,15.77,15.42,15.62,12995.0
2015-06-24,15.42,15.72,15.08,15.28,8105.0
2015-06-25,15.23,15.67,15.08,15.37,7561.0
2015-06-26,15.18,15.62,14.98,15.52,9489.0
2015-06-29,14.93,15.18,14.78,15.08,4366.0
2015-06-30,15.33,15.42,15.03,15.23,8624.0
2015-07-01,15.03,16.17,15.03,16.02,18089.0
2015-07-02,16.12,16.87,16.12,16.72,20181.0
2015-07-03,16.62,17.51,16.27,16.52,80123.0
2015-07-06,16.42,17.17,16.07,16.62,32350.0
2015-07-07,16.82,17.22,16.12,16.27,47865.0
2015-07-08,16.22,16.72,15.33,16.42,18116.0
2015-07-09,16.42,18.26,16.17,17.07,71188.0
2015-07-10,16.92,18.11,16.92,17.12,9527.0
2015-07-13,17.91,17.91,17.02,17.46,17697.0
2015-07-14,17.12,18.76,16.82,18.16,40285.0
2015-07-15,18.41,21.4,18.21,21.1,298007.0
2015-07-16,21.35,22.44,20.05,20.75,226677.0
2015-07-17,20.65,21.3,20.15,20.6,35158.0
2015-07-20,20.5,21.3,20.4,20.9,24640.0
2015-07-21,20.9,21.3,19.41,19.65,32843.0
2015-07-22,19.9,20.35,19.55,20.0,32594.0
2015-07-23,19.9,20.4,18.16,19.55,40044.0
2015-07-24,19.21,19.41,18.61,18.86,11539.0
2015-07-27,18.71,19.21,18.16,18.46,33474.0
2015-07-28,18.71,18.91,17.96,18.06,7946.0
2015-07-29,18.61,18.91,17.91,18.36,8679.0
2015-07-30,18.71,19.41,18.06,18.81,13441.0
2015-07-31,18.96,19.41,17.71,18.21,24774.0
2015-08-03,18.41,19.7,18.41,19.45,40564.0
2015-08-04,19.9,23.34,19.65,23.34,481084.0
2015-08-05,23.98,25.28,21.79,23.39,355850.0
2015-08-06,24.68,24.73,22.39,22.74,63402.0
2015-08-07,22.59,22.84,21.64,21.74,94493.0
2015-08-10,21.94,22.39,20.9,21.1,43843.0
2015-08-11,21.1,21.69,20.1,20.4,12273.0
2015-08-12,20.2,21.4,19.45,19.55,21430.0
2015-08-13,19.21,19.65,17.02,17.71,89669.0
2015-08-14,17.91,19.11,17.51,18.86,59594.0
2015-08-17,19.31,19.85,18.51,19.45,10775.0
2015-08-18,19.45,19.6,17.81,18.16,55884.0
2015-08-19,18.21,18.81,17.91,18.06,48466.0
2015-08-20,17.96,18.11,17.17,17.41,27835.0
2015-08-21,16.92,17.12,16.17,16.72,37486.0
2015-08-24,16.27,16.52,14.83,15.33,54089.0
2015-08-25,14.93,15.82,13.58,15.72,49010.0
2015-08-26,15.42,16.67,15.23,15.42,12790.0
