,open,high,low,close,volume
2015-05-15,58.0,58.65,55.4,56.35,5252080.0
2015-05-18,56.6,58.3,56.5,57.4,3735325.0
2015-05-19,57.35,58.0,56.25,56.9,3364271.0
2015-05-20,57.35,58.75,57.15,58.3,4472792.0
2015-05-21,58.7,59.3,57.05,58.15,5135030.0
2015-05-22,60.75,61.9,58.9,59.45,12102307.0
2015-05-25,59.45,59.65,58.25,58.7,2814425.0
2015-05-26,59.0,59.0,56.8,57.5,3432528.0
2015-05-27,57.15,59.5,56.3,58.7,5048302.0
2015-05-28,59.0,59.15,57.3,57.9,3242740.0
2015-05-29,58.1,60.4,57.8,58.55,5610684.0
2015-06-01,58.65,60.25,58.3,58.9,3573130.0
2015-06-02,59.1,59.4,54.6,55.2,5115644.0
2015-06-03,55.2,55.25,45.15,50.6,12913318.0
2015-06-04,51.15,51.85,48.55,50.35,9473816.0
2015-06-05,49.95,50.9,49.3,49.7,4446174.0
2015-06-08,50.4,50.4,47.5,48.4,4422001.0
2015-06-09,48.0,49.15,46.15,46.8,4801307.0
2015-06-10,47.25,48.1,46.4,47.1,5283135.0
2015-06-11,47.9,47.9,44.65,44.95,4797144.0
2015-06-12,44.6,45.4,41.7,44.15,8828613.0
2015-06-15,44.5,45.65,43.45,44.05,5521690.0
2015-06-16,44.1,44.2,42.25,42.85,5411309.0
2015-06-17,43.15,43.8,42.25,42.9,5731966.0
2015-06-18,43.0,43.35,41.0,41.9,5547917.0
2015-06-19,42.3,42.8,41.1,42.0,5555823.0
2015-06-22,46.2,56.1,45.1,54.65,59117000.0
2015-06-23,56.0,56.5,51.2,53.5,32704036.0
2015-06-24,53.7,55.65,52.9,54.15,15612005.0
2015-06-25,53.7,55.4,53.3,54.5,15508769.0
2015-06-26,54.8,59.7,52.15,57.55,21290632.0
2015-06-29,54.0,55.9,52.95,54.95,10000781.0
2015-06-30,54.45,57.95,54.35,57.05,12488733.0
2015-07-01,57.1,57.95,55.2,56.8,7482493.0
2015-07-02,57.0,58.4,56.2,56.55,11062286.0
2015-07-03,57.0,57.35,55.1,56.0,7832150.0
