,open,high,low,close,volume
2015-05-15,11.93,12.08,11.83,11.88,16788.0
2015-05-18,11.78,12.28,11.78,12.08,50990.0
2015-05-19,11.93,12.48,11.83,12.13,33609.0
2015-05-20,11.98,12.63,11.98,12.33,25195.0
2015-05-21,12.13,12.48,11.98,12.23,15811.0
2015-05-22,12.13,12.63,11.78,11.98,33031.0
2015-05-25,11.93,12.08,11.68,11.88,39739.0
2015-05-26,11.78,12.13,11.48,11.68,29527.0
2015-05-27,11.68,11.93,11.68,11.78,9406.0
2015-05-28,11.78,12.08,11.48,11.58,20121.0
2015-05-29,11.63,11.98,11.63,11.73,34997.0
2015-06-01,11.68,11.93,11.38,11.48,48217.0
2015-06-02,11.48,11.68,10.88,11.03,37278.0
2015-06-03,10.98,11.23,9.03,9.83,219570.0
2015-06-04,10.28,10.58,9.68,10.18,65127.0
2015-06-05,9.98,10.48,9.68,10.08,13978.0
2015-06-08,10.03,10.43,9.68,9.78,22283.0
2015-06-09,9.78,10.53,9.78,10.23,35560.0
2015-06-10,9.98,10.33,9.88,10.23,12896.0
2015-06-11,9.88,10.28,9.83,9.98,27002.0
2015-06-12,9.78,9.98,9.18,9.68,27654.0
2015-06-15,9.58,10.08,9.53,9.93,30949.0
2015-06-16,9.98,10.18,9.88,10.03,28285.0
2015-06-17,9.83,9.98,9.03,9.98,70050.0
2015-06-18,9.78,10.88,9.63,10.33,88784.0
2015-06-19,10.43,10.78,10.18,10.28,66472.0
2015-06-22,10.43,11.18,10.28,10.63,96997.0
2015-06-23,10.38,11.98,10.38,11.83,179299.0
2015-06-24,11.98,13.68,11.13,12.58,430971.0
2015-06-25,12.68,12.78,12.48,12.58,42527.0
2015-06-26,12.58,12.73,12.23,12.28,61879.0
2015-06-29,12.08,12.13,11.53,11.88,38618.0
2015-06-30,11.68,12.38,11.68,12.13,32337.0
2015-07-01,12.13,12.63,12.13,12.43,39349.0
2015-07-02,12.38,12.58,12.23,12.43,34852.0
2015-07-03,12.63,13.18,12.43,12.68,66840.0
2015-07-06,12.28,12.83,11.98,12.33,41339.0
2015-07-07,12.88,12.93,12.33,12.68,31275.0
2015-07-08,12.48,13.13,12.23,12.98,136853.0
2015-07-09,12.68,13.18,12.58,12.78,38106.0
2015-07-10,12.68,13.13,12.38,12.43,39444.0
2015-07-13,12.58,12.58,12.18,12.38,82453.0
2015-07-14,12.28,12.63,12.18,12.33,36921.0
2015-07-15,12.08,12.73,12.08,12.63,37050.0
2015-07-16,12.88,12.98,12.53,12.63,18709.0
