,open,high,low,close,volume
2015-05-15,33.31,33.31,32.47,32.6,171627.0
2015-05-18,32.73,33.58,32.42,33.14,232531.0
2015-05-19,33.31,33.45,32.6,32.96,252408.0
2015-05-20,32.87,33.45,32.65,32.96,178205.0
2015-05-21,33.09,33.27,32.56,32.65,108068.0
2015-05-22,32.87,33.23,32.2,32.56,251996.0
2015-05-25,32.56,33.18,32.38,32.47,262812.0
2015-05-26,32.33,32.51,31.75,31.84,216312.0
2015-05-27,31.66,32.42,31.53,32.24,203299.0
2015-05-28,31.62,32.73,31.62,32.38,204249.0
2015-05-29,32.15,32.73,31.8,32.02,238931.0
2015-06-01,32.15,32.6,32.06,32.2,212596.0
2015-06-02,32.42,32.51,31.84,32.06,204079.0
2015-06-03,32.15,32.15,28.76,30.72,535303.0
2015-06-04,30.14,31.22,29.7,30.77,184364.0
2015-06-05,30.86,31.44,30.41,30.99,217213.0
2015-06-08,30.99,31.26,30.41,30.64,211065.0
2015-06-09,30.64,30.86,30.37,30.5,134293.0
2015-06-10,30.5,31.08,30.41,30.95,207921.0
2015-06-11,30.77,30.95,28.76,29.47,377549.0
2015-06-12,29.92,29.92,28.85,29.07,343776.0
2015-06-15,29.52,30.77,28.85,29.7,272629.0
2015-06-16,29.03,30.01,29.03,29.52,134350.0
2015-06-17,29.16,30.28,29.16,29.97,168039.0
2015-06-18,30.1,30.81,29.65,30.64,180648.0
2015-06-19,30.99,31.13,30.46,30.64,200860.0
2015-06-22,31.17,33.58,30.81,32.87,696216.0
2015-06-23,32.65,33.14,32.38,32.78,217462.0
2015-06-24,32.6,33.05,31.84,32.24,192280.0
2015-06-25,32.15,32.38,31.8,31.93,130248.0
2015-06-26,32.33,32.33,31.66,31.8,204020.0
2015-06-29,31.62,31.62,29.65,31.26,278413.0
2015-06-30,31.62,32.15,31.08,31.62,226655.0
2015-07-01,31.98,32.15,31.53,31.75,166740.0
2015-07-02,32.06,33.4,31.75,32.6,447160.0
2015-07-03,32.29,33.27,32.15,32.38,239711.0
2015-07-06,32.56,32.69,31.26,32.56,179641.0
2015-07-07,32.24,33.14,32.24,32.73,312687.0
2015-07-08,32.96,33.18,31.71,32.51,377548.0
2015-07-09,32.91,33.27,31.26,31.53,426200.0
2015-07-10,32.11,32.56,31.39,31.71,295014.0
2015-07-13,31.8,32.6,31.57,31.98,284112.0
2015-07-14,32.33,33.94,32.33,33.67,839961.0
2015-07-15,33.94,35.19,33.76,33.94,666145.0
2015-07-16,34.39,34.83,33.58,33.85,406571.0
2015-07-17,34.7,34.74,34.03,34.21,361086.0
2015-07-20,34.39,34.83,34.12,34.43,341577.0
2015-07-21,34.61,34.88,32.24,32.82,934234.0
2015-07-22,32.87,33.4,32.42,32.82,559785.0
2015-07-23,33.05,33.98,32.6,33.76,453611.0
2015-07-24,33.67,34.7,33.31,33.54,284287.0
2015-07-27,33.76,33.94,33.27,33.36,370318.0
2015-07-28,33.27,33.81,33.27,33.54,287554.0
2015-07-29,33.54,33.81,31.26,32.96,352588.0
