,open,high,low,close,volume
2015-05-15,265.13,266.1,261.14,262.65,12014773.0
2015-05-18,264.88,266.48,263.11,265.93,7629436.0
2015-05-19,264.0,268.16,262.36,265.17,9064851.0
2015-05-20,265.93,269.92,265.93,268.03,7555070.0
2015-05-21,269.25,269.76,262.95,263.66,11132704.0
2015-05-22,264.88,267.53,262.15,263.7,8944914.0
2015-05-25,262.36,264.12,261.47,262.48,5481212.0
2015-05-26,262.36,263.2,259.54,260.42,5505501.0
2015-05-27,262.19,264.71,258.57,263.32,12557150.0
2015-05-28,264.25,265.72,261.94,264.46,11520281.0
2015-05-29,266.65,268.16,264.71,266.77,22664703.0
2015-06-01,266.56,268.24,265.72,266.1,7621775.0
2015-06-02,266.56,266.98,254.79,256.05,13982208.0
2015-06-03,255.84,255.84,244.53,248.69,22831293.0
2015-06-04,250.02,250.88,244.58,248.56,20759124.0
2015-06-05,249.51,250.53,242.48,243.42,23735127.0
2015-06-08,244.75,244.75,240.21,242.61,21145729.0
2015-06-09,242.4,246.59,241.67,245.99,19411474.0
2015-06-10,245.91,252.21,245.65,250.62,17487792.0
2015-06-11,253.62,254.65,245.48,247.19,21760535.0
2015-06-12,248.05,254.48,246.04,253.58,20748570.0
2015-06-15,252.76,257.35,251.22,256.36,17020704.0
2015-06-16,254.52,259.62,251.82,258.8,15828124.0
2015-06-17,260.69,260.73,257.09,258.2,16849471.0
2015-06-18,260.95,261.93,259.06,259.92,15455462.0
2015-06-19,257.39,262.19,257.39,260.95,9060393.0
2015-06-22,262.53,270.67,262.23,269.94,17123638.0
2015-06-23,269.86,271.44,267.33,268.61,13093667.0
2015-06-24,268.79,274.53,267.89,272.26,14984900.0
2015-06-25,271.06,273.88,268.36,269.73,18385230.0
2015-06-26,269.9,269.94,264.37,267.07,11342004.0
2015-06-29,258.76,268.18,257.18,266.64,11605396.0
2015-06-30,265.66,268.7,260.52,263.9,15125139.0
2015-07-01,264.5,268.61,264.5,267.5,15481941.0
2015-07-02,269.3,270.28,266.56,268.18,9252723.0
2015-07-03,267.11,270.33,266.39,269.51,5716323.0
2015-07-06,264.84,271.4,261.54,270.03,8562220.0
2015-07-07,269.04,272.47,266.94,267.84,10617091.0
2015-07-08,264.24,266.99,262.44,263.52,13252578.0
2015-07-09,263.04,266.43,261.93,265.19,6959346.0
2015-07-10,267.76,269.81,265.83,268.31,10664155.0
2015-07-13,269.47,271.78,268.01,271.1,8964077.0
2015-07-14,271.61,271.7,267.37,268.57,8304877.0
