,open,high,low,close,volume
2015-05-15,4011.25,4043.35,4000.03,4023.57,2004.0
2015-05-18,4024.05,4060.88,3974.62,4015.05,4928.0
2015-05-19,4009.66,4031.22,3951.95,3989.44,3543.0
2015-05-20,4002.87,4043.4,3903.86,3988.96,3733.0
2015-05-21,3966.34,4019.19,3901.45,3962.29,3182.0
2015-05-22,4014.47,4096.3,3884.56,3982.32,8247.0
2015-05-25,3974.67,4040.47,3918.2,4010.67,1038.0
2015-05-26,4001.38,4048.17,3929.76,4005.62,2909.0
2015-05-27,4004.65,4033.78,3947.08,4015.05,5332.0
2015-05-28,4009.66,4115.56,3962.53,4052.16,2669.0
2015-05-29,4036.57,4090.91,3985.59,4052.6,3668.0
2015-06-01,4072.24,4084.32,3990.41,4053.75,2157.0
2015-06-02,4023.14,4050.09,4009.71,4028.43,2967.0
2015-06-03,4007.11,4043.35,3803.69,3963.69,7853.0
2015-06-04,3995.17,4038.54,3851.78,4024.63,1916.0
2015-06-05,3986.41,4043.35,3978.13,4040.47,2123.0
2015-06-08,4019.53,4039.5,3995.27,4036.86,2462.0
2015-06-09,4014.52,4038.54,3999.12,4027.66,1821.0
2015-06-10,4042.1,4144.2,3959.36,4047.83,3474.0
2015-06-11,4036.09,4091.39,3995.22,4044.12,2467.0
2015-06-12,4008.5,4048.17,4004.89,4042.87,2106.0
2015-06-15,4043.35,4052.98,3985.54,4042.87,3837.0
2015-06-16,4033.92,4048.17,3981.74,4021.6,1714.0
2015-06-17,4067.37,4067.37,4015.44,4042.58,1425.0
2015-06-18,4043.35,4056.88,3985.64,4022.94,3299.0
2015-06-19,4022.51,4042.39,4004.94,4035.03,805.0
2015-06-22,4025.74,4043.35,4024.1,4042.1,922.0
2015-06-23,4043.35,4062.56,4024.39,4035.46,2723.0
2015-06-24,4019.29,4046.48,4019.29,4035.41,1103.0
2015-06-25,4023.76,4043.35,4014.95,4043.11,1178.0
2015-06-26,4029.88,4057.31,4024.1,4042.2,4722.0
2015-06-29,4026.99,4043.35,3842.82,4035.36,1891.0
2015-06-30,4027.85,4163.69,4011.25,4093.8,3714.0
2015-07-01,4089.9,4131.34,4057.75,4089.18,2499.0
2015-07-02,4106.22,4204.13,4106.22,4184.05,1779.0
2015-07-03,4186.85,4231.08,4132.31,4178.57,1582.0
2015-07-06,4139.62,4203.16,4139.62,4186.12,2907.0
2015-07-07,4203.21,4225.21,4173.51,4216.59,1055.0
2015-07-08,4179.14,4268.96,4073.2,4127.21,2658.0
2015-07-09,4130.0,4149.16,4083.6,4104.63,1568.0
2015-07-10,4110.74,4178.13,4068.48,4138.18,2011.0
2015-07-13,4167.45,4187.76,4101.12,4147.95,2715.0
2015-07-14,4153.82,4331.15,4070.41,4127.3,5699.0
2015-07-15,4116.57,4216.64,4105.93,4184.01,1147.0
2015-07-16,4180.97,4244.51,4106.17,4229.78,1342.0
2015-07-17,4235.85,4278.25,4218.52,4257.6,591.0
2015-07-20,4259.91,4322.54,4253.22,4266.51,1276.0
2015-07-21,4255.1,4288.89,4187.76,4217.56,2954.0
2015-07-22,4216.69,4262.85,4192.57,4233.97,1238.0
2015-07-23,4234.07,4279.12,4149.25,4196.71,1530.0
2015-07-24,4187.71,4260.01,4177.17,4214.57,428.0
2015-07-27,4214.57,4216.64,4052.98,4105.64,1119.0
2015-07-28,4104.97,4139.58,3967.3,3995.46,2124.0
2015-07-29,4000.27,4062.32,3995.6,4001.77,476.0
2015-07-30,4042.34,4203.16,4001.0,4130.96,1144.0
2015-07-31,4154.07,4265.5,4110.74,4197.39,1643.0
2015-08-03,4232.81,4279.02,4139.62,4219.48,972.0
2015-08-04,4274.4,4293.66,4139.62,4165.28,955.0
2015-08-05,4164.65,4209.66,4104.0,4124.08,1653.0
2015-08-06,4146.49,4191.99,4067.25,4160.87,973.0
2015-08-07,4160.04,4187.15,4095.23,4163.72,831.0
2015-08-10,4143.58,4176.5,4117.49,4150.22,526.0
2015-08-11,4149.39,4194.9,4069.04,4136.9,864.0
2015-08-12,4162.95,4162.95,4106.84,4141.12,609.0
2015-08-13,4091.4,4143.54,4077.27,4099.73,1105.0
2015-08-14,3993.52,4065.17,3800.14,3977.21,10053.0
2015-08-17,3970.29,4211.35,3893.13,4045.27,1875.0
2015-08-18,4109.7,4129.01,3918.98,3962.79,3954.0
2015-08-19,3980.94,4137.78,3891.87,4063.33,2768.0
2015-08-20,4114.49,4114.54,3930.6,4038.54,3337.0
2015-08-21,3973.19,4035.15,3930.6,4002.62,1505.0
2015-08-24,3948.02,3997.4,3538.5,3822.12,4985.0
2015-08-25,3918.01,3918.01,3654.68,3814.13,1640.0
2015-08-26,3848.31,3853.15,3756.33,3821.83,969.0
2015-08-27,3811.57,3945.07,3780.54,3860.36,1453.0
2015-08-28,3916.07,3916.07,3678.88,3781.99,105154.0
2015-08-31,3862.83,3901.55,3757.3,3855.23,1739.0
2015-09-01,3775.74,3804.69,3751.49,3767.32,1565.0
2015-09-02,3794.09,3794.09,3641.17,3699.41,6093.0
2015-09-03,3727.19,3824.1,3685.66,3819.12,1393.0
2015-09-04,3871.54,3900.58,3695.68,3761.71,1474.0
2015-09-07,3775.7,3799.9,3707.93,3762.0,677.0
2015-09-08,3659.52,3824.1,3659.52,3776.47,3024.0
2015-09-09,3824.1,3842.98,3756.48,3821.88,1901.0
2015-09-10,3775.7,3853.15,3752.46,3841.58,1539.0
2015-09-11,3778.65,4017.15,3778.65,3936.65,1249.0
2015-09-14,3920.92,4008.05,3920.92,3943.18,1435.0
2015-09-15,3939.31,3939.31,3841.53,3884.56,1209.0
2015-09-16,3919.95,3940.28,3872.32,3898.07,562.0
2015-09-18,3882.04,3938.83,3790.7,3883.64,966.0
2015-09-21,3871.54,3871.54,3824.1,3840.12,358.0
2015-09-22,3870.57,3940.28,3825.07,3881.85,1173.0
2015-09-23,3843.47,3920.92,3790.22,3893.37,552.0
2015-09-24,3853.15,3965.06,3853.15,3931.52,393.0
2015-09-28,3945.12,4028.18,3868.15,3972.9,1855.0
2015-09-29,3969.32,3978.95,3901.55,3953.59,859.0
2015-09-30,3952.86,3967.34,3892.89,3931.08,779.0
2015-10-01,3930.64,3940.28,3843.47,3857.12,6415.0
2015-10-05,3915.98,3967.63,3834.75,3956.25,1064.0
2015-10-06,4017.73,4017.73,3902.04,3953.3,1060.0
2015-10-07,3903.54,3947.88,3877.4,3924.59,1222.0
2015-10-08,3894.82,3910.12,3834.8,3851.79,1555.0
2015-10-09,3872.51,3950.98,3758.27,3884.27,5641.0
2015-10-12,3884.13,3887.03,3835.72,3862.0,644.0
2015-10-13,3843.46,3867.67,3797.48,3820.52,1313.0
2015-10-14,3824.1,3828.94,3785.38,3797.43,771.0
2015-10-15,3800.24,3813.45,3740.02,3781.84,1735.0
2015-10-16,3775.7,3857.99,3752.56,3820.52,700.0
2015-10-19,3744.09,3824.01,3744.09,3797.72,911.0
2015-10-20,3779.57,3853.15,3779.57,3832.57,510.0
2015-10-21,3826.52,3831.85,3775.7,3800.43,1671.0
2015-10-23,3814.42,3822.17,3780.59,3801.84,1041.0
2015-10-26,3843.37,3843.37,3743.26,3806.05,1166.0
2015-10-27,3817.28,3949.96,3756.33,3832.96,1940.0
2015-10-28,3790.27,3824.05,3766.06,3798.16,1157.0
2015-10-29,3857.94,3857.94,3710.3,3755.56,985.0
2015-10-30,3812.48,3812.48,3701.1,3763.79,973.0
2015-11-02,3799.9,3799.9,3739.44,3772.69,716.0
2015-11-03,3823.13,3833.78,3775.65,3797.62,505.0
2015-11-04,3842.5,3842.5,3776.18,3802.8,852.0
2015-11-05,3786.39,3833.74,3729.23,3770.9,1003.0
2015-11-06,3843.46,3901.55,3631.49,3730.19,1992.0
2015-11-09,3730.19,3777.63,3688.56,3773.13,593.0
2015-11-10,3814.81,3814.81,3729.27,3766.5,475.0
2015-11-11,3814.81,3814.81,3729.27,3766.5,475.0
2015-11-13,3760.21,3795.06,3689.92,3775.02,432.0
2015-11-16,3808.08,3808.08,3707.98,3765.34,468.0
2015-11-17,3766.01,3852.86,3732.18,3794.62,839.0
2015-11-18,3777.63,3777.63,3749.9,3774.49,390.0
2015-11-19,3773.76,3867.67,3747.62,3835.43,861.0
