,open,high,low,close,volume
2015-05-15,69.23,69.82,67.75,68.04,3552955.0
2015-05-18,68.24,68.64,67.1,67.8,2497946.0
2015-05-19,67.85,69.73,67.65,68.64,3514752.0
2015-05-20,68.84,69.48,68.29,68.69,2905618.0
2015-05-21,68.93,69.03,67.45,68.14,2480594.0
2015-05-22,68.24,69.38,67.9,68.09,2498314.0
2015-05-25,67.3,68.24,67.01,67.25,2291208.0
2015-05-26,67.5,67.8,65.67,66.07,3448345.0
2015-05-27,67.35,70.67,66.66,69.82,12257033.0
2015-05-28,70.12,70.96,69.08,69.87,5676355.0
2015-05-29,70.17,71.11,69.73,70.52,2860994.0
2015-06-01,70.52,70.96,69.92,70.12,1631741.0
2015-06-02,70.67,70.67,66.46,66.96,4729366.0
2015-06-03,67.25,67.45,62.31,64.19,4685737.0
2015-06-04,64.58,64.63,61.67,63.15,3762655.0
2015-06-05,62.9,64.48,62.31,62.75,2411977.0
2015-06-08,62.51,62.7,59.04,60.33,4997659.0
2015-06-09,60.73,61.67,60.23,61.17,3132726.0
2015-06-10,61.22,62.26,61.17,61.71,1889987.0
2015-06-11,61.96,62.16,59.24,59.49,3489708.0
2015-06-12,59.64,60.13,58.06,59.24,3234326.0
2015-06-15,59.34,62.11,59.14,60.13,3906978.0
2015-06-16,60.13,61.02,59.54,60.78,2980927.0
2015-06-17,60.92,61.52,60.58,60.78,1873547.0
2015-06-18,61.07,61.71,60.73,61.07,2283544.0
2015-06-19,61.32,61.81,61.02,61.37,2172684.0
2015-06-22,61.47,63.69,61.42,63.15,2868610.0
2015-06-23,64.04,64.68,63.05,63.45,2782167.0
2015-06-24,63.94,63.94,61.91,62.26,2561177.0
2015-06-25,62.06,62.6,61.52,62.06,3569489.0
2015-06-26,61.81,61.96,60.13,61.37,2474889.0
2015-06-29,60.13,60.43,58.65,59.93,3054460.0
2015-06-30,59.84,60.43,59.24,60.03,1949941.0
2015-07-01,60.03,63.1,60.03,62.21,3388287.0
2015-07-02,62.41,62.75,61.42,61.71,2952256.0
2015-07-03,61.67,62.16,61.37,61.76,1760080.0
2015-07-06,60.43,64.78,60.43,64.53,4934992.0
2015-07-07,64.53,65.67,63.79,64.58,3194043.0
2015-07-08,63.4,63.94,61.52,62.31,3472333.0
2015-07-09,63.2,64.63,63.0,63.74,4497481.0
2015-07-10,64.58,64.68,63.59,64.29,2519548.0
2015-07-13,64.48,65.92,63.74,65.32,2546014.0
2015-07-14,65.47,65.87,64.58,64.83,1687119.0
2015-07-15,64.83,65.72,64.29,64.58,1539572.0
2015-07-16,64.58,66.86,64.58,66.12,2903811.0
2015-07-17,65.77,66.46,65.42,65.77,1845308.0
2015-07-20,66.26,66.26,63.99,64.43,1827971.0
2015-07-21,64.19,64.68,62.41,62.75,1429023.0
2015-07-22,62.8,63.94,62.31,63.64,1447509.0
2015-07-23,64.09,64.24,62.9,63.45,1405073.0
2015-07-24,63.54,63.54,61.62,61.96,1960038.0
2015-07-27,61.81,62.06,58.7,58.99,2899058.0
2015-07-28,59.34,60.23,57.76,59.34,3429803.0
2015-07-29,59.34,59.74,57.91,58.55,2634058.0
2015-07-30,58.75,61.62,58.65,61.32,3986619.0
2015-07-31,61.81,66.07,61.12,65.03,8395570.0
2015-08-03,65.42,68.19,64.58,67.55,4783366.0
2015-08-04,67.75,68.7,66.3,68.1,5265416.0
2015-08-05,68.2,69.45,67.5,67.65,3829307.0
2015-08-06,67.8,69.2,67.0,68.55,3395198.0
2015-08-07,67.8,68.25,66.5,67.05,2503107.0
2015-08-10,67.0,67.8,66.05,66.35,1778445.0
2015-08-11,66.5,66.9,64.5,64.95,2472453.0
2015-08-12,64.2,65.5,61.8,62.3,4786333.0
2015-08-13,62.9,64.0,62.4,62.65,2554238.0
2015-08-14,63.2,66.4,62.8,66.2,3498800.0
2015-08-17,67.0,71.15,67.0,70.75,9725462.0
2015-08-18,71.0,72.0,69.1,70.15,4915365.0
2015-08-19,70.0,70.9,68.6,69.55,3236868.0
2015-08-20,69.0,69.7,66.1,66.45,3831637.0
2015-08-21,65.5,67.5,63.0,67.1,3481935.0
2015-08-24,64.5,64.85,54.3,57.1,6218832.0
