,open,high,low,close,volume
2015-05-15,102.5305,104.04,101.4067,102.7974,4666811.0
2015-05-18,103.3893,104.9273,101.495,104.6613,4836225.0
2015-05-19,104.9871,106.3779,103.5964,105.9333,6413749.0
2015-05-20,106.2297,106.5251,103.4187,104.0989,6836301.0
2015-05-21,103.7436,104.8978,101.0808,101.7315,10096104.0
2015-05-22,102.6198,102.768,98.1219,99.1276,9645701.0
2015-05-25,99.3946,100.9032,97.9444,99.0982,7594832.0
2015-05-26,98.95,99.8971,97.7668,98.3287,7855136.0
2015-05-27,98.2404,103.5669,97.6484,100.6372,9993987.0
2015-05-28,101.2585,101.762,97.6484,100.1337,11685116.0
2015-05-29,100.7854,103.8624,99.4241,102.501,12972036.0
2015-06-01,102.7376,103.5669,101.3468,102.1163,3910346.0
2015-06-02,102.6198,103.1527,100.6666,102.0574,5346093.0
2015-06-03,102.0868,104.4542,99.7195,103.6847,10263238.0
2015-06-04,103.5669,105.9932,102.3833,102.9751,6898017.0
2015-06-05,103.5071,106.2297,102.9751,105.8155,10378428.0
2015-06-08,105.9333,106.7627,103.3893,104.6907,5627733.0
2015-06-09,104.1588,105.3415,102.7376,104.9577,3909225.0
2015-06-10,104.3354,105.9333,103.2705,103.8624,6826158.0
2015-06-11,104.7506,104.7506,98.3582,99.1276,12166575.0
2015-06-12,98.2404,101.8209,97.6484,100.8737,7482522.0
2015-06-15,101.2585,104.0989,100.0748,103.8918,5449392.0
2015-06-16,103.8918,104.0694,98.684,99.69,7180800.0
2015-06-17,100.5479,101.5843,98.8322,100.8737,7832516.0
2015-06-18,101.4067,103.5669,100.1337,103.034,5029401.0
2015-06-19,103.5669,104.7506,102.235,103.8624,6301035.0
2015-06-22,104.3659,104.573,102.4421,103.6847,3548930.0
2015-06-23,103.6847,104.0106,102.1163,103.507,4502390.0
2015-06-24,103.5669,105.2826,102.4716,103.2116,4213556.0
2015-06-25,102.9447,104.0989,101.9691,102.6787,8469428.0
2015-06-26,101.9092,103.2705,101.229,101.9691,4525456.0
2015-06-29,101.1996,101.6138,99.5124,100.6961,5322593.0
2015-06-30,100.6372,104.6024,100.6077,104.2471,6908527.0
2015-07-01,104.4542,106.6733,103.6258,105.8744,4929876.0
2015-07-02,107.1768,108.7148,106.7322,108.0936,6485656.0
2015-07-03,108.1829,109.0113,106.6439,107.2357,3990241.0
2015-07-06,105.3415,107.4134,105.3415,107.0286,4075554.0
2015-07-07,107.4723,108.0052,105.5191,107.117,6718064.0
2015-07-08,105.9932,107.591,104.6024,106.5251,4428885.0
2015-07-09,106.5251,108.0052,106.0815,106.4368,4060127.0
2015-07-10,106.5251,106.7627,102.8563,103.507,9058521.0
2015-07-13,104.0989,104.4542,103.0045,103.5365,7078101.0
2015-07-14,103.5669,104.3953,103.1822,103.9517,2973565.0
2015-07-15,104.1283,105.6968,103.6553,104.5425,5853761.0
2015-07-16,105.046,106.5251,103.9212,106.0521,6361195.0
2015-07-17,106.5251,108.3007,105.9637,107.3545,6059633.0
2015-07-20,107.4134,109.4254,107.4134,108.9524,5104365.0
2015-07-21,109.7209,110.3726,106.8804,107.7981,7347263.0
2015-07-22,108.8925,110.0762,104.4836,105.9333,13628453.0
2015-07-23,106.9393,107.117,105.046,105.3415,5112061.0
2015-07-24,105.7566,106.4074,105.0166,105.7861,3205398.0
2015-07-27,104.3659,104.9273,101.229,101.762,4344352.0
2015-07-28,101.3173,102.9751,99.3642,100.0159,6856204.0
2015-07-29,100.4301,101.4067,98.0923,100.5783,6629907.0
2015-07-30,100.9326,102.3234,100.3712,100.9326,6685746.0
2015-07-31,101.495,103.1527,101.2879,102.5903,4420381.0
2015-08-03,103.5669,103.5669,100.7255,101.0808,4544508.0
2015-08-04,101.2585,101.5843,96.4649,97.1158,12163434.0
2015-08-05,98.2993,99.0982,97.5301,98.1219,5679718.0
2015-08-06,98.1219,100.5783,97.826,99.6606,6369982.0
2015-08-07,100.4301,101.1397,98.5358,98.8028,5595440.0
2015-08-10,99.3053,99.4241,96.7015,96.9974,13031628.0
2015-08-11,97.175,98.1815,94.9557,95.222,4805963.0
2015-08-12,95.2812,96.4057,93.8017,95.6658,5066348.0
2015-08-13,97.3525,98.0923,92.115,93.0323,6826773.0
2015-08-14,92.3814,96.6423,92.3814,95.4292,7387334.0
2015-08-17,95.6955,96.9087,95.0444,96.2577,6397058.0
2015-08-18,96.7607,96.9087,94.1568,94.6598,4742654.0
2015-08-19,94.1863,95.3995,92.7364,95.0149,8021689.0
2015-08-20,95.6955,95.6955,92.0263,92.9436,6935228.0
2015-08-21,92.0263,92.1742,90.0141,90.2508,5371269.0
2015-08-24,88.1795,89.2447,85.3388,86.9958,7751434.0
2015-08-25,86.9958,90.9018,83.445,89.3631,8038217.0
2015-08-26,87.7357,92.0263,87.7357,89.6886,4816610.0
2015-08-27,91.1977,91.4936,88.9488,89.8661,8141451.0
2015-08-28,91.2865,92.0263,89.8661,91.109,5729050.0
2015-08-31,92.3814,92.8844,90.8722,92.2334,7835168.0
2015-09-01,90.961,91.7303,86.9366,88.4162,5112687.0
2015-09-02,88.8009,91.9966,88.2387,91.4344,6436098.0
2015-09-03,91.4344,91.7303,87.9723,88.4162,5837382.0
2015-09-04,88.7122,89.1855,86.5816,88.2387,4516573.0
2015-09-07,87.6468,87.8836,85.3388,85.7531,3452646.0
2015-09-08,85.8714,87.2917,84.8062,86.3153,2662065.0
2015-09-09,86.9958,91.8782,86.4633,88.2387,10893151.0
2015-09-10,87.3806,88.7713,85.7235,88.1203,5478387.0
2015-09-11,88.1795,89.1855,87.4693,88.1203,2648102.0
2015-09-14,88.1203,88.653,86.2857,87.2326,3580485.0
2015-09-15,87.4693,87.7652,84.9837,85.4868,4461239.0
2015-09-16,85.9898,87.5877,85.6939,86.5225,5318206.0
2015-09-18,88.1283,88.9327,86.6983,87.741,8435516.0
2015-09-21,87.2643,87.8899,86.4003,86.9068,3688234.0
2015-09-22,87.0259,87.6218,84.6127,85.5661,6052577.0
2015-09-23,84.0168,85.7448,84.0168,84.4042,3484202.0
2015-09-24,84.3744,84.8511,82.6166,82.9741,5174496.0
