,open,high,low,close,volume
2015-05-15,67.15,67.66,66.01,66.39,9271362.0
2015-05-18,66.71,67.07,65.52,66.45,10119643.0
2015-05-19,66.33,67.05,65.88,66.03,11579966.0
2015-05-20,66.18,66.73,65.29,65.52,8785148.0
2015-05-21,65.24,65.9,64.86,65.22,8487550.0
2015-05-22,66.01,66.64,65.37,65.52,10235355.0
2015-05-25,65.5,65.97,65.03,65.18,6111853.0
2015-05-26,65.16,65.54,64.86,65.05,6443687.0
2015-05-27,64.88,65.58,64.55,65.14,11252324.0
2015-05-28,65.08,65.41,64.61,64.84,36860061.0
2015-05-29,65.05,65.86,64.55,65.48,23834718.0
2015-06-01,65.63,66.18,65.01,65.22,8625023.0
2015-06-02,65.46,65.94,63.3,63.49,11917775.0
2015-06-03,63.53,63.8,61.01,62.81,11989924.0
2015-06-04,63.0,63.83,61.88,63.23,6611217.0
2015-06-05,63.11,64.38,61.86,62.62,11906963.0
2015-06-08,62.55,62.87,61.22,61.83,6482507.0
2015-06-09,61.86,63.0,61.66,62.6,7002737.0
2015-06-10,62.87,63.21,62.11,62.28,4373513.0
2015-06-11,62.75,63.02,61.77,62.13,6394154.0
2015-06-12,62.17,62.17,60.71,61.6,7607694.0
2015-06-15,61.58,62.24,61.3,61.75,4620262.0
2015-06-16,61.94,63.32,60.75,62.89,6669632.0
2015-06-17,62.96,64.06,62.49,62.94,8739865.0
2015-06-18,63.53,63.66,62.91,63.13,6466160.0
2015-06-19,63.55,63.63,62.22,62.53,9929766.0
2015-06-22,62.89,65.73,62.83,65.16,10677442.0
2015-06-23,65.35,66.16,64.69,65.41,8300915.0
2015-06-24,65.58,65.82,64.04,64.29,6153280.0
2015-06-25,63.99,65.5,63.51,65.27,13899557.0
2015-06-26,64.82,65.08,64.06,64.69,4715256.0
2015-06-29,62.75,63.11,61.52,62.75,12416734.0
2015-06-30,62.89,63.63,62.09,62.58,9358394.0
2015-07-01,62.36,64.95,62.32,64.42,11791515.0
2015-07-02,64.44,64.86,63.55,63.68,7660579.0
2015-07-03,63.72,64.38,63.44,63.74,4815012.0
2015-07-06,62.7,64.59,62.7,64.14,6042495.0
2015-07-07,64.57,65.46,64.19,64.44,6334306.0
2015-07-08,64.1,64.5,63.13,63.97,7431181.0
2015-07-09,64.14,64.95,63.63,64.5,4413730.0
2015-07-10,64.84,65.88,64.29,65.63,8952714.0
2015-07-13,65.63,66.47,64.95,66.13,6577731.0
2015-07-14,66.28,67.02,65.5,65.69,7576257.0
2015-07-15,65.69,66.62,65.69,66.16,7030669.0
2015-07-16,66.26,67.13,66.09,66.54,7864317.0
2015-07-17,66.81,66.88,65.52,65.67,5609554.0
2015-07-20,65.9,66.81,65.67,66.33,6172151.0
2015-07-21,66.47,66.69,64.88,65.16,5764259.0
2015-07-22,65.01,66.6,64.63,66.47,5168764.0
2015-07-23,67.73,68.15,67.08,67.16,7849087.0
2015-07-24,67.32,71.75,66.88,68.94,49389797.0
2015-07-27,68.81,69.93,67.1,67.25,17459193.0
2015-07-28,67.8,67.98,66.66,66.94,10781920.0
2015-07-29,67.1,67.95,66.86,67.65,8454461.0
2015-07-30,68.28,68.3,66.09,66.99,27364978.0
2015-07-31,67.21,67.43,65.45,65.74,18411028.0
2015-08-03,65.78,67.05,65.65,65.89,10146904.0
2015-08-04,65.98,66.26,64.91,65.1,12131227.0
2015-08-05,65.63,65.91,64.84,65.19,8286544.0
2015-08-06,65.34,65.65,64.27,64.71,7170771.0
2015-08-07,64.6,65.74,64.51,64.84,9222478.0
2015-08-10,64.91,65.28,64.16,64.58,6716730.0
2015-08-11,64.77,64.84,63.63,63.85,5253902.0
2015-08-12,63.61,63.77,61.4,61.7,12085761.0
2015-08-13,62.1,62.67,60.98,61.46,11073821.0
2015-08-14,61.88,63.81,61.62,63.5,8006655.0
2015-08-17,63.79,64.2,62.65,63.87,4838965.0
2015-08-18,63.87,64.03,62.69,62.82,4423541.0
2015-08-19,62.71,62.87,61.9,62.12,6680575.0
2015-08-20,62.45,62.73,60.56,60.74,12774946.0
2015-08-21,60.17,61.64,59.2,61.38,14862445.0
2015-08-24,59.14,59.49,57.01,57.41,29451047.0
2015-08-25,57.98,58.68,55.72,57.78,16605587.0
2015-08-26,57.84,58.17,56.38,56.59,9517439.0
2015-08-27,57.67,58.06,56.97,57.6,13726995.0
