,open,high,low,close,volume
2015-05-15,29.2627,29.5418,28.5648,28.8905,3132861.0
2015-05-18,28.7975,29.3092,28.7044,29.1696,2855692.0
2015-05-19,29.0766,29.6349,29.0766,29.2162,1814415.0
2015-05-20,29.3557,29.4953,28.7975,28.8905,2172555.0
2015-05-21,28.9835,29.2162,28.844,29.1231,1790452.0
2015-05-22,29.1231,29.2162,28.7044,28.844,1726625.0
2015-05-25,28.844,29.6814,28.7044,29.2162,2960124.0
2015-05-26,29.4488,29.4953,27.6809,28.6579,7509986.0
2015-05-27,28.0531,28.8905,28.0531,28.6579,4554298.0
2015-05-28,28.5648,28.844,28.4253,28.7044,2964622.0
2015-05-29,28.7509,29.1231,28.6114,28.844,1994549.0
2015-06-01,28.7509,28.937,28.1927,28.6579,5416091.0
2015-06-02,28.5648,28.7509,27.5413,27.6344,3399066.0
2015-06-03,27.6809,27.867,23.9591,25.727,7523556.0
2015-06-04,25.82,26.1457,24.75,25.4013,6791650.0
2015-06-05,25.4013,25.4478,24.843,25.0291,4787868.0
2015-06-08,25.1687,25.1687,23.8195,23.9591,7327850.0
2015-06-09,23.9126,24.3778,23.6334,23.8661,4055402.0
2015-06-10,23.9126,24.2848,23.2613,23.3543,9405204.0
2015-06-11,23.6334,23.8195,23.0752,23.2147,4834715.0
2015-06-12,23.4008,24.3313,23.0752,24.2382,4912783.0
2015-06-15,24.0522,24.1917,23.5869,23.9126,3048082.0
2015-06-16,23.8195,24.4243,23.5404,24.2382,3386833.0
2015-06-17,24.4709,24.5639,24.1452,24.2848,2486454.0
2015-06-18,24.3313,24.9361,24.1917,24.5174,2995909.0
2015-06-19,24.7035,24.7965,24.3313,24.5639,1988724.0
2015-06-22,24.7965,25.5409,24.5639,25.3548,4795879.0
2015-06-23,25.3548,25.3548,24.5639,24.843,4324702.0
2015-06-24,24.8896,25.3083,24.6104,24.843,4825392.0
2015-06-25,24.6569,25.1687,24.4709,24.9361,7471592.0
2015-06-26,24.843,24.9361,24.1917,24.4709,4420006.0
2015-06-29,24.1452,24.3778,23.4008,24.0522,6355846.0
2015-06-30,23.6334,24.2848,23.6334,24.0056,3821932.0
2015-07-01,24.1452,24.9826,23.9591,24.7965,4499795.0
2015-07-02,24.8896,24.9826,24.2848,24.5174,3620430.0
2015-07-03,24.4709,24.843,24.1917,24.3313,3052479.0
2015-07-06,24.0056,25.1687,23.7265,25.0291,4523336.0
2015-07-07,25.1222,25.4478,24.843,25.0756,4698126.0
2015-07-08,24.75,24.8896,24.1452,24.7035,5516369.0
2015-07-09,24.5639,25.3548,24.4243,24.9826,3946322.0
2015-07-10,25.0291,25.2617,24.5174,24.8896,4965171.0
2015-07-13,24.843,25.9131,24.75,25.6339,7489507.0
2015-07-14,25.4478,26.0991,25.3083,25.5874,5538560.0
2015-07-15,25.5874,25.6339,24.5174,24.5639,10170930.0
2015-07-16,24.5639,25.1222,24.3778,24.75,9032293.0
2015-07-17,24.8896,24.9361,24.2382,24.3778,4983908.0
2015-07-20,24.5174,24.5174,23.6334,23.773,7165941.0
2015-07-21,23.7265,24.1917,23.4008,23.6334,13559047.0
2015-07-22,23.4939,23.773,23.4474,23.68,3345843.0
2015-07-23,23.9591,23.9591,23.4939,23.5869,4616097.0
2015-07-24,23.4939,23.9126,23.4474,23.5869,6102469.0
2015-07-27,23.5404,23.6334,22.61,22.703,6583146.0
2015-07-28,22.796,22.8426,22.4704,22.703,4240297.0
2015-07-29,22.796,22.8426,21.5399,21.9586,8144470.0
2015-07-30,22.0517,22.8426,21.8656,22.4704,6595352.0
2015-07-31,22.7495,23.3543,22.4704,23.1682,4907899.0
2015-08-03,23.2147,24.0987,23.0752,23.5404,6539424.0
2015-08-04,23.4939,23.7265,22.8891,23.0287,5254964.0
2015-08-05,23.1682,23.6334,23.0287,23.0752,4627455.0
2015-08-06,23.2147,23.4008,23.0287,23.1682,3325771.0
2015-08-07,23.1217,23.3078,22.7495,22.796,3167443.0
2015-08-10,22.9356,23.1217,22.4239,22.61,2708250.0
2015-08-11,22.6565,23.4474,22.3773,22.9821,13040746.0
2015-08-12,23.0287,23.0752,21.633,21.726,6757436.0
2015-08-13,21.8656,22.0982,20.8421,21.0747,6987691.0
2015-08-14,21.2143,21.9121,21.0747,21.6795,5625053.0
2015-08-17,21.7725,22.0982,21.4004,21.7725,4580834.0
2015-08-18,21.9121,22.0982,21.4469,21.633,3799319.0
2015-08-19,21.633,21.633,21.0747,21.2143,3890642.0
2015-08-20,21.1212,21.3073,20.656,20.7491,5129270.0
2015-08-21,20.4699,20.656,20.0047,20.1908,6617958.0
2015-08-24,19.5395,19.679,17.2133,17.3529,13389986.0
2015-08-25,17.5855,18.4229,16.7481,18.2368,12798609.0
2015-08-26,18.1903,18.7021,17.3994,18.1903,8765554.0
2015-08-27,18.4694,18.7486,18.1438,18.609,13317484.0
2015-08-28,18.9347,19.1208,18.4229,18.609,5748980.0
2015-08-31,18.6555,18.7951,18.3764,18.5625,4999619.0
2015-09-01,18.3764,18.7486,18.0973,18.4229,7302322.0
2015-09-02,18.609,18.6555,17.8647,18.0042,4477821.0
2015-09-03,18.0973,18.9347,18.0507,18.7951,5743051.0
2015-09-04,18.7486,18.7486,17.1203,17.9577,10325932.0
2015-09-07,17.9577,18.1903,17.5855,17.7716,3394854.0
2015-09-08,17.9577,18.609,17.8647,18.4229,4694255.0
2015-09-09,18.9347,19.6325,18.7021,19.3069,11513891.0
2015-09-10,18.6555,19.4929,18.2368,19.1673,8945683.0
2015-09-11,19.215,19.6441,19.1196,19.358,6271169.0
2015-09-14,19.358,19.7871,19.0719,19.5487,3847950.0
2015-09-15,19.3103,20.0732,19.2626,19.7394,6808426.0
2015-09-16,20.1209,20.3116,19.5964,19.7871,10075177.0
2015-09-18,19.9302,20.5023,19.8348,20.2162,9658924.0
2015-09-21,20.1209,21.3606,19.8825,21.2175,9623221.0
2015-09-22,21.5513,21.6943,20.1686,20.4546,8121376.0
2015-09-23,20.0732,20.9314,19.8825,20.7884,6041159.0
2015-09-24,20.6454,21.0745,20.5977,20.7407,7376349.0
2015-09-28,20.8361,21.4082,20.4546,20.9314,7547763.0
2015-09-29,20.55,21.2175,20.0732,20.6454,9459941.0
2015-09-30,20.693,21.0268,20.5023,20.5977,6373892.0
2015-10-01,20.7884,21.0268,20.0255,20.1686,6719927.0
2015-10-05,20.3593,20.7884,20.0732,20.407,6179969.0
2015-10-06,20.55,20.6454,20.1686,20.3593,4922063.0
2015-10-07,20.3593,21.0268,20.3116,20.8838,9842752.0
2015-10-08,20.9314,21.4559,20.5977,20.693,7120975.0
2015-10-09,21.2652,21.599,20.7407,20.9791,8505229.0
2015-10-12,21.2175,21.3606,20.7884,20.8838,5040733.0
2015-10-13,20.8838,22.934,20.8361,22.8863,24677581.0
2015-10-14,23.4585,23.4585,22.1711,22.3142,12316477.0
2015-10-15,22.5526,24.2213,22.4572,23.6015,20519007.0
2015-10-16,23.6969,24.4597,23.1724,23.8876,16892238.0
2015-10-19,23.9353,28.1788,23.9353,27.702,67188205.0
2015-10-20,28.0357,28.0834,26.1762,27.2252,29904224.0
2015-10-21,27.4159,28.5602,26.7961,27.4636,29376687.0
2015-10-23,27.7497,28.0834,26.2716,26.51,16832563.0
2015-10-26,26.51,27.2729,25.9378,26.1285,13295370.0
2015-10-27,26.0809,26.7007,25.9378,26.2716,11373190.0
2015-10-28,26.2239,28.0834,26.1285,27.0821,30909171.0
2015-10-29,27.2252,27.3682,26.1762,26.4146,24055417.0
2015-10-30,26.4146,26.9391,25.1273,25.4133,14463775.0
2015-11-02,25.461,25.7948,24.9365,25.2703,12803225.0
2015-11-03,25.5087,26.6053,25.318,25.7471,15871571.0
2015-11-04,26.0809,26.1762,25.1273,25.2703,11250997.0
2015-11-05,25.1749,25.4133,24.5074,24.6981,8469400.0
2015-11-06,24.5074,25.0796,23.8876,24.269,9902296.0
2015-11-09,23.7445,24.269,23.3154,23.9829,9145825.0
2015-11-10,23.8399,25.9855,23.6492,24.8889,26122377.0
2015-11-11,23.8399,25.9855,23.6492,24.8889,26122377.0
2015-11-13,24.9365,25.2703,24.2213,24.5551,7712797.0
