,open,high,low,close,volume
2015-05-15,68.1,68.38,66.71,67.27,1672310.0
2015-05-18,68.15,69.56,67.83,69.3,1803100.0
2015-05-19,69.3,69.61,68.34,68.63,1087230.0
2015-05-20,68.92,69.47,68.72,68.99,1048950.0
2015-05-21,68.99,69.5,68.0,68.69,392460.0
2015-05-22,68.65,70.11,68.23,69.22,1164195.0
2015-05-25,68.67,69.39,68.52,68.93,1322480.0
2015-05-26,68.65,69.15,67.65,68.06,1879085.0
2015-05-27,67.65,68.66,67.31,68.14,970585.0
2015-05-28,68.27,68.27,66.31,67.0,3551690.0
2015-05-29,67.18,68.06,66.66,67.73,2801470.0
2015-06-01,67.98,68.57,67.48,68.34,676460.0
2015-06-02,68.99,68.99,66.15,66.68,722010.0
2015-06-03,66.44,68.78,65.48,67.55,1162860.0
2015-06-04,67.8,67.8,65.5,65.7,627865.0
2015-06-05,65.3,66.39,65.3,65.8,895650.0
2015-06-08,65.97,66.16,64.15,64.5,1717440.0
2015-06-09,64.45,65.47,62.92,63.43,1350785.0
2015-06-10,63.37,64.95,62.85,64.77,1336440.0
2015-06-11,64.98,65.64,63.92,64.46,839060.0
2015-06-12,64.36,65.89,63.89,64.92,1792905.0
2015-06-15,65.23,66.19,64.31,64.69,565115.0
2015-06-16,64.46,65.28,64.05,64.54,406670.0
2015-06-17,64.83,67.56,64.83,67.2,2054370.0
2015-06-18,67.26,67.73,66.51,66.75,606295.0
2015-06-19,67.06,67.19,65.49,65.97,765480.0
2015-06-22,66.24,66.62,65.6,66.14,634010.0
2015-06-23,66.42,66.56,65.5,66.11,659915.0
2015-06-24,66.05,67.16,65.55,66.11,1036755.0
2015-06-25,65.92,67.23,64.82,66.77,4248420.0
2015-06-26,66.72,70.31,66.72,69.66,3743010.0
2015-06-29,68.32,72.4,67.6,71.68,3779625.0
2015-06-30,71.81,72.84,69.7,69.96,1792860.0
2015-07-01,73.0,82.38,71.83,76.24,42260810.0
2015-07-02,76.65,77.39,74.37,74.62,9269235.0
2015-07-03,74.68,75.75,73.72,74.48,3344100.0
2015-07-06,73.34,77.16,72.84,76.02,4970800.0
2015-07-07,76.64,76.85,75.18,75.55,2547190.0
2015-07-08,75.01,76.17,73.84,74.45,2544180.0
2015-07-09,74.36,75.52,74.33,74.57,1698245.0
2015-07-10,75.08,75.54,73.84,74.52,1701740.0
2015-07-13,75.01,76.19,74.32,74.6,2220250.0
2015-07-14,74.69,75.49,74.13,74.44,957165.0
2015-07-15,74.5,75.52,74.18,74.3,1331010.0
2015-07-16,74.91,77.36,74.91,76.51,4133265.0
