,open,high,low,close,volume
2015-05-15,85.21,85.21,83.76,84.12,56491.0
2015-05-18,84.41,85.93,84.39,84.99,23417.0
2015-05-19,84.73,85.98,84.63,85.4,33282.0
2015-05-20,85.4,86.41,83.88,83.96,49897.0
2015-05-21,83.93,84.87,83.07,84.24,25513.0
2015-05-22,86.12,86.12,83.86,84.39,27106.0
2015-05-25,83.76,85.91,83.57,85.71,53970.0
2015-05-26,85.93,85.93,84.36,85.28,27999.0
2015-05-27,84.73,87.11,83.76,86.6,100134.0
2015-05-28,86.17,87.08,84.46,86.75,47013.0
2015-05-29,86.17,90.5,85.21,90.07,1999452.0
2015-06-01,90.5,90.82,87.85,89.8,68860.0
2015-06-02,89.06,90.43,86.8,88.12,77998.0
2015-06-03,86.65,89.06,82.94,83.84,87968.0
2015-06-04,86.41,90.48,83.28,89.71,275533.0
2015-06-05,88.14,91.68,87.18,90.26,248934.0
2015-06-08,91.32,91.32,85.81,86.68,54882.0
2015-06-09,88.91,88.91,85.21,86.0,38308.0
2015-06-10,88.19,88.19,82.58,83.74,269732.0
2015-06-11,85.14,85.69,84.61,85.01,76124.0
2015-06-12,90.02,90.02,84.73,86.34,44173.0
2015-06-15,88.46,88.46,84.56,84.7,36715.0
2015-06-16,85.5,86.15,83.59,84.39,49826.0
2015-06-17,85.14,85.14,83.76,84.22,102792.0
2015-06-18,84.24,86.1,83.5,84.2,68104.0
2015-06-19,84.73,86.65,82.08,83.35,267174.0
2015-06-22,85.16,85.16,83.04,83.96,69226.0
2015-06-23,85.64,85.64,83.07,83.31,84738.0
2015-06-24,84.7,85.45,82.34,83.93,126713.0
2015-06-25,83.28,85.01,82.92,83.93,20177.0
2015-06-26,85.18,85.18,83.35,84.44,22646.0
2015-06-29,82.37,83.76,80.44,81.28,129625.0
2015-06-30,80.9,84.73,80.54,83.55,106678.0
2015-07-01,84.08,88.77,82.8,86.41,179670.0
2015-07-02,85.83,87.98,84.24,85.04,161905.0
2015-07-03,84.73,91.42,83.64,88.96,2155018.0
2015-07-06,86.29,89.54,86.29,88.96,92454.0
2015-07-07,87.13,90.7,87.13,89.97,97222.0
2015-07-08,87.54,90.96,87.54,89.37,183935.0
2015-07-09,91.46,91.46,87.66,88.17,116445.0
2015-07-10,90.36,91.46,88.1,89.49,37623.0
2015-07-13,88.34,90.98,88.34,90.65,88545.0
2015-07-14,103.98,108.77,96.54,99.7,11184711.0
2015-07-15,100.66,102.63,99.12,99.96,1309864.0
2015-07-16,100.85,100.85,96.64,97.46,437843.0
2015-07-17,97.58,98.54,96.04,97.7,279939.0
2015-07-20,97.96,98.45,96.28,97.41,186443.0
2015-07-21,98.16,98.16,95.32,95.46,197714.0
2015-07-22,95.46,95.46,93.73,94.55,221481.0
2015-07-23,94.04,98.2,93.9,94.52,460436.0
2015-07-24,92.93,94.98,92.16,92.91,156661.0
2015-07-27,92.91,93.61,89.66,92.84,118944.0
2015-07-28,94.11,95.24,91.78,92.43,198064.0
2015-07-29,93.78,97.22,92.96,94.86,824600.0
2015-07-30,95.08,95.61,93.39,93.78,318303.0
2015-07-31,94.84,95.2,93.03,94.52,706255.0
2015-08-03,94.84,95.2,93.44,93.9,124601.0
2015-08-04,94.23,95.24,92.98,94.43,71121.0
2015-08-05,93.94,95.56,93.42,94.23,118929.0
2015-08-06,94.69,96.76,93.39,94.16,99810.0
2015-08-07,93.87,95.82,93.39,94.47,348661.0
2015-08-10,94.81,94.81,92.91,93.42,79885.0
2015-08-11,94.33,94.35,92.07,93.68,77489.0
2015-08-12,93.63,93.63,92.43,92.55,67863.0
2015-08-13,94.11,94.35,92.36,93.63,580638.0
2015-08-14,93.03,94.79,92.96,93.49,91305.0
2015-08-17,93.42,94.69,92.91,93.66,89143.0
2015-08-18,94.5,96.11,92.52,92.77,127135.0
2015-08-19,92.67,94.31,92.6,93.73,79084.0
2015-08-20,94.74,94.74,92.69,93.32,30935.0
2015-08-21,92.91,93.87,92.36,92.5,240423.0
2015-08-24,90.5,92.86,84.29,89.68,823840.0
2015-08-25,89.68,89.97,85.33,89.35,151674.0
2015-08-26,89.35,90.5,88.58,88.99,37984.0
2015-08-27,89.06,90.48,89.06,89.66,35583.0
2015-08-28,90.79,91.92,89.13,90.77,67007.0
2015-08-31,90.33,92.19,90.05,91.18,161211.0
2015-09-01,91.46,93.03,87.61,90.05,173096.0
2015-09-02,90.98,90.98,89.64,90.0,44517.0
2015-09-03,89.56,91.13,89.18,90.5,254720.0
2015-09-04,90.38,91.3,88.1,88.36,345744.0
2015-09-07,88.58,90.19,88.19,89.16,209808.0
2015-09-08,89.06,89.06,87.66,88.67,127020.0
2015-09-09,89.06,90.12,88.72,89.88,33709.0
2015-09-10,89.06,89.97,88.17,89.01,32936.0
2015-09-11,88.6,91.34,88.6,89.18,410657.0
2015-09-14,90.74,90.74,89.06,89.78,170421.0
2015-09-15,89.78,91.03,88.31,88.58,630942.0
2015-09-16,90.31,90.31,88.94,89.64,43789.0
2015-09-18,89.64,89.8,87.16,88.14,5306214.0
2015-09-21,89.71,91.13,88.53,90.79,333021.0
2015-09-22,91.22,91.22,89.78,90.02,105108.0
2015-09-23,91.46,91.46,89.11,89.88,775641.0
2015-09-24,91.39,91.39,89.03,89.78,337751.0
2015-09-28,90.77,91.22,89.78,90.14,217987.0
2015-09-29,89.78,90.7,89.08,90.29,135949.0
2015-09-30,90.26,92.43,90.02,91.22,200960.0
2015-10-01,90.5,91.9,89.8,90.55,73300.0
2015-10-05,88.89,91.46,88.89,90.26,692160.0
2015-10-06,89.54,91.68,89.54,90.94,184819.0
2015-10-07,90.5,91.85,90.5,90.86,41452.0
