,open,high,low,close,volume
2015-05-15,97.56,98.85,96.17,97.42,162403.0
2015-05-18,97.1,97.37,95.15,96.36,136203.0
2015-05-19,96.86,99.41,96.49,96.91,306651.0
2015-05-20,97.33,97.88,95.25,95.48,174894.0
2015-05-21,96.17,96.73,94.97,96.22,176557.0
2015-05-22,96.73,96.91,95.71,96.31,195438.0
2015-05-25,95.75,96.26,89.7,93.07,476967.0
2015-05-26,91.13,94.55,91.04,92.47,216668.0
2015-05-27,92.47,94.74,92.01,94.32,429963.0
2015-05-28,94.78,94.78,92.19,93.17,1139123.0
2015-05-29,93.4,95.66,92.15,94.37,389445.0
2015-06-01,94.32,95.15,92.19,94.18,583784.0
2015-06-02,93.86,95.52,90.85,92.43,662931.0
2015-06-03,94.09,94.09,89.1,89.61,338840.0
2015-06-04,89.42,92.47,88.77,91.45,320915.0
2015-06-05,91.27,93.67,90.76,92.56,176363.0
2015-06-08,93.35,93.35,90.44,91.55,278452.0
2015-06-09,90.62,92.24,90.44,90.9,270955.0
2015-06-10,91.18,92.38,90.25,90.99,119342.0
2015-06-11,91.5,92.01,87.94,88.68,96593.0
2015-06-12,88.91,89.61,87.85,87.94,506665.0
2015-06-15,87.85,89.33,87.06,87.43,359005.0
2015-06-16,87.02,88.03,83.83,85.95,500570.0
2015-06-17,86.37,92.47,83.13,91.04,749031.0
2015-06-18,92.29,92.29,87.66,90.81,570163.0
2015-06-19,90.44,90.62,87.39,88.4,554712.0
2015-06-22,89.51,89.79,87.29,87.85,1155923.0
2015-06-23,88.73,90.72,87.71,87.94,546091.0
2015-06-24,88.73,88.77,86.46,87.43,218231.0
2015-06-25,87.39,89.7,86.69,88.03,324734.0
2015-06-26,88.63,88.63,84.89,85.54,287074.0
2015-06-29,85.07,86.0,84.2,85.35,119100.0
2015-06-30,84.94,85.81,83.87,84.47,454963.0
2015-07-01,85.07,89.61,82.3,87.94,1190379.0
2015-07-02,89.61,89.61,83.46,86.6,589708.0
2015-07-03,86.42,87.62,84.57,84.94,207180.0
2015-07-06,84.8,86.46,84.15,86.0,481450.0
2015-07-07,86.05,87.66,84.94,85.17,176869.0
2015-07-08,84.29,86.83,84.29,86.32,242122.0
2015-07-09,86.92,87.25,85.17,85.72,133751.0
2015-07-10,86.83,88.31,86.05,87.29,353508.0
2015-07-13,86.92,88.31,86.0,87.94,195625.0
2015-07-14,87.39,90.44,87.39,88.82,232417.0
2015-07-15,87.94,91.45,87.48,90.21,290484.0
2015-07-16,89.7,91.87,88.63,89.47,436650.0
2015-07-17,89.79,89.98,88.87,89.51,195501.0
2015-07-20,89.24,90.58,87.89,89.37,253144.0
2015-07-21,89.65,92.19,88.5,89.1,329909.0
2015-07-22,90.44,92.1,89.88,91.59,242473.0
2015-07-23,92.06,92.29,88.96,91.69,398697.0
2015-07-24,91.55,93.17,90.62,91.59,245731.0
2015-07-27,91.73,91.73,89.24,90.25,230132.0
2015-07-28,90.25,90.25,87.06,87.99,505820.0
2015-07-29,87.94,88.45,85.63,86.92,717336.0
2015-07-30,86.92,87.85,86.14,87.29,268701.0
2015-07-31,87.8,89.14,85.35,87.52,338310.0
2015-08-03,87.11,88.03,85.72,86.14,174447.0
2015-08-04,86.65,87.76,86.0,87.29,200888.0
2015-08-05,87.48,89.61,86.6,87.02,203823.0
2015-08-06,88.59,90.07,84.89,85.4,1152781.0
2015-08-07,85.54,87.43,85.35,86.69,433254.0
2015-08-10,85.91,87.02,84.15,84.84,382084.0
2015-08-11,85.26,85.91,84.2,85.07,708123.0
2015-08-12,85.07,88.59,82.67,85.72,1772708.0
2015-08-13,83.96,86.88,82.3,85.81,625550.0
2015-08-14,85.17,86.23,84.43,85.4,3097779.0
2015-08-17,86.0,86.69,84.7,84.98,215782.0
2015-08-18,85.17,86.0,84.15,84.61,120196.0
2015-08-19,84.61,86.18,84.2,85.91,319427.0
2015-08-20,85.12,88.5,85.07,86.74,555881.0
2015-08-21,86.0,86.46,83.59,84.52,5316074.0
2015-08-24,83.22,85.26,78.79,80.77,689098.0
2015-08-25,80.77,81.98,79.16,80.64,903844.0
2015-08-26,80.5,83.22,80.4,81.47,226727.0
2015-08-27,81.61,83.22,81.19,81.56,187897.0
2015-08-28,82.3,82.86,79.53,81.19,177325.0
2015-08-31,82.12,82.12,79.99,80.45,101867.0
2015-09-01,79.53,81.19,77.12,80.27,249235.0
2015-09-02,79.85,80.91,79.11,80.64,261968.0
2015-09-03,81.38,81.38,78.23,80.22,382649.0
2015-09-04,79.66,79.99,75.36,78.09,474487.0
2015-09-07,78.6,78.6,74.9,77.4,464424.0
2015-09-08,77.03,79.06,75.64,78.37,808630.0
2015-09-09,78.46,81.01,78.19,80.73,333407.0
2015-09-10,80.17,82.76,78.69,80.64,603134.0
2015-09-11,81.51,83.18,79.29,82.53,239438.0
2015-09-14,82.58,84.1,81.38,83.22,201214.0
2015-09-15,82.3,83.22,80.13,81.47,236619.0
2015-09-16,82.35,83.5,79.57,82.44,263701.0
2015-09-18,82.67,83.22,78.97,81.7,428935.0
2015-09-21,81.19,81.65,78.65,80.91,623752.0
2015-09-22,81.38,85.63,80.82,84.57,420675.0
2015-09-23,84.52,85.35,83.22,84.1,278419.0
2015-09-24,82.76,83.59,81.47,83.27,273133.0
2015-09-28,82.95,84.15,82.16,82.39,56887.0
2015-09-29,82.62,82.67,78.79,80.73,179858.0
2015-09-30,81.33,81.38,78.14,79.57,185476.0
2015-10-01,80.36,81.75,78.88,79.43,196002.0
2015-10-05,80.08,82.07,79.9,81.61,192680.0
2015-10-06,81.38,82.3,80.77,81.79,76093.0
2015-10-07,80.68,86.92,80.68,84.38,5401895.0
2015-10-08,85.91,85.91,81.01,81.75,1986944.0
2015-10-09,82.02,83.87,81.65,83.59,727740.0
2015-10-12,83.36,84.1,80.45,81.01,407374.0
2015-10-13,81.14,81.19,79.99,80.4,174601.0
2015-10-14,80.5,83.04,80.5,81.38,530861.0
2015-10-15,81.56,81.88,80.54,81.14,1184458.0
2015-10-16,81.28,81.33,79.99,80.68,311674.0
2015-10-19,81.19,82.12,80.5,81.33,882884.0
2015-10-20,81.56,83.78,81.14,83.13,505802.0
2015-10-21,83.22,84.1,82.12,83.73,545848.0
2015-10-23,83.41,84.98,82.81,84.33,456630.0
2015-10-26,84.61,84.98,83.69,84.66,356008.0
2015-10-27,84.29,84.8,83.69,84.29,309542.0
2015-10-28,83.92,87.39,83.78,87.02,677082.0
2015-10-29,87.39,89.42,85.44,87.85,991071.0
2015-10-30,88.13,92.43,87.34,91.69,838890.0
2015-11-02,90.85,91.69,88.17,89.05,221631.0
2015-11-03,89.33,89.61,87.94,89.1,214103.0
2015-11-04,89.14,93.21,87.89,90.21,264859.0
2015-11-05,90.39,90.76,87.2,87.8,276624.0
2015-11-06,87.85,88.77,86.51,87.76,131353.0
2015-11-09,86.92,92.66,86.0,91.96,216679.0
2015-11-10,91.55,91.78,88.59,89.7,225941.0
2015-11-11,91.55,91.78,88.59,89.7,225941.0
2015-11-13,88.87,89.65,86.97,87.43,147540.0
2015-11-16,86.92,86.92,85.54,86.0,115831.0
2015-11-17,86.65,87.8,85.07,85.44,150587.0
2015-11-18,85.49,86.65,85.49,86.05,137174.0
2015-11-19,86.92,87.39,84.57,85.03,151556.0
2015-11-20,85.07,85.44,83.04,84.06,330994.0
2015-11-23,85.03,85.03,81.93,82.9,826230.0
2015-11-24,82.72,85.44,81.61,84.66,589005.0
2015-11-26,83.5,86.0,83.5,85.44,158112.0
2015-11-27,85.44,86.92,84.75,86.14,109602.0
2015-11-30,85.35,87.85,85.35,86.65,250963.0
2015-12-01,87.43,87.52,86.51,86.92,585567.0
2015-12-02,86.55,98.48,86.55,96.26,2218178.0
2015-12-03,96.82,104.22,96.59,101.58,3627289.0
2015-12-04,101.49,102.0,97.37,99.18,1175728.0
2015-12-07,99.31,100.33,95.8,97.14,553818.0
2015-12-08,97.1,103.06,95.8,99.41,905564.0
2015-12-09,99.31,99.31,94.78,97.1,503983.0
2015-12-10,98.95,99.87,96.63,98.99,753110.0
2015-12-11,99.41,103.15,97.56,99.68,632234.0
2015-12-14,98.95,101.72,97.33,98.76,345776.0
2015-12-15,99.36,102.92,97.6,101.4,437462.0
2015-12-16,102.64,102.64,98.95,99.41,238464.0
2015-12-17,99.13,104.86,99.13,103.34,574991.0
2015-12-18,103.43,107.04,101.72,102.55,860460.0
2015-12-21,102.55,105.7,101.72,104.68,559923.0
2015-12-22,105.65,106.07,102.78,103.57,329523.0
2015-12-23,103.57,108.33,102.88,106.94,1041680.0
2015-12-24,107.68,110.0,105.97,109.26,1778917.0
2015-12-28,109.95,111.15,106.34,106.99,750718.0
2015-12-29,106.94,108.19,104.86,105.56,995890.0
2015-12-30,107.27,108.19,106.34,106.81,1971660.0
2015-12-31,106.81,109.63,105.88,107.96,4597050.0
2016-01-01,108.52,112.82,107.04,111.38,3849842.0
2016-01-04,110.87,113.28,108.65,110.74,840669.0
2016-01-05,111.06,112.72,108.38,110.09,1082141.0
2016-01-06,110.6,110.87,108.56,109.26,440573.0
2016-01-07,108.93,111.89,106.9,109.16,1226878.0
2016-01-08,108.93,111.43,108.93,110.04,942949.0
2016-01-11,108.65,114.43,108.19,113.6,978524.0
2016-01-12,114.99,115.27,108.38,111.89,760586.0
2016-01-13,112.03,112.95,106.9,110.55,1273126.0
2016-01-14,108.84,109.86,106.94,108.15,625410.0
2016-01-15,109.16,110.69,102.18,104.59,2391941.0
2016-01-18,102.64,102.64,96.26,99.87,1473510.0
2016-01-19,98.95,100.15,97.1,99.27,612670.0
2016-01-20,99.27,102.41,96.68,101.26,610711.0
2016-01-21,100.8,101.67,97.1,99.31,695110.0
2016-01-22,98.71,102.64,97.28,101.4,1564000.0
2016-01-25,101.77,104.86,100.8,103.25,723123.0
2016-01-27,103.25,104.45,99.96,102.09,541960.0
2016-01-28,102.09,103.57,101.72,103.15,687415.0
2016-01-29,103.98,103.98,101.03,103.52,556905.0
2016-02-01,103.52,104.49,99.96,101.86,680717.0
2016-02-02,101.9,103.85,100.33,102.64,1230819.0
2016-02-03,103.11,103.11,99.18,101.72,337401.0
2016-02-04,101.72,105.33,101.67,103.29,521843.0
2016-02-05,104.63,105.42,103.11,103.57,448873.0
2016-02-08,104.26,106.94,103.2,105.93,493281.0
2016-02-09,104.49,105.37,101.81,102.74,423978.0
2016-02-10,102.37,103.01,100.33,102.64,210888.0
2016-02-11,100.93,101.9,96.45,98.99,384728.0
2016-02-12,98.95,98.95,91.13,95.15,879712.0
2016-02-15,95.06,98.71,93.95,96.68,696165.0
2016-02-16,96.59,97.33,93.63,95.2,264968.0
2016-02-17,95.52,95.52,90.72,93.95,519423.0
2016-02-18,94.74,95.71,92.24,93.03,336406.0
2016-02-19,91.59,94.6,91.55,93.81,385992.0
2016-02-22,92.93,94.78,92.1,92.47,123234.0
2016-02-23,92.52,93.4,91.55,92.43,842814.0
