,open,high,low,close,volume
2015-05-15,144.77,149.97,144.77,148.77,482589.0
2015-05-18,149.41,151.04,147.56,148.44,169917.0
2015-05-19,149.18,149.18,146.26,146.82,98236.0
2015-05-20,148.21,148.67,145.89,147.51,52147.0
2015-05-21,148.35,148.67,145.15,147.23,75266.0
2015-05-22,148.25,150.62,146.17,149.04,127806.0
2015-05-25,149.41,149.65,145.05,147.7,48009.0
2015-05-26,148.49,148.49,146.17,146.82,26047.0
2015-05-27,146.12,153.13,145.42,150.57,171348.0
2015-05-28,153.22,153.96,149.6,150.62,44726.0
2015-05-29,150.85,158.6,150.02,154.7,115579.0
2015-06-01,156.28,159.07,152.9,153.87,58838.0
2015-06-02,154.98,156.56,149.37,149.88,65155.0
2015-06-03,150.34,150.34,147.28,148.49,75220.0
2015-06-04,149.41,149.41,143.85,145.56,56388.0
2015-06-05,145.56,145.56,140.13,140.64,84331.0
2015-06-08,141.02,141.02,134.57,135.17,69115.0
2015-06-09,135.45,136.19,132.85,133.87,61936.0
2015-06-10,134.52,136.89,132.8,133.5,66974.0
2015-06-11,134.57,136.42,130.9,131.6,74835.0
2015-06-12,132.62,133.64,129.93,132.2,43994.0
2015-06-15,133.45,135.49,132.25,134.2,54136.0
2015-06-16,134.33,139.02,131.64,137.77,63089.0
2015-06-17,137.35,140.13,136.42,138.09,40545.0
2015-06-18,138.28,140.51,135.49,137.44,40408.0
2015-06-19,138.28,139.81,134.57,134.94,99844.0
2015-06-22,135.96,143.66,135.96,142.18,175246.0
2015-06-23,143.8,146.85,143.8,144.75,107700.0
2015-06-24,144.75,145.8,131.68,142.7,53566.0
2015-06-25,141.22,142.89,135.31,137.5,127898.0
2015-06-26,138.17,139.08,136.93,137.41,64279.0
2015-06-29,135.26,135.26,131.3,133.49,69457.0
2015-06-30,134.49,137.21,132.63,135.64,54574.0
2015-07-01,135.5,138.69,134.07,137.12,103327.0
2015-07-02,137.5,140.27,133.11,133.54,129890.0
2015-07-03,134.45,136.36,131.87,133.21,108200.0
2015-07-06,132.63,135.78,129.96,134.73,101282.0
2015-07-07,135.5,137.21,132.16,132.87,152526.0
2015-07-08,132.4,133.54,130.73,131.54,107612.0
2015-07-09,132.63,133.87,130.73,131.63,64016.0
