,open,high,low,close,volume
2015-05-15,795.86,816.58,793.97,808.87,1234559.0
2015-05-18,805.37,827.26,803.24,821.49,995778.0
2015-05-19,821.15,833.47,817.46,820.85,816702.0
2015-05-20,824.01,830.85,822.36,826.53,750251.0
2015-05-21,830.66,830.66,813.43,823.28,503688.0
2015-05-22,825.71,836.34,823.33,827.55,760999.0
2015-05-25,826.78,837.4,822.07,829.01,516256.0
2015-05-26,827.94,834.54,816.58,827.89,552759.0
2015-05-27,824.01,839.59,819.79,835.03,307557.0
2015-05-28,838.52,843.57,825.13,830.17,1570880.0
2015-05-29,829.78,854.15,828.09,848.27,739227.0
2015-06-01,844.44,859.0,844.44,857.01,641892.0
2015-06-02,857.06,858.08,817.75,822.26,885470.0
2015-06-03,820.18,825.9,809.5,817.85,505601.0
2015-06-04,822.89,827.7,812.65,821.78,454498.0
2015-06-05,815.32,822.89,805.62,809.94,979963.0
2015-06-08,803.67,804.06,785.23,787.85,1318893.0
2015-06-09,784.07,794.36,766.79,785.43,1076855.0
2015-06-10,787.17,806.3,787.17,795.52,997303.0
2015-06-11,800.76,801.73,769.7,771.74,1251145.0
2015-06-12,766.79,790.09,760.97,786.98,1006880.0
2015-06-15,786.2,786.2,769.17,771.21,626249.0
2015-06-16,771.69,801.01,763.88,797.41,854175.0
2015-06-17,802.7,803.67,787.66,794.16,1319469.0
2015-06-18,795.91,806.59,789.07,801.3,721061.0
2015-06-19,802.22,812.7,799.55,810.18,497932.0
2015-06-22,809.3,840.07,808.48,814.59,1357595.0
2015-06-23,817.94,822.6,804.84,809.11,1202887.0
2015-06-24,809.74,829.4,809.74,819.69,905000.0
2015-06-25,819.69,859.44,817.02,841.67,1929219.0
2015-06-26,839.01,858.71,826.0,843.86,1457184.0
2015-06-29,834.25,838.62,816.39,834.35,696937.0
2015-06-30,835.66,849.1,829.88,847.06,738228.0
2015-07-01,846.96,859.97,836.68,849.83,832607.0
2015-07-02,857.45,857.45,842.5,844.2,688412.0
2015-07-03,836.64,878.13,836.64,871.26,1092421.0
2015-07-06,861.8,878.81,855.17,876.91,940588.0
2015-07-07,873.69,889.3,872.72,876.57,698569.0
2015-07-08,859.99,873.69,852.15,870.18,719187.0
2015-07-09,869.65,875.06,853.46,870.77,1043039.0
2015-07-10,875.55,881.5,864.92,872.67,528685.0
2015-07-13,881.69,904.61,872.77,900.95,3460092.0
2015-07-14,909.77,910.55,896.46,901.05,1362690.0
2015-07-15,898.41,908.8,895.15,904.07,728864.0
2015-07-16,906.85,913.87,901.0,909.09,1581760.0
2015-07-17,910.07,915.38,902.07,912.55,941362.0
2015-07-20,912.7,926.35,907.24,923.86,757943.0
2015-07-21,923.43,927.57,909.58,914.99,378818.0
2015-07-22,913.72,936.1,909.77,933.08,668776.0
2015-07-23,930.35,940.88,921.48,926.16,714586.0
2015-07-24,925.38,942.44,921.91,932.06,1061478.0
2015-07-27,926.16,929.28,905.97,914.94,568643.0
2015-07-28,917.62,928.54,907.58,926.2,1002593.0
2015-07-29,925.38,935.13,921.04,929.86,900217.0
2015-07-30,935.13,958.19,932.59,949.46,1155545.0
2015-07-31,950.73,964.67,946.0,953.36,994608.0
2015-08-03,953.65,961.45,942.54,949.61,826349.0
2015-08-04,948.78,948.78,916.65,928.59,1183219.0
2015-08-05,934.15,938.54,924.99,928.93,496812.0
2015-08-06,928.98,934.44,922.79,927.91,516457.0
2015-08-07,930.16,939.66,922.43,927.27,452556.0
2015-08-10,926.83,938.09,917.19,924.78,547548.0
2015-08-11,925.46,933.15,920.03,930.95,535103.0
2015-08-12,927.23,933.93,887.42,895.45,458811.0
2015-08-13,892.9,914.4,891.09,906.07,590548.0
2015-08-14,915.57,943.48,908.96,939.07,935467.0
2015-08-17,940.0,944.66,924.97,931.97,595833.0
2015-08-18,934.18,951.31,930.55,948.08,594739.0
2015-08-19,945.68,949.75,934.32,937.56,593595.0
2015-08-20,928.3,941.52,898.97,912.73,591055.0
2015-08-21,895.99,905.73,874.74,886.44,1314813.0
2015-08-24,861.72,861.72,832.44,847.61,1626974.0
2015-08-25,856.82,865.63,847.61,859.81,1189117.0
2015-08-26,858.68,858.68,830.82,835.77,1089934.0
2015-08-27,846.05,852.9,835.91,840.66,1888490.0
2015-08-28,851.92,862.69,813.0,830.04,1779090.0
2015-08-31,823.53,847.03,820.59,840.22,810239.0
2015-09-01,835.23,835.23,797.77,814.22,965840.0
2015-09-02,818.63,821.52,792.44,807.66,1244494.0
2015-09-03,812.75,837.23,802.96,831.75,916326.0
2015-09-04,824.99,825.53,800.02,823.33,943412.0
2015-09-07,832.34,841.74,795.76,803.16,1228245.0
2015-09-08,804.43,829.3,799.39,822.89,2536360.0
2015-09-09,835.28,852.61,823.62,840.12,2014128.0
2015-09-10,827.93,856.82,818.19,848.89,1364608.0
2015-09-11,856.33,867.49,844.24,850.65,1412833.0
2015-09-14,849.96,861.72,849.96,858.04,1144929.0
2015-09-15,857.7,868.47,853.0,860.39,1937337.0
2015-09-16,867.59,888.64,866.37,880.42,1151193.0
2015-09-18,886.49,911.17,886.2,899.56,2094161.0
2015-09-21,886.2,905.68,886.2,894.52,683274.0
2015-09-22,899.91,901.86,857.31,869.6,808319.0
2015-09-23,856.82,889.04,854.86,886.73,955777.0
2015-09-24,889.13,912.73,877.73,907.64,2909599.0
2015-09-28,907.74,918.12,897.11,901.77,1690643.0
2015-09-29,893.83,938.09,882.57,921.79,3261855.0
2015-09-30,936.97,938.19,920.03,922.87,2038714.0
2015-10-01,930.26,943.24,922.18,937.7,1251550.0
2015-10-05,945.93,949.75,932.66,939.76,1399766.0
2015-10-06,943.97,943.97,927.08,932.42,1149797.0
2015-10-07,932.95,934.81,921.64,928.65,1390453.0
