,open,high,low,close,volume
2015-05-15,360.72,366.61,360.22,365.71,5189344.0
2015-05-18,367.25,372.63,365.68,371.54,6469976.0
2015-05-19,370.47,379.49,370.23,377.01,10272076.0
2015-05-20,380.3,382.53,379.1,381.66,5882188.0
2015-05-21,381.95,384.38,379.78,381.87,10059312.0
2015-05-22,381.04,382.45,378.45,381.5,6888824.0
2015-05-25,382.25,383.38,374.15,375.97,4675808.0
2015-05-26,376.57,378.7,373.24,374.2,3965040.0
2015-05-27,374.14,374.52,364.45,366.97,8454708.0
2015-05-28,368.22,378.8,368.22,375.93,10980540.0
2015-05-29,373.74,383.36,373.03,377.15,18993044.0
2015-06-01,378.95,384.77,377.17,381.75,5724892.0
2015-06-02,381.81,383.11,373.77,374.45,4673140.0
2015-06-03,376.23,380.19,374.33,376.74,5495796.0
2015-06-04,378.43,383.09,375.19,378.07,7489464.0
2015-06-05,378.43,381.04,374.36,375.01,6125788.0
2015-06-08,376.57,377.43,370.42,372.85,6141048.0
2015-06-09,373.54,374.27,369.67,371.37,7561740.0
2015-06-10,370.97,380.17,370.04,377.78,6385840.0
2015-06-11,379.54,381.18,371.92,372.4,9229464.0
2015-06-12,397.24,401.31,387.43,391.3,9852924.0
2015-06-15,399.03,407.96,395.38,404.55,5236426.0
2015-06-16,406.14,409.67,402.32,408.18,5223444.0
2015-06-17,412.94,417.02,405.26,406.69,6412068.0
2015-06-18,410.73,411.69,406.73,409.24,3474426.0
2015-06-19,412.65,412.69,405.63,406.55,6670458.0
2015-06-22,410.45,420.19,407.22,418.19,5710868.0
2015-06-23,418.66,419.64,407.69,408.61,6952116.0
2015-06-24,414.57,414.57,404.85,406.44,7073694.0
2015-06-25,408.12,409.88,403.4,404.55,7117466.0
2015-06-26,408.04,413.18,407.67,410.59,5320284.0
2015-06-29,403.14,408.24,401.3,404.42,5690668.0
2015-06-30,404.36,405.77,400.28,402.05,6212530.0
2015-07-01,403.95,410.49,402.73,407.38,6880852.0
2015-07-02,408.04,409.02,402.34,403.54,4007568.0
2015-07-03,403.54,405.59,401.09,404.48,2695306.0
2015-07-06,402.32,403.54,398.24,401.63,4305602.0
2015-07-07,402.32,404.36,399.87,400.48,3497418.0
2015-07-08,399.87,399.87,389.98,391.09,7024178.0
2015-07-09,391.09,394.56,381.51,383.12,8587772.0
2015-07-10,387.25,388.88,380.94,382.92,7411522.0
2015-07-13,384.35,390.07,381.51,388.09,6531768.0
2015-07-14,390.07,397.62,386.19,396.7,5367074.0
2015-07-15,396.19,402.71,395.38,401.91,4129566.0
2015-07-16,403.42,404.97,400.07,403.97,3472938.0
2015-07-17,404.77,410.28,403.99,409.2,3447978.0
2015-07-20,409.02,412.86,403.3,408.96,4377180.0
2015-07-21,422.74,469.3,422.74,454.46,38310112.0
2015-07-22,451.33,454.19,439.75,450.58,12665660.0
2015-07-23,450.9,456.23,445.21,448.47,7710748.0
2015-07-24,447.47,451.93,442.39,444.23,4480302.0
2015-07-27,443.94,444.37,433.14,435.12,6752244.0
2015-07-28,436.42,439.49,430.6,434.12,8476602.0
2015-07-29,438.67,446.02,435.0,443.33,7071334.0
2015-07-30,445.21,445.21,432.14,437.04,11956598.0
2015-07-31,440.53,441.67,432.95,439.92,7931012.0
2015-08-03,440.31,446.02,436.61,440.69,7961012.0
2015-08-04,440.31,440.69,429.28,431.83,9099054.0
2015-08-05,433.77,445.21,433.75,443.72,4753476.0
2015-08-06,446.84,451.54,439.9,443.96,7238252.0
2015-08-07,440.92,449.7,440.51,447.49,4988058.0
2015-08-10,448.47,451.88,435.81,443.57,3992754.0
2015-08-11,448.8,456.19,447.53,453.03,7574406.0
2015-08-12,455.42,469.3,453.78,467.43,10168440.0
2015-08-13,468.49,476.6,431.14,472.98,9787960.0
2015-08-14,475.84,477.35,466.89,469.41,5109066.0
2015-08-17,469.71,471.12,458.48,466.51,3107436.0
2015-08-18,469.71,481.03,469.71,475.57,4150446.0
2015-08-19,477.88,484.5,474.94,480.15,6869518.0
2015-08-20,473.39,477.27,460.73,463.4,8369114.0
2015-08-21,466.0,474.19,456.44,469.67,10822142.0
2015-08-24,453.35,458.69,440.55,446.04,14122684.0
2015-08-25,449.29,457.05,426.62,443.43,13735078.0
2015-08-26,445.12,448.07,432.54,434.83,11498212.0
2015-08-27,444.39,449.33,440.33,442.27,15343392.0
2015-08-28,449.94,459.46,449.94,453.8,7208820.0
2015-08-31,463.53,463.53,442.14,447.0,9917064.0
2015-09-01,445.21,455.25,441.94,444.8,9071550.0
2015-09-02,448.47,455.42,445.21,449.07,11171830.0
2015-09-03,453.44,454.19,446.23,449.03,8590536.0
2015-09-04,450.52,453.78,435.81,438.65,7318888.0
2015-09-07,443.14,443.16,430.91,432.44,5180988.0
2015-09-08,433.77,438.67,429.81,432.46,5459496.0
2015-09-09,444.02,449.13,437.85,444.68,9148664.0
2015-09-10,443.12,445.82,433.36,441.31,8363004.0
2015-09-11,445.84,451.9,443.37,445.51,9883810.0
2015-09-14,448.88,450.92,442.2,449.19,6557076.0
2015-09-15,449.05,450.6,444.45,448.96,5291886.0
2015-09-16,452.56,453.27,448.6,449.96,7478240.0
2015-09-18,454.11,456.6,448.9,451.11,11576876.0
2015-09-21,449.29,452.91,446.23,451.19,4351234.0
2015-09-22,455.42,463.97,449.74,452.33,9626986.0
2015-09-23,452.33,460.05,448.25,455.93,4758254.0
2015-09-24,454.8,470.82,453.38,465.85,13399262.0
2015-09-28,465.61,466.79,449.7,451.56,9788464.0
2015-09-29,450.11,462.93,448.27,458.22,8699370.0
2015-09-30,463.34,477.45,459.89,474.59,9495692.0
2015-10-01,477.84,489.22,473.8,479.13,10864394.0
2015-10-05,479.11,485.79,474.61,482.68,6881760.0
2015-10-06,484.85,487.09,468.94,471.59,8711880.0
2015-10-07,472.16,477.37,460.91,462.85,9182488.0
2015-10-08,464.16,469.55,459.93,462.42,9080874.0
2015-10-09,463.99,479.07,463.99,476.82,11782138.0
2015-10-12,489.73,498.22,452.97,458.64,30404970.0
2015-10-13,452.33,453.78,443.25,449.05,15326862.0
2015-10-14,445.8,455.64,444.06,448.31,8865510.0
2015-10-15,449.25,451.07,444.84,448.21,8255666.0
2015-10-16,457.22,458.21,453.47,455.51,6418992.0
2015-10-19,458.46,464.29,457.84,462.6,7347494.0
2015-10-20,463.04,470.11,462.04,468.43,8788310.0
2015-10-21,468.03,477.12,468.03,473.61,7278098.0
2015-10-23,475.02,479.68,468.07,478.39,6033362.0
2015-10-26,480.1,481.97,475.58,479.33,3195942.0
2015-10-27,478.43,480.51,475.98,478.18,5263748.0
2015-10-28,476.14,481.76,473.86,479.76,5255472.0
2015-10-29,479.72,480.89,472.63,476.37,5887324.0
2015-10-30,476.35,476.35,470.11,472.38,4044676.0
2015-11-02,470.11,472.53,463.5,470.61,3544988.0
2015-11-03,471.53,478.62,471.53,476.56,3614682.0
2015-11-04,478.47,481.59,471.07,472.94,3205572.0
2015-11-05,475.5,476.35,465.7,467.16,2345306.0
2015-11-06,467.2,475.9,467.16,473.57,3026172.0
2015-11-09,465.95,474.27,463.96,472.03,6125676.0
2015-11-10,469.07,469.07,457.67,459.23,4680052.0
2015-11-11,469.07,469.07,457.67,459.23,4680052.0
2015-11-13,457.61,460.13,453.47,457.96,3520868.0
2015-11-16,450.83,455.14,443.99,449.39,6808334.0
2015-11-17,449.31,450.52,437.66,441.61,7184106.0
2015-11-18,433.09,434.81,420.71,424.35,10125252.0
2015-11-19,428.61,437.66,425.93,435.91,8539622.0
2015-11-20,436.0,442.32,433.52,437.83,6082978.0
2015-11-23,436.83,441.99,431.84,438.37,5616350.0
2015-11-24,436.83,437.16,431.42,433.15,4325802.0
2015-11-26,433.07,440.78,432.69,437.83,9853968.0
2015-11-27,440.16,445.15,434.75,443.63,5142478.0
2015-11-30,445.15,456.92,439.41,452.6,18105534.0
2015-12-01,452.64,455.55,446.38,448.89,5898550.0
2015-12-02,449.29,449.29,440.57,441.28,6397616.0
2015-12-03,441.41,442.99,436.43,440.05,5504726.0
2015-12-04,436.41,443.03,432.71,436.43,8375530.0
2015-12-07,439.04,440.57,432.67,435.27,4513870.0
2015-12-08,434.77,442.13,432.38,434.5,5724372.0
2015-12-09,433.92,435.56,425.41,427.76,6818254.0
2015-12-10,431.26,437.5,428.63,435.73,5587746.0
2015-12-11,438.49,441.78,435.12,438.0,5390198.0
2015-12-14,436.62,446.46,436.02,444.94,4816672.0
2015-12-15,446.5,448.94,440.49,448.29,5431808.0
2015-12-16,450.73,456.8,450.73,455.91,5495852.0
2015-12-17,457.63,461.71,452.64,460.59,4958782.0
2015-12-18,459.05,459.05,449.08,450.62,7219820.0
2015-12-21,448.06,460.71,443.47,459.07,4331012.0
2015-12-22,456.57,456.57,449.35,450.87,4109254.0
2015-12-23,455.57,458.67,452.24,457.99,2870928.0
2015-12-24,458.48,459.48,453.51,456.11,1230054.0
2015-12-28,453.47,461.79,453.47,459.61,5526952.0
2015-12-29,458.15,461.79,456.51,459.59,3345062.0
2015-12-30,458.09,460.38,450.56,451.93,5153970.0
2015-12-31,453.53,461.77,452.22,459.88,7943938.0
2016-01-01,457.63,461.36,454.8,459.82,1806550.0
2016-01-04,457.61,458.65,447.67,448.85,3975362.0
2016-01-05,451.6,451.6,441.93,446.84,4949786.0
2016-01-06,447.09,447.09,440.53,444.88,5588328.0
