,open,high,low,close,volume
2015-05-15,147.61,149.41,146.62,147.61,83899.0
2015-05-18,148.06,154.59,148.06,153.65,86861.0
2015-05-19,153.6,156.39,150.66,154.99,56991.0
2015-05-20,154.59,157.09,153.1,155.89,61054.0
2015-05-21,154.59,156.34,152.15,153.55,49406.0
2015-05-22,153.15,154.59,152.15,153.25,40573.0
2015-05-25,153.25,159.43,151.1,154.59,106389.0
2015-05-26,151.15,166.56,146.77,148.86,139841.0
2015-05-27,148.86,151.75,146.62,150.66,54702.0
2015-05-28,148.61,153.6,148.61,152.45,69829.0
2015-05-29,152.45,156.79,149.71,156.34,55887.0
2015-06-01,157.09,161.98,155.39,160.38,90213.0
2015-06-02,161.83,162.97,160.33,162.18,56934.0
2015-06-03,161.58,165.57,157.14,161.18,191872.0
2015-06-04,161.58,166.46,159.58,163.97,177144.0
2015-06-05,163.22,169.46,162.67,167.91,50444.0
2015-06-08,167.56,172.35,166.66,168.51,95133.0
2015-06-09,167.51,171.25,164.67,166.31,23447.0
2015-06-10,165.62,169.36,165.62,166.11,39220.0
2015-06-11,166.51,167.06,155.89,159.63,27518.0
2015-06-12,159.58,161.63,158.53,160.43,10020.0
2015-06-15,159.58,170.05,158.58,168.41,37143.0
2015-06-16,167.56,174.39,166.16,168.96,107320.0
2015-06-17,170.05,175.44,170.05,173.0,297466.0
2015-06-18,173.55,174.39,171.0,172.2,22986.0
2015-06-19,170.65,174.54,169.06,170.4,30492.0
2015-06-22,169.81,173.55,169.66,171.4,49755.0
2015-06-23,171.55,178.93,171.55,176.14,162072.0
2015-06-24,177.44,179.38,173.3,176.14,87952.0
2015-06-25,174.59,178.43,174.54,175.74,55904.0
2015-06-26,177.14,177.19,172.95,175.39,33854.0
2015-06-29,172.05,177.39,170.05,174.54,40128.0
2015-06-30,173.35,179.18,173.35,176.39,66657.0
2015-07-01,175.39,179.03,175.39,176.74,38085.0
2015-07-02,177.04,178.38,174.49,175.74,24731.0
2015-07-03,175.69,182.42,175.69,177.48,196065.0
2015-07-06,175.49,178.43,173.5,177.34,38492.0
2015-07-07,179.13,179.53,175.14,175.54,41261.0
2015-07-08,174.54,179.53,173.1,177.44,59947.0
2015-07-09,175.69,182.42,174.64,175.69,69156.0
2015-07-10,177.24,177.93,173.74,174.69,36280.0
2015-07-13,173.94,190.5,173.94,187.36,400603.0
2015-07-14,185.51,196.39,185.51,191.65,437424.0
2015-07-15,193.49,199.48,192.5,198.43,777146.0
2015-07-16,199.43,200.33,191.7,195.69,190009.0
2015-07-17,197.48,210.2,195.39,206.56,1856642.0
2015-07-20,211.8,246.35,211.25,240.02,3966816.0
2015-07-21,243.21,248.05,223.71,225.56,1309091.0
2015-07-22,226.31,238.08,225.41,232.09,834598.0
2015-07-23,231.39,235.43,225.81,228.7,350708.0
2015-07-24,228.35,231.49,222.02,223.61,292424.0
2015-07-27,224.41,238.77,221.82,230.75,632953.0
2015-07-28,232.69,235.83,226.61,229.5,444203.0
2015-07-29,231.34,238.28,228.7,231.84,321496.0
2015-07-30,232.24,240.97,230.65,232.29,443391.0
2015-07-31,232.39,235.33,228.3,230.9,141807.0
2015-08-03,232.79,234.39,228.4,229.2,118492.0
2015-08-04,229.5,234.29,228.0,230.7,170841.0
2015-08-05,231.39,238.72,231.09,233.09,296231.0
2015-08-06,233.39,237.33,230.94,233.04,259889.0
2015-08-07,235.08,236.38,231.54,233.29,183225.0
2015-08-10,234.39,260.22,233.19,247.2,1866817.0
2015-08-11,248.2,254.23,241.87,250.09,440915.0
2015-08-12,248.35,249.85,234.59,237.28,254315.0
2015-08-13,237.28,243.86,228.9,231.24,170179.0
2015-08-14,230.0,243.86,230.0,242.76,284461.0
2015-08-17,244.56,244.56,234.73,238.62,130967.0
2015-08-18,239.97,255.43,236.58,249.9,533712.0
2015-08-19,248.65,269.09,245.46,258.07,1138336.0
2015-08-20,256.33,258.22,243.01,245.61,359157.0
2015-08-21,241.77,243.56,232.49,237.53,305030.0
2015-08-24,225.41,227.4,205.06,213.59,438586.0
