,open,high,low,close,volume
2015-05-15,42.5,43.85,42.3,42.45,1400888.0
2015-05-18,42.75,42.9,42.05,42.4,902642.0
2015-05-19,42.4,43.4,42.25,42.8,943857.0
2015-05-20,43.1,43.2,42.35,42.45,518897.0
2015-05-21,42.8,42.8,41.8,42.05,1035368.0
2015-05-22,42.05,42.95,42.05,42.1,852007.0
2015-05-25,41.35,42.35,41.35,41.85,450162.0
2015-05-26,41.85,42.05,41.5,41.6,406859.0
2015-05-27,41.6,42.9,41.3,42.75,1029440.0
2015-05-28,42.9,43.25,41.95,43.0,1177417.0
2015-05-29,43.1,43.6,42.75,43.2,753498.0
2015-06-01,43.2,43.45,42.6,42.75,650713.0
2015-06-02,42.75,42.95,41.0,41.15,1268611.0
2015-06-03,41.25,41.35,39.35,39.8,2107032.0
2015-06-04,40.1,40.1,38.5,38.75,1888127.0
2015-06-05,38.65,38.95,38.05,38.25,1222792.0
2015-06-08,38.2,38.3,37.15,37.25,1416864.0
2015-06-09,37.3,37.7,37.05,37.3,1090807.0
2015-06-10,37.35,38.0,37.35,37.55,994017.0
2015-06-11,37.8,37.95,36.3,36.65,1742272.0
2015-06-12,36.3,36.9,35.9,36.75,1198876.0
2015-06-15,36.85,37.2,36.15,36.35,1128034.0
2015-06-16,36.3,36.9,36.05,36.75,830736.0
2015-06-17,36.85,37.2,36.55,36.9,1113416.0
2015-06-18,37.1,37.45,36.75,37.1,1024944.0
2015-06-19,37.1,38.0,36.85,37.7,1282663.0
2015-06-22,37.85,39.05,37.55,38.75,1617643.0
2015-06-23,38.8,39.35,38.55,38.9,1382647.0
2015-06-24,38.9,39.15,38.4,38.55,1114887.0
2015-06-25,38.45,39.0,38.15,38.85,2032113.0
2015-06-26,38.8,38.8,37.75,38.0,1346358.0
2015-06-29,36.95,37.25,36.5,36.95,1192429.0
2015-06-30,37.0,37.4,36.8,37.05,1380939.0
2015-07-01,37.0,38.2,36.95,37.9,2220370.0
2015-07-02,37.9,38.2,37.2,37.35,1239559.0
2015-07-03,37.2,37.65,37.0,37.4,2205133.0
2015-07-06,37.0,37.8,36.8,37.7,1217212.0
2015-07-07,37.7,38.7,37.6,38.05,2452419.0
2015-07-08,37.75,37.95,37.1,37.4,1240971.0
2015-07-09,37.5,38.3,37.3,37.75,1387273.0
2015-07-10,37.75,38.5,37.65,38.4,1256745.0
2015-07-13,38.45,38.75,38.2,38.65,1012170.0
2015-07-14,38.75,39.0,38.45,38.55,922327.0
2015-07-15,38.55,38.85,37.85,38.2,1108512.0
2015-07-16,38.3,39.4,38.15,39.1,1278850.0
2015-07-17,39.3,40.15,39.2,39.65,2976171.0
2015-07-20,39.75,40.15,38.75,39.15,1443022.0
2015-07-21,39.45,39.45,38.6,38.7,1694724.0
2015-07-22,38.75,39.2,38.4,38.75,743728.0
2015-07-23,38.85,39.1,38.2,38.7,1245624.0
2015-07-24,38.65,38.75,37.9,38.1,1142607.0
2015-07-27,36.0,36.15,35.3,35.65,4164288.0
2015-07-28,36.3,36.3,35.0,35.7,1437056.0
2015-07-29,35.7,36.25,35.25,35.9,1353678.0
2015-07-30,35.85,36.85,35.4,36.5,8459831.0
2015-07-31,36.5,38.15,36.35,38.0,3279078.0
2015-08-03,37.9,39.5,37.6,38.5,1576216.0
2015-08-04,38.6,39.95,37.95,39.6,2527530.0
2015-08-05,40.1,40.1,38.9,39.05,1897306.0
2015-08-06,38.65,39.7,38.3,39.5,1699722.0
2015-08-07,39.2,39.4,38.75,39.0,1246312.0
2015-08-10,38.95,39.1,37.65,37.95,952983.0
